x      , v      , u      
      0,       0,       0
0.001001, 0.017902, 0.0089591
0.002002, 0.026754, 0.017819
0.003003, 0.035508, 0.026581
0.004004, 0.044164, 0.035245
0.005005, 0.052724, 0.043813
0.006006, 0.061189, 0.052286
0.007007, 0.06956, 0.060665
0.008008, 0.077837, 0.06895
0.009009, 0.086021, 0.077143
0.01001, 0.094114, 0.085244
0.011011, 0.10212, 0.093254
0.012012, 0.11003, 0.10117
0.013013, 0.11785, 0.10901
0.014014, 0.12559, 0.11675
0.015015, 0.13324, 0.12441
0.016016,  0.1408, 0.13198
0.017017, 0.14828, 0.13946
0.018018, 0.15567, 0.14686
0.019019, 0.16298, 0.15418
0.02002,  0.1702, 0.16141
0.021021, 0.17735, 0.16857
0.022022, 0.18441, 0.17564
0.023023, 0.19139, 0.18263
0.024024,  0.1983, 0.18954
0.025025, 0.20512, 0.19637
0.026026, 0.21187, 0.20312
0.027027, 0.21854,  0.2098
0.028028, 0.22513,  0.2164
0.029029, 0.23164, 0.22293
0.03003, 0.23809, 0.22938
0.031031, 0.24445, 0.23575
0.032032, 0.25075, 0.24205
0.033033, 0.25697, 0.24828
0.034034, 0.26312, 0.25444
0.035035,  0.2692, 0.26053
0.036036,  0.2752, 0.26654
0.037037, 0.28114, 0.27249
0.038038, 0.28701, 0.27836
0.039039, 0.29281, 0.28417
0.04004, 0.29854, 0.28991
0.041041, 0.30421, 0.29558
0.042042,  0.3098, 0.30119
0.043043, 0.31534, 0.30673
0.044044,  0.3208, 0.31221
0.045045, 0.32621, 0.31762
0.046046, 0.33155, 0.32296
0.047047, 0.33682, 0.32825
0.048048, 0.34203, 0.33347
0.049049, 0.34719, 0.33863
0.05005, 0.35228, 0.34373
0.051051,  0.3573, 0.34876
0.052052, 0.36227, 0.35374
0.053053, 0.36718, 0.35866
0.054054, 0.37203, 0.36352
0.055055, 0.37683, 0.36832
0.056056, 0.38156, 0.37306
0.057057, 0.38624, 0.37774
0.058058, 0.39086, 0.38237
0.059059, 0.39542, 0.38694
0.06006, 0.39993, 0.39146
0.061061, 0.40439, 0.39592
0.062062, 0.40878, 0.40033
0.063063, 0.41313, 0.40468
0.064064, 0.41742, 0.40898
0.065065, 0.42166, 0.41323
0.066066, 0.42585, 0.41743
0.067067, 0.42999, 0.42157
0.068068, 0.43407, 0.42566
0.069069,  0.4381,  0.4297
0.07007, 0.44209,  0.4337
0.071071, 0.44602, 0.43764
0.072072,  0.4499, 0.44153
0.073073, 0.45374, 0.44537
0.074074, 0.45753, 0.44917
0.075075, 0.46127, 0.45292
0.076076, 0.46496, 0.45662
0.077077, 0.46861, 0.46027
0.078078,  0.4722, 0.46388
0.079079, 0.47576, 0.46744
0.08008, 0.47927, 0.47095
0.081081, 0.48273, 0.47443
0.082082, 0.48615, 0.47785
0.083083, 0.48952, 0.48123
0.084084, 0.49285, 0.48457
0.085085, 0.49614, 0.48787
0.086086, 0.49938, 0.49112
0.087087, 0.50259, 0.49433
0.088088, 0.50575,  0.4975
0.089089, 0.50886, 0.50062
0.09009, 0.51194, 0.50371
0.091091, 0.51498, 0.50676
0.092092, 0.51798, 0.50976
0.093093, 0.52093, 0.51272
0.094094, 0.52385, 0.51565
0.095095, 0.52673, 0.51854
0.096096, 0.52957, 0.52138
0.097097, 0.53237, 0.52419
0.098098, 0.53513, 0.52696
0.099099, 0.53786,  0.5297
 0.1001, 0.54054, 0.53239
 0.1011,  0.5432, 0.53505
 0.1021, 0.54581, 0.53768
 0.1031, 0.54839, 0.54026
 0.1041, 0.55093, 0.54281
0.10511, 0.55344, 0.54533
0.10611, 0.55591, 0.54781
0.10711, 0.55835, 0.55026
0.10811, 0.56076, 0.55267
0.10911, 0.56313, 0.55505
0.11011, 0.56546, 0.55739
0.11111, 0.56776,  0.5597
0.11211, 0.57003, 0.56198
0.11311, 0.57227, 0.56422
0.11411, 0.57448, 0.56644
0.11512, 0.57665, 0.56862
0.11612, 0.57879, 0.57077
0.11712,  0.5809, 0.57288
0.11812, 0.58298, 0.57497
0.11912, 0.58503, 0.57703
0.12012, 0.58704, 0.57905
0.12112, 0.58903, 0.58105
0.12212, 0.59099, 0.58301
0.12312, 0.59292, 0.58495
0.12412, 0.59482, 0.58686
0.12513, 0.59669, 0.58873
0.12613, 0.59853, 0.59058
0.12713, 0.60034,  0.5924
0.12813, 0.60212,  0.5942
0.12913, 0.60388, 0.59596
0.13013, 0.60561,  0.5977
0.13113, 0.60731, 0.59941
0.13213, 0.60899, 0.60109
0.13313, 0.61064, 0.60275
0.13413, 0.61226, 0.60438
0.13514, 0.61385, 0.60598
0.13614, 0.61542, 0.60756
0.13714, 0.61697, 0.60911
0.13814, 0.61849, 0.61064
0.13914, 0.61998, 0.61214
0.14014, 0.62145, 0.61361
0.14114, 0.62289, 0.61507
0.14214, 0.62431, 0.61649
0.14314, 0.62571,  0.6179
0.14414, 0.62708, 0.61928
0.14515, 0.62842, 0.62063
0.14615, 0.62975, 0.62196
0.14715, 0.63105, 0.62327
0.14815, 0.63233, 0.62456
0.14915, 0.63358, 0.62582
0.15015, 0.63481, 0.62706
0.15115, 0.63602, 0.62828
0.15215, 0.63721, 0.62948
