x    , v    , u    
    0,     0,     0
0.001001, 0.018002, 0.0089591
0.002002, 0.026854, 0.017819
0.003003, 0.035608, 0.026581
0.004004, 0.044264, 0.035245
0.005005, 0.052824, 0.043813
0.006006, 0.061289, 0.052286
0.007007, 0.069659, 0.060665
0.008008, 0.077936, 0.06895
0.009009, 0.086121, 0.077143
0.01001, 0.094214, 0.085244
0.011011, 0.10222, 0.093254
0.012012, 0.11013, 0.10117
0.013013, 0.11795, 0.10901
0.014014, 0.12569, 0.11675
0.015015, 0.13334, 0.12441
0.016016, 0.1409, 0.13198
0.017017, 0.14838, 0.13946
0.018018, 0.15577, 0.14686
0.019019, 0.16308, 0.15418
0.02002, 0.1703, 0.16141
0.021021, 0.17745, 0.16857
0.022022, 0.18451, 0.17564
0.023023, 0.19149, 0.18263
0.024024, 0.19839, 0.18954
0.025025, 0.20522, 0.19637
0.026026, 0.21196, 0.20312
0.027027, 0.21863, 0.2098
0.028028, 0.22523, 0.2164
0.029029, 0.23174, 0.22293
0.03003, 0.23818, 0.22938
0.031031, 0.24455, 0.23575
0.032032, 0.25084, 0.24205
0.033033, 0.25707, 0.24828
0.034034, 0.26321, 0.25444
0.035035, 0.26929, 0.26053
0.036036, 0.2753, 0.26654
0.037037, 0.28124, 0.27249
0.038038, 0.28711, 0.27836
0.039039, 0.2929, 0.28417
0.04004, 0.29864, 0.28991
0.041041, 0.3043, 0.29558
0.042042, 0.3099, 0.30119
0.043043, 0.31543, 0.30673
0.044044, 0.3209, 0.31221
0.045045, 0.3263, 0.31762
0.046046, 0.33164, 0.32296
0.047047, 0.33692, 0.32825
0.048048, 0.34213, 0.33347
0.049049, 0.34728, 0.33863
0.05005, 0.35237, 0.34373
0.051051, 0.3574, 0.34876
0.052052, 0.36237, 0.35374
0.053053, 0.36728, 0.35866
0.054054, 0.37213, 0.36352
0.055055, 0.37692, 0.36832
0.056056, 0.38165, 0.37306
0.057057, 0.38633, 0.37774
0.058058, 0.39095, 0.38237
0.059059, 0.39552, 0.38694
0.06006, 0.40003, 0.39146
0.061061, 0.40448, 0.39592
0.062062, 0.40888, 0.40033
0.063063, 0.41322, 0.40468
0.064064, 0.41752, 0.40898
0.065065, 0.42176, 0.41323
0.066066, 0.42594, 0.41743
0.067067, 0.43008, 0.42157
0.068068, 0.43416, 0.42566
0.069069, 0.4382, 0.4297
0.07007, 0.44218, 0.4337
0.071071, 0.44611, 0.43764
0.072072,  0.45, 0.44153
0.073073, 0.45383, 0.44537
0.074074, 0.45762, 0.44917
0.075075, 0.46136, 0.45292
0.076076, 0.46505, 0.45662
0.077077, 0.4687, 0.46027
0.078078, 0.4723, 0.46388
0.079079, 0.47585, 0.46744
0.08008, 0.47936, 0.47095
0.081081, 0.48282, 0.47443
0.082082, 0.48624, 0.47785
0.083083, 0.48961, 0.48123
0.084084, 0.49294, 0.48457
0.085085, 0.49623, 0.48787
0.086086, 0.49947, 0.49112
0.087087, 0.50268, 0.49433
0.088088, 0.50584, 0.4975
0.089089, 0.50896, 0.50062
0.09009, 0.51203, 0.50371
0.091091, 0.51507, 0.50676
0.092092, 0.51807, 0.50976
0.093093, 0.52102, 0.51272
0.094094, 0.52394, 0.51565
0.095095, 0.52682, 0.51854
0.096096, 0.52966, 0.52138
0.097097, 0.53246, 0.52419
0.098098, 0.53522, 0.52696
0.099099, 0.53795, 0.5297
0.1001, 0.54063, 0.53239
0.1011, 0.54329, 0.53505
0.1021, 0.5459, 0.53768
0.1031, 0.54848, 0.54026
0.1041, 0.55102, 0.54281
0.10511, 0.55353, 0.54533
0.10611, 0.556, 0.54781
0.10711, 0.55844, 0.55026
0.10811, 0.56085, 0.55267
0.10911, 0.56322, 0.55505
0.11011, 0.56555, 0.55739
0.11111, 0.56785, 0.5597
0.11211, 0.57012, 0.56198
0.11311, 0.57236, 0.56422
0.11411, 0.57457, 0.56644
0.11512, 0.57674, 0.56862
0.11612, 0.57888, 0.57077
0.11712, 0.58099, 0.57288
0.11812, 0.58307, 0.57497
0.11912, 0.58512, 0.57703
0.12012, 0.58713, 0.57905
0.12112, 0.58912, 0.58105
0.12212, 0.59108, 0.58301
0.12312, 0.59301, 0.58495
0.12412, 0.5949, 0.58686
0.12513, 0.59677, 0.58873
0.12613, 0.59861, 0.59058
0.12713, 0.60043, 0.5924
0.12813, 0.60221, 0.5942
0.12913, 0.60397, 0.59596
0.13013, 0.6057, 0.5977
0.13113, 0.6074, 0.59941
0.13213, 0.60907, 0.60109
0.13313, 0.61072, 0.60275
0.13413, 0.61234, 0.60438
0.13514, 0.61394, 0.60598
0.13614, 0.61551, 0.60756
0.13714, 0.61705, 0.60911
0.13814, 0.61857, 0.61064
0.13914, 0.62007, 0.61214
0.14014, 0.62153, 0.61361
0.14114, 0.62298, 0.61507
0.14214, 0.6244, 0.61649
0.14314, 0.62579, 0.6179
0.14414, 0.62716, 0.61928
0.14515, 0.62851, 0.62063
0.14615, 0.62983, 0.62196
0.14715, 0.63113, 0.62327
0.14815, 0.63241, 0.62456
0.14915, 0.63367, 0.62582
0.15015, 0.6349, 0.62706
0.15115, 0.63611, 0.62828
0.15215, 0.6373, 0.62948
0.15315, 0.63846, 0.63065
0.15415, 0.63961, 0.6318
0.15516, 0.64073, 0.63293
0.15616, 0.64183, 0.63404
0.15716, 0.64291, 0.63513
0.15816, 0.64397, 0.6362
0.15916, 0.64501, 0.63725
0.16016, 0.64603, 0.63827
0.16116, 0.64703, 0.63928
0.16216, 0.64801, 0.64027
0.16316, 0.64897, 0.64123
0.16416, 0.64991, 0.64218
0.16517, 0.65083, 0.64311
0.16617, 0.65173, 0.64402
0.16717, 0.65261, 0.64491
0.16817, 0.65347, 0.64578
0.16917, 0.65432, 0.64663
0.17017, 0.65514, 0.64746
0.17117, 0.65595, 0.64828
0.17217, 0.65674, 0.64908
0.17317, 0.65751, 0.64986
0.17417, 0.65826, 0.65062
0.17518, 0.659, 0.65136
0.17618, 0.65972, 0.65209
0.17718, 0.66042, 0.6528
0.17818, 0.6611, 0.65349
0.17918, 0.66177, 0.65417
0.18018, 0.66242, 0.65483
0.18118, 0.66306, 0.65547
0.18218, 0.66368, 0.6561
0.18318, 0.66428, 0.65671
0.18418, 0.66486, 0.6573
0.18519, 0.66543, 0.65788
0.18619, 0.66599, 0.65844
0.18719, 0.66653, 0.65899
0.18819, 0.66705, 0.65952
0.18919, 0.66756, 0.66003
0.19019, 0.66805, 0.66053
0.19119, 0.66853, 0.66102
0.19219, 0.66899, 0.66149
0.19319, 0.66944, 0.66195
0.19419, 0.66987, 0.66239
0.1952, 0.67029, 0.66282
0.1962, 0.6707, 0.66323
0.1972, 0.67109, 0.66363
0.1982, 0.67147, 0.66401
0.1992, 0.67183, 0.66439
0.2002, 0.67218, 0.66474
0.2012, 0.67252, 0.66509
0.2022, 0.67284, 0.66542
0.2032, 0.67315, 0.66574
0.2042, 0.67344, 0.66604
0.20521, 0.67373, 0.66633
0.20621, 0.674, 0.66661
0.20721, 0.67426, 0.66688
0.20821, 0.6745, 0.66713
0.20921, 0.67473, 0.66737
0.21021, 0.67496, 0.6676
0.21121, 0.67516, 0.66782
0.21221, 0.67536, 0.66802
0.21321, 0.67554, 0.66821
0.21421, 0.67572, 0.66839
0.21522, 0.67588, 0.66856
0.21622, 0.67602, 0.66872
0.21722, 0.67616, 0.66886
0.21822, 0.67629, 0.669
0.21922, 0.6764, 0.66912
0.22022, 0.6765, 0.66923
0.22122, 0.6766, 0.66933
0.22222, 0.67668, 0.66942
0.22322, 0.67675, 0.6695
0.22422, 0.67681, 0.66957
0.22523, 0.67686, 0.66962
0.22623, 0.6769, 0.66967
0.22723, 0.67692, 0.66971
0.22823, 0.67694, 0.66973
0.22923, 0.67695, 0.66975
0.23023, 0.67695, 0.66975
0.23123, 0.67693, 0.66975
0.23223, 0.67691, 0.66973
0.23323, 0.67688, 0.66971
0.23423, 0.67684, 0.66967
0.23524, 0.67678, 0.66963
0.23624, 0.67672, 0.66958
0.23724, 0.67665, 0.66951
0.23824, 0.67657, 0.66944
0.23924, 0.67648, 0.66936
0.24024, 0.67638, 0.66927
0.24124, 0.67628, 0.66917
0.24224, 0.67616, 0.66906
0.24324, 0.67603, 0.66894
0.24424, 0.6759, 0.66882
0.24525, 0.67576, 0.66868
0.24625, 0.67561, 0.66854
0.24725, 0.67545, 0.66839
0.24825, 0.67528, 0.66823
0.24925, 0.6751, 0.66806
0.25025, 0.67491, 0.66788
0.25125, 0.67472, 0.6677
0.25225, 0.67452, 0.6675
0.25325, 0.67431, 0.6673
0.25425, 0.67409, 0.66709
0.25526, 0.67387, 0.66687
0.25626, 0.67363, 0.66665
0.25726, 0.67339, 0.66642
0.25826, 0.67314, 0.66617
0.25926, 0.67289, 0.66593
0.26026, 0.67262, 0.66567
0.26126, 0.67235, 0.66541
0.26226, 0.67207, 0.66514
0.26326, 0.67179, 0.66486
0.26426, 0.6715, 0.66457
0.26527, 0.67119, 0.66428
0.26627, 0.67089, 0.66398
0.26727, 0.67057, 0.66368
0.26827, 0.67025, 0.66336
0.26927, 0.66992, 0.66304
0.27027, 0.66959, 0.66272
0.27127, 0.66925, 0.66238
0.27227, 0.6689, 0.66204
0.27327, 0.66855, 0.6617
0.27427, 0.66818, 0.66134
0.27528, 0.66782, 0.66099
0.27628, 0.66744, 0.66062
0.27728, 0.66706, 0.66025
0.27828, 0.66668, 0.65987
0.27928, 0.66628, 0.65948
0.28028, 0.66588, 0.65909
0.28128, 0.66548, 0.6587
0.28228, 0.66507, 0.65829
0.28328, 0.66465, 0.65788
0.28428, 0.66423, 0.65747
0.28529, 0.6638, 0.65705
0.28629, 0.66336, 0.65662
0.28729, 0.66292, 0.65619
0.28829, 0.66248, 0.65575
0.28929, 0.66203, 0.65531
0.29029, 0.66157, 0.65486
0.29129, 0.66111, 0.6544
0.29229, 0.66064, 0.65394
0.29329, 0.66017, 0.65348
0.29429, 0.65969, 0.65301
0.2953, 0.6592, 0.65253
0.2963, 0.65871, 0.65205
0.2973, 0.65822, 0.65157
0.2983, 0.65772, 0.65107
0.2993, 0.65722, 0.65058
0.3003, 0.65671, 0.65008
0.3013, 0.65619, 0.64957
0.3023, 0.65567, 0.64906
0.3033, 0.65515, 0.64854
0.3043, 0.65462, 0.64802
0.30531, 0.65408, 0.64749
0.30631, 0.65355, 0.64696
0.30731, 0.653, 0.64643
0.30831, 0.65245, 0.64589
0.30931, 0.6519, 0.64534
0.31031, 0.65134, 0.64479
0.31131, 0.65078, 0.64424
0.31231, 0.65022, 0.64368
0.31331, 0.64965, 0.64312
0.31431, 0.64907, 0.64255
0.31532, 0.64849, 0.64198
0.31632, 0.64791, 0.64141
0.31732, 0.64732, 0.64083
0.31832, 0.64673, 0.64024
0.31932, 0.64613, 0.63965
0.32032, 0.64553, 0.63906
0.32132, 0.64493, 0.63847
0.32232, 0.64432, 0.63787
0.32332, 0.64371, 0.63726
0.32432, 0.64309, 0.63665
0.32533, 0.64247, 0.63604
0.32633, 0.64185, 0.63543
0.32733, 0.64122, 0.63481
0.32833, 0.64059, 0.63418
0.32933, 0.63995, 0.63355
0.33033, 0.63931, 0.63292
0.33133, 0.63867, 0.63229
0.33233, 0.63802, 0.63165
0.33333, 0.63737, 0.63101
0.33433, 0.63672, 0.63036
0.33534, 0.63606, 0.62971
0.33634, 0.6354, 0.62906
0.33734, 0.63474, 0.6284
0.33834, 0.63407, 0.62774
0.33934, 0.6334, 0.62708
0.34034, 0.63272, 0.62642
0.34134, 0.63205, 0.62575
0.34234, 0.63137, 0.62507
0.34334, 0.63068, 0.6244
0.34434, 0.62999, 0.62372
0.34535, 0.6293, 0.62303
0.34635, 0.62861, 0.62235
0.34735, 0.62791, 0.62166
0.34835, 0.62721, 0.62097
0.34935, 0.62651, 0.62027
0.35035, 0.6258, 0.61957
0.35135, 0.62509, 0.61887
0.35235, 0.62438, 0.61817
0.35335, 0.62367, 0.61746
0.35435, 0.62295, 0.61675
0.35536, 0.62223, 0.61604
0.35636, 0.6215, 0.61532
0.35736, 0.62078, 0.6146
0.35836, 0.62005, 0.61388
0.35936, 0.61931, 0.61316
0.36036, 0.61858, 0.61243
0.36136, 0.61784, 0.6117
0.36236, 0.6171, 0.61097
0.36336, 0.61636, 0.61023
0.36436, 0.61561, 0.6095
0.36537, 0.61486, 0.60875
0.36637, 0.61411, 0.60801
0.36737, 0.61336, 0.60727
0.36837, 0.6126, 0.60652
0.36937, 0.61184, 0.60577
0.37037, 0.61108, 0.60501
0.37137, 0.61032, 0.60426
0.37237, 0.60955, 0.6035
0.37337, 0.60878, 0.60274
0.37437, 0.60801, 0.60198
0.37538, 0.60724, 0.60121
0.37638, 0.60646, 0.60044
0.37738, 0.60569, 0.59967
0.37838, 0.60491, 0.5989
0.37938, 0.60412, 0.59813
0.38038, 0.60334, 0.59735
0.38138, 0.60255, 0.59657
0.38238, 0.60176, 0.59579
0.38338, 0.60097, 0.59501
0.38438, 0.60018, 0.59422
0.38539, 0.59938, 0.59343
0.38639, 0.59858, 0.59264
0.38739, 0.59778, 0.59185
0.38839, 0.59698, 0.59106
0.38939, 0.59618, 0.59026
0.39039, 0.59537, 0.58946
0.39139, 0.59456, 0.58866
0.39239, 0.59375, 0.58786
0.39339, 0.59294, 0.58706
0.39439, 0.59213, 0.58625
0.3954, 0.59131, 0.58544
0.3964, 0.59049, 0.58463
0.3974, 0.58967, 0.58382
0.3984, 0.58885, 0.58301
0.3994, 0.58803, 0.58219
0.4004, 0.5872, 0.58138
0.4014, 0.58637, 0.58056
0.4024, 0.58554, 0.57973
0.4034, 0.58471, 0.57891
0.4044, 0.58388, 0.57809
0.40541, 0.58305, 0.57726
0.40641, 0.58221, 0.57643
0.40741, 0.58137, 0.5756
0.40841, 0.58053, 0.57477
0.40941, 0.57969, 0.57394
0.41041, 0.57885, 0.5731
0.41141, 0.578, 0.57227
0.41241, 0.57716, 0.57143
0.41341, 0.57631, 0.57059
0.41441, 0.57546, 0.56975
0.41542, 0.57461, 0.5689
0.41642, 0.57376, 0.56806
0.41742, 0.5729, 0.56721
0.41842, 0.57205, 0.56637
0.41942, 0.57119, 0.56552
0.42042, 0.57033, 0.56467
