x, v, u
0, 0, 0
0.001001, 4.4678, 0.00895912
0.002002, 8.93545, 0.017819
0.003003, 8.93527, 0.0265807
0.004004, 8.935, 0.0352452
0.00500501, 8.93464, 0.0438134
0.00600601, 8.93417, 0.0522863
0.00700701, 8.93362, 0.0606648
0.00800801, 8.93297, 0.0689499
0.00900901, 8.93223, 0.0771425
0.01001, 8.93139, 0.0852436
0.011011, 8.93047, 0.093254
0.012012, 8.92946, 0.101175
0.013013, 8.92835, 0.109006
0.014014, 8.92716, 0.11675
0.015015, 8.92588, 0.124407
0.016016, 8.92452, 0.131977
0.017017, 8.92307, 0.139462
0.018018, 8.92154, 0.146863
0.019019, 8.91992, 0.15418
0.02002, 8.91822, 0.161414
0.021021, 8.91644, 0.168566
0.022022, 8.91457, 0.175637
0.023023, 8.91263, 0.182627
0.024024, 8.9106, 0.189538
0.025025, 8.9085, 0.19637
0.026026, 8.90632, 0.203124
0.027027, 8.90406, 0.209801
0.028028, 8.90173, 0.216401
0.029029, 8.89932, 0.222926
0.03003, 8.89683, 0.229376
0.031031, 8.89428, 0.235751
0.032032, 8.89164, 0.242053
0.033033, 8.88894, 0.248282
0.034034, 8.88616, 0.254439
0.035035, 8.88331, 0.260525
0.036036, 8.88039, 0.266541
0.037037, 8.8774, 0.272486
0.038038, 8.87434, 0.278362
0.039039, 8.87122, 0.28417
0.04004, 8.86802, 0.28991
0.041041, 8.86476, 0.295583
0.042042, 8.86143, 0.301189
0.043043, 8.85804, 0.30673
0.044044, 8.85458, 0.312205
0.045045, 8.85106, 0.317616
0.046046, 8.84747, 0.322963
0.047047, 8.84382, 0.328247
0.048048, 8.84011, 0.333468
0.049049, 8.83633, 0.338627
0.0500501, 8.83249, 0.343725
0.0510511, 8.8286, 0.348762
0.0520521, 8.82464, 0.353739
0.0530531, 8.82062, 0.358657
0.0540541, 8.81654, 0.363515
0.0550551, 8.81241, 0.368315
0.0560561, 8.80822, 0.373058
0.0570571, 8.80397, 0.377743
0.0580581, 8.79966, 0.382371
0.0590591, 8.7953, 0.386944
0.0600601, 8.79088, 0.391461
0.0610611, 8.78641, 0.395923
0.0620621, 8.78188, 0.40033
0.0630631, 8.7773, 0.404684
0.0640641, 8.77267, 0.408984
0.0650651, 8.76798, 0.413232
0.0660661, 8.76324, 0.417427
0.0670671, 8.75845, 0.42157
0.0680681, 8.75361, 0.425663
0.0690691, 8.74872, 0.429704
0.0700701, 8.74377, 0.433696
0.0710711, 8.73878, 0.437637
0.0720721, 8.73374, 0.44153
0.0730731, 8.72865, 0.445373
0.0740741, 8.72351, 0.449169
0.0750751, 8.71832, 0.452916
0.0760761, 8.71309, 0.456617
0.0770771, 8.70781, 0.46027
0.0780781, 8.70248, 0.463877
0.0790791, 8.69711, 0.467438
0.0800801, 8.69169, 0.470954
0.0810811, 8.68622, 0.474425
0.0820821, 8.68071, 0.477851
0.0830831, 8.67516, 0.481234
0.0840841, 8.66957, 0.484572
0.0850851, 8.66393, 0.487867
0.0860861, 8.65824, 0.49112
0.0870871, 8.65252, 0.49433
0.0880881, 8.64675, 0.497498
0.0890891, 8.64095, 0.500625
0.0900901, 8.6351, 0.50371
0.0910911, 8.62921, 0.506755
0.0920921, 8.62328, 0.50976
0.0930931, 8.61731, 0.512725
0.0940941, 8.6113, 0.51565
0.0950951, 8.60525, 0.518536
0.0960961, 8.59916, 0.521383
0.0970971, 8.59304, 0.524192
0.0980981, 8.58687, 0.526963
0.0990991, 8.58067, 0.529697
0.1001, 8.57443, 0.532393
0.101101, 8.56816, 0.535053
0.102102, 8.56185, 0.537676
0.103103, 8.5555, 0.540263
0.104104, 8.54912, 0.542814
0.105105, 8.5427, 0.54533
0.106106, 8.53624, 0.54781
0.107107, 8.52976, 0.550256
0.108108, 8.52323, 0.552668
0.109109, 8.51668, 0.555046
0.11011, 8.51009, 0.55739
0.111111, 8.50346, 0.559701
0.112112, 8.49681, 0.561979
0.113113, 8.49012, 0.564224
0.114114, 8.4834, 0.566437
0.115115, 8.47664, 0.568618
0.116116, 8.46986, 0.570767
0.117117, 8.46304, 0.572885
0.118118, 8.45619, 0.574971
0.119119, 8.44931, 0.577027
0.12012, 8.4424, 0.579053
0.121121, 8.43546, 0.581048
0.122122, 8.4285, 0.583014
0.123123, 8.4215, 0.58495
0.124124, 8.41447, 0.586856
0.125125, 8.40741, 0.588734
0.126126, 8.40033, 0.590583
0.127127, 8.39321, 0.592404
0.128128, 8.38607, 0.594196
0.129129, 8.3789, 0.595961
0.13013, 8.3717, 0.597698
0.131131, 8.36448, 0.599408
0.132132, 8.35723, 0.601091
0.133133, 8.34995, 0.602748
0.134134, 8.34265, 0.604377
0.135135, 8.33531, 0.605981
0.136136, 8.32796, 0.607558
0.137137, 8.32058, 0.60911
0.138138, 8.31317, 0.610637
0.139139, 8.30573, 0.612138
0.14014, 8.29828, 0.613615
0.141141, 8.29079, 0.615066
0.142142, 8.28329, 0.616494
0.143143, 8.27575, 0.617897
0.144144, 8.2682, 0.619276
0.145145, 8.26062, 0.620631
0.146146, 8.25302, 0.621963
0.147147, 8.24539, 0.623272
0.148148, 8.23774, 0.624558
0.149149, 8.23007, 0.625821
0.15015, 8.22238, 0.627061
0.151151, 8.21466, 0.628279
0.152152, 8.20692, 0.629475
0.153153, 8.19916, 0.63065
0.154154, 8.19138, 0.631802
0.155155, 8.18358, 0.632933
0.156156, 8.17575, 0.634043
0.157157, 8.16791, 0.635131
0.158158, 8.16004, 0.636199
0.159159, 8.15215, 0.637247
0.16016, 8.14424, 0.638274
0.161161, 8.13632, 0.63928
0.162162, 8.12837, 0.640267
0.163163, 8.1204, 0.641234
0.164164, 8.11241, 0.642181
0.165165, 8.10441, 0.643109
0.166166, 8.09638, 0.644018
0.167167, 8.08834, 0.644908
0.168168, 8.08027, 0.645779
0.169169, 8.07219, 0.646631
0.17017, 8.06409, 0.647465
0.171171, 8.05597, 0.64828
0.172172, 8.04783, 0.649078
0.173173, 8.03968, 0.649857
0.174174, 8.03151, 0.650619
0.175175, 8.02332, 0.651363
0.176176, 8.01511, 0.65209
0.177177, 8.00688, 0.652799
0.178178, 7.99864, 0.653492
0.179179, 7.99038, 0.654168
0.18018, 7.98211, 0.654827
0.181181, 7.97382, 0.655469
0.182182, 7.96551, 0.656095
0.183183, 7.95718, 0.656705
0.184184, 7.94884, 0.657299
0.185185, 7.94049, 0.657877
0.186186, 7.93211, 0.658439
0.187187, 7.92373, 0.658986
0.188188, 7.91532, 0.659517
0.189189, 7.9069, 0.660033
0.19019, 7.89847, 0.660534
0.191191, 7.89002, 0.66102
0.192192, 7.88156, 0.661491
0.193193, 7.87308, 0.661948
0.194194, 7.86459, 0.662389
0.195195, 7.85608, 0.662817
0.196196, 7.84756, 0.66323
0.197197, 7.83902, 0.66363
0.198198, 7.83048, 0.664015
0.199199, 7.82191, 0.664386
0.2002, 7.81334, 0.664744
0.201201, 7.80475, 0.665089
0.202202, 7.79614, 0.665419
0.203203, 7.78752, 0.665737
0.204204, 7.77889, 0.666042
0.205205, 7.77025, 0.666333
0.206206, 7.7616, 0.666612
0.207207, 7.75293, 0.666878
0.208208, 7.74425, 0.667131
0.209209, 7.73555, 0.667372
0.21021, 7.72685, 0.6676
0.211211, 7.71813, 0.667816
0.212212, 7.7094, 0.66802
0.213213, 7.70065, 0.668212
0.214214, 7.6919, 0.668392
0.215215, 7.68313, 0.668561
0.216216, 7.67436, 0.668718
0.217217, 7.66557, 0.668863
0.218218, 7.65677, 0.668997
0.219219, 7.64795, 0.669119
0.22022, 7.63913, 0.66923
0.221221, 7.6303, 0.669331
0.222222, 7.62145, 0.66942
0.223223, 7.6126, 0.669498
0.224224, 7.60373, 0.669566
0.225225, 7.59485, 0.669623
0.226226, 7.58596, 0.669669
0.227227, 7.57707, 0.669705
0.228228, 7.56816, 0.669731
0.229229, 7.55924, 0.669747
0.23023, 7.55031, 0.669752
0.231231, 7.54137, 0.669747
0.232232, 7.53242, 0.669733
0.233233, 7.52346, 0.669708
0.234234, 7.51449, 0.669674
0.235235, 7.50551, 0.66963
0.236236, 7.49653, 0.669577
0.237237, 7.48753, 0.669514
0.238238, 7.47852, 0.669442
0.239239, 7.46951, 0.669361
0.24024, 7.46048, 0.66927
0.241241, 7.45145, 0.669171
0.242242, 7.4424, 0.669062
0.243243, 7.43335, 0.668945
0.244244, 7.42429, 0.668819
0.245245, 7.41522, 0.668684
0.246246, 7.40614, 0.66854
0.247247, 7.39706, 0.668388
0.248248, 7.38796, 0.668227
0.249249, 7.37886, 0.668058
0.25025, 7.36975, 0.667881
0.251251, 7.36063, 0.667696
0.252252, 7.3515, 0.667502
0.253253, 7.34236, 0.667301
0.254254, 7.33322, 0.667091
0.255255, 7.32407, 0.666874
0.256256, 7.31491, 0.666648
0.257257, 7.30574, 0.666416
0.258258, 7.29657, 0.666175
0.259259, 7.28738, 0.665927
0.26026, 7.27819, 0.665671
0.261261, 7.26899, 0.665408
0.262262, 7.25979, 0.665137
0.263263, 7.25058, 0.66486
0.264264, 7.24136, 0.664575
0.265265, 7.23213, 0.664283
0.266266, 7.2229, 0.663984
0.267267, 7.21366, 0.663677
0.268268, 7.20441, 0.663364
0.269269, 7.19516, 0.663045
0.27027, 7.18589, 0.662718
0.271271, 7.17663, 0.662384
0.272272, 7.16735, 0.662044
0.273273, 7.15807, 0.661698
0.274274, 7.14878, 0.661345
0.275275, 7.13949, 0.660985
0.276276, 7.13019, 0.660619
0.277277, 7.12088, 0.660247
0.278278, 7.11157, 0.659868
0.279279, 7.10225, 0.659483
0.28028, 7.09292, 0.659093
0.281281, 7.08359, 0.658696
0.282282, 7.07426, 0.658293
0.283283, 7.06491, 0.657884
0.284284, 7.05556, 0.657469
0.285285, 7.04621, 0.657048
0.286286, 7.03685, 0.656622
0.287287, 7.02748, 0.656189
0.288288, 7.01811, 0.655752
0.289289, 7.00873, 0.655308
0.29029, 6.99935, 0.654859
0.291291, 6.98996, 0.654405
0.292292, 6.98056, 0.653945
0.293293, 6.97116, 0.653479
0.294294, 6.96176, 0.653009
0.295295, 6.95235, 0.652533
0.296296, 6.94293, 0.652052
0.297297, 6.93351, 0.651565
0.298298, 6.92408, 0.651074
0.299299, 6.91465, 0.650577
0.3003, 6.90522, 0.650076
0.301301, 6.89578, 0.649569
0.302302, 6.88633, 0.649058
0.303303, 6.87688, 0.648541
0.304304, 6.86742, 0.64802
0.305305, 6.85796, 0.647494
0.306306, 6.8485, 0.646963
0.307307, 6.83903, 0.646428
0.308308, 6.82955, 0.645888
0.309309, 6.82007, 0.645343
0.31031, 6.81059, 0.644794
0.311311, 6.8011, 0.64424
0.312312, 6.79161, 0.643682
0.313313, 6.78211, 0.64312
0.314314, 6.77261, 0.642553
0.315315, 6.76311, 0.641982
0.316316, 6.7536, 0.641406
0.317317, 6.74408, 0.640827
0.318318, 6.73456, 0.640243
0.319319, 6.72504, 0.639655
0.32032, 6.71551, 0.639062
0.321321, 6.70598, 0.638466
0.322322, 6.69645, 0.637866
0.323323, 6.68691, 0.637262
0.324324, 6.67737, 0.636653
0.325325, 6.66782, 0.636041
0.326326, 6.65827, 0.635425
0.327327, 6.64872, 0.634805
0.328328, 6.63916, 0.634182
0.329329, 6.6296, 0.633554
0.33033, 6.62003, 0.632923
0.331331, 6.61046, 0.632288
0.332332, 6.60089, 0.63165
0.333333, 6.59131, 0.631008
0.334334, 6.58173, 0.630362
0.335335, 6.57215, 0.629713
0.336336, 6.56256, 0.62906
0.337337, 6.55297, 0.628404
0.338338, 6.54338, 0.627745
0.339339, 6.53378, 0.627082
0.34034, 6.52418, 0.626415
0.341341, 6.51457, 0.625746
0.342342, 6.50497, 0.625073
0.343343, 6.49535, 0.624396
0.344344, 6.48574, 0.623717
0.345345, 6.47612, 0.623034
0.346346, 6.4665, 0.622348
