x    , v    , u    
    0,     0,     0
0.010101, 0.1803, 0.085976
0.020202, 0.25613, 0.16272
0.030303, 0.32362, 0.23112
0.040404, 0.38358, 0.29198
0.050505, 0.43672, 0.34602
0.060606, 0.48371, 0.3939
0.070707, 0.52513, 0.43621
0.080808, 0.56152, 0.47348
0.090909, 0.59336, 0.5062
0.10101, 0.6211, 0.53481
0.11111, 0.64511, 0.5597
0.12121, 0.66577, 0.58123
0.13131, 0.68339, 0.59972
0.14141, 0.69827, 0.61546
0.15152, 0.71066, 0.62872
0.16162, 0.72082, 0.63973
0.17172, 0.72894, 0.64872
0.18182, 0.73524, 0.65587
0.19192, 0.73987, 0.66136
0.20202, 0.74302, 0.66536
0.21212, 0.7448, 0.668
0.22222, 0.74537, 0.66942
0.23232, 0.74483, 0.66973
0.24242, 0.74329, 0.66904
0.25253, 0.74084, 0.66745
0.26263, 0.73758, 0.66504
0.27273, 0.73358, 0.66189
0.28283, 0.72892, 0.65807
0.29293, 0.72365, 0.65365
0.30303, 0.71784, 0.64868
0.31313, 0.71153, 0.64322
0.32323, 0.70478, 0.63732
0.33333, 0.69762, 0.63101
0.34343, 0.6901, 0.62433
0.35354, 0.68225, 0.61733
0.36364, 0.67411, 0.61003
0.37374, 0.66569, 0.60246
0.38384, 0.65704, 0.59465
0.39394, 0.64816, 0.58662
0.40404, 0.63908, 0.57839
0.41414, 0.62983, 0.56998
0.42424, 0.62041, 0.5614
0.43434, 0.61085, 0.55268
0.44444, 0.60115, 0.54383
0.45455, 0.59133, 0.53486
0.46465, 0.58141, 0.52578
0.47475, 0.57139, 0.5166
0.48485, 0.56128, 0.50733
0.49495, 0.55109, 0.49799
0.50505, 0.54082, 0.48857
0.51515, 0.53049, 0.47908
0.52525, 0.52011, 0.46954
0.53535, 0.50966, 0.45994
0.54545, 0.49917, 0.45029
0.55556, 0.48864, 0.4406
0.56566, 0.47807, 0.43087
0.57576, 0.46746, 0.42111
0.58586, 0.45682, 0.41131
0.59596, 0.44615, 0.40149
0.60606, 0.43546, 0.39163
0.61616, 0.42474, 0.38176
0.62626, 0.41399, 0.37186
0.63636, 0.40323, 0.36194
0.64646, 0.39246, 0.35201
0.65657, 0.38166, 0.34206
0.66667, 0.37085, 0.33209
0.67677, 0.36003, 0.32211
0.68687, 0.3492, 0.31212
0.69697, 0.33835, 0.30212
0.70707, 0.3275, 0.29211
0.71717, 0.31664, 0.28209
0.72727, 0.30577, 0.27207
0.73737, 0.29489, 0.26203
0.74747, 0.28401, 0.25199
0.75758, 0.27312, 0.24195
0.76768, 0.26223, 0.23189
0.77778, 0.25133, 0.22184
0.78788, 0.24042, 0.21178
0.79798, 0.22952, 0.20171
0.80808, 0.2186, 0.19165
0.81818, 0.20769, 0.18158
0.82828, 0.19677, 0.1715
0.83838, 0.18585, 0.16143
0.84848, 0.17493, 0.15135
0.85859, 0.16401, 0.14127
0.86869, 0.15308, 0.13118
0.87879, 0.14216, 0.1211
0.88889, 0.13123, 0.11101
0.89899, 0.1203, 0.10093
0.90909, 0.10936, 0.090838
0.91919, 0.098432, 0.080748
0.92929, 0.087498, 0.070657
0.93939, 0.076563, 0.060565
0.94949, 0.065628, 0.050473
0.9596, 0.054691, 0.04038
0.9697, 0.043754, 0.030286
0.9798, 0.032816, 0.020191
0.9899, 0.021878, 0.010096
    1, 0.010939, 5.8886e-18
