x, v, u
0, 0, 0
0.010101, 4.2017, 0.085976
0.020202, 8.3892, 0.16272
0.030303, 8.3737, 0.23112
0.040404, 8.3506, 0.29198
0.050505, 8.3208, 0.34602
0.060606, 8.2848, 0.3939
0.070707, 8.2432, 0.43621
0.080808, 8.1966, 0.47348
0.090909, 8.1455, 0.5062
0.10101, 8.0902, 0.53481
0.11111, 8.0312, 0.5597
0.12121, 7.9689, 0.58123
0.13131, 7.9035, 0.59972
0.14141, 7.8354, 0.61546
0.15152, 7.7648, 0.62872
0.16162, 7.692, 0.63973
0.17172, 7.6171, 0.64872
0.18182, 7.5404, 0.65587
0.19192, 7.4621, 0.66136
0.20202, 7.3822, 0.66536
0.21212, 7.301, 0.668
0.22222, 7.2186, 0.66942
0.23232, 7.1351, 0.66973
0.24242, 7.0505, 0.66904
0.25253, 6.9651, 0.66745
0.26263, 6.8789, 0.66504
0.27273, 6.7919, 0.66189
0.28283, 6.7042, 0.65807
0.29293, 6.616, 0.65365
0.30303, 6.5271, 0.64868
0.31313, 6.4379, 0.64322
0.32323, 6.3481, 0.63732
0.33333, 6.258, 0.63101
0.34343, 6.1675, 0.62433
0.35354, 6.0766, 0.61733
0.36364, 5.9855, 0.61003
0.37374, 5.8941, 0.60246
0.38384, 5.8024, 0.59465
0.39394, 5.7106, 0.58662
0.40404, 5.6185, 0.57839
0.41414, 5.5262, 0.56998
0.42424, 5.4338, 0.5614
0.43434, 5.3413, 0.55268
0.44444, 5.2486, 0.54383
0.45455, 5.1558, 0.53486
0.46465, 5.0629, 0.52578
0.47475, 4.9699, 0.5166
0.48485, 4.8768, 0.50733
0.49495, 4.7836, 0.49799
0.50505, 4.6903, 0.48857
0.51515, 4.597, 0.47908
0.52525, 4.5036, 0.46954
0.53535, 4.4102, 0.45994
0.54545, 4.3167, 0.45029
0.55556, 4.2232, 0.4406
0.56566, 4.1296, 0.43087
0.57576, 4.036, 0.42111
0.58586, 3.9424, 0.41131
0.59596, 3.8487, 0.40149
0.60606, 3.7551, 0.39163
0.61616, 3.6614, 0.38176
0.62626, 3.5676, 0.37186
0.63636, 3.4739, 0.36194
0.64646, 3.3801, 0.35201
0.65657, 3.2863, 0.34206
0.66667, 3.1925, 0.33209
0.67677, 3.0987, 0.32211
0.68687, 3.0049, 0.31212
0.69697, 2.9111, 0.30212
0.70707, 2.8172, 0.29211
0.71717, 2.7234, 0.28209
0.72727, 2.6295, 0.27207
0.73737, 2.5356, 0.26203
0.74747, 2.4418, 0.25199
0.75758, 2.3479, 0.24195
0.76768, 2.254, 0.23189
0.77778, 2.1601, 0.22184
0.78788, 2.0662, 0.21178
0.79798, 1.9723, 0.20171
0.80808, 1.8784, 0.19165
0.81818, 1.7845, 0.18158
0.82828, 1.6906, 0.1715
0.83838, 1.5967, 0.16143
0.84848, 1.5028, 0.15135
0.85859, 1.4089, 0.14127
0.86869, 1.3149, 0.13118
0.87879, 1.221, 0.1211
0.88889, 1.1271, 0.11101
0.89899, 1.0332, 0.10093
0.90909, 0.93927, 0.090838
0.91919, 0.84534, 0.080748
0.92929, 0.75142, 0.070657
0.93939, 0.65749, 0.060565
0.94949, 0.56357, 0.050473
0.9596, 0.46964, 0.04038
0.9697, 0.37571, 0.030286
0.9798, 0.28179, 0.020191
0.9899, 0.18786, 0.010096
1, 0.093929, 5.8886e-18
