n, rho_max, eig1, eig2, eig3, eig4, eig5
5, 10, 3.49195, 25.7192, 45.1659, 70.1654, 100.724
50, 10, 3.45667, 7.62434, 11.6952, 15.6968, 19.6392
100, 10, 3.22776, 7.32675, 11.3876, 15.4243, 19.4423
150, 10, 3.15144, 7.22058, 11.2665, 15.2986, 19.3205
200, 10, 3.11341, 7.16643, 11.2029, 15.2298, 19.2498
300, 10, 3.07549, 7.11159, 11.1372, 15.157, 19.1728
400, 10, 3.05657, 7.08393, 11.1036, 15.1192, 19.1319


5, 1, 10.1137, 36.4932, 72.4907, 108.493, 134.826
50, 1, 10.1679, 39.7695, 88.9218, 157.467, 245.147
100, 1, 10.1603, 39.7967, 89.0999, 158.05, 246.585
150, 1, 10.1574, 39.8004, 89.1322, 158.16, 246.856
200, 1, 10.1559, 39.8012, 89.1431, 158.198, 246.951
300, 1, 10.1544, 39.8013, 89.1504, 158.224, 247.019
400, 1, 10.1536, 39.8011, 89.1528, 158.234, 247.042


5, 5, 3.21213, 9.06937, 14.0821, 20.3058, 28.1473
50, 5, 3.22549, 7.32364, 11.3842, 15.4252, 19.4964
100, 5, 3.11284, 7.16561, 11.2021, 15.2338, 19.3146
150, 5, 3.07523, 7.11123, 11.1369, 15.1619, 19.2407
200, 5, 3.05643, 7.08373, 11.1036, 15.1244, 19.2013
300, 5, 3.03762, 7.05602, 11.0696, 15.0859, 19.1602
400, 5, 3.02821, 7.04209, 11.0525, 15.0663, 19.1391


5, 100, 277.785, 2500.01, 4444.45, 6944.45, 10000
50, 100, 4.36268, 35.122, 62.0356, 96.6374, 138.929
100, 100, 2.88884, 10.8432, 17.7583, 26.5691, 37.3457
150, 100, 3.72462, 8.17824, 11.8607, 15.765, 20.5159
200, 100, 3.96067, 8.11706, 11.8116, 15.0331, 17.8922
300, 100, 3.76083, 7.96195, 11.943, 15.7436, 19.3721
400, 100, 3.581, 7.77161, 11.8232, 15.7701, 19.6235
