n, rho_max, omega_r, eig1, eig2, eig3, eig4, eig5
5, 10, 0.25, 1.37066, 2.49462, 3.67399, 5.1974, 7.13751
50, 10, 0.25, 1.26943, 2.22857, 3.2038, 4.18726, 5.19078
100, 10, 0.25, 1.25798, 2.20673, 3.17475, 4.15449, 5.15997
150, 10, 0.25, 1.25492, 2.20053, 3.16602, 4.144, 5.14931
200, 10, 0.25, 1.25353, 2.19766, 3.16188, 4.13891, 5.14401
300, 10, 0.25, 1.25225, 2.19495, 3.15792, 4.13397, 5.13878
400, 10, 0.25, 1.25164, 2.19367, 3.15601, 4.13157, 5.1362
400, 10, 1, 4.08621, 7.96089, 11.8888, 15.8406, 19.8056


5, 5, 0.01, 0.731596, 1.90999, 3.43173, 4.8614, 5.81132
50, 5, 0.01, 0.820595, 2.12774, 4.16065, 6.94568, 10.4847
100, 5, 0.01, 0.830264, 2.14938, 4.19718, 7.0048, 10.582
150, 5, 0.01, 0.833663, 2.15716, 4.21009, 7.02423, 10.6108
200, 5, 0.01, 0.835398, 2.16118, 4.21672, 7.03399, 10.6246
300, 5, 0.01, 0.837158, 2.16528, 4.22351, 7.04383, 10.6382
400, 5, 0.01, 0.838048, 2.16737, 4.22696, 7.0488, 10.6449


100, 1, 0.01, 12.1825, 42.4017, 92.0401, 161.217, 249.918
200, 1, 0.01, 12.2178, 42.4808, 92.1879, 161.494, 250.435
400, 1, 0.01, 12.2363, 42.5216, 92.2571, 161.606, 250.619
5, 1, 0.01, 11.4893, 38.5084, 74.8298, 110.59, 136.283


5, 10, 0.01, 0.264821, 0.582758, 0.983138, 1.3504, 1.61305
100, 10, 0.01, 0.307653, 0.672406, 1.20684, 1.92371, 2.82857
200, 10, 0.01, 0.309619, 0.677034, 1.21478, 1.93553, 2.84513
400, 10, 0.01, 0.310621, 0.679419, 1.2189, 1.94162, 2.85345


100, 1, 0.5, 12.2587, 42.484, 92.1241, 161.301, 250.003
200, 1, 0.5, 12.2927, 42.5619, 92.2707, 161.577, 250.519
5, 1, 0.5, 11.6107, 38.6329, 74.9527, 110.712, 136.396
400, 1, 0.5, 12.3107, 42.6021, 92.3392, 161.689, 250.702
400, 10, 1, 4.08621, 7.96089, 11.8888, 15.8406, 19.8056
400, 10, 5, 17.9323, 37.8442, 57.8296, 77.8307, 97.8295
