integration points , lambda , error
20 , 1 , 0.0313459
20 , 2 , 0.0157005
20 , 3 , 0.0366263
20 , 4 , 0.0652528
20 , 5 , 0.0959769
20 , 6 , 0.124165
20 , 7 , 0.147104
20 , 8 , 0.164053
20 , 9 , 0.175608
20 , 10 , 0.182966
42 , 2 , 0.00376086
25 , 2 , 0.192766
15 , 5 , 0.192766
15 , 15 , 0.192766
15 , 3 , 0.192766
15 , 10 , 0.192766
15 , 2 , 0.192766
15 , 2 , 0.192766
15 , 2 , 0.192766
15 , 2 , 0.192766
15 , 2 , 0.192766
15 , 2 , 0.192766
15 , 5 , 0.192766
15 , 5 , 0.192766
15 , 5 , 0.123097
15 , 2 , 0.00670907
15 , 2 , 0.00670907
15 , 2 , 0.00670907
15 , 2 , 0.00670907
15 , 2 , 0.00670907
15 , 2 , 0.00670907
15 , 2 , 0.00670907
15 , 2 , 0.00670907
15 , 2 , 0.00670907
15 , 2 , 0.00670907
15 , 2 , 0.00670907
15 , 2 , 0.00670907
10 , 3 , 0.120786
10 , 3 , 0.120786
5 , 3 , 0.0714833
5 , 3 , 0.0714833
5 , 3 , 0.0714833
10 , 2 , 0.0629315
10 , 2 , 0.0629315
10 , 2 , 0.0629315
10 , 2 , 0.0629315
10 , 2 , 0.0629315
10 , 2 , 0.0629315
10 , 2 , 0.0629315
10 , 2 , 0.0629315
3 , 2 , 0.14135
2 , 2 , 0.192624
2 , 2 , 0.192624
2 , 2 , 0.192624
2 , 2 , 0.192624
5 , 2 , 0.161836
5 , 2 , 0.161836
5 , 2 , 0.161836
5 , 2 , 0.161836
5 , 2 , 0.161836
6 , 2 , 0.133343
7 , 2 , 0.108357
8 , 2 , 0.0915694
9 , 2 , 0.0613193
10 , 2 , 0.0629315
11 , 2 , 0.0322427
12 , 2 , 0.0445868
1 , 2 , 0.192766
2 , 2 , 0.192624
3 , 2 , 0.14135
4 , 2 , 0.177558
5 , 2 , 0.161836
6 , 2 , 0.133343
5 , 2 , 0.161836
10 , 2 , 0.0629315
10 , 2 , 0.0629315
10 , 2 , 0.0629315
5 , 2 , 0.161836
6 , 2 , 0.133343
6 , 2 , 0.133343
5 , 2 , 0.161836
5 , 2 , 0.161836
6 , 2 , 0.133343
10 , 2 , 0.0629315
10 , 2 , 0.0629315
10 , 2 , 0.0629315
10 , 2 , 0.0629315
10 , 2 , 0.0629315
5 , 2 , 0.161836
13 , 2 , 0.0158036
12 , 2 , 0.0445868
12 , 2 , 0.0445868
10 , 2 , 0.0629315
4 , 2 , 0.177558
3 , 2 , 0.14135
2 , 2 , 0.192624
5 , 2 , 0.161836
7 , 2 , 0.108357
2 , 2 , 0.192624
10 , 2 , 0.0629315
15 , 2 , 0.00670907
12 , 2 , 0.0445868
11 , 2 , 0.0322427
9 , 2 , 0.0613193
8 , 2 , 0.0915694
7 , 2 , 0.108357
6 , 2 , 0.133343
11 , 3 , 0.0984949
5 , 3 , 0.0714833
5 , 3 , 0.0714833
8 , 3 , 0.152127
12 , 3 , 0.0937337
