integration points , lambda , error_legendre , error_laguerre , time_span_gauss_legendre , time_span_gauss_laguerre
5 , 2 , 0.161836 , 0.0437248 , 0.00082727 , 0.0022169
10 , 2 , 0.0629315 , 0.0115411 , 0.0520311 , 0.150486
15 , 2 , 0.00670907 , 0.000476827 , 0.609131 , 1.69456
20 , 2 , 0.0157005 , 0.00167232 , 3.35013 , 9.3416
25 , 2 , 0.00365618 , 0.00181852 , 12.8663 , 35.5266
30 , 2 , 0.00697009 , 0.00186703 , 38.0615 , 105.708
35 , 2 , 0.00337855 , 0.00186074 , 95.5971 , 264.104
40 , 2 , 0.00409558 , 0.00181934 , 214.105 , 608.182
45 , 2 , 0.00263748 , 0.00176034 , 433.725 , 1191.8
50 , 2 , 0.00281127 , 0.00169433 , 831.449 , 2314.1
