integration points , lambda , error_BMC , error_SMC , error_PSMC , time_span_BMC , time_span_SMC , time_span_PSMC
50 , 2 , 0.141637 , 0.0175234 , 0.0161231 , 0.000120613 , 8.6306e-05 , 0.000311
100 , 2 , 0.161161 , 0.0499258 , 0.0635567 , 0.000147016 , 0.000118623 , 0.000554
1000 , 2 , 0.128435 , 0.0177529 , 0.0359844 , 0.000671047 , 0.000706737 , 0.000829
5000 , 2 , 0.196358 , 0.00477542 , 0.0142684 , 0.00293025 , 0.00330929 , 0.002516
10000 , 2 , 0.0153003 , 0.00240631 , 0.0163975 , 0.0058606 , 0.00661584 , 0.005115
50000 , 2 , 0.0226056 , 0.00233424 , 0.00858889 , 0.0298236 , 0.0325146 , 0.021977
100000 , 2 , 0.0228665 , 0.00147142 , 0.00316283 , 0.0573668 , 0.0676608 , 0.047182
500000 , 2 , 0.00453558 , 0.00220915 , 0.00167282 , 0.290088 , 0.335726 , 0.19864
1000000 , 2 , 0.00905073 , 0.000784952 , 0.000821414 , 0.575345 , 0.656903 , 0.35552
5000000 , 2 , 0.00542092 , 0.000980621 , 0.000484954 , 2.90567 , 3.32035 , 1.75545
10000000 , 2 , 0.00446496 , 0.000116861 , 0.000101278 , 5.76779 , 6.56184 , 3.44374
50000000 , 2 , 0.000288381 , 0.000102313 , 9.73345e-05 , 29.1491 , 33.164 , 16.6203
100000000 , 2 , 0.000512789 , 1.64383e-05 , 4.7136e-05 , 58.7317 , 65.8491 , 33.0507
500000000 , 2 , 0.000708694 , 3.49251e-05 , 5.55351e-05 , 367.104 , 417.575 , 201.951
1000000000 , 2 , 0.000851345 , 1.91633e-05 , 5.60182e-05 , 748.111 , 852.847 , 415.47
