integration_points , lambda , variance_BMC , variance_SMC , variance_PSMC , time_span_BMC , time_span_BMC , time_span_PSMC
50 , 2 , 0.000248403 , 0.00345488 , 0.0044646 , 0.000139363 , 9.1759e-05 , 0.000351
100 , 2 , 9.01606e-05 , 0.00447234 , 0.0185018 , 0.00014575 , 0.000135949 , 0.00042
500 , 2 , 0.00119803 , 0.0535807 , 0.0310419 , 0.000407074 , 0.000392805 , 0.000557
1000 , 2 , 0.00013997 , 0.0229699 , 0.0546966 , 0.000666856 , 0.000705395 , 0.000857
5000 , 2 , 0.00188153 , 0.0426858 , 0.0713856 , 0.00294766 , 0.00331736 , 0.002578
10000 , 2 , 0.00132643 , 0.0351186 , 0.166407 , 0.0058026 , 0.00657504 , 0.005177
50000 , 2 , 0.00865417 , 0.032159 , 0.199188 , 0.0287769 , 0.0327381 , 0.022525
100000 , 2 , 0.00705136 , 0.0676334 , 0.0812891 , 0.0575105 , 0.0664796 , 0.054541
500000 , 2 , 0.0221349 , 0.045576 , 0.0747487 , 0.286879 , 0.329283 , 0.188771
1000000 , 2 , 0.0178945 , 0.043292 , 0.0892959 , 0.57836 , 0.654516 , 0.351064
5000000 , 2 , 0.029102 , 0.0405528 , 0.0845503 , 2.88509 , 3.29672 , 1.76559
10000000 , 2 , 0.0170442 , 0.0444957 , 0.0890681 , 5.74048 , 6.56351 , 3.37286
50000000 , 2 , 0.0252858 , 0.0435722 , 0.0833476 , 30.8503 , 45.9528 , 22.3424
100000000 , 2 , 0.0217979 , 0.0430413 , 0.0896773 , 63.2464 , 74.3987 , 34.7329
500000000 , 2 , 0.0224593 , 0.0435784 , 0.0883443 , 436.234 , 444.228 , 205.594
