Energy , partitionfunction
-4 , 10000
-4 , 10000
-4 , 10000
-4 , 10000
-4 , 10000
-4 , 10000
-4 , 10000
0 , inf
4 , 10000
-4 , 10000
0 , inf
0 , inf
0 , inf
4 , inf
0 , inf
0 , inf
4 , 10000
0 , inf
4 , 10000
4 , inf
0 , inf
-10 , inf
4 , 10000
0 , inf
-4 , 10000
4 , 10000
4 , 10000
-4 , 10000
-4 , inf
10 , inf
4 , 10000
4 , 10000
4 , 10000
0 , inf
4 , 10000
-6 , inf
-4 , inf
4 , 10000
8 , inf
-4 , 10000
4 , 10000
0 , inf
0 , inf
4 , 10000
8 , inf
0 , inf
0 , inf
8 , inf
4 , 10000
-4 , 10000
0 , inf
4 , 10000
0 , inf
4 , 10000
4 , 10000
4 , 10000
0 , inf
4 , 10000
4 , 10000
0 , inf
4 , inf
0 , inf
4 , 10000
0 , inf
4 , 10000
8 , inf
4 , 10000
0 , inf
4 , inf
0 , inf
0 , inf
4 , 10000
4 , 10000
4 , inf
-4 , 10000
-2 , 10000
-8 , inf
0 , inf
4 , 10000
0 , inf
-4 , 10000
-4 , 10000
0 , inf
6 , inf
4 , 10000
0 , inf
4 , 10000
4 , inf
4 , inf
-4 , 10000
-4 , 10000
-8 , inf
4 , 10000
-4 , 10000
0 , inf
0 , inf
0 , inf
4 , 10000
0 , inf
