final_temp , Eaverage/L/L , Evariance/final_temp/final_temp , Mabsvariance/final_temp , Mabsvariance/L/L1
1, -0.0017, 0.576844, 0.00337324, 0.00013
1, -0.00384, 1.48802, 0.00727084, 0.00027
1, -0.00638, 2.76796, 0.0217634, 0.00054
1, -0.00912, 4.25249, 0.035144, 0.0008
1, -0.01208, 5.97971, 0.0446638, 0.00102
1, -0.0151, 7.77096, 0.050984, 0.0012
1, -0.01818, 9.62724, 0.051265, 0.00124
1, -0.02124, 11.4517, 0.0515446, 0.00128
1, -0.0243, 13.2687, 0.0519924, 0.00133
1, -0.02742, 15.151, 0.0552274, 0.00146
1, -0.03062, 17.1247, 0.062211, 0.00165
1, -0.03382, 19.0902, 0.0715812, 0.00187
1, -0.03702, 21.0476, 0.0809128, 0.00209
1, -0.04026, 23.0469, 0.103418, 0.00243
1, -0.04356, 25.1143, 0.121997, 0.00274
1, -0.04688, 27.1987, 0.154651, 0.00315
1, -0.05022, 29.3001, 0.17822, 0.0035
1, -0.05354, 31.3667, 0.199032, 0.00383
1, -0.0569, 33.4762, 0.216077, 0.00413
1, -0.06024, 35.5509, 0.230801, 0.00441
1, -0.06368, 37.7471, 0.241451, 0.00465
1, -0.06714, 39.9603, 0.252996, 0.0049
1, -0.07054, 42.0851, 0.257479, 0.00506
1, -0.07392, 44.1747, 0.263915, 0.00525
1, -0.07736, 46.3332, 0.271059, 0.00545
1, -0.08082, 48.5086, 0.28151, 0.00569
1, -0.08432, 50.7274, 0.298108, 0.00599
1, -0.08774, 52.8313, 0.314634, 0.00629
1, -0.0912, 54.978, 0.335997, 0.00663
1, -0.09468, 57.1413, 0.362804, 0.00701
1, -0.09818, 59.3213, 0.389495, 0.00739
1, -0.10166, 61.4652, 0.430808, 0.00786
1, -0.10514, 63.5994, 0.463377, 0.00828
1, -0.10866, 65.7765, 0.494214, 0.00869
1, -0.11218, 67.9436, 0.526503, 0.00911
1, -0.1157, 70.1008, 0.561939, 0.00955
1, -0.1191, 72.0935, 0.59722, 0.00999
1, -0.12258, 74.1792, 0.630689, 0.01042
1, -0.12608, 76.2811, 0.647287, 0.01073
1, -0.12958, 78.3731, 0.670065, 0.01109
1, -0.13308, 80.4554, 0.692739, 0.01145
1, -0.13656, 82.5021, 0.706869, 0.01174
1, -0.14004, 84.5392, 0.723139, 0.01205
1, -0.14354, 86.5922, 0.741694, 0.01238
1, -0.14704, 88.6354, 0.758964, 0.0127
1, -0.15056, 90.6944, 0.777348, 0.01303
1, -0.15406, 92.718, 0.795644, 0.01336
1, -0.15752, 94.6811, 0.815084, 0.0137
1, -0.161, 96.6598, 0.830868, 0.01401
1, -0.16442, 98.5539, 0.84547, 0.01431
1, -0.16784, 100.439, 0.855986, 0.01457
1, -0.17132, 102.389, 0.864686, 0.01481
1, -0.17478, 104.304, 0.872519, 0.01504
1, -0.17824, 106.21, 0.892759, 0.01539
1, -0.18174, 108.156, 0.914195, 0.01575
1, -0.18526, 110.117, 0.936858, 0.01612
1, -0.18872, 111.994, 0.959412, 0.01649
1, -0.19222, 113.91, 0.97563, 0.01681
1, -0.19576, 115.867, 0.988516, 0.0171
1, -0.19932, 117.839, 1.01078, 0.01747
1, -0.20286, 119.776, 1.03293, 0.01784
1, -0.20634, 121.629, 1.05633, 0.01822
1, -0.20984, 123.496, 1.07445, 0.01856
1, -0.21338, 125.403, 1.09248, 0.0189
1, -0.21692, 127.3, 1.11421, 0.01927
1, -0.22044, 129.162, 1.14144, 0.01968
1, -0.22398, 131.04, 1.17158, 0.02011
1, -0.22752, 132.906, 1.20156, 0.02054
1, -0.23106, 134.763, 1.24699, 0.02106
1, -0.2346, 136.61, 1.28847, 0.02156
1, -0.23812, 138.423, 1.3414, 0.02212
1, -0.24166, 140.25, 1.39005, 0.02266
1, -0.2452, 142.067, 1.44249, 0.02322
1, -0.24872, 143.849, 1.49066, 0.02376
1, -0.25228, 145.671, 1.53666, 0.02429
1, -0.25584, 147.482, 1.57866, 0.0248
1, -0.25938, 149.259, 1.61177, 0.02526
1, -0.26292, 151.025, 1.65157, 0.02576
1, -0.26642, 152.734, 1.69671, 0.02629
1, -0.26992, 154.433, 1.74356, 0.02683
1, -0.27344, 156.146, 1.78637, 0.02735
1, -0.27698, 157.873, 1.83084, 0.02788
1, -0.28048, 159.543, 1.86784, 0.02837
1, -0.28394, 161.156, 1.91573, 0.02892
1, -0.28742, 162.783, 1.98503, 0.02957
1, -0.29092, 164.423, 2.03239, 0.03012
1, -0.29444, 166.077, 2.0815, 0.03068
1, -0.29794, 167.698, 2.1227, 0.0312
1, -0.30144, 169.309, 2.16554, 0.03173
1, -0.30494, 170.91, 2.20816, 0.03226
1, -0.30844, 172.501, 2.24343, 0.03275
1, -0.31194, 174.082, 2.26625, 0.03316
1, -0.31544, 175.654, 2.29174, 0.03359
1, -0.31894, 177.216, 2.31567, 0.03401
1, -0.32242, 178.745, 2.33672, 0.03441
1, -0.32594, 180.31, 2.36475, 0.03486
1, -0.32946, 181.866, 2.39262, 0.03531
1, -0.33296, 183.388, 2.41738, 0.03574
1, -0.33648, 184.924, 2.44344, 0.03618
1, -0.33996, 186.404, 2.4665, 0.0366
1, -0.34342, 187.853, 2.49226, 0.03704
1, -0.3469, 189.314, 2.50746, 0.0374
1, -0.35038, 190.765, 2.53593, 0.03786
1, -0.35386, 192.207, 2.56423, 0.03832
1, -0.35734, 193.639, 2.58938, 0.03876
1, -0.36086, 195.106, 2.61438, 0.0392
1, -0.36438, 196.563, 2.6268, 0.03954
1, -0.3679, 198.01, 2.64018, 0.03989
1, -0.37142, 199.447, 2.65346, 0.04024
1, -0.37494, 200.874, 2.66887, 0.04061
1, -0.37846, 202.292, 2.68781, 0.04101
1, -0.38198, 203.699, 2.70662, 0.04141
1, -0.38548, 205.075, 2.71844, 0.04175
1, -0.38896, 206.419, 2.7334, 0.04212
1, -0.39244, 207.753, 2.74826, 0.04249
1, -0.39596, 209.121, 2.75782, 0.04281
1, -0.39946, 210.458, 2.77248, 0.04318
1, -0.40298, 211.806, 2.78591, 0.04354
1, -0.4065, 213.144, 2.79429, 0.04385
1, -0.41004, 214.494, 2.8035, 0.04417
1, -0.41356, 215.813, 2.81173, 0.04448
1, -0.41706, 217.1, 2.82078, 0.0448
1, -0.42056, 218.377, 2.82975, 0.04512
1, -0.42404, 219.624, 2.83775, 0.04543
1, -0.42754, 220.881, 2.84322, 0.04571
1, -0.43104, 222.129, 2.8479, 0.04598
1, -0.43456, 223.389, 2.84946, 0.0462
1, -0.43808, 224.638, 2.85152, 0.04643
1, -0.44154, 225.815, 2.85834, 0.04673
1, -0.44502, 227.003, 2.86971, 0.04708
1, -0.4485, 228.181, 2.87341, 0.04734
1, -0.45198, 229.35, 2.87642, 0.04759
1, -0.45548, 230.529, 2.87937, 0.04784
1, -0.459, 231.72, 2.88061, 0.04806
1, -0.46254, 232.921, 2.88348, 0.04831
1, -0.46604, 234.071, 2.88629, 0.04856
1, -0.46958, 235.253, 2.88846, 0.0488
1, -0.4731, 236.404, 2.88864, 0.049
1, -0.47662, 237.544, 2.88748, 0.04916
