T , <E> , Cv , X , <|M|>
2 , 2.7299075e-05 , -7.452395e-08 , 4.7684437 , 0.604674
2.005 , 2.7028119e-05 , -7.2688026e-08 , 0.76575248 , 0.8063165
2.01 , 2.676118e-05 , -7.0905249e-08 , 5.7149999 , 0.6358355
2.015 , 2.6498182e-05 , -6.9173868e-08 , 2.3150595 , 0.6707385
2.02 , 2.6239053e-05 , -6.7492195e-08 , 6.0820096 , 0.5186605
2.025 , 2.5983718e-05 , -6.5858604e-08 , 7.2651578 , 0.5256335
2.03 , 2.5732107e-05 , -6.4271527e-08 , 7.850799 , 0.5049515
2.035 , 2.5484152e-05 , -6.2729456e-08 , 8.3754967 , 0.4232555
2.04 , 2.5239783e-05 , -6.1230936e-08 , 5.6538947 , 0.573326
2.045 , 2.4998936e-05 , -5.9774563e-08 , 1.5893146 , 0.733261
2.05 , 2.4761545e-05 , -5.8358987e-08 , 8.4625575 , 0.4618975
2.055 , 2.4527547e-05 , -5.6982904e-08 , 4.8287848 , 0.654578
2.06 , 2.429688e-05 , -5.5645056e-08 , 5.5273907 , 0.5418975
2.065 , 2.4069484e-05 , -5.4344232e-08 , 5.1583647 , 0.626737
2.07 , 2.38453e-05 , -5.3079261e-08 , 6.9901467 , 0.4451525
2.075 , 2.3624268e-05 , -5.1849017e-08 , 6.1086213 , 0.563835
2.08 , 2.3406334e-05 , -5.065241e-08 , 5.2923286 , 0.619838
2.085 , 2.3191441e-05 , -4.9488391e-08 , 2.1280182 , 0.7074975
2.09 , 2.2979535e-05 , -4.8355945e-08 , 6.8197964 , 0.5030465
2.095 , 2.2770562e-05 , -4.7254094e-08 , 5.2384723 , 0.560258
2.1 , 2.2564472e-05 , -4.6181895e-08 , 6.8179289 , 0.4899755
2.105 , 2.2361213e-05 , -4.5138435e-08 , 5.3432328 , 0.65075
2.11 , 2.2160735e-05 , -4.4122833e-08 , 7.1992714 , 0.453046
2.115 , 2.1962989e-05 , -4.313424e-08 , 7.3307871 , 0.482635
2.12 , 2.1767929e-05 , -4.2171833e-08 , 4.1333695 , 0.619852
2.125 , 2.1575506e-05 , -4.1234821e-08 , 6.3048607 , 0.4039925
2.13 , 2.1385676e-05 , -4.0322436e-08 , 5.889299 , 0.6068575
2.135 , 2.1198394e-05 , -3.9433938e-08 , 6.3520122 , 0.390245
2.14 , 2.1013615e-05 , -3.8568611e-08 , 2.7692204 , 0.681192
2.145 , 2.0831298e-05 , -3.7725764e-08 , 6.8733354 , 0.4318115
2.15 , 2.0651399e-05 , -3.6904729e-08 , 6.0494414 , 0.556689
2.155 , 2.0473877e-05 , -3.6104858e-08 , 6.6376484 , 0.5600815
2.16 , 2.0298693e-05 , -3.5325528e-08 , 7.0464457 , 0.3769405
2.165 , 2.0125807e-05 , -3.4566134e-08 , 8.0888777 , 0.3953635
2.17 , 1.995518e-05 , -3.3826092e-08 , 6.7834982 , 0.3780025
2.175 , 1.9786774e-05 , -3.3104837e-08 , 6.179899 , 0.5941475
2.18 , 1.9620552e-05 , -3.2401823e-08 , 8.0138806 , 0.366089
2.185 , 1.9456478e-05 , -3.1716521e-08 , 5.3098132 , 0.639111
2.19 , 1.9294515e-05 , -3.1048419e-08 , 5.5497453 , 0.5329575
2.195 , 1.9134629e-05 , -3.0397023e-08 , 6.8102911 , 0.4628125
2.2 , 1.8976786e-05 , -2.9761853e-08 , 6.4609376 , 0.3577885
2.205 , 1.8820952e-05 , -2.9142445e-08 , 5.4206054 , 0.5425885
2.21 , 1.8667095e-05 , -2.8538352e-08 , 6.4836249 , 0.338639
2.215 , 1.8515181e-05 , -2.7949139e-08 , 6.2470482 , 0.4633635
2.22 , 1.8365179e-05 , -2.7374385e-08 , 7.0565648 , 0.449206
2.225 , 1.8217059e-05 , -2.6813683e-08 , 6.1153218 , 0.5400155
2.23 , 1.8070789e-05 , -2.6266638e-08 , 6.947697 , 0.4572015
2.235 , 1.792634e-05 , -2.5732869e-08 , 5.5250716 , 0.3203605
2.24 , 1.7783684e-05 , -2.5212006e-08 , 6.3854367 , 0.3484485
2.245 , 1.764279e-05 , -2.470369e-08 , 5.6196351 , 0.3155615
2.25 , 1.7503632e-05 , -2.4207575e-08 , 6.9879401 , 0.4029495
2.255 , 1.736618e-05 , -2.3723323e-08 , 5.7611476 , 0.2959865
2.26 , 1.723041e-05 , -2.3250608e-08 , 5.867273 , 0.3117875
2.265 , 1.7096293e-05 , -2.2789116e-08 , 6.1218849 , 0.382716
2.27 , 1.6963804e-05 , -2.2338539e-08 , 6.2276166 , 0.3839885
2.275 , 1.6832917e-05 , -2.1898581e-08 , 7.0347653 , 0.3924535
2.28 , 1.6703608e-05 , -2.1468954e-08 , 7.508062 , 0.4027375
2.285 , 1.6575852e-05 , -2.1049379e-08 , 6.830213 , 0.3665085
2.29 , 1.6449624e-05 , -2.0639585e-08 , 7.2778002 , 0.422721
2.295 , 1.6324901e-05 , -2.0239311e-08 , 5.1486305 , 0.2892685
2.3 , 1.620166e-05 , -1.9848301e-08 , 7.7583453 , 0.3946235
