T , <E> , Cv , X , <|M|>
1 , -0.002 , 0.015984 , 0.003996 , 0.001
1 , -0.004 , 0.031936 , 0.007984 , 0.002
1 , -0.006 , 0.047856 , 0.011964 , 0.003
1 , -0.008 , 0.063744 , 0.015936 , 0.004
1 , -0.01 , 0.0796 , 0.0199 , 0.005
1 , -0.012 , 0.095424 , 0.023856 , 0.006
1 , -0.014 , 0.111216 , 0.027804 , 0.007
1 , -0.016 , 0.126976 , 0.031744 , 0.008
1 , -0.018 , 0.142704 , 0.035676 , 0.009
1 , -0.02 , 0.1584 , 0.0396 , 0.01
1 , -0.022 , 0.174064 , 0.043516 , 0.011
1 , -0.024 , 0.189696 , 0.047424 , 0.012
1 , -0.026 , 0.205296 , 0.051324 , 0.013
1 , -0.028 , 0.220864 , 0.055216 , 0.014
1 , -0.03 , 0.2364 , 0.0591 , 0.015
1 , -0.032 , 0.251904 , 0.062976 , 0.016
1 , -0.034 , 0.267376 , 0.066844 , 0.017
1 , -0.036 , 0.282816 , 0.070704 , 0.018
1 , -0.038 , 0.298224 , 0.074556 , 0.019
1 , -0.04 , 0.3136 , 0.0784 , 0.02
1 , -0.042 , 0.328944 , 0.082236 , 0.021
1 , -0.044 , 0.344256 , 0.086064 , 0.022
1 , -0.046 , 0.359536 , 0.089884 , 0.023
1 , -0.048 , 0.374784 , 0.093696 , 0.024
1 , -0.05 , 0.39 , 0.0975 , 0.025
1 , -0.052 , 0.405184 , 0.101296 , 0.026
1 , -0.054 , 0.420336 , 0.105084 , 0.027
1 , -0.056 , 0.435456 , 0.108864 , 0.028
1 , -0.058 , 0.450544 , 0.112636 , 0.029
1 , -0.06 , 0.4656 , 0.1164 , 0.03
1 , -0.062 , 0.480624 , 0.120156 , 0.031
1 , -0.064 , 0.495616 , 0.123904 , 0.032
1 , -0.066 , 0.510576 , 0.127644 , 0.033
1 , -0.068 , 0.525504 , 0.131376 , 0.034
1 , -0.07 , 0.5404 , 0.1351 , 0.035
1 , -0.072 , 0.555264 , 0.138816 , 0.036
1 , -0.074 , 0.570096 , 0.142524 , 0.037
1 , -0.076 , 0.584896 , 0.146224 , 0.038
1 , -0.078 , 0.599664 , 0.149916 , 0.039
1 , -0.08 , 0.6144 , 0.1536 , 0.04
1 , -0.082 , 0.629104 , 0.157276 , 0.041
1 , -0.084 , 0.643776 , 0.160944 , 0.042
1 , -0.086 , 0.658416 , 0.164604 , 0.043
1 , -0.088 , 0.673024 , 0.168256 , 0.044
1 , -0.09 , 0.6876 , 0.1719 , 0.045
1 , -0.092 , 0.702144 , 0.175536 , 0.046
1 , -0.094 , 0.716656 , 0.179164 , 0.047
1 , -0.096 , 0.731136 , 0.182784 , 0.048
1 , -0.098 , 0.745584 , 0.186396 , 0.049
1 , -0.1 , 0.76 , 0.19 , 0.05
1 , -0.102 , 0.774384 , 0.193596 , 0.051
1 , -0.104 , 0.788736 , 0.197184 , 0.052
1 , -0.106 , 0.803056 , 0.200764 , 0.053
1 , -0.108 , 0.817344 , 0.204336 , 0.054
1 , -0.11 , 0.8316 , 0.2079 , 0.055
1 , -0.112 , 0.845824 , 0.211456 , 0.056
1 , -0.114 , 0.860016 , 0.215004 , 0.057
1 , -0.116 , 0.874176 , 0.218544 , 0.058
1 , -0.118 , 0.888304 , 0.222076 , 0.059
1 , -0.12 , 0.9024 , 0.2256 , 0.06
1 , -0.122 , 0.916464 , 0.229116 , 0.061
1 , -0.124 , 0.930496 , 0.232624 , 0.062
1 , -0.126 , 0.944496 , 0.236124 , 0.063
1 , -0.128 , 0.958464 , 0.239616 , 0.064
1 , -0.13 , 0.9724 , 0.2431 , 0.065
1 , -0.132 , 0.986304 , 0.246576 , 0.066
1 , -0.134 , 1.000176 , 0.250044 , 0.067
1 , -0.136 , 1.014016 , 0.253504 , 0.068
1 , -0.138 , 1.027824 , 0.256956 , 0.069
1 , -0.14 , 1.0416 , 0.2604 , 0.07
1 , -0.142 , 1.055344 , 0.263836 , 0.071
1 , -0.144 , 1.069056 , 0.267264 , 0.072
1 , -0.146 , 1.082736 , 0.270684 , 0.073
1 , -0.148 , 1.096384 , 0.274096 , 0.074
1 , -0.15 , 1.11 , 0.2775 , 0.075
1 , -0.152 , 1.123584 , 0.280896 , 0.076
1 , -0.154 , 1.137136 , 0.284284 , 0.077
1 , -0.156 , 1.150656 , 0.287664 , 0.078
1 , -0.158 , 1.164144 , 0.291036 , 0.079
1 , -0.16 , 1.1776 , 0.2944 , 0.08
1 , -0.162 , 1.191024 , 0.297756 , 0.081
1 , -0.164 , 1.204416 , 0.301104 , 0.082
1 , -0.166 , 1.217776 , 0.304444 , 0.083
