T , <E> , Cv , X , <|M|>
2 , -1.7456747 , 0.72974159 , 0.40772735 , 0.91134609
2.005 , -1.7418508 , 0.73882227 , 0.46676894 , 0.90950949
2.01 , -1.7381799 , 0.75094286 , 0.4495204 , 0.90785204
2.015 , -1.7346204 , 0.75905688 , 0.49235774 , 0.90621309
2.02 , -1.730697 , 0.77260347 , 0.60149421 , 0.90419534
2.025 , -1.7265952 , 0.78330401 , 0.50384563 , 0.90237325
2.03 , -1.7229097 , 0.7883784 , 0.53987436 , 0.90063808
2.035 , -1.7188053 , 0.80817026 , 0.73128329 , 0.89824016
2.04 , -1.7148286 , 0.81283892 , 0.57140554 , 0.89670555
2.045 , -1.7105175 , 0.83661936 , 0.9937588 , 0.89393377
2.05 , -1.7066421 , 0.83317167 , 0.60574442 , 0.89267491
2.055 , -1.7025194 , 0.8459511 , 0.63083638 , 0.89058094
2.06 , -1.6986473 , 0.85194233 , 0.62601763 , 0.88873141
2.065 , -1.6938346 , 0.87651654 , 0.74910834 , 0.88583588
2.07 , -1.6898844 , 0.88931787 , 0.86425094 , 0.88393446
2.075 , -1.6852466 , 0.89736176 , 0.85509879 , 0.8813775
2.08 , -1.6804619 , 0.91802177 , 0.89384852 , 0.87878442
2.085 , -1.676253 , 0.92636813 , 1.0709069 , 0.87640856
2.09 , -1.6714215 , 0.93668919 , 0.87895762 , 0.87406818
2.095 , -1.6666823 , 0.95821308 , 1.0848359 , 0.87094956
2.1 , -1.662058 , 0.96709836 , 1.0674247 , 0.86857966
2.105 , -1.657269 , 0.98159214 , 1.0212736 , 0.86605361
2.11 , -1.6525532 , 0.99572341 , 1.1219285 , 0.86313847
2.115 , -1.6466744 , 1.0154379 , 1.1548304 , 0.85944232
2.12 , -1.6418627 , 1.0393561 , 1.3241167 , 0.85641133
2.125 , -1.6368473 , 1.0474431 , 1.3024678 , 0.853547
2.13 , -1.63157 , 1.0719945 , 1.4788414 , 0.85015482
2.135 , -1.6262891 , 1.0853614 , 1.6718987 , 0.84657248
2.14 , -1.6211664 , 1.1058897 , 1.6281979 , 0.8434675
2.145 , -1.6151385 , 1.1297737 , 1.7061435 , 0.83923911
2.15 , -1.6090766 , 1.1645985 , 2.0915314 , 0.83428933
2.155 , -1.6039906 , 1.1687647 , 1.9900983 , 0.83179791
2.16 , -1.5985658 , 1.1796473 , 2.0937164 , 0.8282412
2.165 , -1.5922154 , 1.2175572 , 2.3409685 , 0.8231351
2.17 , -1.5861222 , 1.2318323 , 2.5968414 , 0.81852995
2.175 , -1.5793559 , 1.2668995 , 2.8940764 , 0.81297275
2.18 , -1.5726271 , 1.3145507 , 3.6141547 , 0.80679548
2.185 , -1.5666819 , 1.3263221 , 3.714292 , 0.8021768
2.19 , -1.5605698 , 1.3455936 , 3.7747813 , 0.79769003
2.195 , -1.5531576 , 1.3851469 , 4.1304937 , 0.79087861
2.2 , -1.5471416 , 1.4011544 , 4.4177225 , 0.78627618
2.205 , -1.5382774 , 1.4750179 , 5.5949695 , 0.77587593
2.21 , -1.5325581 , 1.469664 , 5.5107863 , 0.77200544
2.215 , -1.5250302 , 1.499911 , 6.2270437 , 0.7645605
2.22 , -1.5161481 , 1.5887715 , 7.6624108 , 0.75291898
2.225 , -1.5099657 , 1.5870228 , 7.89993 , 0.74816057
2.23 , -1.5016317 , 1.6125252 , 8.1943689 , 0.73933112
2.235 , -1.4928866 , 1.6694303 , 9.5320146 , 0.72858617
2.24 , -1.4826979 , 1.7645258 , 12.356391 , 0.7118228
2.245 , -1.4757486 , 1.7608351 , 12.12641 , 0.70565788
2.25 , -1.4667549 , 1.8112723 , 14.229274 , 0.6924593
2.255 , -1.4580408 , 1.8416213 , 15.260767 , 0.68130307
2.26 , -1.4467566 , 1.9008459 , 17.489459 , 0.66276732
2.265 , -1.4379006 , 1.948808 , 19.749999 , 0.64823042
2.27 , -1.4270524 , 2.022181 , 23.03228 , 0.62807758
2.275 , -1.4183129 , 1.991424 , 22.56227 , 0.61728953
2.28 , -1.4089821 , 1.970537 , 22.689133 , 0.60448812
2.285 , -1.4009575 , 1.987381 , 23.937057 , 0.59195877
2.29 , -1.390014 , 2.0109287 , 26.047097 , 0.57197243
2.295 , -1.3781842 , 2.022801 , 28.079236 , 0.54846207
2.3 , -1.36657 , 2.0116352 , 29.746916 , 0.52377213
