T , <E> , Cv , X , <|M|>
2 , -1.7452976 , 0.72605185 , 0.39174438 , 0.91108155
2.005 , -1.7420387 , 0.7335277 , 0.39627276 , 0.90973982
2.01 , -1.7383584 , 0.74291893 , 0.41282818 , 0.90804122
2.015 , -1.7345811 , 0.75485529 , 0.4389989 , 0.90624289
2.02 , -1.7309824 , 0.76506662 , 0.44634751 , 0.90464298
2.025 , -1.726873 , 0.77566431 , 0.46344151 , 0.90270618
2.03 , -1.7226571 , 0.78898218 , 0.4941837 , 0.9004638
2.035 , -1.7191122 , 0.79694403 , 0.51681681 , 0.89888665
2.04 , -1.7149401 , 0.80773328 , 0.52772668 , 0.89684739
2.045 , -1.7108163 , 0.81676446 , 0.56045447 , 0.89475055
2.05 , -1.7067484 , 0.82769282 , 0.57564039 , 0.89273599
2.055 , -1.7025712 , 0.84468858 , 0.62486345 , 0.89052997
2.06 , -1.6983007 , 0.85186025 , 0.62639496 , 0.88842799
2.065 , -1.6939832 , 0.86565277 , 0.64952951 , 0.88633801
2.07 , -1.6894514 , 0.88749731 , 0.72357049 , 0.88366546
2.075 , -1.6850691 , 0.89098762 , 0.73361649 , 0.88144924
2.08 , -1.6808297 , 0.90068123 , 0.74899751 , 0.87929632
2.085 , -1.6760519 , 0.92238324 , 0.8282893 , 0.87650337
2.09 , -1.6713392 , 0.93579736 , 0.85463951 , 0.87395102
2.095 , -1.6666147 , 0.95458569 , 0.96520298 , 0.87105374
2.1 , -1.6620906 , 0.96046409 , 0.92989035 , 0.86873169
2.105 , -1.6571532 , 0.97735582 , 1.0180803 , 0.8658519
2.11 , -1.6525691 , 0.98796109 , 1.0515273 , 0.86331918
2.115 , -1.6475596 , 1.0009073 , 1.0898647 , 0.86035091
2.12 , -1.6420958 , 1.0240493 , 1.2017844 , 0.85670681
2.125 , -1.6368227 , 1.0406143 , 1.2845112 , 0.85351903
2.13 , -1.6318476 , 1.063467 , 1.490459 , 0.8503595
2.135 , -1.6262075 , 1.0846964 , 1.6161405 , 0.84654178
2.14 , -1.6213132 , 1.1005733 , 1.5788361 , 0.8436159
2.145 , -1.6152108 , 1.1128985 , 1.5988288 , 0.83990518
2.15 , -1.6101879 , 1.1279409 , 1.6812302 , 0.83649173
2.155 , -1.6045271 , 1.1503229 , 1.833147 , 0.83247237
2.16 , -1.597979 , 1.1880489 , 2.5728612 , 0.82660211
2.165 , -1.5921483 , 1.217519 , 2.4863641 , 0.82291354
2.17 , -1.5859572 , 1.2270197 , 2.4417278 , 0.81852549
2.175 , -1.5791257 , 1.2687055 , 2.8700983 , 0.81249277
2.18 , -1.5727177 , 1.2910628 , 3.0350275 , 0.80750792
2.185 , -1.5666528 , 1.3301689 , 3.8583748 , 0.80192653
2.19 , -1.560618 , 1.3345746 , 3.5593712 , 0.79806205
2.195 , -1.553148 , 1.3849882 , 4.3766393 , 0.79038162
2.2 , -1.5460724 , 1.4068682 , 4.6156528 , 0.78455734
2.205 , -1.5383565 , 1.4736707 , 5.8809478 , 0.7754045
2.21 , -1.5322631 , 1.4758711 , 5.6682446 , 0.77166458
2.215 , -1.5246699 , 1.5267961 , 6.8572379 , 0.76277664
2.22 , -1.5171959 , 1.5421374 , 6.8149441 , 0.75637351
2.225 , -1.5086466 , 1.6002306 , 7.6116915 , 0.74626645
2.23 , -1.4999691 , 1.640204 , 9.229675 , 0.73497692
2.235 , -1.4925803 , 1.7105141 , 10.480984 , 0.72669723
2.24 , -1.4846617 , 1.7223246 , 11.293028 , 0.7167215
2.245 , -1.474491 , 1.7893334 , 13.102068 , 0.70217129
2.25 , -1.467316 , 1.8008886 , 13.24835 , 0.69506546
2.255 , -1.4560513 , 1.879278 , 16.90242 , 0.67463038
2.26 , -1.448648 , 1.8758741 , 16.963253 , 0.66752605
2.265 , -1.4387191 , 1.9343982 , 18.65413 , 0.6516464
2.27 , -1.4261249 , 1.9886204 , 22.165359 , 0.6271332
2.275 , -1.4191757 , 1.9557028 , 20.790755 , 0.6223059
2.28 , -1.4057263 , 2.0258939 , 25.226909 , 0.59196645
2.285 , -1.3967526 , 2.0142743 , 26.175057 , 0.57867652
2.29 , -1.3886697 , 1.9925469 , 26.699644 , 0.56643986
2.295 , -1.3782576 , 2.0118575 , 28.070888 , 0.54796921
2.3 , -1.3680868 , 1.9842335 , 28.429514 , 0.53075655
