T , <E> , Cv , X , <|M|>
2 , -1.7453582 , 0.73570807 , 0.43982709 , 0.91102616
2.005 , -1.7419505 , 0.74169073 , 0.5905235 , 0.90935091
2.01 , -1.738208 , 0.75602371 , 0.70516691 , 0.9075238
2.015 , -1.7345959 , 0.75729512 , 0.44159928 , 0.9062655
2.02 , -1.7304955 , 0.76820519 , 0.48603473 , 0.90424775
2.025 , -1.7267012 , 0.7804389 , 0.5686254 , 0.90238756
2.03 , -1.7227117 , 0.79663333 , 0.67542739 , 0.90015221
2.035 , -1.7189736 , 0.80122873 , 0.52933737 , 0.8987685
2.04 , -1.7150796 , 0.81744532 , 0.62303353 , 0.89669286
2.045 , -1.710567 , 0.82819803 , 0.60369942 , 0.89449804
2.05 , -1.7067426 , 0.83863228 , 0.63555886 , 0.89263604
2.055 , -1.7025531 , 0.84140237 , 0.60954509 , 0.89063526
2.06 , -1.6985591 , 0.85665118 , 0.73340107 , 0.88845426
2.065 , -1.6940094 , 0.86917797 , 0.68863378 , 0.88614992
2.07 , -1.6898233 , 0.8791558 , 0.71446031 , 0.88398695
2.075 , -1.6850776 , 0.90452289 , 1.1427764 , 0.88085258
2.08 , -1.6809896 , 0.90268249 , 0.77446857 , 0.87930182
2.085 , -1.6761268 , 0.9198633 , 0.85540904 , 0.87658308
2.09 , -1.6714199 , 0.94073331 , 1.0472492 , 0.87365068
2.095 , -1.6666506 , 0.95222544 , 0.96368012 , 0.87118048
2.1 , -1.6621595 , 0.97113385 , 0.98286006 , 0.86874763
2.105 , -1.657097 , 0.98580985 , 1.1964097 , 0.8656027
2.11 , -1.6517982 , 1.0121096 , 1.5873422 , 0.86181628
2.115 , -1.647076 , 1.0189616 , 1.2304286 , 0.85964432
2.12 , -1.6419754 , 1.0360611 , 1.3714248 , 0.85647818
2.125 , -1.6370669 , 1.0405879 , 1.3158826 , 0.85371366
2.13 , -1.6315867 , 1.0688976 , 1.4597224 , 0.85011569
2.135 , -1.6257286 , 1.0931209 , 1.5856587 , 0.84611355
2.14 , -1.6212842 , 1.0998908 , 1.6188023 , 0.84363813
2.145 , -1.6151668 , 1.1234766 , 1.7274999 , 0.83931559
2.15 , -1.6098039 , 1.1509648 , 1.8527214 , 0.83570495
2.155 , -1.6040734 , 1.1670569 , 2.0649172 , 0.83173704
2.16 , -1.5982227 , 1.1879561 , 2.1560727 , 0.827554
2.165 , -1.5923589 , 1.211281 , 2.2252189 , 0.82344214
2.17 , -1.5854088 , 1.2360546 , 2.6571917 , 0.81749899
2.175 , -1.5796756 , 1.2711295 , 3.1863636 , 0.81276737
2.18 , -1.5730854 , 1.3028478 , 3.73033 , 0.80684548
2.185 , -1.5669937 , 1.3161214 , 3.4824641 , 0.80291376
2.19 , -1.560389 , 1.3384963 , 3.6517782 , 0.79768299
2.195 , -1.5535879 , 1.3781777 , 4.2878897 , 0.79118795
2.2 , -1.546447 , 1.4158151 , 4.8326337 , 0.78478395
2.205 , -1.5394 , 1.4464586 , 5.0064992 , 0.7781645
2.21 , -1.5316857 , 1.4678229 , 5.4960933 , 0.77111294
2.215 , -1.5247053 , 1.5060315 , 6.2088585 , 0.76360459
2.22 , -1.5170531 , 1.5659069 , 7.7625282 , 0.75425962
2.225 , -1.508282 , 1.597624 , 8.357942 , 0.74465425
2.23 , -1.5002878 , 1.6307863 , 8.8963054 , 0.73599617
2.235 , -1.4918311 , 1.7047716 , 10.359456 , 0.72503309
2.24 , -1.4836686 , 1.7098834 , 11.098096 , 0.71606865
2.245 , -1.4751231 , 1.7892878 , 12.937773 , 0.70352304
2.25 , -1.4673905 , 1.8037876 , 14.070711 , 0.69393439
2.255 , -1.4557687 , 1.8696406 , 16.279504 , 0.67526862
2.26 , -1.4470381 , 1.919531 , 19.050327 , 0.66049692
2.265 , -1.4369398 , 1.947193 , 20.75663 , 0.64391426
2.27 , -1.4276243 , 1.9704954 , 21.394853 , 0.6321032
2.275 , -1.4205496 , 1.985404 , 22.398865 , 0.62226324
2.28 , -1.4081704 , 2.0115617 , 24.493816 , 0.59986482
2.285 , -1.3973982 , 2.0338495 , 26.609118 , 0.57876477
2.29 , -1.3891268 , 2.0317349 , 27.536858 , 0.56733622
2.295 , -1.3789291 , 2.0137299 , 27.914045 , 0.54995098
2.3 , -1.3689748 , 2.0119428 , 28.924903 , 0.53131119
