T , <E> , Cv , X , <|M|>
2 , 6.8247688e-08 , -1.8630987e-12 , 4.0525988 , 0.74462498
2.005 , 6.7570297e-08 , -1.8172006e-12 , 5.612427 , 0.73110168
2.01 , 6.6902949e-08 , -1.7726312e-12 , 4.6049179 , 0.74534858
2.015 , 6.6245456e-08 , -1.7293467e-12 , 1.5829318 , 0.81503475
2.02 , 6.5597632e-08 , -1.6873049e-12 , 9.2497359 , 0.70042766
2.025 , 6.4959294e-08 , -1.6464651e-12 , 5.0274793 , 0.76652278
2.03 , 6.4330268e-08 , -1.6067882e-12 , 7.3187582 , 0.70730793
2.035 , 6.3710379e-08 , -1.5682364e-12 , 8.7155628 , 0.71520739
2.04 , 6.3099458e-08 , -1.5307734e-12 , 4.7805458 , 0.72613915
2.045 , 6.249734e-08 , -1.4943641e-12 , 19.62149 , 0.6357853
2.05 , 6.1903862e-08 , -1.4589747e-12 , 9.6783335 , 0.68261657
2.055 , 6.1318868e-08 , -1.4245726e-12 , 5.9583589 , 0.75674961
2.06 , 6.0742201e-08 , -1.3911264e-12 , 4.2193084 , 0.73913537
2.065 , 6.0173711e-08 , -1.3586058e-12 , 6.8526321 , 0.71768615
2.07 , 5.9613249e-08 , -1.3269815e-12 , 5.2192059 , 0.70305852
2.075 , 5.9060671e-08 , -1.2962254e-12 , 15.985086 , 0.63769541
2.08 , 5.8515835e-08 , -1.2663103e-12 , 7.022275 , 0.7222607
2.085 , 5.7978602e-08 , -1.2372098e-12 , 1.5644617 , 0.80442796
2.09 , 5.7448836e-08 , -1.2088986e-12 , 9.2111328 , 0.65645597
2.095 , 5.6926406e-08 , -1.1813524e-12 , 6.4508339 , 0.68863474
2.1 , 5.641118e-08 , -1.1545474e-12 , 4.2529209 , 0.70294579
2.105 , 5.5903032e-08 , -1.1284609e-12 , 15.765776 , 0.58349041
2.11 , 5.5401837e-08 , -1.1030708e-12 , 5.5776262 , 0.71273821
2.115 , 5.4907473e-08 , -1.078356e-12 , 21.207671 , 0.53732803
2.12 , 5.4419822e-08 , -1.0542958e-12 , 8.6454202 , 0.67382613
2.125 , 5.3938766e-08 , -1.0308705e-12 , 17.715899 , 0.58762452
2.13 , 5.3464191e-08 , -1.0080609e-12 , 13.140435 , 0.64989272
2.135 , 5.2995985e-08 , -9.8584845e-13 , 25.430177 , 0.50441141
2.14 , 5.2534038e-08 , -9.6421528e-13 , 5.5077537 , 0.70418132
2.145 , 5.2078244e-08 , -9.431441e-13 , 15.822658 , 0.5734682
2.15 , 5.1628497e-08 , -9.2261821e-13 , 6.290763 , 0.65671947
2.155 , 5.1184694e-08 , -9.0262145e-13 , 3.8555979 , 0.71894566
2.16 , 5.0746734e-08 , -8.831382e-13 , 10.436318 , 0.64389151
2.165 , 5.0314518e-08 , -8.6415335e-13 , 21.500333 , 0.50597304
2.17 , 4.988795e-08 , -8.456523e-13 , 25.487861 , 0.44701335
2.175 , 4.9466935e-08 , -8.2762094e-13 , 23.071288 , 0.54227846
2.18 , 4.905138e-08 , -8.1004558e-13 , 12.531695 , 0.62047179
2.185 , 4.8641194e-08 , -7.9291302e-13 , 14.425104 , 0.60912288
2.19 , 4.8236287e-08 , -7.7621048e-13 , 26.08807 , 0.47656972
2.195 , 4.7836573e-08 , -7.5992557e-13 , 25.198893 , 0.41317676
2.2 , 4.7441966e-08 , -7.4404631e-13 , 25.789753 , 0.41275553
2.205 , 4.7052381e-08 , -7.2856114e-13 , 13.451109 , 0.60209791
2.21 , 4.6667736e-08 , -7.1345881e-13 , 27.632855 , 0.4574872
2.215 , 4.6287951e-08 , -6.9872848e-13 , 22.249532 , 0.32896926
2.22 , 4.5912947e-08 , -6.8435963e-13 , 24.183262 , 0.3882152
2.225 , 4.5542646e-08 , -6.7034207e-13 , 20.246085 , 0.53237018
2.23 , 4.5176972e-08 , -6.5666596e-13 , 23.516976 , 0.35462534
2.235 , 4.4815851e-08 , -6.4332174e-13 , 24.233418 , 0.41371052
2.24 , 4.4459209e-08 , -6.3030016e-13 , 18.669642 , 0.50403938
2.245 , 4.4106975e-08 , -6.1759226e-13 , 20.507227 , 0.51569695
2.25 , 4.3759079e-08 , -6.0518937e-13 , 22.948574 , 0.34118697
2.255 , 4.3415451e-08 , -5.9308307e-13 , 16.438426 , 0.52660607
2.26 , 4.3076024e-08 , -5.8126521e-13 , 23.473194 , 0.35008227
2.265 , 4.2740732e-08 , -5.697279e-13 , 21.395262 , 0.2980153
2.27 , 4.240951e-08 , -5.5846348e-13 , 18.962395 , 0.40506645
2.275 , 4.2082293e-08 , -5.4746452e-13 , 19.392306 , 0.2882368
2.28 , 4.175902e-08 , -5.3672384e-13 , 22.030059 , 0.39699808
2.285 , 4.1439629e-08 , -5.2623447e-13 , 22.445948 , 0.33307235
2.29 , 4.1124059e-08 , -5.1598963e-13 , 20.007109 , 0.45034227
2.295 , 4.0812252e-08 , -5.0598276e-13 , 20.778015 , 0.30683175
2.3 , 4.0504149e-08 , -4.9620752e-13 , 16.795569 , 0.25470654
