T , <E> , Cv , X , <|M|>
2 , -1.7458979 , 0.72095686 , 0.36917045 , 0.91157111
2.005 , -1.7422231 , 0.74547286 , 0.38768843 , 0.90991228
2.01 , -1.7363716 , 0.78985884 , 0.44937169 , 0.90666422
2.015 , -1.73397 , 0.75949493 , 0.42376507 , 0.90593217
2.02 , -1.730824 , 0.75735258 , 0.44943099 , 0.90464044
2.025 , -1.7267858 , 0.74825158 , 0.43462927 , 0.90252578
2.03 , -1.7223068 , 0.80344705 , 0.50007492 , 0.90043344
2.035 , -1.7199061 , 0.79402352 , 0.4982613 , 0.89957583
2.04 , -1.7131682 , 0.82648887 , 0.53022345 , 0.89602956
2.045 , -1.7092569 , 0.79572584 , 0.48590722 , 0.89424317
2.05 , -1.7042549 , 0.89867047 , 0.67241575 , 0.89070478
2.055 , -1.7015977 , 0.9059178 , 0.73392022 , 0.88959367
2.06 , -1.6990089 , 0.8917916 , 0.5797743 , 0.88920617
2.065 , -1.6956067 , 0.85056079 , 0.67341696 , 0.88680217
2.07 , -1.6893853 , 0.88812794 , 0.73540794 , 0.88373106
2.075 , -1.6870066 , 0.91568043 , 0.65397272 , 0.88357367
2.08 , -1.683021 , 0.89904944 , 0.68298039 , 0.88070011
2.085 , -1.6767933 , 0.92255021 , 0.73929591 , 0.87721978
2.09 , -1.6717679 , 0.91533385 , 0.74857445 , 0.87492533
2.095 , -1.6679367 , 0.88162344 , 0.78475237 , 0.87224833
2.1 , -1.6627624 , 0.96229318 , 0.93457892 , 0.86975183
2.105 , -1.6566529 , 1.0466455 , 1.0414165 , 0.86535889
2.11 , -1.6534782 , 1.0170735 , 0.89021426 , 0.86475872
2.115 , -1.6507829 , 0.96858018 , 0.95572945 , 0.86323761
2.12 , -1.6452079 , 1.0340863 , 1.0139924 , 0.85987461
2.125 , -1.6378423 , 1.0846441 , 1.1379621 , 0.85494783
2.13 , -1.6333342 , 1.001343 , 1.1185103 , 0.852175
2.135 , -1.624606 , 1.0672367 , 1.5255671 , 0.84463728
2.14 , -1.619653 , 1.101289 , 1.4559046 , 0.84228339
2.145 , -1.6161776 , 1.1378016 , 1.7207523 , 0.83967494
2.15 , -1.6109413 , 1.20351 , 2.4688272 , 0.83421928
2.155 , -1.6037242 , 1.1957823 , 2.7670142 , 0.82800617
2.16 , -1.6007851 , 1.2280671 , 2.0012927 , 0.83038272
2.165 , -1.591454 , 1.2604042 , 2.6380135 , 0.82194011
2.17 , -1.5863908 , 1.3305087 , 2.2565897 , 0.82014328
2.175 , -1.5808997 , 1.2391004 , 3.0771836 , 0.81371844
2.18 , -1.5630059 , 1.7051238 , 16.218836 , 0.777027
2.185 , -1.5681048 , 1.1741035 , 2.3238713 , 0.80579939
2.19 , -1.5614652 , 1.3324494 , 3.7813551 , 0.79814789
2.195 , -1.5541182 , 1.266271 , 2.8596849 , 0.79431761
2.2 , -1.5471899 , 1.405269 , 3.1575629 , 0.78983644
2.205 , -1.5308229 , 1.6221003 , 6.9677445 , 0.75991767
2.21 , -1.5319902 , 1.4780595 , 5.0194894 , 0.77176228
2.215 , -1.5244426 , 1.4716621 , 5.3762287 , 0.76241589
2.22 , -1.5182416 , 1.5805079 , 4.6168393 , 0.76043
2.225 , -1.5084423 , 1.4897527 , 5.3057196 , 0.74870056
2.23 , -1.5050157 , 1.5601792 , 6.0535741 , 0.74633422
2.235 , -1.4857023 , 1.6948837 , 10.206222 , 0.71217544
2.24 , -1.4818747 , 1.8067648 , 8.2779655 , 0.71836011
2.245 , -1.4674539 , 2.134211 , 39.417531 , 0.66948233
2.25 , -1.4640441 , 1.6537581 , 8.9837428 , 0.69421872
2.255 , -1.4601964 , 1.7215899 , 12.877174 , 0.6883895
2.26 , -1.4400009 , 2.0479571 , 20.128082 , 0.64565433
2.265 , -1.4345476 , 1.8498685 , 26.761087 , 0.62844406
2.27 , -1.4035451 , 2.1193163 , 60.816716 , 0.49964967
2.275 , -1.413461 , 2.0649156 , 31.365496 , 0.59768944
2.28 , -1.414201 , 2.2191868 , 23.028389 , 0.61728878
2.285 , -1.3960689 , 2.1659988 , 55.200475 , 0.54891656
2.29 , -1.3871669 , 1.8183022 , 22.509336 , 0.56670506
2.295 , -1.3439912 , 2.0872113 , 65.445286 , 0.36635056
2.3 , -1.3695026 , 2.4566369 , 61.975145 , 0.48465128
