T , <E> , Cv , X , <|M|>
2 , -1.7456071 , 0.72377209 , 0.38442067 , 0.91137054
2.005 , -1.7418608 , 0.73511971 , 0.40065369 , 0.9096073
2.01 , -1.73832 , 0.74545085 , 0.41291855 , 0.90801792
2.015 , -1.7343522 , 0.75509987 , 0.43794432 , 0.90604635
2.02 , -1.7307255 , 0.76619251 , 0.44997959 , 0.90446284
2.025 , -1.7267152 , 0.77596334 , 0.47211732 , 0.90249619
2.03 , -1.7229968 , 0.78572847 , 0.48334958 , 0.90078211
2.035 , -1.718945 , 0.79814113 , 0.50731782 , 0.89884048
2.04 , -1.7148946 , 0.80974186 , 0.53579401 , 0.89674354
2.045 , -1.7109414 , 0.81543903 , 0.55055704 , 0.89487306
2.05 , -1.7067472 , 0.8319111 , 0.5842642 , 0.89272058
2.055 , -1.7026871 , 0.83953612 , 0.59381802 , 0.89080272
2.06 , -1.6983476 , 0.85145043 , 0.63537694 , 0.88848465
2.065 , -1.6940479 , 0.86669476 , 0.66661079 , 0.8862474
2.07 , -1.689581 , 0.87985581 , 0.7202571 , 0.88378344
2.075 , -1.6852324 , 0.8900017 , 0.73954742 , 0.88148459
2.08 , -1.6807142 , 0.90691614 , 0.78312977 , 0.87908676
2.085 , -1.6763039 , 0.91883575 , 0.80435131 , 0.87680943
2.09 , -1.6716392 , 0.93586207 , 0.87004464 , 0.87414844
2.095 , -1.6668407 , 0.94466236 , 0.91404458 , 0.87143826
