x , y , z
-0.170144 , 0.97656 , -1.82257e-005
-0.187305 , 0.973283 , -1.75585e-005
-0.204408 , 0.96971 , -1.68859e-005
-0.22145 , 0.965844 , -1.62082e-005
-0.238424 , 0.961686 , -1.55257e-005
-0.255327 , 0.957236 , -1.48384e-005
-0.272152 , 0.952496 , -1.41466e-005
-0.288894 , 0.947467 , -1.34506e-005
-0.305549 , 0.942151 , -1.27504e-005
-0.322111 , 0.936549 , -1.20464e-005
-0.338576 , 0.930662 , -1.13388e-005
-0.354937 , 0.924494 , -1.06277e-005
-0.371191 , 0.918045 , -9.91343e-006
-0.387333 , 0.911317 , -9.19614e-006
-0.403357 , 0.904313 , -8.47605e-006
-0.419258 , 0.897034 , -7.7534e-006
-0.435032 , 0.889483 , -7.02841e-006
-0.450674 , 0.881662 , -6.30128e-006
-0.466179 , 0.873573 , -5.57225e-006
-0.481543 , 0.865219 , -4.84154e-006
-0.49676 , 0.856602 , -4.10936e-006
-0.511827 , 0.847725 , -3.37593e-006
-0.526738 , 0.838591 , -2.64149e-006
-0.54149 , 0.829203 , -1.90626e-006
-0.556077 , 0.819563 , -1.17045e-006
-0.570495 , 0.809674 , -4.34296e-007
-0.584741 , 0.79954 , 3.01986e-007
-0.598809 , 0.789163 , 1.03817e-006
-0.612696 , 0.778547 , 1.77404e-006
-0.626397 , 0.767695 , 2.50936e-006
-0.639908 , 0.756611 , 3.24391e-006
-0.653225 , 0.745297 , 3.97748e-006
-0.666345 , 0.733757 , 4.70984e-006
-0.679263 , 0.721996 , 5.44077e-006
-0.691975 , 0.710016 , 6.17006e-006
-0.704478 , 0.697821 , 6.89747e-006
-0.716768 , 0.685416 , 7.62279e-006
-0.728842 , 0.672803 , 8.34581e-006
-0.740695 , 0.659987 , 9.06631e-006
-0.752325 , 0.646972 , 9.78407e-006
-0.763728 , 0.633762 , 1.04989e-005
-0.774901 , 0.620361 , 1.12105e-005
-0.78584 , 0.606772 , 1.19188e-005
-0.796543 , 0.593001 , 1.26235e-005
-0.807005 , 0.579052 , 1.33244e-005
-0.817226 , 0.564928 , 1.40213e-005
-0.8272 , 0.550635 , 1.47139e-005
-0.836926 , 0.536176 , 1.54022e-005
-0.846401 , 0.521556 , 1.60859e-005
-0.855622 , 0.50678 , 1.67647e-005
-0.864586 , 0.491852 , 1.74385e-005
-0.873292 , 0.476776 , 1.81072e-005
-0.881737 , 0.461558 , 1.87704e-005
-0.889917 , 0.446202 , 1.9428e-005
-0.897832 , 0.430713 , 2.00798e-005
-0.905479 , 0.415095 , 2.07257e-005
-0.912856 , 0.399353 , 2.13654e-005
-0.919961 , 0.383493 , 2.19987e-005
-0.926792 , 0.367518 , 2.26256e-005
-0.933348 , 0.351434 , 2.32457e-005
-0.939626 , 0.335245 , 2.38589e-005
-0.945625 , 0.318957 , 2.44651e-005
-0.951344 , 0.302575 , 2.50641e-005
-0.956781 , 0.286102 , 2.56556e-005
-0.961935 , 0.269545 , 2.62396e-005
-0.966805 , 0.252909 , 2.68159e-005
-0.971389 , 0.236197 , 2.73842e-005
-0.975687 , 0.219416 , 2.79446e-005
-0.979697 , 0.202571 , 2.84967e-005
-0.983419 , 0.185666 , 2.90404e-005
-0.986851 , 0.168706 , 2.95757e-005
-0.989994 , 0.151696 , 3.01023e-005
-0.992846 , 0.134642 , 3.06202e-005
-0.995408 , 0.117549 , 3.1129e-005
-0.997678 , 0.100421 , 3.16289e-005
-0.999656 , 0.0832638 , 3.21195e-005
-1.00134 , 0.0660823 , 3.26008e-005
-1.00274 , 0.0488815 , 3.30726e-005
-1.00384 , 0.0316665 , 3.35349e-005
-1.00465 , 0.0144422 , 3.39875e-005
-1.00517 , -0.00278624 , 3.44302e-005
-1.0054 , -0.0200139 , 3.4863e-005
-1.00533 , -0.0372358 , 3.52858e-005
-1.00498 , -0.0544468 , 3.56984e-005
-1.00433 , -0.0716422 , 3.61008e-005
-1.00339 , -0.0888169 , 3.64929e-005
-1.00217 , -0.105966 , 3.68745e-005
-1.00065 , -0.123085 , 3.72456e-005
-0.998853 , -0.140168 , 3.7606e-005
-0.996764 , -0.157211 , 3.79558e-005
-0.99439 , -0.174209 , 3.82947e-005
-0.99173 , -0.191157 , 3.86228e-005
-0.988787 , -0.20805 , 3.89399e-005
-0.985562 , -0.224884 , 3.92461e-005
-0.982055 , -0.241653 , 3.95411e-005
-0.978269 , -0.258354 , 3.98251e-005
-0.974204 , -0.274982 , 4.00978e-005
-0.969862 , -0.291531 , 4.03593e-005
-0.965245 , -0.307997 , 4.06094e-005
-0.960355 , -0.324377 , 4.08482e-005
-0.955193 , -0.340664 , 4.10756e-005
-0.949761 , -0.356856 , 4.12916e-005
-0.944061 , -0.372946 , 4.1496e-005
-0.938095 , -0.388932 , 4.1689e-005
-0.931865 , -0.404808 , 4.18704e-005
-0.925373 , -0.42057 , 4.20402e-005
-0.918622 , -0.436214 , 4.21985e-005
-0.911613 , -0.451736 , 4.23451e-005
-0.904349 , -0.467132 , 4.24801e-005
-0.896832 , -0.482397 , 4.26035e-005
-0.889065 , -0.497528 , 4.27152e-005
-0.88105 , -0.512519 , 4.28153e-005
-0.87279 , -0.527369 , 4.29037e-005
-0.864287 , -0.542071 , 4.29804e-005
-0.855544 , -0.556623 , 4.30455e-005
-0.846565 , -0.571021 , 4.30989e-005
-0.837351 , -0.585261 , 4.31407e-005
-0.827905 , -0.599339 , 4.31709e-005
-0.818231 , -0.613252 , 4.31895e-005
-0.808332 , -0.626996 , 4.31965e-005
-0.79821 , -0.640567 , 4.3192e-005
-0.787868 , -0.653962 , 4.31759e-005
-0.77731 , -0.667177 , 4.31484e-005
-0.766539 , -0.68021 , 4.31094e-005
-0.755558 , -0.693056 , 4.30589e-005
