x , y , z
5.2 , 0 , 0
5.2 , 0.00377322 , 0
5.19999 , 0.00754645 , 0
5.19998 , 0.0113197 , 0
5.19997 , 0.0150929 , 0
5.19996 , 0.0188661 , 0
5.19994 , 0.0226393 , 0
5.19992 , 0.0264125 , 0
5.1999 , 0.0301856 , 0
5.19988 , 0.0339588 , 0
5.19985 , 0.0377319 , 0
5.19982 , 0.041505 , 0
5.19979 , 0.0452781 , 0
5.19975 , 0.0490512 , 0
5.19971 , 0.0528242 , 0
5.19967 , 0.0565973 , 0
5.19963 , 0.0603702 , 0
5.19958 , 0.0641432 , 0
5.19953 , 0.0679161 , 0
5.19948 , 0.071689 , 0
5.19943 , 0.0754619 , 0
5.19937 , 0.0792347 , 0
5.19931 , 0.0830074 , 0
5.19925 , 0.0867802 , 0
5.19918 , 0.0905528 , 0
5.19911 , 0.0943255 , 0
5.19904 , 0.098098 , 0
5.19897 , 0.101871 , 0
5.19889 , 0.105643 , 0
5.19881 , 0.109415 , 0
5.19873 , 0.113188 , 0
5.19865 , 0.11696 , 0
5.19856 , 0.120732 , 0
5.19847 , 0.124505 , 0
5.19838 , 0.128277 , 0
5.19828 , 0.132049 , 0
5.19819 , 0.135821 , 0
5.19808 , 0.139593 , 0
5.19798 , 0.143364 , 0
5.19787 , 0.147136 , 0
5.19777 , 0.150908 , 0
5.19765 , 0.154679 , 0
5.19754 , 0.158451 , 0
5.19742 , 0.162222 , 0
5.1973 , 0.165994 , 0
5.19718 , 0.169765 , 0
5.19705 , 0.173536 , 0
5.19693 , 0.177307 , 0
5.1968 , 0.181078 , 0
5.19666 , 0.184849 , 0
5.19653 , 0.18862 , 0
5.19639 , 0.192391 , 0
5.19625 , 0.196161 , 0
5.1961 , 0.199932 , 0
5.19595 , 0.203702 , 0
5.1958 , 0.207473 , 0
5.19565 , 0.211243 , 0
5.1955 , 0.215013 , 0
5.19534 , 0.218783 , 0
5.19518 , 0.222553 , 0
5.19501 , 0.226322 , 0
5.19485 , 0.230092 , 0
5.19468 , 0.233861 , 0
5.19451 , 0.237631 , 0
5.19433 , 0.2414 , 0
5.19416 , 0.245169 , 0
5.19398 , 0.248938 , 0
5.19379 , 0.252707 , 0
5.19361 , 0.256476 , 0
5.19342 , 0.260244 , 0
5.19323 , 0.264013 , 0
5.19304 , 0.267781 , 0
5.19284 , 0.271549 , 0
5.19264 , 0.275317 , 0
5.19244 , 0.279085 , 0
5.19224 , 0.282853 , 0
5.19203 , 0.28662 , 0
5.19182 , 0.290388 , 0
5.19161 , 0.294155 , 0
5.19139 , 0.297922 , 0
5.19117 , 0.301689 , 0
5.19095 , 0.305456 , 0
5.19073 , 0.309223 , 0
5.1905 , 0.312989 , 0
5.19028 , 0.316756 , 0
5.19004 , 0.320522 , 0
5.18981 , 0.324288 , 0
5.18957 , 0.328054 , 0
5.18933 , 0.331819 , 0
5.18909 , 0.335585 , 0
5.18885 , 0.33935 , 0
5.1886 , 0.343115 , 0
5.18835 , 0.34688 , 0
5.18809 , 0.350645 , 0
5.18784 , 0.354409 , 0
5.18758 , 0.358174 , 0
5.18732 , 0.361938 , 0
5.18705 , 0.365702 , 0
5.18679 , 0.369466 , 0
5.18652 , 0.37323 , 0
5.18625 , 0.376993 , 0
5.18597 , 0.380756 , 0
5.18569 , 0.384519 , 0
5.18541 , 0.388282 , 0
5.18513 , 0.392045 , 0
5.18484 , 0.395807 , 0
5.18456 , 0.399569 , 0
5.18426 , 0.403331 , 0
5.18397 , 0.407093 , 0
5.18367 , 0.410855 , 0
5.18337 , 0.414616 , 0
5.18307 , 0.418377 , 0
5.18277 , 0.422138 , 0
5.18246 , 0.425899 , 0
5.18215 , 0.42966 , 0
5.18184 , 0.43342 , 0
5.18152 , 0.43718 , 0
5.1812 , 0.44094 , 0
5.18088 , 0.444699 , 0
5.18056 , 0.448459 , 0
5.18023 , 0.452218 , 0
5.1799 , 0.455977 , 0
5.17957 , 0.459735 , 0
5.17923 , 0.463494 , 0
5.1789 , 0.467252 , 0
5.17856 , 0.47101 , 0
5.17821 , 0.474767 , 0
5.17787 , 0.478525 , 0
5.17752 , 0.482282 , 0
5.17717 , 0.486039 , 0
5.17682 , 0.489796 , 0
5.17646 , 0.493552 , 0
5.1761 , 0.497308 , 0
5.17574 , 0.501064 , 0
5.17537 , 0.50482 , 0
5.17501 , 0.508575 , 0
5.17464 , 0.51233 , 0
5.17426 , 0.516085 , 0
5.17389 , 0.519839 , 0
5.17351 , 0.523594 , 0
5.17313 , 0.527348 , 0
5.17275 , 0.531101 , 0
5.17236 , 0.534855 , 0
5.17197 , 0.538608 , 0
5.17158 , 0.542361 , 0
5.17118 , 0.546113 , 0
5.17079 , 0.549866 , 0
5.17039 , 0.553618 , 0
5.16998 , 0.55737 , 0
5.16958 , 0.561121 , 0
5.16917 , 0.564872 , 0
5.16876 , 0.568623 , 0
5.16835 , 0.572374 , 0
5.16793 , 0.576124 , 0
5.16751 , 0.579874 , 0
5.16709 , 0.583623 , 0
5.16667 , 0.587373 , 0
5.16624 , 0.591122 , 0
5.16581 , 0.594871 , 0
5.16538 , 0.598619 , 0
5.16494 , 0.602367 , 0
5.16451 , 0.606115 , 0
5.16407 , 0.609862 , 0
5.16362 , 0.613609 , 0
5.16318 , 0.617356 , 0
5.16273 , 0.621103 , 0
5.16228 , 0.624849 , 0
5.16182 , 0.628595 , 0
5.16137 , 0.63234 , 0
5.16091 , 0.636086 , 0
5.16044 , 0.63983 , 0
5.15998 , 0.643575 , 0
5.15951 , 0.647319 , 0
5.15904 , 0.651063 , 0
5.15857 , 0.654806 , 0
5.15809 , 0.65855 , 0
5.15762 , 0.662292 , 0
5.15713 , 0.666035 , 0
5.15665 , 0.669777 , 0
5.15616 , 0.673519 , 0
5.15568 , 0.67726 , 0
5.15518 , 0.681001 , 0
5.15469 , 0.684742 , 0
5.15419 , 0.688482 , 0
5.15369 , 0.692222 , 0
5.15319 , 0.695962 , 0
5.15268 , 0.699701 , 0
5.15218 , 0.70344 , 0
5.15167 , 0.707179 , 0
5.15115 , 0.710917 , 0
5.15064 , 0.714654 , 0
5.15012 , 0.718392 , 0
5.1496 , 0.722129 , 0
5.14907 , 0.725866 , 0
5.14854 , 0.729602 , 0
5.14801 , 0.733338 , 0
5.14748 , 0.737073 , 0
5.14695 , 0.740808 , 0
5.14641 , 0.744543 , 0
5.14587 , 0.748277 , 0
5.14533 , 0.752011 , 0
5.14478 , 0.755745 , 0
5.14423 , 0.759478 , 0
5.14368 , 0.763211 , 0
5.14313 , 0.766943 , 0
5.14257 , 0.770675 , 0
5.14201 , 0.774407 , 0
5.14145 , 0.778138 , 0
5.14088 , 0.781869 , 0
5.14032 , 0.785599 , 0
5.13975 , 0.789329 , 0
5.13917 , 0.793058 , 0
5.1386 , 0.796787 , 0
5.13802 , 0.800516 , 0
5.13744 , 0.804244 , 0
5.13686 , 0.807972 , 0
5.13627 , 0.8117 , 0
5.13568 , 0.815427 , 0
5.13509 , 0.819153 , 0
5.1345 , 0.822879 , 0
5.1339 , 0.826605 , 0
5.1333 , 0.83033 , 0
5.1327 , 0.834055 , 0
5.13209 , 0.837779 , 0
5.13148 , 0.841503 , 0
5.13087 , 0.845227 , 0
5.13026 , 0.84895 , 0
5.12965 , 0.852673 , 0
5.12903 , 0.856395 , 0
5.12841 , 0.860116 , 0
5.12778 , 0.863838 , 0
5.12716 , 0.867559 , 0
5.12653 , 0.871279 , 0
5.12589 , 0.874999 , 0
5.12526 , 0.878718 , 0
5.12462 , 0.882437 , 0
5.12398 , 0.886156 , 0
5.12334 , 0.889874 , 0
5.12269 , 0.893591 , 0
5.12205 , 0.897309 , 0
5.1214 , 0.901025 , 0
5.12074 , 0.904741 , 0
5.12009 , 0.908457 , 0
5.11943 , 0.912172 , 0
5.11877 , 0.915887 , 0
5.1181 , 0.919601 , 0
5.11744 , 0.923315 , 0
5.11677 , 0.927029 , 0
5.11609 , 0.930741 , 0
5.11542 , 0.934454 , 0
5.11474 , 0.938166 , 0
5.11406 , 0.941877 , 0
5.11338 , 0.945588 , 0
5.11269 , 0.949298 , 0
5.112 , 0.953008 , 0
5.11131 , 0.956717 , 0
5.11062 , 0.960426 , 0
5.10992 , 0.964135 , 0
5.10923 , 0.967843 , 0
5.10852 , 0.97155 , 0
5.10782 , 0.975257 , 0
5.10711 , 0.978963 , 0
5.1064 , 0.982669 , 0
5.10569 , 0.986374 , 0
5.10498 , 0.990079 , 0
5.10426 , 0.993783 , 0
5.10354 , 0.997487 , 0
5.10281 , 1.00119 , 0
5.10209 , 1.00489 , 0
5.10136 , 1.0086 , 0
5.10063 , 1.0123 , 0
5.0999 , 1.016 , 0
5.09916 , 1.0197 , 0
5.09842 , 1.0234 , 0
5.09768 , 1.0271 , 0
5.09693 , 1.0308 , 0
5.09619 , 1.0345 , 0
5.09544 , 1.03819 , 0
5.09468 , 1.04189 , 0
5.09393 , 1.04559 , 0
5.09317 , 1.04928 , 0
5.09241 , 1.05298 , 0
5.09165 , 1.05667 , 0
5.09088 , 1.06037 , 0
5.09011 , 1.06406 , 0
5.08934 , 1.06776 , 0
5.08857 , 1.07145 , 0
5.08779 , 1.07514 , 0
5.08701 , 1.07883 , 0
5.08623 , 1.08253 , 0
5.08545 , 1.08622 , 0
5.08466 , 1.08991 , 0
5.08387 , 1.0936 , 0
5.08308 , 1.09728 , 0
5.08228 , 1.10097 , 0
5.08149 , 1.10466 , 0
5.08069 , 1.10835 , 0
5.07988 , 1.11203 , 0
5.07908 , 1.11572 , 0
5.07827 , 1.11941 , 0
5.07746 , 1.12309 , 0
5.07664 , 1.12678 , 0
5.07583 , 1.13046 , 0
5.07501 , 1.13414 , 0
5.07419 , 1.13782 , 0
5.07336 , 1.14151 , 0
5.07254 , 1.14519 , 0
5.07171 , 1.14887 , 0
5.07087 , 1.15255 , 0
5.07004 , 1.15623 , 0
5.0692 , 1.15991 , 0
5.06836 , 1.16359 , 0
5.06752 , 1.16726 , 0
5.06667 , 1.17094 , 0
5.06582 , 1.17462 , 0
5.06497 , 1.17829 , 0
5.06412 , 1.18197 , 0
5.06326 , 1.18564 , 0
5.0624 , 1.18932 , 0
5.06154 , 1.19299 , 0
5.06068 , 1.19666 , 0
5.05981 , 1.20033 , 0
5.05894 , 1.20401 , 0
5.05807 , 1.20768 , 0
5.0572 , 1.21135 , 0
5.05632 , 1.21502 , 0
5.05544 , 1.21869 , 0
5.05456 , 1.22235 , 0
5.05367 , 1.22602 , 0
5.05278 , 1.22969 , 0
5.05189 , 1.23336 , 0
5.051 , 1.23702 , 0
5.0501 , 1.24069 , 0
5.0492 , 1.24435 , 0
5.0483 , 1.24801 , 0
5.0474 , 1.25168 , 0
5.04649 , 1.25534 , 0
5.04558 , 1.259 , 0
5.04467 , 1.26266 , 0
5.04376 , 1.26632 , 0
5.04284 , 1.26998 , 0
5.04192 , 1.27364 , 0
5.041 , 1.2773 , 0
5.04007 , 1.28096 , 0
5.03914 , 1.28462 , 0
5.03821 , 1.28827 , 0
5.03728 , 1.29193 , 0
5.03635 , 1.29558 , 0
5.03541 , 1.29924 , 0
5.03447 , 1.30289 , 0
5.03352 , 1.30655 , 0
5.03258 , 1.3102 , 0
5.03163 , 1.31385 , 0
5.03068 , 1.3175 , 0
5.02972 , 1.32115 , 0
5.02877 , 1.3248 , 0
5.02781 , 1.32845 , 0
5.02685 , 1.3321 , 0
5.02588 , 1.33575 , 0
5.02491 , 1.33939 , 0
5.02394 , 1.34304 , 0
