x , y , z
-1.32391 , -0.878318 , 0.0138521
-1.31551 , -0.888656 , 0.0134296
-1.30703 , -0.898929 , 0.0130062
-1.29844 , -0.909135 , 0.0125818
-1.28976 , -0.919274 , 0.0121564
-1.28098 , -0.929345 , 0.0117301
-1.27211 , -0.939347 , 0.011303
-1.26314 , -0.949279 , 0.0108751
-1.25408 , -0.95914 , 0.0104463
-1.24492 , -0.968929 , 0.0100167
-1.23567 , -0.978646 , 0.0095864
-1.22633 , -0.988289 , 0.00915536
-1.2169 , -0.997857 , 0.00872364
-1.20737 , -1.00735 , 0.00829125
-1.19775 , -1.01677 , 0.00785824
-1.18804 , -1.02611 , 0.00742463
-1.17824 , -1.03537 , 0.00699045
-1.16836 , -1.04455 , 0.00655574
-1.15838 , -1.05365 , 0.00612053
-1.14831 , -1.06267 , 0.00568484
-1.13815 , -1.07161 , 0.00524872
-1.12791 , -1.08047 , 0.0048122
-1.11758 , -1.08924 , 0.0043753
-1.10716 , -1.09793 , 0.00393806
-1.09665 , -1.10653 , 0.00350052
-1.08606 , -1.11505 , 0.00306271
-1.07539 , -1.12348 , 0.00262465
-1.06463 , -1.13182 , 0.00218639
-1.05379 , -1.14008 , 0.00174796
-1.04286 , -1.14824 , 0.00130939
-1.03186 , -1.15631 , 0.000870717
-1.02077 , -1.1643 , 0.000431975
-1.0096 , -1.17218 , -6.80111e-006
-0.998345 , -1.17998 , -0.000445577
-0.987014 , -1.18768 , -0.000884317
-0.975605 , -1.19529 , -0.00132299
-0.964117 , -1.2028 , -0.00176155
-0.952552 , -1.21021 , -0.00219997
-0.940909 , -1.21753 , -0.00263822
-0.929191 , -1.22475 , -0.00307625
-0.917397 , -1.23186 , -0.00351403
-0.905529 , -1.23888 , -0.00395152
-0.893587 , -1.2458 , -0.00438869
-0.881571 , -1.25261 , -0.00482551
-0.869484 , -1.25933 , -0.00526193
-0.857324 , -1.26594 , -0.00569791
-0.845095 , -1.27244 , -0.00613343
-0.832795 , -1.27884 , -0.00656844
-0.820426 , -1.28513 , -0.0070029
-0.807989 , -1.29132 , -0.00743678
-0.795485 , -1.2974 , -0.00787004
-0.782914 , -1.30337 , -0.00830265
-0.770277 , -1.30923 , -0.00873455
-0.757576 , -1.31498 , -0.00916573
-0.744811 , -1.32062 , -0.00959613
-0.731983 , -1.32615 , -0.0100257
-0.719092 , -1.33157 , -0.0104545
-0.706141 , -1.33687 , -0.0108823
-0.693129 , -1.34206 , -0.0113092
-0.680059 , -1.34713 , -0.0117352
-0.666929 , -1.35209 , -0.0121601
-0.653743 , -1.35693 , -0.012584
-0.6405 , -1.36166 , -0.0130068
-0.627202 , -1.36627 , -0.0134285
-0.613849 , -1.37076 , -0.0138491
-0.600443 , -1.37513 , -0.0142684
-0.586984 , -1.37938 , -0.0146865
-0.573474 , -1.38351 , -0.0151033
-0.559914 , -1.38752 , -0.0155187
-0.546305 , -1.3914 , -0.0159328
-0.532647 , -1.39517 , -0.0163455
-0.518942 , -1.39881 , -0.0167568
-0.505191 , -1.40232 , -0.0171665
-0.491395 , -1.40571 , -0.0175748
-0.477556 , -1.40898 , -0.0179814
-0.463673 , -1.41212 , -0.0183865
-0.449749 , -1.41513 , -0.0187899
-0.435785 , -1.41802 , -0.0191916
-0.421781 , -1.42077 , -0.0195916
-0.407739 , -1.4234 , -0.0199898
-0.39366 , -1.4259 , -0.0203862
-0.379545 , -1.42827 , -0.0207808
-0.365396 , -1.43051 , -0.0211734
-0.351213 , -1.43262 , -0.0215641
-0.336997 , -1.4346 , -0.0219529
-0.322751 , -1.43644 , -0.0223396
-0.308475 , -1.43816 , -0.0227242
-0.29417 , -1.43974 , -0.0231067
-0.279838 , -1.44118 , -0.0234871
-0.26548 , -1.44249 , -0.0238654
-0.251098 , -1.44367 , -0.0242413
-0.236691 , -1.44471 , -0.024615
-0.222263 , -1.44562 , -0.0249864
-0.207813 , -1.44639 , -0.0253555
-0.193344 , -1.44702 , -0.0257221
-0.178857 , -1.44752 , -0.0260864
-0.164352 , -1.44788 , -0.0264481
-0.149832 , -1.4481 , -0.0268073
-0.135298 , -1.44818 , -0.027164
-0.120751 , -1.44813 , -0.027518
-0.106192 , -1.44793 , -0.0278695
-0.0916224 , -1.4476 , -0.0282182
-0.0770444 , -1.44713 , -0.0285642
-0.0624589 , -1.44651 , -0.0289075
-0.0478674 , -1.44576 , -0.0292479
-0.0332712 , -1.44487 , -0.0295855
-0.0186717 , -1.44383 , -0.0299202
-0.00407044 , -1.44265 , -0.030252
0.0105313 , -1.44134 , -0.0305808
0.0251319 , -1.43988 , -0.0309066
0.0397301 , -1.43827 , -0.0312294
0.0543244 , -1.43653 , -0.0315491
0.0689133 , -1.43464 , -0.0318656
0.0834954 , -1.43261 , -0.032179
0.0980691 , -1.43044 , -0.0324892
0.112633 , -1.42813 , -0.0327961
0.127186 , -1.42567 , -0.0330997
0.141726 , -1.42307 , -0.0334
0.156251 , -1.42033 , -0.033697
0.170761 , -1.41744 , -0.0339906
0.185254 , -1.41441 , -0.0342807
0.199728 , -1.41123 , -0.0345673
0.214181 , -1.40792 , -0.0348504
0.228613 , -1.40445 , -0.03513
0.243021 , -1.40085 , -0.035406
0.257405 , -1.3971 , -0.0356783
0.271762 , -1.39321 , -0.035947
0.286091 , -1.38917 , -0.036212
0.30039 , -1.385 , -0.0364732
0.314659 , -1.38067 , -0.0367307
0.328894 , -1.37621 , -0.0369844
0.343096 , -1.3716 , -0.0372342
0.357262 , -1.36685 , -0.0374801
0.371391 , -1.36196 , -0.0377222
0.385481 , -1.35692 , -0.0379603
0.39953 , -1.35174 , -0.0381944
0.413537 , -1.34642 , -0.0384244
0.427501 , -1.34096 , -0.0386505
0.44142 , -1.33536 , -0.0388724
0.455292 , -1.32961 , -0.0390903
0.469115 , -1.32373 , -0.039304
0.482889 , -1.3177 , -0.0395135
0.496612 , -1.31153 , -0.0397188
0.510281 , -1.30523 , -0.0399199
0.523896 , -1.29878 , -0.0401167
0.537455 , -1.29219 , -0.0403092
0.550956 , -1.28547 , -0.0404974
0.564397 , -1.27861 , -0.0406812
0.577778 , -1.27161 , -0.0408606
0.591097 , -1.26447 , -0.0410356
0.604351 , -1.25719 , -0.0412062
0.61754 , -1.24978 , -0.0413723
0.630662 , -1.24224 , -0.0415339
0.643715 , -1.23456 , -0.041691
0.656698 , -1.22674 , -0.0418436
0.66961 , -1.21879 , -0.0419915
0.682448 , -1.2107 , -0.0421349
0.695211 , -1.20249 , -0.0422737
0.707898 , -1.19414 , -0.0424078
0.720507 , -1.18566 , -0.0425372
0.733037 , -1.17705 , -0.042662
0.745485 , -1.16831 , -0.0427821
0.757852 , -1.15944 , -0.0428974
0.770134 , -1.15044 , -0.0430079
0.782331 , -1.14131 , -0.0431138
0.794441 , -1.13206 , -0.0432148
0.806463 , -1.12268 , -0.043311
0.818394 , -1.11318 , -0.0434024
0.830235 , -1.10355 , -0.0434889
0.841983 , -1.0938 , -0.0435706
0.853636 , -1.08393 , -0.0436474
0.865194 , -1.07393 , -0.0437193
0.876655 , -1.06382 , -0.0437863
0.888017 , -1.05359 , -0.0438484
0.89928 , -1.04323 , -0.0439055
0.910441 , -1.03276 , -0.0439577
0.9215 , -1.02217 , -0.044005
0.932454 , -1.01147 , -0.0440473
0.943303 , -1.00066 , -0.0440846
0.954046 , -0.989726 , -0.0441169
0.96468 , -0.978684 , -0.0441442
0.975205 , -0.967531 , -0.0441665
0.985619 , -0.956269 , -0.0441838
0.995922 , -0.944897 , -0.0441961
1.00611 , -0.933419 , -0.0442034
1.01619 , -0.921834 , -0.0442056
