x , y , z
0.3075 , 0 , 0
0.304383 , 0.0339891 , 0
0.298144 , 0.0676295 , 0
0.28883 , 0.100572 , 0
0.27654 , 0.132479 , 0
0.261424 , 0.163032 , 0
0.243672 , 0.191941 , 0
0.223515 , 0.218956 , 0
0.201208 , 0.243863 , 0
0.177024 , 0.266497 , 0
0.151247 , 0.286732 , 0
0.124161 , 0.304487 , 0
0.0960463 , 0.319718 , 0
0.0671708 , 0.332416 , 0
0.0377877 , 0.342603 , 0
0.00813268 , 0.350323 , 0
-0.021578 , 0.355645 , 0
-0.0511482 , 0.358649 , 0
-0.0804013 , 0.35943 , 0
-0.10918 , 0.358091 , 0
-0.137346 , 0.354741 , 0
-0.164776 , 0.349491 , 0
-0.191364 , 0.342456 , 0
-0.217019 , 0.33375 , 0
-0.241659 , 0.323484 , 0
-0.265218 , 0.31177 , 0
-0.287637 , 0.298716 , 0
-0.308867 , 0.284428 , 0
-0.328868 , 0.269007 , 0
-0.347605 , 0.252553 , 0
-0.36505 , 0.23516 , 0
-0.381181 , 0.216921 , 0
-0.395981 , 0.197925 , 0
-0.409436 , 0.178255 , 0
-0.421536 , 0.157996 , 0
-0.432274 , 0.137227 , 0
-0.441646 , 0.116024 , 0
-0.449651 , 0.0944616 , 0
-0.45629 , 0.0726124 , 0
-0.461566 , 0.0505463 , 0
-0.465483 , 0.0283314 , 0
-0.468047 , 0.00603409 , 0
-0.469266 , -0.0162805 , 0
-0.46915 , -0.0385488 , 0
-0.467707 , -0.0607081 , 0
-0.464951 , -0.0826969 , 0
-0.460894 , -0.104454 , 0
-0.45555 , -0.12592 , 0
-0.448934 , -0.147034 , 0
-0.441064 , -0.167737 , 0
-0.431956 , -0.18797 , 0
-0.42163 , -0.207673 , 0
-0.410108 , -0.226786 , 0
-0.397411 , -0.24525 , 0
-0.383564 , -0.263004 , 0
-0.368594 , -0.279988 , 0
-0.352528 , -0.29614 , 0
-0.335398 , -0.311397 , 0
-0.317236 , -0.325697 , 0
-0.29808 , -0.338976 , 0
-0.277968 , -0.351168 , 0
-0.256945 , -0.362209 , 0
-0.235057 , -0.372031 , 0
-0.212357 , -0.380566 , 0
-0.1889 , -0.387746 , 0
-0.164749 , -0.393502 , 0
-0.139973 , -0.397764 , 0
-0.114647 , -0.400463 , 0
-0.0888528 , -0.401529 , 0
-0.0626826 , -0.400893 , 0
-0.0362358 , -0.398489 , 0
-0.00962229 , -0.394252 , 0
0.0170374 , -0.38812 , 0
0.0436115 , -0.380038 , 0
0.069956 , -0.369954 , 0
0.0959142 , -0.357828 , 0
0.121316 , -0.343628 , 0
0.14598 , -0.327335 , 0
0.169709 , -0.308947 , 0
0.192296 , -0.288479 , 0
0.213523 , -0.265972 , 0
0.233164 , -0.241489 , 0
0.250988 , -0.215125 , 0
0.266765 , -0.187005 , 0
0.280268 , -0.157292 , 0
0.291283 , -0.126182 , 0
0.299614 , -0.0939096 , 0
0.305093 , -0.0607431 , 0
0.307584 , -0.026982 , 0
0.306997 , 0.00704932 , 0
0.303285 , 0.0410089 , 0
0.296454 , 0.0745468 , 0
0.286565 , 0.107316 , 0
0.273729 , 0.138981 , 0
0.258104 , 0.16923 , 0
0.239891 , 0.197783 , 0
0.219327 , 0.224396 , 0
0.19667 , 0.248869 , 0
0.172197 , 0.271043 , 0
0.146191 , 0.290806 , 0
0.118936 , 0.308082 , 0
0.0907081 , 0.322838 , 0
0.0617709 , 0.335071 , 0
0.0323735 , 0.344807 , 0
0.00274639 , 0.352097 , 0
-0.0268993 , 0.35701 , 0
-0.0563722 , 0.35963 , 0
-0.0855007 , 0.360052 , 0
-0.114132 , 0.358381 , 0
-0.142131 , 0.354725 , 0
-0.16938 , 0.349196 , 0
-0.195774 , 0.341906 , 0
-0.221225 , 0.332969 , 0
-0.245656 , 0.322495 , 0
-0.269 , 0.310595 , 0
