x , y , z
16.2217 , 11.3865 , -0.167864
16.2194 , 11.3895 , -0.167823
16.2171 , 11.3925 , -0.167783
16.2148 , 11.3956 , -0.167742
16.2126 , 11.3986 , -0.167701
16.2103 , 11.4016 , -0.16766
16.208 , 11.4046 , -0.167619
16.2057 , 11.4077 , -0.167578
16.2034 , 11.4107 , -0.167537
16.2011 , 11.4137 , -0.167496
16.1988 , 11.4167 , -0.167455
16.1965 , 11.4198 , -0.167414
16.1942 , 11.4228 , -0.167373
16.192 , 11.4258 , -0.167332
16.1897 , 11.4288 , -0.167291
16.1874 , 11.4319 , -0.16725
16.1851 , 11.4349 , -0.167209
16.1828 , 11.4379 , -0.167168
16.1805 , 11.4409 , -0.167127
16.1782 , 11.444 , -0.167086
16.1759 , 11.447 , -0.167045
16.1736 , 11.45 , -0.167004
16.1713 , 11.453 , -0.166963
16.169 , 11.456 , -0.166922
16.1667 , 11.4591 , -0.166881
16.1644 , 11.4621 , -0.16684
16.1621 , 11.4651 , -0.166799
16.1598 , 11.4681 , -0.166758
16.1575 , 11.4711 , -0.166717
16.1552 , 11.4741 , -0.166676
16.1529 , 11.4772 , -0.166635
16.1506 , 11.4802 , -0.166594
16.1483 , 11.4832 , -0.166552
16.146 , 11.4862 , -0.166511
16.1437 , 11.4892 , -0.16647
16.1414 , 11.4922 , -0.166429
16.1391 , 11.4953 , -0.166388
16.1368 , 11.4983 , -0.166347
16.1345 , 11.5013 , -0.166306
16.1322 , 11.5043 , -0.166265
16.1298 , 11.5073 , -0.166223
16.1275 , 11.5103 , -0.166182
16.1252 , 11.5133 , -0.166141
16.1229 , 11.5163 , -0.1661
16.1206 , 11.5193 , -0.166059
16.1183 , 11.5224 , -0.166018
16.116 , 11.5254 , -0.165976
16.1137 , 11.5284 , -0.165935
16.1114 , 11.5314 , -0.165894
16.109 , 11.5344 , -0.165853
16.1067 , 11.5374 , -0.165812
16.1044 , 11.5404 , -0.16577
16.1021 , 11.5434 , -0.165729
16.0998 , 11.5464 , -0.165688
16.0975 , 11.5494 , -0.165647
16.0952 , 11.5524 , -0.165605
16.0928 , 11.5554 , -0.165564
16.0905 , 11.5584 , -0.165523
16.0882 , 11.5615 , -0.165482
16.0859 , 11.5645 , -0.16544
16.0836 , 11.5675 , -0.165399
16.0812 , 11.5705 , -0.165358
16.0789 , 11.5735 , -0.165317
16.0766 , 11.5765 , -0.165275
16.0743 , 11.5795 , -0.165234
16.0719 , 11.5825 , -0.165193
16.0696 , 11.5855 , -0.165151
16.0673 , 11.5885 , -0.16511
16.065 , 11.5915 , -0.165069
16.0626 , 11.5945 , -0.165027
16.0603 , 11.5975 , -0.164986
16.058 , 11.6005 , -0.164945
16.0557 , 11.6035 , -0.164903
16.0533 , 11.6065 , -0.164862
16.051 , 11.6095 , -0.164821
16.0487 , 11.6125 , -0.164779
16.0463 , 11.6155 , -0.164738
16.044 , 11.6185 , -0.164697
16.0417 , 11.6214 , -0.164655
16.0393 , 11.6244 , -0.164614
16.037 , 11.6274 , -0.164572
16.0347 , 11.6304 , -0.164531
16.0323 , 11.6334 , -0.16449
16.03 , 11.6364 , -0.164448
16.0277 , 11.6394 , -0.164407
16.0253 , 11.6424 , -0.164365
16.023 , 11.6454 , -0.164324
16.0207 , 11.6484 , -0.164282
16.0183 , 11.6514 , -0.164241
16.016 , 11.6544 , -0.1642
16.0137 , 11.6574 , -0.164158
16.0113 , 11.6603 , -0.164117
16.009 , 11.6633 , -0.164075
16.0066 , 11.6663 , -0.164034
16.0043 , 11.6693 , -0.163992
16.002 , 11.6723 , -0.163951
15.9996 , 11.6753 , -0.163909
15.9973 , 11.6783 , -0.163868
15.9949 , 11.6813 , -0.163826
15.9926 , 11.6843 , -0.163785
15.9902 , 11.6872 , -0.163743
15.9879 , 11.6902 , -0.163702
15.9855 , 11.6932 , -0.16366
15.9832 , 11.6962 , -0.163619
15.9809 , 11.6992 , -0.163577
15.9785 , 11.7022 , -0.163535
15.9762 , 11.7051 , -0.163494
15.9738 , 11.7081 , -0.163452
15.9715 , 11.7111 , -0.163411
