x , y , z
0.719402 , 0.0599883 , -0.0409897
0.717293 , 0.0799856 , -0.0405939
0.714625 , 0.0999205 , -0.0401663
0.711398 , 0.119777 , -0.0397074
0.707616 , 0.139541 , -0.0392175
0.70328 , 0.159195 , -0.0386969
0.698394 , 0.178724 , -0.0381461
0.692961 , 0.198114 , -0.0375653
0.686984 , 0.217348 , -0.0369551
0.680469 , 0.236412 , -0.0363159
0.673419 , 0.25529 , -0.0356482
0.66584 , 0.273967 , -0.0349524
0.657736 , 0.292429 , -0.0342291
0.649115 , 0.31066 , -0.0334789
0.639982 , 0.328646 , -0.0327023
0.630344 , 0.346374 , -0.0318999
0.620209 , 0.363827 , -0.0310723
0.609583 , 0.380993 , -0.0302202
0.598475 , 0.397858 , -0.0293441
0.586892 , 0.414407 , -0.0284448
0.574845 , 0.430628 , -0.0275229
0.562341 , 0.446507 , -0.0265792
0.54939 , 0.462031 , -0.0256144
0.536003 , 0.477188 , -0.0246292
0.522189 , 0.491965 , -0.0236244
0.507959 , 0.50635 , -0.0226008
0.493323 , 0.520332 , -0.0215591
0.478294 , 0.533897 , -0.0205003
0.462883 , 0.547036 , -0.019425
0.447101 , 0.559738 , -0.0183342
0.430961 , 0.571991 , -0.0172288
0.414476 , 0.583785 , -0.0161095
0.397658 , 0.595112 , -0.0149773
0.380521 , 0.60596 , -0.013833
0.363078 , 0.616321 , -0.0126777
0.345342 , 0.626186 , -0.0115121
0.327329 , 0.635546 , -0.0103373
0.309051 , 0.644394 , -0.00915411
0.290524 , 0.652722 , -0.00796355
0.271762 , 0.660522 , -0.00676655
0.252781 , 0.667788 , -0.00556409
0.233594 , 0.674514 , -0.00435712
0.214219 , 0.680693 , -0.00314661
0.19467 , 0.68632 , -0.00193356
0.174963 , 0.69139 , -0.000718939
0.155113 , 0.695898 , 0.000496268
0.135138 , 0.69984 , 0.00171107
0.115052 , 0.703213 , 0.00292448
0.0948733 , 0.706013 , 0.00413551
0.0746168 , 0.708237 , 0.00534317
0.0542994 , 0.709884 , 0.00654647
0.0339377 , 0.710951 , 0.00774442
0.0135482 , 0.711437 , 0.00893604
-0.00685233 , 0.711341 , 0.0101204
-0.0272473 , 0.710663 , 0.0112964
-0.0476199 , 0.709402 , 0.0124632
-0.0679534 , 0.707561 , 0.0136197
-0.0882313 , 0.705139 , 0.0147651
-0.108437 , 0.702138 , 0.0158984
-0.128553 , 0.698561 , 0.0170186
-0.148564 , 0.69441 , 0.0181249
-0.168452 , 0.689688 , 0.0192162
-0.188203 , 0.684398 , 0.0202917
-0.207798 , 0.678545 , 0.0213506
-0.227222 , 0.672134 , 0.0223918
-0.246458 , 0.665168 , 0.0234146
-0.265492 , 0.657654 , 0.0244181
-0.284307 , 0.649598 , 0.0254015
-0.302887 , 0.641006 , 0.0263639
-0.321217 , 0.631885 , 0.0273045
-0.339282 , 0.622242 , 0.0282226
-0.357067 , 0.612085 , 0.0291174
-0.374556 , 0.601423 , 0.0299881
-0.391737 , 0.590263 , 0.0308341
-0.408593 , 0.578616 , 0.0316545
-0.425112 , 0.56649 , 0.0324488
-0.441279 , 0.553896 , 0.0332163
-0.457081 , 0.540844 , 0.0339563
-0.472505 , 0.527344 , 0.0346682
-0.487538 , 0.513408 , 0.0353514
-0.502168 , 0.499048 , 0.0360054
-0.516382 , 0.484274 , 0.0366296
-0.530169 , 0.4691 , 0.0372235
-0.543518 , 0.453538 , 0.0377866
-0.556417 , 0.4376 , 0.0383184
-0.568856 , 0.421301 , 0.0388186
-0.580824 , 0.404653 , 0.0392866
-0.592312 , 0.38767 , 0.0397221
-0.60331 , 0.370367 , 0.0401248
-0.613809 , 0.352758 , 0.0404943
-0.623801 , 0.334857 , 0.0408304
-0.633277 , 0.316679 , 0.0411327
-0.642231 , 0.29824 , 0.041401
-0.650654 , 0.279554 , 0.0416352
-0.658539 , 0.260638 , 0.0418349
-0.665882 , 0.241506 , 0.0420002
-0.672675 , 0.222176 , 0.0421308
-0.678913 , 0.202662 , 0.0422266
-0.684592 , 0.182981 , 0.0422877
-0.689707 , 0.163149 , 0.0423139
-0.694254 , 0.143183 , 0.0423053
-0.698229 , 0.123099 , 0.0422619
-0.701631 , 0.102914 , 0.0421836
-0.704455 , 0.0826442 , 0.0420708
-0.706701 , 0.0623065 , 0.0419233
-0.708366 , 0.0419177 , 0.0417415
-0.70945 , 0.0214944 , 0.0415253
-0.709953 , 0.00105349 , 0.0412752
-0.709874 , -0.0193883 , 0.0409912
-0.709213 , -0.0398142 , 0.0406736
-0.707972 , -0.0602076 , 0.0403228
-0.706152 , -0.0805517 , 0.039939
-0.703756 , -0.10083 , 0.0395225
-0.700785 , -0.121026 , 0.0390738
-0.697242 , -0.141123 , 0.0385932
-0.693131 , -0.161106 , 0.0380812
-0.688455 , -0.180957 , 0.0375382
-0.683219 , -0.200661 , 0.0369646
-0.677428 , -0.220202 , 0.0363609
-0.671087 , -0.239564 , 0.0357278
-0.664201 , -0.258731 , 0.0350656
-0.656776 , -0.277689 , 0.034375
-0.64882 , -0.296422 , 0.0336565
-0.640338 , -0.314915 , 0.0329109
-0.631339 , -0.333154 , 0.0321386
-0.621829 , -0.351123 , 0.0313403
-0.611818 , -0.368809 , 0.0305168
-0.601314 , -0.386198 , 0.0296686
-0.590326 , -0.403275 , 0.0287966
-0.578862 , -0.420029 , 0.0279014
-0.566933 , -0.436445 , 0.0269838
-0.554549 , -0.45251 , 0.0260445
-0.541721 , -0.468212 , 0.0250843
-0.528458 , -0.483539 , 0.024104
-0.514772 , -0.498479 , 0.0231044
-0.500674 , -0.513021 , 0.0220863
-0.486176 , -0.527152 , 0.0210506
-0.47129 , -0.540863 , 0.0199981
-0.456029 , -0.554143 , 0.0189296
-0.440404 , -0.566981 , 0.0178461
-0.424429 , -0.579368 , 0.0167483
-0.408117 , -0.591295 , 0.0156373
-0.39148 , -0.602752 , 0.0145138
-0.374533 , -0.613731 , 0.0133788
-0.357289 , -0.624224 , 0.0122332
-0.339762 , -0.634222 , 0.011078
-0.321966 , -0.643719 , 0.00991392
-0.303916 , -0.652707 , 0.00874205
-0.285626 , -0.66118 , 0.00756327
-0.267111 , -0.669131 , 0.00637853
-0.248385 , -0.676555 , 0.00518877
-0.229464 , -0.683447 , 0.00399492
-0.210362 , -0.689801 , 0.00279792
-0.191095 , -0.695613 , 0.00159873
-0.171678 , -0.70088 , 0.000398282
-0.152127 , -0.705596 , -0.000802478
-0.132456 , -0.709759 , -0.00200261
-0.112681 , -0.713367 , -0.00320117
-0.0928184 , -0.716417 , -0.00439723
-0.0728831 , -0.718907 , -0.00558985
-0.0528908 , -0.720835 , -0.00677811
-0.0328573 , -0.7222 , -0.00796107
-0.0127982 , -0.723003 , -0.00913783
0.00727097 , -0.723242 , -0.0103075
0.0273344 , -0.722918 , -0.0114691
0.0473766 , -0.722032 , -0.0126218
0.067382 , -0.720584 , -0.0137646
0.087335 , -0.718576 , -0.0148968
0.10722 , -0.71601 , -0.0160174
0.127022 , -0.712889 , -0.0171256
0.146726 , -0.709214 , -0.0182205
0.166315 , -0.70499 , -0.0193013
0.185776 , -0.70022 , -0.0203671
0.205093 , -0.694908 , -0.0214171
0.224252 , -0.689058 , -0.0224506
0.243237 , -0.682676 , -0.0234667
0.262034 , -0.675765 , -0.0244647
0.280628 , -0.668332 , -0.0254438
0.299006 , -0.660384 , -0.0264032
0.317153 , -0.651925 , -0.0273422
0.335055 , -0.642963 , -0.0282602
0.352698 , -0.633505 , -0.0291563
0.37007 , -0.623559 , -0.0300299
0.387156 , -0.613131 , -0.0308804
0.403944 , -0.602232 , -0.0317071
0.42042 , -0.590868 , -0.0325093
0.436573 , -0.579048 , -0.0332865
0.452389 , -0.566783 , -0.0340381
0.467857 , -0.554081 , -0.0347634
0.482964 , -0.540953 , -0.035462
0.4977 , -0.527408 , -0.0361332
0.512052 , -0.513457 , -0.0367767
0.526011 , -0.499111 , -0.0373918
0.539564 , -0.48438 , -0.0379781
0.552702 , -0.469277 , -0.0385352
0.565414 , -0.453812 , -0.0390626
0.577691 , -0.437997 , -0.03956
0.589523 , -0.421846 , -0.0400269
0.600901 , -0.40537 , -0.0404629
0.611816 , -0.388581 , -0.0408678
0.62226 , -0.371493 , -0.0412412
0.632224 , -0.354119 , -0.0415828
0.641702 , -0.336472 , -0.0418924
0.650684 , -0.318566 , -0.0421697
0.659165 , -0.300414 , -0.0424145
0.667137 , -0.28203 , -0.0426265
0.674595 , -0.263429 , -0.0428057
0.681532 , -0.244624 , -0.0429518
0.687942 , -0.22563 , -0.0430648
0.693822 , -0.206463 , -0.0431444
0.699165 , -0.187135 , -0.0431908
0.703967 , -0.167663 , -0.0432037
0.708225 , -0.148062 , -0.0431833
0.711935 , -0.128345 , -0.0431294
0.715093 , -0.10853 , -0.0430421
0.717698 , -0.0886299 , -0.0429215
0.719746 , -0.0686615 , -0.0427676
0.721236 , -0.0486399 , -0.0425805
0.722166 , -0.0285805 , -0.0423604
0.722535 , -0.00849894 , -0.0421073
0.722343 , 0.0115892 , -0.0418216
0.721589 , 0.0316683 , -0.0415033
0.720273 , 0.0517228 , -0.0411527
0.718396 , 0.071737 , -0.0407701
0.71596 , 0.0916952 , -0.0403557
0.712965 , 0.111582 , -0.0399098
0.709413 , 0.131382 , -0.0394327
0.705307 , 0.151078 , -0.0389249
0.70065 , 0.170657 , -0.0383866
0.695444 , 0.190103 , -0.0378183
0.689694 , 0.209399 , -0.0372204
0.683403 , 0.228531 , -0.0365932
0.676576 , 0.247484 , -0.0359374
0.669218 , 0.266242 , -0.0352534
0.661334 , 0.284792 , -0.0345416
0.652929 , 0.303117 , -0.0338027
0.64401 , 0.321203 , -0.0330371
0.634584 , 0.339037 , -0.0322455
0.624657 , 0.356602 , -0.0314285
0.614237 , 0.373887 , -0.0305867
0.603331 , 0.390875 , -0.0297206
0.591948 , 0.407555 , -0.0288311
0.580095 , 0.423911 , -0.0279187
0.567784 , 0.439932 , -0.0269842
0.555021 , 0.455603 , -0.0260283
0.541818 , 0.470912 , -0.0250517
0.528183 , 0.485847 , -0.0240551
0.514128 , 0.500395 , -0.0230395
0.499664 , 0.514545 , -0.0220054
0.484801 , 0.528283 , -0.0209538
0.469551 , 0.541601 , -0.0198855
0.453926 , 0.554485 , -0.0188013
0.437937 , 0.566925 , -0.0177021
0.421598 , 0.578912 , -0.0165886
0.404921 , 0.590434 , -0.0154619
0.387918 , 0.601483 , -0.0143228
0.370605 , 0.612048 , -0.0131721
0.352993 , 0.622121 , -0.0120109
0.335097 , 0.631694 , -0.01084
0.316931 , 0.640757 , -0.00966034
0.298509 , 0.649304 , -0.00847291
0.279846 , 0.657326 , -0.00727864
0.260958 , 0.664817 , -0.00607849
0.241858 , 0.67177 , -0.00487342
0.222562 , 0.67818 , -0.00366441
0.203086 , 0.68404 , -0.00245242
0.183445 , 0.689344 , -0.00123845
0.163656 , 0.69409 , -2.34667e-005
0.143733 , 0.698271 , 0.00119153
0.123693 , 0.701884 , 0.00240556
0.103553 , 0.704926 , 0.00361763
0.0833285 , 0.707393 , 0.00482676
0.0630359 , 0.709284 , 0.00603194
0.0426919 , 0.710595 , 0.00723221
0.022313 , 0.711327 , 0.00842656
0.00191582 , 0.711476 , 0.00961403
-0.0184829 , 0.711044 , 0.0107936
-0.0388664 , 0.71003 , 0.0119644
-0.0592182 , 0.708434 , 0.0131254
-0.0795213 , 0.706257 , 0.0142756
-0.0997593 , 0.7035 , 0.0154141
-0.119915 , 0.700166 , 0.0165399
-0.139973 , 0.696257 , 0.0176521
-0.159915 , 0.691776 , 0.0187499
-0.179726 , 0.686725 , 0.0198322
-0.199389 , 0.681109 , 0.0208982
-0.218888 , 0.674933 , 0.021947
-0.238206 , 0.6682 , 0.0229777
-0.257328 , 0.660917 , 0.0239895
-0.276238 , 0.653089 , 0.0249814
-0.29492 , 0.644721 , 0.0259528
-0.313359 , 0.635822 , 0.0269028
-0.331539 , 0.626398 , 0.0278305
-0.349445 , 0.616456 , 0.0287353
-0.367062 , 0.606005 , 0.0296163
-0.384376 , 0.595053 , 0.0304728
-0.401372 , 0.58361 , 0.0313042
-0.418036 , 0.571683 , 0.0321096
-0.434355 , 0.559284 , 0.0328885
-0.450314 , 0.546422 , 0.0336402
-0.465901 , 0.533108 , 0.0343641
-0.481102 , 0.519353 , 0.0350595
-0.495905 , 0.505168 , 0.0357259
-0.510297 , 0.490565 , 0.0363627
-0.524267 , 0.475556 , 0.0369695
-0.537803 , 0.460153 , 0.0375456
-0.550894 , 0.444369 , 0.0380907
-0.563529 , 0.428218 , 0.0386042
-0.575698 , 0.411712 , 0.0390858
-0.587391 , 0.394866 , 0.0395351
-0.598597 , 0.377693 , 0.0399517
-0.609308 , 0.360207 , 0.0403352
-0.619516 , 0.342424 , 0.0406853
-0.629211 , 0.324357 , 0.0410018
