x , y , z
-0.0671335 , -0.453405 , -0.0318246
-0.0447755 , -0.454462 , -0.0339623
-0.0222802 , -0.454125 , -0.0359959
0.00028441 , -0.452376 , -0.0379176
0.0228481 , -0.449203 , -0.0397198
0.0453386 , -0.444591 , -0.0413949
0.0676814 , -0.438531 , -0.0429351
0.089799 , -0.431011 , -0.0443324
0.111611 , -0.422026 , -0.045579
0.133034 , -0.411569 , -0.0466666
0.153981 , -0.399639 , -0.0475873
0.174361 , -0.386237 , -0.0483326
0.194079 , -0.371369 , -0.0488944
0.213034 , -0.355042 , -0.0492643
0.231124 , -0.337273 , -0.0494338
0.248239 , -0.31808 , -0.0493949
0.264264 , -0.297492 , -0.0491392
0.279081 , -0.275543 , -0.0486588
0.292566 , -0.252279 , -0.047946
0.304588 , -0.227754 , -0.0469938
0.315016 , -0.202037 , -0.0457954
0.323712 , -0.175209 , -0.0443452
0.330535 , -0.147367 , -0.0426385
0.335346 , -0.118628 , -0.0406722
0.338002 , -0.0891272 , -0.0384447
0.338369 , -0.0590224 , -0.0359566
0.336314 , -0.0284953 , -0.0332113
0.331719 , 0.00224701 , -0.0302151
0.324478 , 0.0329714 , -0.0269779
0.314509 , 0.0634186 , -0.023514
0.301756 , 0.0933044 , -0.0198418
0.286198 , 0.122323 , -0.0159852
0.267853 , 0.15015 , -0.0119729
0.246787 , 0.176452 , -0.00783907
0.22312 , 0.200894 , -0.00362256
0.197023 , 0.223149 , 0.000633383
0.168726 , 0.242911 , 0.00488225
0.138507 , 0.259906 , 0.00907553
0.106692 , 0.273908 , 0.0131643
0.0736432 , 0.28474 , 0.0171007
0.0397455 , 0.292291 , 0.02084
0.00539483 , 0.296511 , 0.0243419
-0.0290162 , 0.297414 , 0.0275714
-0.0631107 , 0.295074 , 0.0305003
-0.0965386 , 0.289616 , 0.0331069
-0.128984 , 0.281211 , 0.0353766
-0.16017 , 0.270061 , 0.037301
-0.189863 , 0.256393 , 0.0388777
-0.217871 , 0.240449 , 0.0401092
-0.244041 , 0.222477 , 0.0410025
-0.26826 , 0.202727 , 0.0415679
-0.290446 , 0.181439 , 0.0418183
-0.310547 , 0.15885 , 0.0417685
-0.328537 , 0.135181 , 0.0414349
-0.344412 , 0.110642 , 0.0408343
-0.358182 , 0.085426 , 0.0399843
-0.369875 , 0.059715 , 0.0389025
-0.379529 , 0.0336747 , 0.0376061
-0.38719 , 0.00745753 , 0.0361122
-0.392911 , -0.018797 , 0.0344375
-0.396751 , -0.0449615 , 0.0325979
-0.398773 , -0.0709199 , 0.0306089
-0.399042 , -0.0965665 , 0.0284853
-0.397623 , -0.121805 , 0.0262412
-0.394584 , -0.146547 , 0.0238903
-0.389994 , -0.170713 , 0.0214454
-0.383919 , -0.194229 , 0.0189189
-0.376428 , -0.217029 , 0.0163226
-0.367588 , -0.23905 , 0.0136678
-0.357464 , -0.260237 , 0.0109652
-0.346123 , -0.280538 , 0.00822536
-0.333629 , -0.299905 , 0.00545809
-0.320046 , -0.318292 , 0.002673
-0.305438 , -0.33566 , -0.000120651
-0.289867 , -0.351969 , -0.00291392
