x , y , z
3.79345 , -9.28066 , 0.0103562
3.79829 , -9.27856 , 0.0101266
3.80313 , -9.27647 , 0.009897
3.80797 , -9.27437 , 0.00966739
3.81282 , -9.27227 , 0.00943778
3.81766 , -9.27016 , 0.00920816
3.82249 , -9.26805 , 0.00897855
3.82733 , -9.26594 , 0.00874893
3.83217 , -9.26383 , 0.00851931
3.837 , -9.26172 , 0.00828969
3.84184 , -9.2596 , 0.00806006
3.84667 , -9.25748 , 0.00783043
3.8515 , -9.25535 , 0.0076008
3.85633 , -9.25323 , 0.00737117
3.86116 , -9.2511 , 0.00714153
3.86599 , -9.24897 , 0.0069119
3.87082 , -9.24683 , 0.00668226
3.87564 , -9.2447 , 0.00645261
3.88047 , -9.24256 , 0.00622297
3.88529 , -9.24041 , 0.00599333
3.89011 , -9.23827 , 0.00576368
3.89493 , -9.23612 , 0.00553403
3.89975 , -9.23397 , 0.00530438
3.90457 , -9.23182 , 0.00507473
3.90939 , -9.22966 , 0.00484508
3.91421 , -9.2275 , 0.00461542
3.91902 , -9.22534 , 0.00438577
3.92384 , -9.22318 , 0.00415611
3.92865 , -9.22101 , 0.00392645
3.93346 , -9.21884 , 0.00369679
3.93827 , -9.21667 , 0.00346713
3.94308 , -9.21449 , 0.00323747
3.94789 , -9.21231 , 0.00300781
3.9527 , -9.21013 , 0.00277815
3.95751 , -9.20795 , 0.00254848
3.96231 , -9.20576 , 0.00231882
3.96712 , -9.20358 , 0.00208915
3.97192 , -9.20139 , 0.00185949
3.97672 , -9.19919 , 0.00162982
3.98152 , -9.19699 , 0.00140015
3.98632 , -9.1948 , 0.00117048
3.99112 , -9.19259 , 0.000940817
3.99592 , -9.19039 , 0.000711149
4.00071 , -9.18818 , 0.00048148
4.00551 , -9.18597 , 0.000251812
4.0103 , -9.18376 , 2.21433e-005
4.01509 , -9.18154 , -0.000207525
4.01988 , -9.17932 , -0.000437194
4.02467 , -9.1771 , -0.000666862
4.02946 , -9.17488 , -0.00089653
4.03425 , -9.17265 , -0.0011262
4.03904 , -9.17042 , -0.00135587
4.04382 , -9.16819 , -0.00158553
4.0486 , -9.16596 , -0.0018152
4.05339 , -9.16372 , -0.00204487
4.05817 , -9.16148 , -0.00227453
4.06295 , -9.15924 , -0.0025042
4.06773 , -9.15699 , -0.00273386
4.07251 , -9.15475 , -0.00296352
4.07728 , -9.1525 , -0.00319319
4.08206 , -9.15024 , -0.00342285
4.08683 , -9.14799 , -0.00365251
4.09161 , -9.14573 , -0.00388217
4.09638 , -9.14347 , -0.00411183
4.10115 , -9.1412 , -0.00434148
4.10592 , -9.13894 , -0.00457114
4.11069 , -9.13667 , -0.00480079
4.11545 , -9.13439 , -0.00503045
4.12022 , -9.13212 , -0.0052601
4.12498 , -9.12984 , -0.00548975
4.12975 , -9.12756 , -0.0057194
4.13451 , -9.12528 , -0.00594904
4.13927 , -9.12299 , -0.00617869
4.14403 , -9.12071 , -0.00640833
4.14879 , -9.11841 , -0.00663797
4.15355 , -9.11612 , -0.00686761
4.1583 , -9.11382 , -0.00709725
4.16306 , -9.11153 , -0.00732688
4.16781 , -9.10922 , -0.00755652
4.17256 , -9.10692 , -0.00778615
4.17732 , -9.10461 , -0.00801578
4.18207 , -9.1023 , -0.0082454
4.18682 , -9.09999 , -0.00847503
4.19156 , -9.09768 , -0.00870465
4.19631 , -9.09536 , -0.00893426
4.20105 , -9.09304 , -0.00916388
4.2058 , -9.09072 , -0.00939349
4.21054 , -9.08839 , -0.0096231
4.21528 , -9.08606 , -0.00985271
4.22002 , -9.08373 , -0.0100823
4.22476 , -9.0814 , -0.0103119
4.2295 , -9.07906 , -0.0105415
4.23424 , -9.07672 , -0.0107711
4.23897 , -9.07438 , -0.0110007
4.2437 , -9.07204 , -0.0112303
4.24844 , -9.06969 , -0.0114599
4.25317 , -9.06734 , -0.0116895
4.2579 , -9.06499 , -0.011919
4.26263 , -9.06263 , -0.0121486
4.26735 , -9.06027 , -0.0123782
4.27208 , -9.05791 , -0.0126078
4.27681 , -9.05555 , -0.0128373
4.28153 , -9.05318 , -0.0130669
4.28625 , -9.05082 , -0.0132964
4.29097 , -9.04844 , -0.013526
4.29569 , -9.04607 , -0.0137555
4.30041 , -9.04369 , -0.0139851
4.30513 , -9.04132 , -0.0142146
4.30985 , -9.03893 , -0.0144442
4.31456 , -9.03655 , -0.0146737
4.31928 , -9.03416 , -0.0149032
4.32399 , -9.03177 , -0.0151328
4.3287 , -9.02938 , -0.0153623
4.33341 , -9.02699 , -0.0155918
4.33812 , -9.02459 , -0.0158213
4.34282 , -9.02219 , -0.0160508
4.34753 , -9.01978 , -0.0162803
4.35224 , -9.01738 , -0.0165098
4.35694 , -9.01497 , -0.0167393
4.36164 , -9.01256 , -0.0169688
4.36634 , -9.01015 , -0.0171983
4.37104 , -9.00773 , -0.0174277
4.37574 , -9.00531 , -0.0176572
4.38044 , -9.00289 , -0.0178867
4.38513 , -9.00047 , -0.0181161
4.38983 , -8.99804 , -0.0183456
4.39452 , -8.99561 , -0.018575
4.39921 , -8.99318 , -0.0188045
4.4039 , -8.99074 , -0.0190339
4.40859 , -8.9883 , -0.0192634
4.41328 , -8.98586 , -0.0194928
4.41797 , -8.98342 , -0.0197222
4.42265 , -8.98098 , -0.0199516
4.42734 , -8.97853 , -0.020181
4.43202 , -8.97608 , -0.0204104
4.4367 , -8.97362 , -0.0206398
4.44138 , -8.97117 , -0.0208692
4.44606 , -8.96871 , -0.0210986
4.45074 , -8.96625 , -0.021328
4.45541 , -8.96378 , -0.0215574
4.46009 , -8.96132 , -0.0217867
4.46476 , -8.95885 , -0.0220161
4.46943 , -8.95638 , -0.0222455
4.4741 , -8.9539 , -0.0224748
4.47877 , -8.95142 , -0.0227041
4.48344 , -8.94895 , -0.0229335
4.48811 , -8.94646 , -0.0231628
4.49277 , -8.94398 , -0.0233921
4.49744 , -8.94149 , -0.0236214
4.5021 , -8.939 , -0.0238507
4.50676 , -8.93651 , -0.02408
4.51142 , -8.93401 , -0.0243093
4.51608 , -8.93151 , -0.0245386
4.52074 , -8.92901 , -0.0247679
4.5254 , -8.92651 , -0.0249972
4.53005 , -8.924 , -0.0252264
4.53471 , -8.92149 , -0.0254557
4.53936 , -8.91898 , -0.0256849
4.54401 , -8.91647 , -0.0259142
4.54866 , -8.91395 , -0.0261434
4.55331 , -8.91143 , -0.0263726
4.55795 , -8.90891 , -0.0266019
4.5626 , -8.90639 , -0.0268311
4.56724 , -8.90386 , -0.0270603
4.57189 , -8.90133 , -0.0272895
4.57653 , -8.8988 , -0.0275187
4.58117 , -8.89626 , -0.0277478
4.58581 , -8.89372 , -0.027977
4.59044 , -8.89118 , -0.0282062
4.59508 , -8.88864 , -0.0284353
4.59971 , -8.88609 , -0.0286645
4.60435 , -8.88355 , -0.0288936
4.60898 , -8.881 , -0.0291227
4.61361 , -8.87844 , -0.0293518
4.61824 , -8.87589 , -0.029581
4.62287 , -8.87333 , -0.0298101
4.62749 , -8.87077 , -0.0300392
4.63212 , -8.8682 , -0.0302682
4.63674 , -8.86564 , -0.0304973
4.64137 , -8.86307 , -0.0307264
4.64599 , -8.86049 , -0.0309554
4.65061 , -8.85792 , -0.0311845
4.65522 , -8.85534 , -0.0314135
4.65984 , -8.85276 , -0.0316426
4.66446 , -8.85018 , -0.0318716
4.66907 , -8.8476 , -0.0321006
4.67368 , -8.84501 , -0.0323296
4.6783 , -8.84242 , -0.0325586
4.68291 , -8.83983 , -0.0327876
4.68751 , -8.83723 , -0.0330165
4.69212 , -8.83463 , -0.0332455
4.69673 , -8.83203 , -0.0334745
4.70133 , -8.82943 , -0.0337034
4.70594 , -8.82682 , -0.0339323
4.71054 , -8.82422 , -0.0341613
4.71514 , -8.8216 , -0.0343902
4.71974 , -8.81899 , -0.0346191
4.72433 , -8.81637 , -0.034848
4.72893 , -8.81376 , -0.0350768
4.73352 , -8.81113 , -0.0353057
4.73812 , -8.80851 , -0.0355346
4.74271 , -8.80588 , -0.0357634
4.7473 , -8.80325 , -0.0359923
4.75189 , -8.80062 , -0.0362211
4.75648 , -8.79799 , -0.0364499
4.76106 , -8.79535 , -0.0366787
4.76565 , -8.79271 , -0.0369075
4.77023 , -8.79007 , -0.0371363
4.77481 , -8.78742 , -0.0373651
4.77939 , -8.78478 , -0.0375939
4.78397 , -8.78213 , -0.0378226
4.78855 , -8.77947 , -0.0380514
4.79313 , -8.77682 , -0.0382801
4.7977 , -8.77416 , -0.0385088
4.80228 , -8.7715 , -0.0387375
4.80685 , -8.76884 , -0.0389662
4.81142 , -8.76617 , -0.0391949
4.81599 , -8.7635 , -0.0394236
4.82056 , -8.76083 , -0.0396522
4.82512 , -8.75816 , -0.0398809
4.82969 , -8.75548 , -0.0401095
4.83425 , -8.75281 , -0.0403382
4.83881 , -8.75012 , -0.0405668
4.84337 , -8.74744 , -0.0407954
4.84793 , -8.74475 , -0.041024
4.85249 , -8.74207 , -0.0412525
4.85705 , -8.73937 , -0.0414811
