x , y , z
-0.170144 , 0.97656 , -1.82257e-005
-0.187305 , 0.973283 , -1.75585e-005
-0.204408 , 0.969705 , -1.68786e-005
-0.221449 , 0.965829 , -1.61861e-005
-0.238423 , 0.961656 , -1.54813e-005
-0.255323 , 0.957186 , -1.47643e-005
-0.272146 , 0.952421 , -1.40351e-005
-0.288885 , 0.947362 , -1.3294e-005
-0.305535 , 0.942011 , -1.25411e-005
-0.322092 , 0.936369 , -1.17766e-005
-0.33855 , 0.930438 , -1.10006e-005
-0.354903 , 0.924219 , -1.02133e-005
-0.371147 , 0.917715 , -9.41482e-006
-0.387276 , 0.910927 , -8.60541e-006
-0.403286 , 0.903857 , -7.78522e-006
-0.419172 , 0.896508 , -6.95443e-006
-0.434928 , 0.888882 , -6.11322e-006
-0.450549 , 0.880981 , -5.26177e-006
-0.466032 , 0.872807 , -4.40029e-006
-0.48137 , 0.864363 , -3.52897e-006
-0.496558 , 0.855651 , -2.648e-006
-0.511593 , 0.846675 , -1.75759e-006
-0.52647 , 0.837436 , -8.57942e-007
-0.541183 , 0.827938 , 5.0735e-008
-0.555729 , 0.818184 , 9.6823e-007
-0.570102 , 0.808176 , 1.89433e-006
-0.584298 , 0.797918 , 2.82881e-006
-0.598313 , 0.787413 , 3.77147e-006
-0.612142 , 0.776665 , 4.72206e-006
-0.625781 , 0.765676 , 5.68038e-006
-0.639226 , 0.75445 , 6.64618e-006
-0.652472 , 0.74299 , 7.61925e-006
-0.665516 , 0.7313 , 8.59934e-006
-0.678352 , 0.719384 , 9.58622e-006
-0.690979 , 0.707246 , 1.05797e-005
-0.70339 , 0.694889 , 1.15794e-005
-0.715583 , 0.682317 , 1.25853e-005
-0.727553 , 0.669534 , 1.35969e-005
-0.739298 , 0.656544 , 1.46142e-005
-0.750813 , 0.643352 , 1.56367e-005
-0.762095 , 0.629961 , 1.66644e-005
-0.77314 , 0.616375 , 1.76969e-005
-0.783944 , 0.602599 , 1.87341e-005
-0.794506 , 0.588638 , 1.97755e-005
-0.804821 , 0.574495 , 2.0821e-005
-0.814886 , 0.560175 , 2.18704e-005
-0.824698 , 0.545682 , 2.29233e-005
-0.834254 , 0.531022 , 2.39795e-005
-0.843552 , 0.516199 , 2.50388e-005
-0.852588 , 0.501216 , 2.61009e-005
-0.861359 , 0.48608 , 2.71656e-005
-0.869864 , 0.470795 , 2.82325e-005
-0.878099 , 0.455366 , 2.93014e-005
-0.886062 , 0.439797 , 3.03721e-005
-0.893751 , 0.424094 , 3.14443e-005
-0.901164 , 0.408261 , 3.25177e-005
-0.908297 , 0.392303 , 3.35921e-005
-0.91515 , 0.376226 , 3.46672e-005
-0.92172 , 0.360034 , 3.57427e-005
-0.928005 , 0.343733 , 3.68184e-005
-0.934004 , 0.327328 , 3.78941e-005
-0.939715 , 0.310823 , 3.89694e-005
-0.945135 , 0.294224 , 4.00441e-005
-0.950264 , 0.277536 , 4.1118e-005
-0.955101 , 0.260765 , 4.21907e-005
-0.959643 , 0.243915 , 4.32621e-005
-0.96389 , 0.226992 , 4.43318e-005
-0.967841 , 0.210001 , 4.53997e-005
-0.971494 , 0.192948 , 4.64653e-005
-0.974848 , 0.175837 , 4.75286e-005
-0.977903 , 0.158674 , 4.85892e-005
-0.980659 , 0.141465 , 4.96469e-005
-0.983113 , 0.124214 , 5.07015e-005
-0.985267 , 0.106928 , 5.17526e-005
-0.987119 , 0.0896102 , 5.28001e-005
-0.988668 , 0.0722675 , 5.38436e-005
-0.989916 , 0.0549048 , 5.4883e-005
-0.990861 , 0.0375276 , 5.5918e-005
-0.991504 , 0.020141 , 5.69484e-005
-0.991844 , 0.00275044 , 5.79738e-005
-0.991882 , -0.0146387 , 5.89942e-005
-0.991618 , -0.0320212 , 6.00092e-005
-0.991052 , -0.0493917 , 6.10187e-005
-0.990185 , -0.0667449 , 6.20223e-005
-0.989017 , -0.0840755 , 6.30199e-005
-0.987549 , -0.101378 , 6.40112e-005
-0.985781 , -0.118648 , 6.49961e-005
-0.983715 , -0.135879 , 6.59742e-005
-0.981351 , -0.153067 , 6.69454e-005
-0.978691 , -0.170207 , 6.79095e-005
-0.975734 , -0.187292 , 6.88662e-005
-0.972483 , -0.204318 , 6.98153e-005
-0.968939 , -0.221281 , 7.07567e-005
-0.965102 , -0.238174 , 7.16901e-005
-0.960976 , -0.254993 , 7.26154e-005
-0.95656 , -0.271732 , 7.35323e-005
-0.951856 , -0.288388 , 7.44406e-005
-0.946867 , -0.304954 , 7.53401e-005
-0.941595 , -0.321426 , 7.62308e-005
-0.93604 , -0.3378 , 7.71123e-005
-0.930204 , -0.354069 , 7.79845e-005
-0.924091 , -0.37023 , 7.88472e-005
-0.917702 , -0.386278 , 7.97003e-005
-0.911039 , -0.402208 , 8.05435e-005
-0.904104 , -0.418015 , 8.13768e-005
-0.896901 , -0.433695 , 8.21999e-005
-0.88943 , -0.449243 , 8.30127e-005
-0.881695 , -0.464655 , 8.3815e-005
-0.873699 , -0.479926 , 8.46067e-005
-0.865443 , -0.495052 , 8.53876e-005
-0.856932 , -0.510028 , 8.61576e-005
-0.848166 , -0.52485 , 8.69166e-005
-0.83915 , -0.539515 , 8.76644e-005
-0.829886 , -0.554017 , 8.84008e-005
-0.820378 , -0.568353 , 8.91258e-005
-0.810628 , -0.582518 , 8.98393e-005
-0.800639 , -0.596508 , 9.0541e-005
-0.790415 , -0.61032 , 9.12309e-005
-0.779959 , -0.62395 , 9.19089e-005
-0.769274 , -0.637394 , 9.25749e-005
-0.758364 , -0.650647 , 9.32287e-005
-0.747232 , -0.663707 , 9.38703e-005
-0.735881 , -0.67657 , 9.44995e-005
-0.724316 , -0.689231 , 9.51163e-005
-0.712539 , -0.701689 , 9.57206e-005
