x , y , z
-0.170144 , 0.97656 , -1.82257e-005
-0.187305 , 0.973283 , -1.75584e-005
-0.204408 , 0.969705 , -1.68785e-005
-0.221449 , 0.965829 , -1.6186e-005
-0.238423 , 0.961656 , -1.54812e-005
-0.255323 , 0.957186 , -1.4764e-005
-0.272146 , 0.952421 , -1.40348e-005
-0.288885 , 0.947362 , -1.32936e-005
-0.305535 , 0.942011 , -1.25406e-005
-0.322092 , 0.936369 , -1.17759e-005
-0.33855 , 0.930438 , -1.09997e-005
-0.354903 , 0.924219 , -1.02123e-005
-0.371147 , 0.917715 , -9.41364e-006
-0.387276 , 0.910927 , -8.60403e-006
-0.403286 , 0.903858 , -7.78362e-006
-0.419172 , 0.896509 , -6.95259e-006
-0.434928 , 0.888882 , -6.11112e-006
-0.45055 , 0.880981 , -5.2594e-006
-0.466032 , 0.872807 , -4.39763e-006
-0.48137 , 0.864363 , -3.526e-006
-0.496559 , 0.855651 , -2.6447e-006
-0.511594 , 0.846675 , -1.75394e-006
-0.52647 , 0.837436 , -8.53924e-007
-0.541183 , 0.827938 , 5.51412e-008
-0.555729 , 0.818184 , 9.73044e-007
-0.570102 , 0.808177 , 1.89957e-006
-0.584298 , 0.797919 , 2.83451e-006
-0.598313 , 0.787414 , 3.77763e-006
-0.612142 , 0.776665 , 4.72872e-006
-0.625781 , 0.765676 , 5.68754e-006
-0.639226 , 0.75445 , 6.65388e-006
-0.652472 , 0.74299 , 7.62751e-006
-0.665516 , 0.731301 , 8.60818e-006
-0.678353 , 0.719385 , 9.59566e-006
-0.690979 , 0.707247 , 1.05897e-005
-0.70339 , 0.69489 , 1.15901e-005
-0.715583 , 0.682318 , 1.25966e-005
-0.727554 , 0.669535 , 1.3609e-005
-0.739298 , 0.656545 , 1.46269e-005
-0.750813 , 0.643353 , 1.56503e-005
-0.762095 , 0.629961 , 1.66787e-005
-0.77314 , 0.616376 , 1.7712e-005
-0.783945 , 0.6026 , 1.87499e-005
-0.794507 , 0.588639 , 1.97922e-005
-0.804821 , 0.574496 , 2.08386e-005
-0.814887 , 0.560176 , 2.18888e-005
-0.824699 , 0.545683 , 2.29426e-005
-0.834255 , 0.531023 , 2.39997e-005
-0.843553 , 0.5162 , 2.50599e-005
-0.852589 , 0.501217 , 2.6123e-005
-0.86136 , 0.486081 , 2.71885e-005
-0.869865 , 0.470796 , 2.82564e-005
-0.8781 , 0.455367 , 2.93263e-005
-0.886064 , 0.439798 , 3.0398e-005
-0.893753 , 0.424095 , 3.14712e-005
-0.901165 , 0.408262 , 3.25456e-005
-0.908299 , 0.392305 , 3.3621e-005
-0.915152 , 0.376227 , 3.46971e-005
-0.921722 , 0.360036 , 3.57736e-005
-0.928007 , 0.343735 , 3.68504e-005
-0.934006 , 0.327329 , 3.79271e-005
-0.939716 , 0.310824 , 3.90034e-005
-0.945137 , 0.294225 , 4.00792e-005
-0.950266 , 0.277538 , 4.11541e-005
-0.955103 , 0.260766 , 4.22278e-005
-0.959645 , 0.243917 , 4.33002e-005
-0.963892 , 0.226994 , 4.4371e-005
-0.967843 , 0.210003 , 4.54398e-005
-0.971496 , 0.192949 , 4.65065e-005
-0.97485 , 0.175839 , 4.75708e-005
-0.977906 , 0.158676 , 4.86324e-005
-0.980661 , 0.141467 , 4.96911e-005
-0.983116 , 0.124216 , 5.07466e-005
-0.985269 , 0.106929 , 5.17986e-005
-0.987121 , 0.0896119 , 5.2847e-005
-0.988671 , 0.0722692 , 5.38915e-005
-0.989918 , 0.0549066 , 5.49317e-005
-0.990864 , 0.0375293 , 5.59676e-005
-0.991506 , 0.0201427 , 5.69988e-005
-0.991847 , 0.00275221 , 5.80251e-005
-0.991885 , -0.0146369 , 5.90462e-005
-0.991621 , -0.0320194 , 6.00619e-005
-0.991055 , -0.0493899 , 6.10721e-005
-0.990188 , -0.0667431 , 6.20763e-005
-0.98902 , -0.0840737 , 6.30745e-005
-0.987552 , -0.101376 , 6.40663e-005
-0.985785 , -0.118646 , 6.50517e-005
-0.983719 , -0.135878 , 6.60302e-005
-0.981355 , -0.153065 , 6.70017e-005
-0.978694 , -0.170205 , 6.79661e-005
-0.975738 , -0.18729 , 6.8923e-005
-0.972487 , -0.204316 , 6.98722e-005
-0.968942 , -0.221279 , 7.08136e-005
-0.965106 , -0.238172 , 7.1747e-005
-0.960979 , -0.254991 , 7.26721e-005
-0.956564 , -0.27173 , 7.35887e-005
-0.951861 , -0.288386 , 7.44966e-005
-0.946872 , -0.304952 , 7.53957e-005
-0.941599 , -0.321424 , 7.62857e-005
-0.936044 , -0.337798 , 7.71664e-005
-0.930209 , -0.354067 , 7.80377e-005
-0.924096 , -0.370228 , 7.88994e-005
-0.917707 , -0.386276 , 7.97513e-005
-0.911044 , -0.402206 , 8.05932e-005
-0.904109 , -0.418013 , 8.1425e-005
-0.896906 , -0.433693 , 8.22464e-005
-0.889435 , -0.449241 , 8.30574e-005
-0.8817 , -0.464653 , 8.38576e-005
-0.873704 , -0.479924 , 8.46471e-005
-0.865449 , -0.49505 , 8.54256e-005
-0.856937 , -0.510026 , 8.6193e-005
-0.848172 , -0.524849 , 8.69491e-005
-0.839156 , -0.539513 , 8.76937e-005
-0.829892 , -0.554015 , 8.84268e-005
-0.820384 , -0.568351 , 8.91482e-005
-0.810633 , -0.582516 , 8.98578e-005
-0.800645 , -0.596507 , 9.05554e-005
-0.790421 , -0.610319 , 9.12409e-005
-0.779965 , -0.623949 , 9.19142e-005
-0.76928 , -0.637392 , 9.25752e-005
-0.75837 , -0.650646 , 9.32237e-005
-0.747238 , -0.663706 , 9.38597e-005
-0.735888 , -0.676569 , 9.4483e-005
-0.724322 , -0.68923 , 9.50935e-005
-0.712546 , -0.701688 , 9.56912e-005
-0.700562 , -0.713937 , 9.62758e-005
-0.688374 , -0.725975 , 9.68475e-005
-0.675986 , -0.737799 , 9.7406e-005
-0.663402 , -0.749405 , 9.79512e-005
-0.650625 , -0.76079 , 9.84831e-005
-0.63766 , -0.771951 , 9.90017e-005
-0.624511 , -0.782884 , 9.95068e-005
-0.611181 , -0.793588 , 9.99984e-005
-0.597675 , -0.804059 , 0.000100476
-0.583996 , -0.814294 , 0.000100941
-0.57015 , -0.824291 , 0.000101391
-0.556139 , -0.834046 , 0.000101828
-0.541969 , -0.843558 , 0.000102251
-0.527643 , -0.852824 , 0.000102661
-0.513166 , -0.86184 , 0.000103056
-0.498542 , -0.870606 , 0.000103437
-0.483776 , -0.879119 , 0.000103805
-0.468871 , -0.887376 , 0.000104158
-0.453833 , -0.895375 , 0.000104498
-0.438666 , -0.903114 , 0.000104823
-0.423374 , -0.910592 , 0.000105135
-0.407962 , -0.917806 , 0.000105432
-0.392434 , -0.924755 , 0.000105716
-0.376795 , -0.931437 , 0.000105985
-0.361049 , -0.937849 , 0.00010624
-0.345202 , -0.943991 , 0.000106481
-0.329257 , -0.949861 , 0.000106708
-0.31322 , -0.955458 , 0.000106921
-0.297094 , -0.96078 , 0.00010712
-0.280885 , -0.965826 , 0.000107306
-0.264598 , -0.970594 , 0.000107477
-0.248237 , -0.975084 , 0.000107634
-0.231806 , -0.979295 , 0.000107777
-0.215311 , -0.983225 , 0.000107906
-0.198757 , -0.986874 , 0.000108022
-0.182147 , -0.990241 , 0.000108123
-0.165487 , -0.993325 , 0.000108211
-0.148782 , -0.996125 , 0.000108285
-0.132036 , -0.998642 , 0.000108346
-0.115254 , -1.00087 , 0.000108393
-0.0984406 , -1.00282 , 0.000108426
-0.0816012 , -1.00448 , 0.000108446
-0.0647401 , -1.00586 , 0.000108453
-0.0478623 , -1.00695 , 0.000108446
-0.0309724 , -1.00775 , 0.000108426
-0.0140752 , -1.00827 , 0.000108393
0.0028245 , -1.0085 , 0.000108346
0.0197219 , -1.00845 , 0.000108287
0.0366124 , -1.00811 , 0.000108214
0.053491 , -1.00748 , 0.000108129
0.0703532 , -1.00658 , 0.000108031
0.0871942 , -1.00538 , 0.000107921
0.104009 , -1.0039 , 0.000107798
0.120794 , -1.00214 , 0.000107662
0.137543 , -1.0001 , 0.000107514
0.154252 , -0.997772 , 0.000107354
0.170916 , -0.995165 , 0.000107182
0.187531 , -0.992277 , 0.000106998
0.204093 , -0.98911 , 0.000106802
0.220595 , -0.985664 , 0.000106594
0.237035 , -0.981942 , 0.000106374
0.253407 , -0.977943 , 0.000106144
0.269707 , -0.973669 , 0.000105901
0.28593 , -0.969121 , 0.000105648
0.302071 , -0.964302 , 0.000105383
0.318127 , -0.959211 , 0.000105108
0.334093 , -0.953852 , 0.000104821
0.349965 , -0.948225 , 0.000104524
0.365737 , -0.942331 , 0.000104217
0.381406 , -0.936174 , 0.000103899
0.396967 , -0.929754 , 0.000103571
0.412417 , -0.923074 , 0.000103233
0.42775 , -0.916135 , 0.000102885
0.442963 , -0.908939 , 0.000102527
0.458051 , -0.901489 , 0.00010216
0.473011 , -0.893786 , 0.000101783
0.487837 , -0.885833 , 0.000101398
0.502527 , -0.877632 , 0.000101003
0.517075 , -0.869186 , 0.000100599
0.531478 , -0.860496 , 0.000100186
0.545732 , -0.851565 , 9.97654e-005
0.559834 , -0.842397 , 9.93361e-005
0.573778 , -0.832992 , 9.88986e-005
0.587561 , -0.823354 , 9.84532e-005
0.60118 , -0.813486 , 9.79999e-005
0.614631 , -0.803391 , 9.75391e-005
0.627909 , -0.79307 , 9.70708e-005
0.641012 , -0.782528 , 9.65954e-005
0.653935 , -0.771767 , 9.61129e-005
0.666676 , -0.76079 , 9.56236e-005
0.67923 , -0.749599 , 9.51277e-005
0.691594 , -0.738199 , 9.46253e-005
0.703764 , -0.726593 , 9.41168e-005
0.715738 , -0.714782 , 9.36022e-005
0.727511 , -0.702772 , 9.30818e-005
0.739081 , -0.690564 , 9.25558e-005
0.750445 , -0.678164 , 9.20244e-005
0.761598 , -0.665573 , 9.14878e-005
0.772539 , -0.652795 , 9.09462e-005
0.783263 , -0.639834 , 9.03999e-005
0.793769 , -0.626694 , 8.9849e-005
0.804052 , -0.613378 , 8.92937e-005
0.81411 , -0.599889 , 8.87344e-005
0.823941 , -0.586232 , 8.81711e-005
0.833541 , -0.57241 , 8.76042e-005
0.842908 , -0.558428 , 8.70338e-005
0.852038 , -0.544288 , 8.64601e-005
0.860931 , -0.529994 , 8.58835e-005
0.869582 , -0.515552 , 8.5304e-005
0.877989 , -0.500964 , 8.47219e-005
0.886151 , -0.486235 , 8.41375e-005
0.894064 , -0.471368 , 8.3551e-005
0.901726 , -0.456369 , 8.29625e-005
0.909135 , -0.44124 , 8.23724e-005
0.91629 , -0.425986 , 8.17808e-005
0.923187 , -0.410612 , 8.1188e-005
