x , y , z
0.522349 , -5.19358 , 0.00985376
0.529747 , -5.19246 , 0.00968356
0.537145 , -5.19133 , 0.00951335
0.544542 , -5.19018 , 0.00934311
0.551937 , -5.18902 , 0.00917286
0.559332 , -5.18786 , 0.00900259
0.566725 , -5.18668 , 0.0088323
0.574117 , -5.18549 , 0.00866199
0.581508 , -5.1843 , 0.00849166
0.588898 , -5.18309 , 0.00832132
0.596286 , -5.18187 , 0.00815096
0.603673 , -5.18064 , 0.00798058
0.611059 , -5.17939 , 0.00781019
0.618444 , -5.17814 , 0.00763978
0.625827 , -5.17688 , 0.00746935
0.633209 , -5.17561 , 0.00729891
0.64059 , -5.17432 , 0.00712845
0.647969 , -5.17303 , 0.00695798
0.655347 , -5.17172 , 0.00678749
0.662724 , -5.17041 , 0.00661699
0.670099 , -5.16908 , 0.00644648
0.677473 , -5.16774 , 0.00627595
0.684846 , -5.16639 , 0.00610541
0.692217 , -5.16503 , 0.00593486
0.699586 , -5.16366 , 0.0057643
0.706955 , -5.16228 , 0.00559372
0.714321 , -5.16089 , 0.00542313
0.721686 , -5.15949 , 0.00525253
0.72905 , -5.15808 , 0.00508192
0.736412 , -5.15665 , 0.0049113
0.743773 , -5.15522 , 0.00474067
0.751132 , -5.15377 , 0.00457003
0.75849 , -5.15232 , 0.00439938
0.765846 , -5.15085 , 0.00422872
0.7732 , -5.14937 , 0.00405806
0.780553 , -5.14788 , 0.00388738
0.787904 , -5.14639 , 0.0037167
0.795253 , -5.14488 , 0.003546
0.802601 , -5.14336 , 0.0033753
0.809947 , -5.14183 , 0.0032046
0.817291 , -5.14028 , 0.00303389
0.824634 , -5.13873 , 0.00286317
0.831975 , -5.13717 , 0.00269244
0.839314 , -5.1356 , 0.00252171
0.846652 , -5.13401 , 0.00235098
0.853988 , -5.13242 , 0.00218024
0.861321 , -5.13081 , 0.00200949
0.868654 , -5.12919 , 0.00183874
0.875984 , -5.12757 , 0.00166799
0.883312 , -5.12593 , 0.00149723
0.890639 , -5.12428 , 0.00132648
0.897964 , -5.12262 , 0.00115571
0.905287 , -5.12095 , 0.00098495
0.912608 , -5.11927 , 0.000814184
0.919927 , -5.11758 , 0.000643416
0.927244 , -5.11588 , 0.000472648
0.934559 , -5.11416 , 0.000301878
0.941872 , -5.11244 , 0.000131107
0.949183 , -5.11071 , -3.96633e-005
0.956493 , -5.10896 , -0.000210434
0.9638 , -5.10721 , -0.000381204
0.971105 , -5.10544 , -0.000551973
0.978408 , -5.10366 , -0.00072274
0.985709 , -5.10188 , -0.000893507
0.993009 , -5.10008 , -0.00106427
1.00031 , -5.09827 , -0.00123503
1.0076 , -5.09645 , -0.00140579
1.01489 , -5.09462 , -0.00157655
1.02218 , -5.09278 , -0.0017473
1.02947 , -5.09093 , -0.00191805
1.03676 , -5.08906 , -0.0020888
1.04404 , -5.08719 , -0.00225954
1.05132 , -5.08531 , -0.00243027
1.0586 , -5.08341 , -0.002601
1.06588 , -5.08151 , -0.00277173
1.07316 , -5.07959 , -0.00294245
1.08043 , -5.07767 , -0.00311316
1.0877 , -5.07573 , -0.00328387
1.09497 , -5.07378 , -0.00345457
1.10224 , -5.07182 , -0.00362526
1.1095 , -5.06985 , -0.00379594
1.11676 , -5.06787 , -0.00396662
1.12402 , -5.06588 , -0.00413729
1.13128 , -5.06388 , -0.00430795
1.13853 , -5.06187 , -0.0044786
1.14578 , -5.05985 , -0.00464924
1.15303 , -5.05782 , -0.00481987
1.16028 , -5.05577 , -0.00499049
1.16752 , -5.05372 , -0.0051611
1.17477 , -5.05165 , -0.0053317
1.18201 , -5.04958 , -0.00550228
1.18924 , -5.04749 , -0.00567286
1.19648 , -5.0454 , -0.00584342
1.20371 , -5.04329 , -0.00601397
1.21094 , -5.04117 , -0.00618451
1.21817 , -5.03904 , -0.00635504
1.22539 , -5.0369 , -0.00652555
1.23261 , -5.03475 , -0.00669605
1.23983 , -5.03259 , -0.00686653
1.24705 , -5.03042 , -0.007037
1.25426 , -5.02824 , -0.00720746
1.26147 , -5.02605 , -0.0073779
1.26868 , -5.02385 , -0.00754832
1.27589 , -5.02163 , -0.00771873
1.28309 , -5.01941 , -0.00788912
1.29029 , -5.01717 , -0.00805949
1.29749 , -5.01493 , -0.00822985
1.30469 , -5.01267 , -0.00840019
1.31188 , -5.01041 , -0.00857051
1.31907 , -5.00813 , -0.00874082
1.32626 , -5.00584 , -0.0089111
1.33344 , -5.00354 , -0.00908137
1.34062 , -5.00123 , -0.00925162
1.3478 , -4.99891 , -0.00942184
1.35497 , -4.99658 , -0.00959205
1.36215 , -4.99424 , -0.00976224
1.36932 , -4.99189 , -0.0099324
1.37648 , -4.98953 , -0.0101026
1.38365 , -4.98716 , -0.0102727
1.39081 , -4.98478 , -0.0104428
1.39797 , -4.98238 , -0.0106129
1.40512 , -4.97998 , -0.0107829
1.41227 , -4.97756 , -0.0109529
1.41942 , -4.97514 , -0.011123
1.42657 , -4.9727 , -0.0112929
1.43371 , -4.97026 , -0.0114629
1.44085 , -4.9678 , -0.0116328
1.44799 , -4.96533 , -0.0118028
1.45512 , -4.96285 , -0.0119727
1.46225 , -4.96037 , -0.0121425
1.46938 , -4.95787 , -0.0123124
1.4765 , -4.95536 , -0.0124822
1.48363 , -4.95284 , -0.0126519
1.49074 , -4.95031 , -0.0128217
1.49786 , -4.94777 , -0.0129914
1.50497 , -4.94521 , -0.0131611
1.51208 , -4.94265 , -0.0133308
1.51918 , -4.94008 , -0.0135005
1.52629 , -4.9375 , -0.0136701
1.53339 , -4.9349 , -0.0138397
1.54048 , -4.9323 , -0.0140092
1.54757 , -4.92968 , -0.0141788
1.55466 , -4.92706 , -0.0143483
1.56175 , -4.92442 , -0.0145177
1.56883 , -4.92178 , -0.0146872
1.57591 , -4.91912 , -0.0148566
1.58299 , -4.91645 , -0.0150259
1.59006 , -4.91378 , -0.0151953
1.59713 , -4.91109 , -0.0153646
1.60419 , -4.90839 , -0.0155339
1.61125 , -4.90568 , -0.0157031
1.61831 , -4.90296 , -0.0158723
1.62537 , -4.90023 , -0.0160415
1.63242 , -4.89749 , -0.0162106
1.63947 , -4.89474 , -0.0163797
1.64651 , -4.89198 , -0.0165488
1.65355 , -4.88921 , -0.0167178
1.66059 , -4.88643 , -0.0168868
1.66762 , -4.88363 , -0.0170558
1.67466 , -4.88083 , -0.0172247
1.68168 , -4.87802 , -0.0173936
1.68871 , -4.87519 , -0.0175625
1.69573 , -4.87236 , -0.0177313
1.70274 , -4.86951 , -0.0179001
1.70975 , -4.86666 , -0.0180688
1.71676 , -4.86379 , -0.0182375
1.72377 , -4.86092 , -0.0184062
1.73077 , -4.85803 , -0.0185748
1.73777 , -4.85513 , -0.0187434
1.74476 , -4.85223 , -0.0189119
1.75175 , -4.84931 , -0.0190804
1.75874 , -4.84638 , -0.0192489
1.76572 , -4.84344 , -0.0194173
1.7727 , -4.84049 , -0.0195857
1.77967 , -4.83754 , -0.019754
1.78664 , -4.83457 , -0.0199223
1.79361 , -4.83159 , -0.0200906
1.80058 , -4.8286 , -0.0202588
1.80753 , -4.82559 , -0.0204269
1.81449 , -4.82258 , -0.0205951
1.82144 , -4.81956 , -0.0207631
1.82839 , -4.81653 , -0.0209312
1.83533 , -4.81349 , -0.0210991
1.84227 , -4.81044 , -0.0212671
1.84921 , -4.80737 , -0.021435
1.85614 , -4.8043 , -0.0216028
1.86307 , -4.80122 , -0.0217706
1.86999 , -4.79812 , -0.0219384
1.87692 , -4.79502 , -0.0221061
1.88383 , -4.79191 , -0.0222738
1.89074 , -4.78878 , -0.0224414
1.89765 , -4.78565 , -0.0226089
1.90455 , -4.7825 , -0.0227764
1.91145 , -4.77935 , -0.0229439
1.91835 , -4.77618 , -0.0231113
1.92524 , -4.773 , -0.0232787
1.93213 , -4.76982 , -0.023446
1.93901 , -4.76662 , -0.0236133
1.94589 , -4.76341 , -0.0237805
1.95277 , -4.7602 , -0.0239477
1.95964 , -4.75697 , -0.0241148
1.9665 , -4.75373 , -0.0242818
1.97336 , -4.75048 , -0.0244488
1.98022 , -4.74722 , -0.0246158
1.98708 , -4.74396 , -0.0247827
1.99392 , -4.74068 , -0.0249495
2.00077 , -4.73739 , -0.0251163
2.00761 , -4.73409 , -0.0252831
2.01445 , -4.73078 , -0.0254498
2.02128 , -4.72746 , -0.0256164
2.02811 , -4.72413 , -0.025783
2.03493 , -4.72079 , -0.0259495
2.04175 , -4.71744 , -0.0261159
