x , y , z
-1.32391 , -0.878318 , 0.0138521
-1.31551 , -0.888656 , 0.0134296
-1.30703 , -0.898928 , 0.0130062
-1.29844 , -0.909134 , 0.0125818
-1.28976 , -0.919272 , 0.0121564
-1.28099 , -0.929341 , 0.0117302
-1.27212 , -0.939341 , 0.0113031
-1.26315 , -0.949271 , 0.0108751
-1.25409 , -0.959129 , 0.0104464
-1.24494 , -0.968915 , 0.0100169
-1.2357 , -0.978628 , 0.00958657
-1.22636 , -0.988267 , 0.00915557
-1.21693 , -0.997831 , 0.00872389
-1.20741 , -1.00732 , 0.00829155
-1.1978 , -1.01673 , 0.00785859
-1.1881 , -1.02607 , 0.00742503
-1.17831 , -1.03532 , 0.00699092
-1.16843 , -1.0445 , 0.00655627
-1.15846 , -1.0536 , 0.00612112
-1.1484 , -1.06261 , 0.00568551
-1.13825 , -1.07154 , 0.00524947
-1.12802 , -1.08039 , 0.00481302
-1.1177 , -1.08916 , 0.00437621
-1.1073 , -1.09784 , 0.00393905
-1.09681 , -1.10644 , 0.0035016
-1.08623 , -1.11495 , 0.00306388
-1.07557 , -1.12337 , 0.00262592
-1.06483 , -1.13171 , 0.00218776
-1.054 , -1.13995 , 0.00174943
-1.04309 , -1.14811 , 0.00131097
-1.0321 , -1.15617 , 0.000872403
-1.02103 , -1.16415 , 0.000433772
-1.00988 , -1.17203 , -4.89084e-006
-0.998651 , -1.17982 , -0.000443551
-0.987342 , -1.18751 , -0.000882173
-0.975954 , -1.19511 , -0.00132072
-0.964489 , -1.20261 , -0.00175917
-0.952947 , -1.21002 , -0.00219746
-0.941329 , -1.21733 , -0.00263558
-0.929635 , -1.22454 , -0.00307349
-0.917867 , -1.23165 , -0.00351115
-0.906025 , -1.23866 , -0.00394851
-0.89411 , -1.24557 , -0.00438556
-0.882123 , -1.25238 , -0.00482225
-0.870065 , -1.25908 , -0.00525854
-0.857935 , -1.26568 , -0.0056944
-0.845736 , -1.27218 , -0.0061298
-0.833468 , -1.27857 , -0.00656468
-0.821131 , -1.28486 , -0.00699903
-0.808728 , -1.29104 , -0.00743279
-0.796257 , -1.29712 , -0.00786594
-0.783721 , -1.30308 , -0.00829843
-0.77112 , -1.30894 , -0.00873023
-0.758455 , -1.31468 , -0.00916129
-0.745728 , -1.32032 , -0.00959159
-0.732938 , -1.32585 , -0.0100211
-0.720086 , -1.33126 , -0.0104497
-0.707175 , -1.33656 , -0.0108775
-0.694204 , -1.34175 , -0.0113043
-0.681174 , -1.34682 , -0.0117302
-0.668088 , -1.35178 , -0.0121551
-0.654944 , -1.35662 , -0.0125789
-0.641745 , -1.36134 , -0.0130017
-0.628491 , -1.36595 , -0.0134234
-0.615184 , -1.37044 , -0.0138438
-0.601825 , -1.37481 , -0.0142631
-0.588413 , -1.37906 , -0.0146812
-0.574951 , -1.3832 , -0.015098
-0.56144 , -1.38721 , -0.0155135
-0.54788 , -1.3911 , -0.0159276
-0.534272 , -1.39487 , -0.0163403
-0.520619 , -1.39851 , -0.0167516
-0.50692 , -1.40203 , -0.0171614
-0.493176 , -1.40543 , -0.0175698
-0.47939 , -1.40871 , -0.0179765
-0.465562 , -1.41186 , -0.0183817
-0.451692 , -1.41488 , -0.0187852
-0.437783 , -1.41777 , -0.0191871
-0.423836 , -1.42054 , -0.0195872
-0.40985 , -1.42319 , -0.0199856
-0.395829 , -1.4257 , -0.0203822
-0.381772 , -1.42808 , -0.0207769
-0.367681 , -1.43034 , -0.0211698
-0.353558 , -1.43246 , -0.0215608
-0.339402 , -1.43446 , -0.0219498
-0.325217 , -1.43632 , -0.0223368
-0.311002 , -1.43805 , -0.0227217
-0.296759 , -1.43966 , -0.0231046
-0.282489 , -1.44112 , -0.0234854
-0.268194 , -1.44246 , -0.023864
-0.253875 , -1.44366 , -0.0242404
-0.239532 , -1.44473 , -0.0246146
-0.225168 , -1.44566 , -0.0249864
-0.210783 , -1.44646 , -0.025356
-0.196379 , -1.44712 , -0.0257232
-0.181957 , -1.44765 , -0.026088
-0.167518 , -1.44804 , -0.0264503
-0.153065 , -1.44829 , -0.0268102
-0.138597 , -1.44841 , -0.0271675
-0.124117 , -1.44839 , -0.0275222
-0.109625 , -1.44823 , -0.0278744
-0.0951231 , -1.44794 , -0.0282239
-0.0806128 , -1.44751 , -0.0285707
-0.0660953 , -1.44693 , -0.0289148
-0.0515719 , -1.44622 , -0.0292561
-0.037044 , -1.44537 , -0.0295947
-0.022513 , -1.44438 , -0.0299303
-0.0079802 , -1.44325 , -0.0302631
0.00655287 , -1.44199 , -0.030593
0.0210849 , -1.44058 , -0.0309199
0.0356144 , -1.43903 , -0.0312438
0.05014 , -1.43734 , -0.0315646
0.0646602 , -1.4355 , -0.0318824
0.0791737 , -1.43353 , -0.032197
0.0936789 , -1.43142 , -0.0325085
0.108175 , -1.42916 , -0.0328168
0.122659 , -1.42677 , -0.0331218
0.137131 , -1.42423 , -0.0334236
0.151589 , -1.42155 , -0.0337221
0.166031 , -1.41873 , -0.0340172
0.180457 , -1.41577 , -0.0343089
0.194864 , -1.41266 , -0.0345972
0.209251 , -1.40942 , -0.0348821
0.223616 , -1.40603 , -0.0351634
0.237959 , -1.4025 , -0.0354412
0.252277 , -1.39882 , -0.0357154
0.266569 , -1.39501 , -0.0359861
0.280834 , -1.39106 , -0.0362531
0.29507 , -1.38696 , -0.0365164
0.309276 , -1.38272 , -0.036776
0.323449 , -1.37834 , -0.0370318
0.337589 , -1.37382 , -0.0372839
0.351694 , -1.36916 , -0.0375321
0.365763 , -1.36435 , -0.0377765
0.379793 , -1.35941 , -0.038017
0.393784 , -1.35432 , -0.0382536
0.407734 , -1.3491 , -0.0384862
0.421641 , -1.34373 , -0.0387149
0.435504 , -1.33823 , -0.0389395
0.449321 , -1.33258 , -0.0391601
0.463091 , -1.3268 , -0.0393767
0.476813 , -1.32088 , -0.0395891
0.490484 , -1.31482 , -0.0397973
0.504103 , -1.30862 , -0.0400014
0.517668 , -1.30228 , -0.0402013
0.531179 , -1.2958 , -0.040397
0.544634 , -1.28919 , -0.0405884
0.55803 , -1.28244 , -0.0407755
0.571367 , -1.27555 , -0.0409583
0.584643 , -1.26853 , -0.0411368
0.597856 , -1.26138 , -0.0413109
0.611006 , -1.25409 , -0.0414806
0.62409 , -1.24666 , -0.0416459
0.637106 , -1.2391 , -0.0418067
0.650054 , -1.23141 , -0.0419631
0.662932 , -1.22358 , -0.0421149
0.675739 , -1.21563 , -0.0422623
0.688472 , -1.20754 , -0.0424051
0.701131 , -1.19932 , -0.0425433
0.713713 , -1.19097 , -0.0426769
0.726218 , -1.18249 , -0.042806
0.738644 , -1.17389 , -0.0429303
0.75099 , -1.16515 , -0.0430501
0.763253 , -1.15629 , -0.0431651
0.775433 , -1.1473 , -0.0432755
0.787528 , -1.13819 , -0.0433812
0.799537 , -1.12895 , -0.0434821
0.811458 , -1.11959 , -0.0435782
0.82329 , -1.11011 , -0.0436696
0.835031 , -1.1005 , -0.0437563
0.84668 , -1.09077 , -0.0438381
0.858236 , -1.08092 , -0.0439151
0.869696 , -1.07095 , -0.0439872
0.881061 , -1.06087 , -0.0440546
0.892328 , -1.05066 , -0.044117
0.903496 , -1.04034 , -0.0441746
0.914564 , -1.02991 , -0.0442273
0.92553 , -1.01936 , -0.0442752
0.936393 , -1.00869 , -0.0443181
0.947152 , -0.997914 , -0.0443561
0.957805 , -0.987026 , -0.0443891
0.968351 , -0.976027 , -0.0444173
0.97879 , -0.964919 , -0.0444405
0.989118 , -0.953703 , -0.0444587
0.999336 , -0.94238 , -0.044472
1.00944 , -0.930951 , -0.0444803
