x , y , z
-0.00379862 , 0.00743993 , 2.30301e-005
-0.00380695 , 0.00743793 , 2.326e-005
-0.00381529 , 0.00743592 , 2.34899e-005
-0.00382362 , 0.00743391 , 2.37199e-005
-0.00383195 , 0.00743189 , 2.39498e-005
-0.00384028 , 0.00742985 , 2.41798e-005
-0.00384861 , 0.00742781 , 2.44098e-005
-0.00385694 , 0.00742576 , 2.46398e-005
-0.00386527 , 0.0074237 , 2.48699e-005
-0.00387359 , 0.00742163 , 2.50999e-005
-0.00388192 , 0.00741955 , 2.533e-005
-0.00389025 , 0.00741746 , 2.556e-005
-0.00389857 , 0.00741536 , 2.57901e-005
-0.00390689 , 0.00741325 , 2.60202e-005
-0.00391522 , 0.00741113 , 2.62504e-005
-0.00392354 , 0.007409 , 2.64805e-005
-0.00393186 , 0.00740687 , 2.67107e-005
-0.00394018 , 0.00740472 , 2.69408e-005
-0.0039485 , 0.00740257 , 2.7171e-005
-0.00395682 , 0.0074004 , 2.74012e-005
-0.00396514 , 0.00739823 , 2.76314e-005
-0.00397345 , 0.00739605 , 2.78616e-005
-0.00398177 , 0.00739386 , 2.80919e-005
-0.00399008 , 0.00739165 , 2.83221e-005
-0.0039984 , 0.00738944 , 2.85524e-005
-0.00400671 , 0.00738722 , 2.87826e-005
-0.00401502 , 0.00738499 , 2.90129e-005
-0.00402333 , 0.00738275 , 2.92432e-005
-0.00403165 , 0.0073805 , 2.94735e-005
-0.00403995 , 0.00737824 , 2.97038e-005
-0.00404826 , 0.00737598 , 2.99341e-005
-0.00405657 , 0.0073737 , 3.01644e-005
-0.00406488 , 0.00737141 , 3.03948e-005
-0.00407319 , 0.00736912 , 3.06251e-005
-0.00408149 , 0.00736681 , 3.08555e-005
-0.00408979 , 0.00736449 , 3.10858e-005
-0.0040981 , 0.00736217 , 3.13162e-005
-0.0041064 , 0.00735984 , 3.15466e-005
-0.0041147 , 0.00735749 , 3.1777e-005
-0.004123 , 0.00735514 , 3.20073e-005
-0.0041313 , 0.00735277 , 3.22377e-005
-0.0041396 , 0.0073504 , 3.24681e-005
-0.0041479 , 0.00734802 , 3.26985e-005
-0.0041562 , 0.00734563 , 3.2929e-005
-0.00416449 , 0.00734323 , 3.31594e-005
-0.00417279 , 0.00734081 , 3.33898e-005
-0.00418108 , 0.00733839 , 3.36202e-005
-0.00418938 , 0.00733596 , 3.38507e-005
-0.00419767 , 0.00733352 , 3.40811e-005
-0.00420596 , 0.00733107 , 3.43115e-005
-0.00421425 , 0.00732861 , 3.4542e-005
-0.00422254 , 0.00732614 , 3.47724e-005
-0.00423083 , 0.00732366 , 3.50028e-005
-0.00423912 , 0.00732117 , 3.52333e-005
-0.0042474 , 0.00731868 , 3.54637e-005
-0.00425569 , 0.00731617 , 3.56942e-005
-0.00426397 , 0.00731365 , 3.59246e-005
-0.00427226 , 0.00731112 , 3.61551e-005
-0.00428054 , 0.00730858 , 3.63855e-005
-0.00428882 , 0.00730604 , 3.6616e-005
-0.0042971 , 0.00730348 , 3.68464e-005
-0.00430538 , 0.00730091 , 3.70769e-005
-0.00431366 , 0.00729833 , 3.73073e-005
-0.00432194 , 0.00729575 , 3.75378e-005
-0.00433021 , 0.00729315 , 3.77682e-005
-0.00433849 , 0.00729054 , 3.79987e-005
-0.00434676 , 0.00728793 , 3.82291e-005
-0.00435504 , 0.0072853 , 3.84595e-005
-0.00436331 , 0.00728266 , 3.869e-005
-0.00437158 , 0.00728002 , 3.89204e-005
-0.00437985 , 0.00727736 , 3.91508e-005
-0.00438812 , 0.00727469 , 3.93813e-005
-0.00439638 , 0.00727202 , 3.96117e-005
-0.00440465 , 0.00726933 , 3.98421e-005
-0.00441291 , 0.00726663 , 4.00725e-005
-0.00442118 , 0.00726393 , 4.03029e-005
-0.00442944 , 0.00726121 , 4.05333e-005
-0.0044377 , 0.00725848 , 4.07637e-005
-0.00444596 , 0.00725575 , 4.09941e-005
-0.00445422 , 0.007253 , 4.12244e-005
-0.00446248 , 0.00725024 , 4.14548e-005
-0.00447073 , 0.00724747 , 4.16852e-005
-0.00447899 , 0.0072447 , 4.19155e-005
-0.00448724 , 0.00724191 , 4.21459e-005
-0.00449549 , 0.00723911 , 4.23762e-005
-0.00450374 , 0.0072363 , 4.26065e-005
-0.00451199 , 0.00723348 , 4.28368e-005
-0.00452024 , 0.00723065 , 4.30671e-005
-0.00452848 , 0.00722782 , 4.32974e-005
-0.00453673 , 0.00722497 , 4.35277e-005
-0.00454497 , 0.00722211 , 4.3758e-005
-0.00455321 , 0.00721924 , 4.39883e-005
-0.00456145 , 0.00721636 , 4.42185e-005
-0.00456969 , 0.00721347 , 4.44488e-005
-0.00457793 , 0.00721057 , 4.4679e-005
-0.00458617 , 0.00720766 , 4.49092e-005
-0.0045944 , 0.00720473 , 4.51394e-005
-0.00460263 , 0.0072018 , 4.53696e-005
-0.00461086 , 0.00719886 , 4.55998e-005
-0.00461909 , 0.00719591 , 4.583e-005
-0.00462732 , 0.00719295 , 4.60601e-005
-0.00463554 , 0.00718997 , 4.62902e-005
-0.00464377 , 0.00718699 , 4.65204e-005
-0.00465199 , 0.007184 , 4.67505e-005
-0.00466021 , 0.00718099 , 4.69806e-005
-0.00466843 , 0.00717798 , 4.72106e-005
-0.00467665 , 0.00717495 , 4.74407e-005
-0.00468486 , 0.00717192 , 4.76707e-005
-0.00469308 , 0.00716887 , 4.79008e-005
