x , y , z
5.2 , 0 , 0
5.19996 , 0.0150929 , 0
5.19987 , 0.0301857 , 0
5.19974 , 0.0452782 , 0
5.19956 , 0.0603703 , 0
5.19935 , 0.075462 , 0
5.19908 , 0.0905529 , 0
5.19878 , 0.105643 , 0
5.19843 , 0.120733 , 0
5.19804 , 0.135821 , 0
5.1976 , 0.150908 , 0
5.19712 , 0.165994 , 0
5.1966 , 0.181079 , 0
5.19603 , 0.196162 , 0
5.19542 , 0.211243 , 0
5.19477 , 0.226323 , 0
5.19407 , 0.2414 , 0
5.19333 , 0.256476 , 0
5.19255 , 0.27155 , 0
5.19172 , 0.286621 , 0
5.19085 , 0.30169 , 0
5.18993 , 0.316756 , 0
5.18897 , 0.33182 , 0
5.18797 , 0.346881 , 0
5.18693 , 0.361939 , 0
5.18584 , 0.376993 , 0
5.1847 , 0.392045 , 0
5.18353 , 0.407094 , 0
5.18231 , 0.422139 , 0
5.18104 , 0.43718 , 0
5.17974 , 0.452218 , 0
5.17839 , 0.467252 , 0
5.177 , 0.482282 , 0
5.17556 , 0.497309 , 0
5.17408 , 0.512331 , 0
5.17255 , 0.527348 , 0
5.17099 , 0.542361 , 0
5.16938 , 0.55737 , 0
5.16772 , 0.572374 , 0
5.16603 , 0.587373 , 0
5.16429 , 0.602368 , 0
5.1625 , 0.617357 , 0
5.16068 , 0.632341 , 0
5.15881 , 0.64732 , 0
5.15689 , 0.662293 , 0
5.15494 , 0.677261 , 0
5.15294 , 0.692223 , 0
5.15089 , 0.707179 , 0
5.14881 , 0.722129 , 0
5.14668 , 0.737074 , 0
5.1445 , 0.752012 , 0
5.14229 , 0.766944 , 0
5.14003 , 0.781869 , 0
5.13773 , 0.796788 , 0
5.13538 , 0.8117 , 0
5.13299 , 0.826605 , 0
5.13056 , 0.841503 , 0
5.12809 , 0.856395 , 0
5.12557 , 0.871279 , 0
5.12301 , 0.886156 , 0
5.12041 , 0.901025 , 0
5.11776 , 0.915887 , 0
5.11507 , 0.930741 , 0
5.11234 , 0.945587 , 0
5.10956 , 0.960426 , 0
5.10674 , 0.975256 , 0
5.10388 , 0.990078 , 0
5.10098 , 1.00489 , 0
5.09803 , 1.0197 , 0
5.09504 , 1.03449 , 0
5.09201 , 1.04928 , 0
5.08894 , 1.06406 , 0
5.08582 , 1.07883 , 0
5.08266 , 1.09359 , 0
5.07946 , 1.10835 , 0
5.07621 , 1.12309 , 0
5.07292 , 1.13782 , 0
5.06959 , 1.15255 , 0
5.06622 , 1.16726 , 0
5.06281 , 1.18197 , 0
5.05935 , 1.19666 , 0
5.05585 , 1.21134 , 0
5.0523 , 1.22602 , 0
5.04872 , 1.24068 , 0
5.04509 , 1.25534 , 0
5.04142 , 1.26998 , 0
5.03771 , 1.28461 , 0
5.03396 , 1.29923 , 0
5.03016 , 1.31385 , 0
5.02632 , 1.32845 , 0
5.02244 , 1.34303 , 0
5.01852 , 1.35761 , 0
5.01455 , 1.37218 , 0
5.01054 , 1.38673 , 0
5.00649 , 1.40127 , 0
5.0024 , 1.41581 , 0
4.99827 , 1.43033 , 0
4.9941 , 1.44483 , 0
4.98988 , 1.45933 , 0
4.98562 , 1.47381 , 0
4.98132 , 1.48828 , 0
4.97698 , 1.50274 , 0
4.97259 , 1.51718 , 0
4.96817 , 1.53162 , 0
4.9637 , 1.54604 , 0
4.95919 , 1.56044 , 0
4.95464 , 1.57484 , 0
4.95004 , 1.58922 , 0
4.94541 , 1.60359 , 0
4.94074 , 1.61794 , 0
4.93602 , 1.63228 , 0
4.93126 , 1.64661 , 0
4.92646 , 1.66092 , 0
4.92162 , 1.67522 , 0
4.91674 , 1.6895 , 0
4.91181 , 1.70377 , 0
4.90685 , 1.71803 , 0
4.90184 , 1.73227 , 0
4.89679 , 1.7465 , 0
4.89171 , 1.76071 , 0
4.88658 , 1.77491 , 0
4.88141 , 1.78909 , 0
4.8762 , 1.80326 , 0
4.87094 , 1.81741 , 0
4.86565 , 1.83155 , 0
4.86032 , 1.84567 , 0
4.85494 , 1.85978 , 0
4.84953 , 1.87387 , 0
4.84407 , 1.88795 , 0
4.83857 , 1.90201 , 0
4.83304 , 1.91605 , 0
4.82746 , 1.93008 , 0
4.82184 , 1.94409 , 0
4.81618 , 1.95808 , 0
4.81048 , 1.97206 , 0
4.80474 , 1.98602 , 0
4.79896 , 1.99997 , 0
4.79314 , 2.0139 , 0
4.78728 , 2.02781 , 0
4.78138 , 2.0417 , 0
4.77544 , 2.05558 , 0
