x , y , z
1 , 0 , 0
0.941631 , 0.241661 , 0
0.823439 , 0.46796 , 0
0.648673 , 0.66209 , 0
0.426364 , 0.807664 , 0
0.171393 , 0.891318 , 0
-0.0969427 , 0.905357 , 0
-0.357758 , 0.849356 , 0
-0.591866 , 0.72999 , 0
-0.784313 , 0.559262 , 0
-0.925501 , 0.351996 , 0
-1.011 , 0.123557 , 0
-1.0406 , -0.111709 , 0
-1.01718 , -0.34128 , 0
-0.94565 , -0.55471 , 0
-0.832195 , -0.743552 , 0
-0.683759 , -0.901146 , 0
-0.507722 , -1.02238 , 0
-0.311737 , -1.10346 , 0
-0.103663 , -1.14179 , 0
0.108442 , -1.13586 , 0
0.316299 , -1.08527 , 0
0.511383 , -0.990789 , 0
0.684936 , -0.854553 , 0
0.828055 , -0.680312 , 0
0.931902 , -0.473775 , 0
0.988135 , -0.243006 , 0
0.98962 , 0.00124955 , 0
0.931498 , 0.245448 , 0
0.812541 , 0.473628 , 0
0.63657 , 0.668578 , 0
0.41337 , 0.813916 , 0
0.158462 , 0.896784 , 0
-0.108676 , 0.910322 , 0
-0.367556 , 0.85488 , 0
-0.599778 , 0.73749 , 0
-0.791204 , 0.569969 , 0
-0.932781 , 0.36656 , 0
-1.02023 , 0.141895 , 0
-1.05315 , -0.090342 , 0
-1.03398 , -0.318102 , 0
-0.967103 , -0.531179 , 0
-0.858171 , -0.721153 , 0
-0.713648 , -0.881215 , 0
-0.540531 , -1.00597 , 0
-0.346211 , -1.09127 , 0
-0.13841 , -1.13409 , 0
0.0748192 , -1.13248 , 0
0.285066 , -1.08562 , 0
0.483547 , -0.993915 , 0
0.661122 , -0.859207 , 0
0.808401 , -0.685103 , 0
0.916009 , -0.477355 , 0
0.975083 , -0.244293 , 0
0.9781 , 0.00283651 , 0
0.92008 , 0.249812 , 0
0.800062 , 0.479977 , 0
0.622522 , 0.675655 , 0
0.398108 , 0.820476 , 0
0.14305 , 0.90215 , 0
-0.122957 , 0.914721 , 0
-0.379819 , 0.85937 , 0
-0.609926 , 0.743536 , 0
-0.799974 , 0.578903 , 0
-0.941492 , 0.37918 , 0
-1.03042 , 0.158297 , 0
-1.06622 , -0.0707273 , 0
-1.05098 , -0.29635 , 0
-0.9886 , -0.508665 , 0
-0.884202 , -0.699348 , 0
-0.743758 , -0.861511 , 0
-0.573849 , -0.989533 , 0
-0.381548 , -1.07893 , 0
-0.174378 , -1.12628 , 0
0.0396725 , -1.12918 , 0
0.252117 , -1.08635 , 0
0.453946 , -0.99776 , 0
0.635647 , -0.86492 , 0
0.787328 , -0.691221 , 0
0.899025 , -0.482405 , 0
0.961284 , -0.247047 , 0
0.966121 , 0.00308491 , 0
0.908386 , 0.253035 , 0
0.787376 , 0.485382 , 0
0.608252 , 0.681931 , 0
0.382565 , 0.82631 , 0
0.127279 , 0.9068 , 0
-0.137697 , 0.918345 , 0
-0.392638 , 0.862943 , 0
-0.620677 , 0.748433 , 0
-0.809287 , 0.586402 , 0
-0.950555 , 0.390093 , 0
-1.04065 , 0.172807 , 0
-1.07898 , -0.0530508 , 0
-1.06733 , -0.276429 , 0
-1.00918 , -0.487742 , 0
-0.909172 , -0.678808 , 0
-0.772822 , -0.842717 , 0
-0.606286 , -0.973689 , 0
-0.416292 , -1.06697 , 0
-0.21012 , -1.11875 , 0
0.00436579 , -1.12622 , 0
0.218667 , -1.08764 , 0
0.42361 , -1.00253 , 0
0.609356 , -0.871995 , 0
0.765536 , -0.699145 , 0
0.881586 , -0.489643 , 0
0.947425 , -0.252246 , 0
0.954543 , 0.000793244 , 0
0.897555 , 0.253791 , 0
0.775962 , 0.488536 , 0
0.595574 , 0.686287 , 0
0.368813 , 0.830633 , 0
0.113342 , 0.910372 , 0
-0.150723 , 0.921269 , 0
-0.403989 , 0.866049 , 0
-0.630245 , 0.752894 , 0
-0.81764 , 0.593309 , 0
-0.958742 , 0.400138 , 0
-1.04993 , 0.186149 , 0
-1.09057 , -0.036786 , 0
-1.0822 , -0.258046 , 0
-1.02796 , -0.468344 , 0
-0.932088 , -0.659648 , 0
-0.799671 , -0.825062 , 0
-0.636482 , -0.958697 , 0
-0.448914 , -1.05558 , 0
-0.243988 , -1.1116 , 0
-0.0294089 , -1.12357 , 0
0.186367 , -1.08931 , 0
0.394068 , -1.00792 , 0
0.583598 , -0.880073 , 0
0.744173 , -0.708574 , 0
0.864679 , -0.498929 , 0
0.934415 , -0.25999 , 0
0.944331 , -0.00440597 , 0
0.888746 , 0.251489 , 0
0.767278 , 0.488748 , 0
0.586276 , 0.688099 , 0
0.35891 , 0.833056 , 0
0.103442 , 0.912831 , 0
-0.159839 , 0.92385 , 0
-0.411817 , 0.869407 , 0
-0.636806 , 0.757937 , 0
-0.823488 , 0.600842 , 0
-0.964799 , 0.410625 , 0
-1.05727 , 0.19961 , 0
-1.10019 , -0.0207603 , 0
-1.09493 , -0.240215 , 0
-1.0443 , -0.449705 , 0
-0.952218 , -0.641321 , 0
-0.823407 , -0.808179 , 0
-0.663313 , -0.9443 , 0
-0.478036 , -1.04453 , 0
-0.274363 , -1.10451 , 0
-0.0598423 , -1.12073 , 0
0.157131 , -1.09065 , 0
0.367228 , -1.01295 , 0
0.560162 , -0.887969 , 0
0.724812 , -0.718171 , 0
0.8496 , -0.508893 , 0
0.923291 , -0.269018 , 0
0.936343 , -0.0114795 , 0
0.882785 , 0.246873 , 0
0.762278 , 0.486504 , 0
0.581557 , 0.68771 , 0
0.354332 , 0.833937 , 0
0.099276 , 0.914689 , 0
-0.16324 , 0.926849 , 0
-0.414336 , 0.874062 , 0
-0.638714 , 0.764866 , 0
-0.825413 , 0.610516 , 0
-0.967589 , 0.423205 , 0
-1.06181 , 0.214899 , 0
