x , y , z
1 , 0 , 0
0.985401 , 0.12083 , 0
0.956099 , 0.239858 , 0
0.912224 , 0.355229 , 0
0.854154 , 0.465072 , 0
0.782528 , 0.567534 , 0
0.698255 , 0.660823 , 0
0.602509 , 0.743254 , 0
0.496721 , 0.813295 , 0
0.382554 , 0.869617 , 0
0.261874 , 0.911132 , 0
0.136707 , 0.937034 , 0
0.00919054 , 0.946825 , 0
-0.118484 , 0.940332 , 0
-0.244125 , 0.917714 , 0
-0.365605 , 0.879449 , 0
-0.480905 , 0.826322 , 0
-0.588171 , 0.759391 , 0
-0.685746 , 0.679948 , 0
-0.772204 , 0.589483 , 0
-0.846365 , 0.489631 , 0
-0.907308 , 0.382133 , 0
-0.954368 , 0.268787 , 0
-0.987132 , 0.151415 , 0
-1.00543 , 0.0318241 , 0
-1.0093 , -0.0882234 , 0
-0.999002 , -0.207032 , 0
-0.974969 , -0.322995 , 0
-0.937798 , -0.434604 , 0
-0.888228 , -0.540468 , 0
-0.82712 , -0.639311 , 0
-0.755441 , -0.729984 , 0
-0.674248 , -0.811463 , 0
-0.584672 , -0.882854 , 0
-0.487907 , -0.943389 , 0
-0.385195 , -0.992427 , 0
-0.277821 , -1.02945 , 0
-0.167102 , -1.05408 , 0
-0.0543746 , -1.06605 , 0
0.0590055 , -1.06523 , 0
0.171677 , -1.05159 , 0
0.282276 , -1.02526 , 0
0.389449 , -0.986489 , 0
0.491856 , -0.93564 , 0
0.588183 , -0.873225 , 0
0.677152 , -0.799886 , 0
0.757533 , -0.716401 , 0
0.828157 , -0.623688 , 0
0.887931 , -0.522803 , 0
0.935855 , -0.41494 , 0
0.971044 , -0.30143 , 0
0.992746 , -0.183733 , 0
1.00036 , -0.0634288 , 0
0.993481 , 0.0577953 , 0
0.971881 , 0.178164 , 0
0.935572 , 0.295836 , 0
0.884806 , 0.408937 , 0
0.820091 , 0.515592 , 0
0.742205 , 0.613966 , 0
0.652195 , 0.70231 , 0
0.55137 , 0.779008 , 0
0.441286 , 0.842624 , 0
0.323716 , 0.891944 , 0
0.200614 , 0.926022 , 0
0.0740695 , 0.944206 , 0
-0.0537473 , 0.946164 , 0
-0.180642 , 0.931893 , 0
-0.304452 , 0.901714 , 0
-0.423105 , 0.856264 , 0
-0.534668 , 0.796465 , 0
-0.637388 , 0.723494 , 0
-0.729726 , 0.63874 , 0
-0.810382 , 0.543761 , 0
-0.878309 , 0.440241 , 0
-0.932713 , 0.329943 , 0
-0.973054 , 0.214672 , 0
-0.999036 , 0.0962322 , 0
-1.01059 , -0.0235966 , 0
-1.00786 , -0.143092 , 0
-0.991183 , -0.260606 , 0
-0.961061 , -0.374585 , 0
-0.918153 , -0.483581 , 0
-0.863249 , -0.586259 , 0
-0.797253 , -0.681403 , 0
-0.721166 , -0.767924 , 0
-0.636073 , -0.844853 , 0
-0.543127 , -0.911354 , 0
-0.443541 , -0.966711 , 0
-0.338573 , -1.01034 , 0
-0.229518 , -1.04177 , 0
-0.117703 , -1.06068 , 0
-0.00447411 , -1.06684 , 0
0.108809 , -1.06017 , 0
0.22078 , -1.04072 , 0
0.330074 , -1.00865 , 0
0.435337 , -0.964259 , 0
0.535233 , -0.907979 , 0
0.628455 , -0.840376 , 0
0.713736 , -0.762156 , 0
0.789865 , -0.674161 , 0
0.855696 , -0.577376 , 0
0.91017 , -0.472927 , 0
0.952329 , -0.362079 , 0
0.981342 , -0.246232 , 0
0.996521 , -0.126914 , 0
0.997349 , -0.00576674 , 0
0.9835 , 0.115466 , 0
0.954864 , 0.234962 , 0
0.911567 , 0.350852 , 0
0.853988 , 0.461246 , 0
0.782773 , 0.564275 , 0
0.698839 , 0.658135 , 0
0.603371 , 0.741135 , 0
0.497811 , 0.811738 , 0
0.383834 , 0.868616 , 0
0.263313 , 0.910687 , 0
0.138281 , 0.937151 , 0
0.0108734 , 0.947521 , 0
-0.11672 , 0.941633 , 0
-0.242319 , 0.919651 , 0
-0.363804 , 0.882061 , 0
-0.479174 , 0.829646 , 0
-0.586589 , 0.763458 , 0
-0.684407 , 0.684781 , 0
-0.771214 , 0.595088 , 0
-0.84584 , 0.495996 , 0
-0.907366 , 0.389223 , 0
-0.955127 , 0.276546 , 0
-0.988705 , 0.159763 , 0
-1.00791 , 0.0406578 , 0
-1.01278 , -0.0790248 , 0
-1.00355 , -0.197606 , 0
-0.980624 , -0.313491 , 0
-0.944576 , -0.425182 , 0
-0.896121 , -0.531286 , 0
-0.836094 , -0.63053 , 0
-0.765437 , -0.721757 , 0
-0.685183 , -0.803935 , 0
-0.596441 , -0.876153 , 0
-0.500386 , -0.937627 , 0
-0.398245 , -0.987698 , 0
-0.291289 , -1.02583 , 0
-0.180827 , -1.05161 , 0
-0.0681916 , -1.06475 , 0
0.0452635 , -1.0651 , 0
0.158173 , -1.0526 , 0
0.269168 , -1.02737 , 0
0.376882 , -0.989608 , 0
0.479963 , -0.939682 , 0
