x , y , z
1 , 0 , 0
0.999576 , 0.0206006 , 0
0.998727 , 0.0411925 , 0
0.997453 , 0.0617668 , 0
0.995756 , 0.0823149 , 0
0.993634 , 0.102828 , 0
0.991089 , 0.123297 , 0
0.988121 , 0.143714 , 0
0.984732 , 0.164069 , 0
0.980922 , 0.184354 , 0
0.976693 , 0.204561 , 0
0.972047 , 0.22468 , 0
0.966984 , 0.244703 , 0
0.961507 , 0.264621 , 0
0.955617 , 0.284425 , 0
0.949318 , 0.304108 , 0
0.942611 , 0.323659 , 0
0.935499 , 0.343072 , 0
0.927985 , 0.362338 , 0
0.920071 , 0.381447 , 0
0.911761 , 0.400392 , 0
0.903058 , 0.419164 , 0
0.893966 , 0.437756 , 0
0.884487 , 0.456159 , 0
0.874626 , 0.474364 , 0
0.864388 , 0.492365 , 0
0.853775 , 0.510152 , 0
0.842793 , 0.527719 , 0
0.831445 , 0.545057 , 0
0.819737 , 0.562158 , 0
0.807673 , 0.579016 , 0
0.795258 , 0.595622 , 0
0.782498 , 0.611969 , 0
0.769397 , 0.62805 , 0
0.755961 , 0.643858 , 0
0.742196 , 0.659385 , 0
0.728108 , 0.674625 , 0
0.713702 , 0.68957 , 0
0.698985 , 0.704215 , 0
0.683962 , 0.718552 , 0
0.66864 , 0.732575 , 0
0.653026 , 0.746277 , 0
0.637125 , 0.759653 , 0
0.620946 , 0.772696 , 0
0.604494 , 0.7854 , 0
0.587778 , 0.797759 , 0
0.570803 , 0.809769 , 0
0.553578 , 0.821422 , 0
0.536109 , 0.832715 , 0
0.518404 , 0.843642 , 0
0.500471 , 0.854197 , 0
0.482318 , 0.864375 , 0
0.463953 , 0.874173 , 0
0.445382 , 0.883586 , 0
0.426615 , 0.892608 , 0
0.40766 , 0.901236 , 0
0.388524 , 0.909466 , 0
0.369217 , 0.917294 , 0
0.349747 , 0.924716 , 0
0.330121 , 0.931729 , 0
0.31035 , 0.938329 , 0
0.29044 , 0.944513 , 0
0.270402 , 0.950278 , 0
0.250244 , 0.955622 , 0
0.229975 , 0.960541 , 0
0.209604 , 0.965033 , 0
0.189139 , 0.969096 , 0
0.168591 , 0.972729 , 0
0.147967 , 0.975928 , 0
0.127278 , 0.978693 , 0
0.106531 , 0.981022 , 0
0.0857375 , 0.982913 , 0
0.0649055 , 0.984366 , 0
0.0440446 , 0.98538 , 0
0.023164 , 0.985954 , 0
0.00227302 , 0.986087 , 0
-0.018619 , 0.985779 , 0
-0.0395026 , 0.985031 , 0
-0.0603686 , 0.983842 , 0
-0.0812075 , 0.982213 , 0
-0.10201 , 0.980144 , 0
-0.122767 , 0.977635 , 0
-0.143469 , 0.974689 , 0
-0.164106 , 0.971305 , 0
-0.18467 , 0.967485 , 0
-0.205151 , 0.963231 , 0
-0.22554 , 0.958545 , 0
-0.245828 , 0.953428 , 0
-0.266005 , 0.947882 , 0
-0.286062 , 0.941911 , 0
-0.305991 , 0.935515 , 0
-0.325782 , 0.928699 , 0
-0.345426 , 0.921464 , 0
-0.364915 , 0.913815 , 0
-0.38424 , 0.905754 , 0
-0.403391 , 0.897284 , 0
-0.42236 , 0.88841 , 0
-0.441139 , 0.879136 , 0
-0.459719 , 0.869464 , 0
-0.478092 , 0.859401 , 0
-0.496248 , 0.848949 , 0
-0.514181 , 0.838114 , 0
-0.531881 , 0.826901 , 0
-0.549341 , 0.815314 , 0
-0.566552 , 0.803358 , 0
-0.583508 , 0.791039 , 0
-0.6002 , 0.778362 , 0
-0.61662 , 0.765334 , 0
-0.632761 , 0.751959 , 0
-0.648615 , 0.738243 , 0
-0.664176 , 0.724194 , 0
-0.679437 , 0.709816 , 0
-0.694389 , 0.695118 , 0
