x , y , z
1 , 0 , 0
0.725844 , 0.523599 , 0
0.174109 , 0.846961 , 0
-0.451461 , 0.811149 , 0
-0.92232 , 0.497362 , 0
-1.17342 , 0.0650695 , 0
-1.22632 , -0.378214 , 0
-1.12015 , -0.772436 , 0
-0.892077 , -1.0826 , 0
-0.575404 , -1.28523 , 0
-0.202236 , -1.36168 , 0
0.192185 , -1.29504 , 0
0.563127 , -1.07018 , 0
0.846771 , -0.679415 , 0
0.948988 , -0.143082 , 0
0.756877 , 0.437627 , 0
0.254268 , 0.838807 , 0
-0.351863 , 0.898474 , 0
-0.85062 , 0.683963 , 0
-1.17004 , 0.325251 , 0
-1.31036 , -0.0832484 , 0
-1.29197 , -0.481665 , 0
-1.13846 , -0.829708 , 0
-0.873303 , -1.09638 , 0
-0.521211 , -1.25391 , 0
-0.112052 , -1.27415 , 0
0.311787 , -1.12746 , 0
0.682226 , -0.787668 , 0
0.887366 , -0.257027 , 0
0.783968 , 0.362982 , 0
0.347242 , 0.828658 , 0
-0.220739 , 0.981107 , 0
-0.729214 , 0.869074 , 0
-1.10077 , 0.593862 , 0
-1.31809 , 0.23544 , 0
-1.38487 , -0.149871 , 0
-1.31119 , -0.51998 , 0
-1.10941 , -0.839292 , 0
-0.794645 , -1.07313 , 0
-0.388386 , -1.18341 , 0
0.0729816 , -1.12577 , 0
0.520414 , -0.853159 , 0
0.824895 , -0.346202 , 0
0.813505 , 0.293325 , 0
0.457246 , 0.808502 , 0
-0.0554433 , 1.04708 , 0
-0.554947 , 1.03665 , 0
-0.960867 , 0.851404 , 0
-1.24229 , 0.555842 , 0
-1.38861 , 0.19983 , 0
-1.39705 , -0.176023 , 0
-1.2683 , -0.534591 , 0
-1.00619 , -0.836948 , 0
-0.621041 , -1.03695 , 0
-0.139469 , -1.07597 , 0
0.37204 , -0.884025 , 0
0.767948 , -0.41739 , 0
0.848554 , 0.220615 , 0
0.583994 , 0.768881 , 0
0.141556 , 1.08295 , 0
-0.330672 , 1.16913 , 0
-0.752355 , 1.07659 , 0
-1.083 , 0.853795 , 0
-1.30045 , 0.541752 , 0
-1.39038 , 0.176588 , 0
-1.34186 , -0.206161 , 0
-1.14632 , -0.566321 , 0
-0.800416 , -0.852201 , 0
-0.317206 , -0.991886 , 0
0.24301 , -0.890781 , 0
0.718591 , -0.47944 , 0
0.888564 , 0.135802 , 0
0.723125 , 0.699782 , 0
0.363127 , 1.07548 , 0
-0.0649354 , 1.2496 , 0
-0.483911 , 1.24885 , 0
-0.847665 , 1.10559 , 0
-1.12547 , 0.850226 , 0
-1.29333 , 0.511807 , 0
-1.32942 , 0.121243 , 0
-1.21231 , -0.283293 , 0
-0.922949 , -0.647579 , 0
-0.457047 , -0.887993 , 0
0.134642 , -0.884016 , 0
0.674707 , -0.541087 , 0
0.928845 , 0.0311435 , 0
0.865749 , 0.592738 , 0
0.597162 , 1.01364 , 0
0.228033 , 1.26388 , 0
-0.170609 , 1.35055 , 0
-0.550709 , 1.29043 , 0
-0.876143 , 1.10222 , 0
-1.11553 , 0.805764 , 0
-1.23755 , 0.424531 , 0
-1.20808 , -0.0086713 , 0
-0.990779 , -0.440525 , 0
-0.560404 , -0.777641 , 0
0.0444253 , -0.872677 , 0
0.631 , -0.609118 , 0
0.961138 , -0.0980155 , 0
0.999072 , 0.442886 , 0
0.827146 , 0.890757 , 0
0.52897 , 1.20267 , 0
0.166851 , 1.3692 , 0
-0.212698 , 1.39269 , 0
-0.571394 , 1.27964 , 0
-0.873175 , 1.03913 , 0
-1.07922 , 0.684682 , 0
-1.14354 , 0.240326 , 0
-1.01138 , -0.245325 , 0
-0.633214 , -0.671306 , 0
-0.0341576 , -0.863103 , 0
0.579429 , -0.687743 , 0
0.974596 , -0.253133 , 0
1.10805 , 0.249452 , 0
1.03417 , 0.70536 , 0
0.815763 , 1.06269 , 0
0.504338 , 1.29885 , 0
0.141798 , 1.40337 , 0
-0.234595 , 1.37079 , 0
