x , y , z
1 , 0 , 0
0.941603 , 0.332284 , 0
0.827973 , 0.645075 , 0
0.672529 , 0.925286 , 0
0.490846 , 1.16939 , 0
0.295112 , 1.38002 , 0
0.0932492 , 1.56196 , 0
-0.110032 , 1.7201 , 0
-0.312056 , 1.85862 , 0
-0.511356 , 1.98093 , 0
-0.707165 , 2.08972 , 0
-0.899126 , 2.18715 , 0
-1.08711 , 2.27492 , 0
-1.27114 , 2.35441 , 0
-1.45129 , 2.42671 , 0
-1.62769 , 2.49275 , 0
-1.80048 , 2.55327 , 0
-1.96983 , 2.6089 , 0
-2.13588 , 2.66017 , 0
-2.29879 , 2.70752 , 0
-2.4587 , 2.75135 , 0
-2.61575 , 2.79199 , 0
-2.77007 , 2.82971 , 0
-2.92179 , 2.86477 , 0
-3.07101 , 2.89738 , 0
-3.21785 , 2.92776 , 0
-3.36241 , 2.95605 , 0
-3.50478 , 2.98242 , 0
-3.64505 , 3.00701 , 0
-3.7833 , 3.02993 , 0
-3.91961 , 3.0513 , 0
-4.05405 , 3.07121 , 0
-4.18669 , 3.08977 , 0
-4.3176 , 3.10704 , 0
-4.44683 , 3.12311 , 0
-4.57444 , 3.13804 , 0
-4.70048 , 3.1519 , 0
-4.82501 , 3.16474 , 0
-4.94808 , 3.17662 , 0
-5.06972 , 3.18759 , 0
-5.18998 , 3.1977 , 0
-5.3089 , 3.20698 , 0
-5.42653 , 3.21547 , 0
-5.54289 , 3.22322 , 0
-5.65802 , 3.23026 , 0
-5.77196 , 3.23661 , 0
-5.88473 , 3.24231 , 0
-5.99637 , 3.24739 , 0
-6.10691 , 3.25187 , 0
-6.21637 , 3.25578 , 0
-6.32478 , 3.25914 , 0
-6.43216 , 3.26197 , 0
-6.53854 , 3.26429 , 0
-6.64394 , 3.26613 , 0
-6.74839 , 3.26749 , 0
-6.8519 , 3.26841 , 0
-6.95449 , 3.26889 , 0
-7.05619 , 3.26894 , 0
-7.15701 , 3.2686 , 0
-7.25698 , 3.26786 , 0
-7.3561 , 3.26674 , 0
-7.4544 , 3.26526 , 0
-7.5519 , 3.26343 , 0
-7.64859 , 3.26125 , 0
-7.74452 , 3.25874 , 0
