x , y , z
5.2 , 0 , 0
5.19946 , 0.0531154 , 0
5.19838 , 0.106225 , 0
5.19676 , 0.159324 , 0
5.1946 , 0.212406 , 0
5.1919 , 0.265467 , 0
5.18866 , 0.318499 , 0
5.18488 , 0.371499 , 0
5.18057 , 0.42446 , 0
5.17571 , 0.477376 , 0
5.17032 , 0.530244 , 0
5.16439 , 0.583056 , 0
5.15792 , 0.635807 , 0
5.15091 , 0.688492 , 0
5.14337 , 0.741106 , 0
5.13529 , 0.793642 , 0
5.12668 , 0.846096 , 0
5.11754 , 0.898462 , 0
5.10786 , 0.950734 , 0
5.09765 , 1.00291 , 0
5.08692 , 1.05498 , 0
5.07565 , 1.10694 , 0
5.06385 , 1.15878 , 0
5.05152 , 1.2105 , 0
5.03867 , 1.2621 , 0
5.0253 , 1.31357 , 0
5.0114 , 1.36489 , 0
4.99697 , 1.41608 , 0
4.98203 , 1.46712 , 0
4.96657 , 1.51801 , 0
4.95059 , 1.56873 , 0
4.93409 , 1.6193 , 0
4.91708 , 1.66969 , 0
4.89956 , 1.71991 , 0
4.88153 , 1.76996 , 0
4.86298 , 1.81981 , 0
4.84393 , 1.86948 , 0
4.82438 , 1.91895 , 0
4.80432 , 1.96822 , 0
4.78376 , 2.01729 , 0
4.7627 , 2.06615 , 0
4.74114 , 2.11479 , 0
4.71909 , 2.16321 , 0
4.69655 , 2.2114 , 0
4.67351 , 2.25936 , 0
4.64999 , 2.30709 , 0
4.62598 , 2.35458 , 0
4.60149 , 2.40182 , 0
4.57652 , 2.44881 , 0
4.55107 , 2.49554 , 0
4.52515 , 2.54202 , 0
4.49875 , 2.58822 , 0
4.47188 , 2.63416 , 0
4.44455 , 2.67982 , 0
4.41675 , 2.72521 , 0
4.38849 , 2.7703 , 0
4.35977 , 2.81511 , 0
4.3306 , 2.85963 , 0
4.30097 , 2.90384 , 0
4.2709 , 2.94775 , 0
4.24038 , 2.99136 , 0
4.20941 , 3.03465 , 0
4.17801 , 3.07762 , 0
4.14616 , 3.12027 , 0
4.11389 , 3.1626 , 0
4.08118 , 3.20459 , 0
4.04805 , 3.24625 , 0
4.0145 , 3.28757 , 0
3.98052 , 3.32855 , 0
3.94613 , 3.36918 , 0
3.91133 , 3.40946 , 0
3.87612 , 3.44938 , 0
3.8405 , 3.48894 , 0
3.80448 , 3.52813 , 0
3.76806 , 3.56696 , 0
3.73125 , 3.60541 , 0
3.69405 , 3.64348 , 0
3.65647 , 3.68118 , 0
3.6185 , 3.71849 , 0
3.58015 , 3.75541 , 0
3.54143 , 3.79193 , 0
3.50233 , 3.82806 , 0
3.46287 , 3.8638 , 0
3.42305 , 3.89912 , 0
3.38288 , 3.93404 , 0
3.34234 , 3.96855 , 0
3.30146 , 4.00264 , 0
3.26023 , 4.03631 , 0
3.21867 , 4.06956 , 0
3.17676 , 4.10239 , 0
3.13452 , 4.13478 , 0
3.09196 , 4.16675 , 0
3.04907 , 4.19827 , 0
3.00586 , 4.22936 , 0
2.96234 , 4.26001 , 0
2.91851 , 4.29021 , 0
2.87438 , 4.31996 , 0
2.82994 , 4.34926 , 0
2.78521 , 4.3781 , 0
2.74019 , 4.40649 , 0
2.69488 , 4.43442 , 0
2.64929 , 4.46188 , 0
2.60342 , 4.48887 , 0
2.55728 , 4.5154 , 0
2.51087 , 4.54145 , 0
2.4642 , 4.56703 , 0
2.41727 , 4.59213 , 0
2.37009 , 4.61675 , 0
2.32267 , 4.64089 , 0
2.275 , 4.66455 , 0
2.22709 , 4.68771 , 0
2.17895 , 4.71039 , 0
2.13058 , 4.73257 , 0
2.08199 , 4.75426 , 0
2.03318 , 4.77545 , 0
1.98416 , 4.79614 , 0
1.93493 , 4.81633 , 0
1.8855 , 4.83602 , 0
1.83588 , 4.8552 , 0
1.78606 , 4.87387 , 0
1.73606 , 4.89204 , 0
1.68587 , 4.90969 , 0
1.63551 , 4.92683 , 0
1.58498 , 4.94345 , 0
1.53428 , 4.95956 , 0
1.48343 , 4.97515 , 0
1.43241 , 4.99023 , 0
1.38125 , 5.00478 , 0
1.32995 , 5.0188 , 0
1.27851 , 5.03231 , 0
1.22693 , 5.04528 , 0
1.17522 , 5.05773 , 0
1.1234 , 5.06966 , 0
1.07146 , 5.08105 , 0
1.0194 , 5.09191 , 0
0.967239 , 5.10225 , 0
0.914978 , 5.11204 , 0
0.862621 , 5.12131 , 0
0.810175 , 5.13004 , 0
0.757645 , 5.13824 , 0
0.705036 , 5.1459 , 0
0.652353 , 5.15302 , 0
0.599604 , 5.15961 , 0
0.546792 , 5.16565 , 0
0.493923 , 5.17116 , 0
0.441004 , 5.17613 , 0
0.388039 , 5.18056 , 0
0.335034 , 5.18445 , 0
0.281994 , 5.1878 , 0
0.228926 , 5.19061 , 0
0.175834 , 5.19288 , 0
0.122725 , 5.1946 , 0
0.0696027 , 5.19579 , 0
0.0164741 , 5.19643 , 0
-0.0366557 , 5.19653 , 0
-0.0897812 , 5.19609 , 0
-0.142897 , 5.19512 , 0
-0.195997 , 5.19359 , 0
-0.249076 , 5.19153 , 0
-0.302129 , 5.18893 , 0
-0.35515 , 5.18579 , 0
-0.408133 , 5.18211 , 0
-0.461073 , 5.17789 , 0
-0.513965 , 5.17313 , 0
-0.566802 , 5.16783 , 0
-0.61958 , 5.162 , 0
-0.672293 , 5.15563 , 0
-0.724936 , 5.14872 , 0
-0.777502 , 5.14127 , 0
-0.829987 , 5.1333 , 0
-0.882385 , 5.12479 , 0
-0.93469 , 5.11574 , 0
-0.986898 , 5.10617 , 0
-1.039 , 5.09606 , 0
-1.091 , 5.08543 , 0
-1.14288 , 5.07427 , 0
-1.19464 , 5.06258 , 0
-1.24628 , 5.05036 , 0
-1.29779 , 5.03762 , 0
-1.34916 , 5.02436 , 0
-1.40039 , 5.01058 , 0
-1.45148 , 4.99627 , 0
-1.50241 , 4.98145 , 0
-1.55319 , 4.96611 , 0
-1.60381 , 4.95026 , 0
-1.65425 , 4.9339 , 0
-1.70453 , 4.91702 , 0
-1.75463 , 4.89963 , 0
-1.80455 , 4.88174 , 0
-1.85427 , 4.86334 , 0
-1.90381 , 4.84443 , 0
-1.95315 , 4.82503 , 0
-2.00228 , 4.80512 , 0
-2.05121 , 4.78472 , 0
-2.09992 , 4.76382 , 0
-2.14841 , 4.74243 , 0
-2.19669 , 4.72055 , 0
-2.24473 , 4.69818 , 0
-2.29254 , 4.67532 , 0
-2.34011 , 4.65198 , 0
-2.38744 , 4.62816 , 0
-2.43452 , 4.60386 , 0
-2.48135 , 4.57909 , 0
-2.52792 , 4.55384 , 0
-2.57423 , 4.52813 , 0
-2.62027 , 4.50194 , 0
-2.66604 , 4.47529 , 0
-2.71153 , 4.44818 , 0
-2.75675 , 4.42061 , 0
-2.80167 , 4.39258 , 0
-2.84631 , 4.3641 , 0
-2.89065 , 4.33517 , 0
-2.93469 , 4.30579 , 0
-2.97843 , 4.27597 , 0
-3.02186 , 4.24571 , 0
-3.06498 , 4.21501 , 0
-3.10778 , 4.18387 , 0
-3.15026 , 4.15231 , 0
-3.19241 , 4.12032 , 0
-3.23424 , 4.0879 , 0
-3.27573 , 4.05506 , 0
-3.31688 , 4.02181 , 0
-3.35768 , 3.98814 , 0
-3.39814 , 3.95406 , 0
-3.43825 , 3.91957 , 0
-3.47801 , 3.88468 , 0
-3.5174 , 3.8494 , 0
-3.55644 , 3.81371 , 0
-3.5951 , 3.77764 , 0
-3.6334 , 3.74117 , 0
-3.67131 , 3.70432 , 0
-3.70886 , 3.6671 , 0
-3.74601 , 3.62949 , 0
-3.78279 , 3.59151 , 0
-3.81917 , 3.55317 , 0
-3.85516 , 3.51446 , 0
-3.89075 , 3.47539 , 0
-3.92594 , 3.43596 , 0
-3.96072 , 3.39618 , 0
-3.9951 , 3.35605 , 0
-4.02907 , 3.31558 , 0
-4.06262 , 3.27477 , 0
-4.09576 , 3.23362 , 0
-4.12847 , 3.19215 , 0
-4.16076 , 3.15034 , 0
-4.19262 , 3.10822 , 0
-4.22405 , 3.06577 , 0
-4.25504 , 3.02302 , 0
-4.2856 , 2.97995 , 0
-4.31571 , 2.93658 , 0
-4.34539 , 2.89291 , 0
-4.37462 , 2.84894 , 0
-4.40339 , 2.80468 , 0
-4.43172 , 2.76014 , 0
