x , y , z
0 , 0 , 0
2.77912e-009 , 0 , 0
8.33735e-009 , 4.41431e-012 , 0
1.66746e-008 , 1.76561e-011 , 0
2.77908e-008 , 4.41358e-011 , 0
4.16856e-008 , 8.82592e-011 , 0
5.8359e-008 , 1.54426e-010 , 0
7.78105e-008 , 2.47028e-010 , 0
1.0004e-007 , 3.70448e-010 , 0
1.25046e-007 , 5.29057e-010 , 0
1.5283e-007 , 7.27214e-010 , 0
1.8339e-007 , 9.69263e-010 , 0
2.16725e-007 , 1.25953e-009 , 0
2.52836e-007 , 1.60233e-009 , 0
2.91721e-007 , 2.00196e-009 , 0
3.33379e-007 , 2.46268e-009 , 0
3.77811e-007 , 2.98875e-009 , 0
4.25014e-007 , 3.58438e-009 , 0
4.74988e-007 , 4.2538e-009 , 0
5.27732e-007 , 5.00116e-009 , 0
5.83245e-007 , 5.83062e-009 , 0
6.41526e-007 , 6.74631e-009 , 0
7.02574e-007 , 7.75231e-009 , 0
7.66387e-007 , 8.85268e-009 , 0
8.32965e-007 , 1.00514e-008 , 0
9.02306e-007 , 1.13526e-008 , 0
9.74409e-007 , 1.27601e-008 , 0
1.04927e-006 , 1.4278e-008 , 0
1.12689e-006 , 1.591e-008 , 0
1.20727e-006 , 1.766e-008 , 0
1.29041e-006 , 1.95319e-008 , 0
1.3763e-006 , 2.15294e-008 , 0
1.46495e-006 , 2.36563e-008 , 0
1.55634e-006 , 2.59163e-008 , 0
1.65049e-006 , 2.8313e-008 , 0
1.74738e-006 , 3.08501e-008 , 0
1.84702e-006 , 3.35311e-008 , 0
1.94941e-006 , 3.63596e-008 , 0
2.05454e-006 , 3.93391e-008 , 0
2.16241e-006 , 4.24731e-008 , 0
2.27302e-006 , 4.57649e-008 , 0
2.38637e-006 , 4.92179e-008 , 0
2.50245e-006 , 5.28356e-008 , 0
2.62127e-006 , 5.6621e-008 , 0
2.74282e-006 , 6.05776e-008 , 0
2.8671e-006 , 6.47085e-008 , 0
2.99411e-006 , 6.90169e-008 , 0
3.12385e-006 , 7.35059e-008 , 0
3.25631e-006 , 7.81785e-008 , 0
3.3915e-006 , 8.30379e-008 , 0
3.52941e-006 , 8.80869e-008 , 0
3.67003e-006 , 9.33287e-008 , 0
3.81338e-006 , 9.8766e-008 , 0
3.95944e-006 , 1.04402e-007 , 0
4.10821e-006 , 1.10239e-007 , 0
4.25969e-006 , 1.1628e-007 , 0
4.41388e-006 , 1.22528e-007 , 0
4.57078e-006 , 1.28985e-007 , 0
4.73039e-006 , 1.35655e-007 , 0
4.8927e-006 , 1.42539e-007 , 0
5.05771e-006 , 1.49641e-007 , 0
5.22541e-006 , 1.56963e-007 , 0
5.39582e-006 , 1.64507e-007 , 0
5.56892e-006 , 1.72276e-007 , 0
5.74472e-006 , 1.80273e-007 , 0
