x , y , z
-0.00379862 , 0.00743993 , 2.30301e-005
-0.00380695 , 0.00743794 , 2.326e-005
-0.00381529 , 0.00743596 , 2.34899e-005
-0.00382363 , 0.00743397 , 2.37198e-005
-0.00383196 , 0.00743199 , 2.39497e-005
-0.0038403 , 0.00743001 , 2.41795e-005
-0.00384863 , 0.00742802 , 2.44094e-005
-0.00385697 , 0.00742604 , 2.46393e-005
-0.00386531 , 0.00742406 , 2.48692e-005
-0.00387364 , 0.00742208 , 2.50991e-005
-0.00388198 , 0.00742011 , 2.5329e-005
-0.00389032 , 0.00741813 , 2.55588e-005
-0.00389866 , 0.00741615 , 2.57887e-005
-0.00390699 , 0.00741418 , 2.60186e-005
-0.00391533 , 0.0074122 , 2.62485e-005
-0.00392367 , 0.00741023 , 2.64784e-005
-0.00393201 , 0.00740826 , 2.67083e-005
-0.00394035 , 0.00740628 , 2.69382e-005
-0.00394869 , 0.00740431 , 2.7168e-005
-0.00395703 , 0.00740234 , 2.73979e-005
-0.00396537 , 0.00740037 , 2.76278e-005
-0.00397371 , 0.0073984 , 2.78577e-005
-0.00398206 , 0.00739644 , 2.80876e-005
-0.0039904 , 0.00739447 , 2.83175e-005
-0.00399874 , 0.0073925 , 2.85473e-005
-0.00400708 , 0.00739054 , 2.87772e-005
-0.00401543 , 0.00738857 , 2.90071e-005
-0.00402377 , 0.00738661 , 2.9237e-005
-0.00403212 , 0.00738464 , 2.94669e-005
-0.00404046 , 0.00738268 , 2.96968e-005
-0.00404881 , 0.00738072 , 2.99266e-005
-0.00405716 , 0.00737876 , 3.01565e-005
-0.0040655 , 0.0073768 , 3.03864e-005
-0.00407385 , 0.00737484 , 3.06163e-005
-0.0040822 , 0.00737288 , 3.08462e-005
-0.00409055 , 0.00737092 , 3.10761e-005
-0.0040989 , 0.00736896 , 3.13059e-005
-0.00410725 , 0.007367 , 3.15358e-005
-0.0041156 , 0.00736505 , 3.17657e-005
-0.00412396 , 0.00736309 , 3.19956e-005
-0.00413231 , 0.00736113 , 3.22255e-005
-0.00414066 , 0.00735918 , 3.24554e-005
-0.00414902 , 0.00735722 , 3.26852e-005
-0.00415737 , 0.00735527 , 3.29151e-005
-0.00416573 , 0.00735332 , 3.3145e-005
-0.00417408 , 0.00735136 , 3.33749e-005
-0.00418244 , 0.00734941 , 3.36048e-005
-0.0041908 , 0.00734746 , 3.38347e-005
-0.00419916 , 0.00734551 , 3.40645e-005
-0.00420752 , 0.00734356 , 3.42944e-005
-0.00421588 , 0.00734161 , 3.45243e-005
-0.00422424 , 0.00733966 , 3.47542e-005
-0.0042326 , 0.00733771 , 3.49841e-005
-0.00424096 , 0.00733576 , 3.5214e-005
-0.00424933 , 0.00733381 , 3.54438e-005
-0.00425769 , 0.00733186 , 3.56737e-005
-0.00426606 , 0.00732992 , 3.59036e-005
-0.00427442 , 0.00732797 , 3.61335e-005
-0.00428279 , 0.00732602 , 3.63634e-005
-0.00429116 , 0.00732407 , 3.65933e-005
-0.00429953 , 0.00732213 , 3.68231e-005
-0.0043079 , 0.00732018 , 3.7053e-005
-0.00431627 , 0.00731824 , 3.72829e-005
-0.00432464 , 0.00731629 , 3.75128e-005
-0.00433301 , 0.00731435 , 3.77427e-005
-0.00434139 , 0.0073124 , 3.79726e-005
-0.00434976 , 0.00731046 , 3.82024e-005
-0.00435814 , 0.00730851 , 3.84323e-005
-0.00436651 , 0.00730657 , 3.86622e-005
-0.00437489 , 0.00730462 , 3.88921e-005
-0.00438327 , 0.00730268 , 3.9122e-005
-0.00439165 , 0.00730073 , 3.93519e-005
-0.00440003 , 0.00729879 , 3.95817e-005
-0.00440841 , 0.00729685 , 3.98116e-005
-0.00441679 , 0.0072949 , 4.00415e-005
-0.00442517 , 0.00729296 , 4.02714e-005
-0.00443355 , 0.00729102 , 4.05013e-005
-0.00444194 , 0.00728907 , 4.07312e-005
-0.00445032 , 0.00728713 , 4.0961e-005
-0.00445871 , 0.00728518 , 4.11909e-005
-0.0044671 , 0.00728324 , 4.14208e-005
-0.00447548 , 0.0072813 , 4.16507e-005
-0.00448387 , 0.00727935 , 4.18806e-005
-0.00449226 , 0.00727741 , 4.21105e-005
-0.00450065 , 0.00727547 , 4.23404e-005
-0.00450904 , 0.00727352 , 4.25702e-005
-0.00451744 , 0.00727158 , 4.28001e-005
-0.00452583 , 0.00726964 , 4.303e-005
-0.00453422 , 0.00726769 , 4.32599e-005
-0.00454262 , 0.00726575 , 4.34898e-005
-0.00455102 , 0.0072638 , 4.37197e-005
-0.00455941 , 0.00726186 , 4.39495e-005
-0.00456781 , 0.00725991 , 4.41794e-005
-0.00457621 , 0.00725797 , 4.44093e-005
-0.00458461 , 0.00725602 , 4.46392e-005
-0.00459301 , 0.00725408 , 4.48691e-005
-0.00460141 , 0.00725213 , 4.5099e-005
-0.00460981 , 0.00725019 , 4.53288e-005
-0.00461822 , 0.00724824 , 4.55587e-005
-0.00462662 , 0.00724629 , 4.57886e-005
-0.00463503 , 0.00724434 , 4.60185e-005
-0.00464343 , 0.0072424 , 4.62484e-005
-0.00465184 , 0.00724045 , 4.64783e-005
-0.00466025 , 0.0072385 , 4.67081e-005
-0.00466865 , 0.00723655 , 4.6938e-005
-0.00467706 , 0.0072346 , 4.71679e-005
-0.00468547 , 0.00723266 , 4.73978e-005
-0.00469388 , 0.00723071 , 4.76277e-005
-0.0047023 , 0.00722876 , 4.78576e-005
-0.00471071 , 0.0072268 , 4.80874e-005
-0.00471912 , 0.00722485 , 4.83173e-005
-0.00472753 , 0.0072229 , 4.85472e-005
-0.00473595 , 0.00722095 , 4.87771e-005
-0.00474436 , 0.007219 , 4.9007e-005
-0.00475278 , 0.00721704 , 4.92369e-005
-0.0047612 , 0.00721509 , 4.94668e-005
-0.00476961 , 0.00721314 , 4.96966e-005
-0.00477803 , 0.00721118 , 4.99265e-005
-0.00478645 , 0.00720923 , 5.01564e-005
-0.00479487 , 0.00720727 , 5.03863e-005
-0.00480329 , 0.00720531 , 5.06162e-005
-0.00481171 , 0.00720336 , 5.08461e-005
-0.00482013 , 0.0072014 , 5.10759e-005
-0.00482856 , 0.00719944 , 5.13058e-005
-0.00483698 , 0.00719748 , 5.15357e-005
-0.0048454 , 0.00719552 , 5.17656e-005
-0.00485383 , 0.00719356 , 5.19955e-005
-0.00486225 , 0.0071916 , 5.22254e-005
-0.00487068 , 0.00718964 , 5.24553e-005
-0.0048791 , 0.00718768 , 5.26851e-005
-0.00488753 , 0.00718572 , 5.2915e-005
-0.00489596 , 0.00718375 , 5.31449e-005
-0.00490438 , 0.00718179 , 5.33748e-005
-0.00491281 , 0.00717982 , 5.36047e-005
-0.00492124 , 0.00717786 , 5.38346e-005
-0.00492967 , 0.00717589 , 5.40645e-005
-0.0049381 , 0.00717392 , 5.42943e-005
-0.00494653 , 0.00717195 , 5.45242e-005
-0.00495496 , 0.00716999 , 5.47541e-005
-0.00496339 , 0.00716802 , 5.4984e-005
-0.00497182 , 0.00716605 , 5.52139e-005
-0.00498025 , 0.00716407 , 5.54438e-005
-0.00498869 , 0.0071621 , 5.56737e-005
-0.00499712 , 0.00716013 , 5.59035e-005
-0.00500555 , 0.00715816 , 5.61334e-005
-0.00501399 , 0.00715618 , 5.63633e-005
-0.00502242 , 0.00715421 , 5.65932e-005
-0.00503085 , 0.00715223 , 5.68231e-005
-0.00503929 , 0.00715025 , 5.7053e-005
-0.00504772 , 0.00714828 , 5.72829e-005
-0.00505616 , 0.0071463 , 5.75127e-005
-0.00506459 , 0.00714432 , 5.77426e-005
-0.00507303 , 0.00714234 , 5.79725e-005
-0.00508146 , 0.00714036 , 5.82024e-005
-0.0050899 , 0.00713838 , 5.84323e-005
-0.00509834 , 0.00713639 , 5.86622e-005
-0.00510677 , 0.00713441 , 5.88921e-005
-0.00511521 , 0.00713243 , 5.91219e-005
-0.00512365 , 0.00713044 , 5.93518e-005
-0.00513208 , 0.00712845 , 5.95817e-005
-0.00514052 , 0.00712647 , 5.98116e-005
-0.00514896 , 0.00712448 , 6.00415e-005
-0.00515739 , 0.00712249 , 6.02714e-005
-0.00516583 , 0.0071205 , 6.05013e-005
-0.00517427 , 0.00711851 , 6.07311e-005
-0.00518271 , 0.00711652 , 6.0961e-005
-0.00519115 , 0.00711453 , 6.11909e-005
-0.00519958 , 0.00711253 , 6.14208e-005
-0.00520802 , 0.00711054 , 6.16507e-005
-0.00521646 , 0.00710855 , 6.18806e-005
-0.0052249 , 0.00710655 , 6.21105e-005
-0.00523333 , 0.00710455 , 6.23404e-005
-0.00524177 , 0.00710256 , 6.25702e-005
-0.00525021 , 0.00710056 , 6.28001e-005
-0.00525865 , 0.00709856 , 6.303e-005
-0.00526708 , 0.00709656 , 6.32599e-005
-0.00527552 , 0.00709456 , 6.34898e-005
-0.00528396 , 0.00709256 , 6.37197e-005
-0.0052924 , 0.00709055 , 6.39496e-005
-0.00530083 , 0.00708855 , 6.41794e-005
-0.00530927 , 0.00708654 , 6.44093e-005
-0.00531771 , 0.00708454 , 6.46392e-005
-0.00532614 , 0.00708253 , 6.48691e-005
