x , y , z
-0.170144 , 0.97656 , -1.82257e-005
-0.187304 , 0.973279 , -1.75583e-005
-0.204406 , 0.969695 , -1.68781e-005
-0.221445 , 0.965808 , -1.61852e-005
-0.238416 , 0.96162 , -1.54798e-005
-0.255313 , 0.957132 , -1.47619e-005
-0.27213 , 0.952345 , -1.40318e-005
-0.288864 , 0.947261 , -1.32896e-005
-0.305507 , 0.94188 , -1.25355e-005
-0.322056 , 0.936205 , -1.17696e-005
-0.338504 , 0.930237 , -1.0992e-005
-0.354846 , 0.923978 , -1.02029e-005
-0.371078 , 0.917429 , -9.40262e-006
-0.387193 , 0.910592 , -8.59116e-006
-0.403187 , 0.90347 , -7.76877e-006
-0.419055 , 0.896064 , -6.93561e-006
-0.434792 , 0.888377 , -6.09187e-006
-0.450392 , 0.880411 , -5.23774e-006
-0.46585 , 0.872169 , -4.37342e-006
-0.481162 , 0.863652 , -3.49909e-006
-0.496323 , 0.854863 , -2.61496e-006
-0.511327 , 0.845806 , -1.72122e-006
-0.526171 , 0.836482 , -8.18098e-007
-0.540848 , 0.826894 , 9.42153e-008
-0.555354 , 0.817046 , 1.0155e-006
-0.569686 , 0.806941 , 1.94555e-006
-0.583837 , 0.796581 , 2.88413e-006
-0.597803 , 0.785969 , 3.83104e-006
-0.611581 , 0.77511 , 4.78603e-006
-0.625164 , 0.764006 , 5.7489e-006
-0.63855 , 0.75266 , 6.7194e-006
-0.651733 , 0.741077 , 7.6973e-006
-0.664709 , 0.72926 , 8.68238e-006
-0.677475 , 0.717212 , 9.67438e-006
-0.690025 , 0.704937 , 1.06731e-005
-0.702356 , 0.69244 , 1.16782e-005
-0.714464 , 0.679723 , 1.26896e-005
-0.726345 , 0.666792 , 1.37069e-005
-0.737994 , 0.653649 , 1.47299e-005
-0.749409 , 0.640299 , 1.57583e-005
-0.760585 , 0.626747 , 1.6792e-005
-0.771518 , 0.612996 , 1.78306e-005
-0.782206 , 0.599051 , 1.88739e-005
-0.792644 , 0.584917 , 1.99216e-005
-0.802829 , 0.570597 , 2.09735e-005
-0.812758 , 0.556097 , 2.20293e-005
-0.822428 , 0.54142 , 2.30887e-005
