x , y , z
-0.170144 , 0.97656 , -1.82257e-005
-0.187304 , 0.973277 , -1.75582e-005
-0.204405 , 0.96969 , -1.68779e-005
-0.221443 , 0.965799 , -1.61848e-005
-0.238413 , 0.961604 , -1.54791e-005
-0.255308 , 0.957109 , -1.47609e-005
-0.272124 , 0.952312 , -1.40305e-005
-0.288855 , 0.947217 , -1.32878e-005
-0.305495 , 0.941824 , -1.25331e-005
-0.32204 , 0.936134 , -1.17666e-005
-0.338484 , 0.93015 , -1.09884e-005
-0.354821 , 0.923873 , -1.01986e-005
-0.371047 , 0.917304 , -9.39746e-006
-0.387157 , 0.910446 , -8.58515e-006
-0.403144 , 0.903301 , -7.76182e-006
-0.419004 , 0.895871 , -6.92766e-006
-0.434732 , 0.888157 , -6.08286e-006
-0.450323 , 0.880163 , -5.2276e-006
-0.465771 , 0.87189 , -4.36207e-006
-0.481072 , 0.863341 , -3.48647e-006
-0.49622 , 0.854518 , -2.60101e-006
-0.51121 , 0.845424 , -1.70587e-006
-0.526039 , 0.836063 , -8.01274e-007
-0.5407 , 0.826435 , 1.12577e-007
-0.555189 , 0.816546 , 1.03547e-006
-0.569501 , 0.806396 , 1.96718e-006
-0.583632 , 0.795991 , 2.90751e-006
-0.597577 , 0.785332 , 3.85621e-006
-0.61133 , 0.774422 , 4.81308e-006
-0.624889 , 0.763266 , 5.77787e-006
-0.638247 , 0.751867 , 6.75037e-006
-0.651402 , 0.740228 , 7.73033e-006
-0.664347 , 0.728353 , 8.71752e-006
-0.67708 , 0.716245 , 9.7117e-006
-0.689595 , 0.703908 , 1.07126e-005
-0.701889 , 0.691346 , 1.17201e-005
-0.713957 , 0.678563 , 1.27338e-005
-0.725796 , 0.665563 , 1.37535e-005
-0.737401 , 0.65235 , 1.47789e-005
-0.748768 , 0.638928 , 1.58099e-005
-0.759894 , 0.625301 , 1.68461e-005
-0.770774 , 0.611473 , 1.78873e-005
-0.781406 , 0.59745 , 1.89332e-005
-0.791785 , 0.583234 , 1.99836e-005
-0.801908 , 0.568832 , 2.10382e-005
-0.811771 , 0.554246 , 2.20968e-005
-0.821372 , 0.539483 , 2.3159e-005
-0.830706 , 0.524546 , 2.42246e-005
-0.83977 , 0.50944 , 2.52934e-005
-0.848562 , 0.494171 , 2.6365e-005
-0.857078 , 0.478742 , 2.74392e-005
-0.865315 , 0.46316 , 2.85157e-005
-0.873271 , 0.447428 , 2.95943e-005
-0.880942 , 0.431553 , 3.06746e-005
-0.888326 , 0.415538 , 3.17565e-005
-0.895421 , 0.39939 , 3.28395e-005
-0.902223 , 0.383113 , 3.39234e-005
-0.90873 , 0.366712 , 3.5008e-005
-0.91494 , 0.350194 , 3.6093e-005
-0.920851 , 0.333563 , 3.71781e-005
-0.92646 , 0.316824 , 3.82629e-005
-0.931766 , 0.299984 , 3.93473e-005
-0.936766 , 0.283047 , 4.0431e-005
-0.941459 , 0.26602 , 4.15136e-005
-0.945842 , 0.248907 , 4.25949e-005
-0.949915 , 0.231714 , 4.36746e-005
-0.953675 , 0.214447 , 4.47524e-005
-0.957122 , 0.197112 , 4.5828e-005
-0.960253 , 0.179714 , 4.69012e-005
-0.963068 , 0.162259 , 4.79716e-005
-0.965565 , 0.144752 , 4.90391e-005
-0.967743 , 0.1272 , 5.01032e-005
-0.969602 , 0.109608 , 5.11638e-005
-0.97114 , 0.091982 , 5.22206e-005
-0.972357 , 0.0743279 , 5.32732e-005
-0.973252 , 0.0566515 , 5.43214e-005
-0.973825 , 0.0389588 , 5.5365e-005
-0.974074 , 0.0212555 , 5.64036e-005
-0.974001 , 0.00354749 , 5.74369e-005
-0.973604 , -0.0141592 , 5.84648e-005
-0.972884 , -0.0318588 , 5.94869e-005
-0.971841 , -0.0495453 , 6.0503e-005
-0.970474 , -0.0672128 , 6.15128e-005
-0.968784 , -0.0848554 , 6.2516e-005
-0.966771 , -0.102467 , 6.35124e-005
-0.964436 , -0.120042 , 6.45017e-005
-0.961779 , -0.137574 , 6.54836e-005
-0.958801 , -0.155058 , 6.6458e-005
-0.955503 , -0.172487 , 6.74244e-005
-0.951885 , -0.189856 , 6.83828e-005
-0.947949 , -0.207159 , 6.93328e-005
-0.943696 , -0.224389 , 7.02741e-005
-0.939126 , -0.241542 , 7.12066e-005
-0.934241 , -0.25861 , 7.213e-005
-0.929043 , -0.275589 , 7.30441e-005
-0.923533 , -0.292473 , 7.39485e-005
-0.917713 , -0.309255 , 7.48432e-005
-0.911585 , -0.325931 , 7.57278e-005
-0.905149 , -0.342494 , 7.66021e-005
-0.898409 , -0.358938 , 7.74659e-005
-0.891367 , -0.375259 , 7.8319e-005
-0.884024 , -0.391449 , 7.91612e-005
-0.876382 , -0.407505 , 7.99922e-005
-0.868445 , -0.42342 , 8.08118e-005
-0.860215 , -0.439189 , 8.16198e-005
-0.851694 , -0.454806 , 8.24161e-005
-0.842884 , -0.470266 , 8.32003e-005
-0.83379 , -0.485563 , 8.39724e-005
-0.824413 , -0.500692 , 8.47321e-005
-0.814757 , -0.515649 , 8.54792e-005
-0.804824 , -0.530427 , 8.62136e-005
