x , y , z
1 , 0 , 0
0.998821 , 0.0472097 , 0
0.996465 , 0.0943638 , 0
0.992937 , 0.141407 , 0
0.988248 , 0.188285 , 0
0.982416 , 0.234945 , 0
0.97546 , 0.281336 , 0
0.967405 , 0.32741 , 0
0.95828 , 0.373122 , 0
0.948115 , 0.418429 , 0
0.936947 , 0.463294 , 0
0.924811 , 0.50768 , 0
0.911747 , 0.551556 , 0
0.897795 , 0.594895 , 0
0.882995 , 0.637673 , 0
0.86739 , 0.679869 , 0
0.851021 , 0.721466 , 0
0.833929 , 0.76245 , 0
0.816156 , 0.802812 , 0
0.797742 , 0.842543 , 0
0.778726 , 0.881638 , 0
0.759146 , 0.920094 , 0
0.739038 , 0.957912 , 0
0.718439 , 0.995092 , 0
0.697381 , 1.03164 , 0
0.675898 , 1.06755 , 0
0.65402 , 1.10284 , 0
0.631776 , 1.13752 , 0
0.609194 , 1.17158 , 0
0.5863 , 1.20505 , 0
0.563118 , 1.23793 , 0
0.539673 , 1.27022 , 0
0.515986 , 1.30195 , 0
0.492078 , 1.33312 , 0
0.467967 , 1.36374 , 0
0.443672 , 1.39382 , 0
0.41921 , 1.42338 , 0
0.394597 , 1.45242 , 0
0.369848 , 1.48097 , 0
0.344976 , 1.50902 , 0
0.319994 , 1.53659 , 0
0.294914 , 1.56369 , 0
0.269749 , 1.59034 , 0
0.244507 , 1.61654 , 0
0.2192 , 1.6423 , 0
0.193836 , 1.66764 , 0
0.168424 , 1.69256 , 0
0.142971 , 1.71708 , 0
0.117485 , 1.7412 , 0
0.0919732 , 1.76494 , 0
0.0664417 , 1.78829 , 0
0.0408966 , 1.81129 , 0
0.0153434 , 1.83392 , 0
-0.0102128 , 1.8562 , 0
-0.035767 , 1.87814 , 0
-0.0613149 , 1.89974 , 0
-0.0868523 , 1.92102 , 0
-0.112375 , 1.94198 , 0
-0.13788 , 1.96263 , 0
-0.163364 , 1.98297 , 0
-0.188823 , 2.00302 , 0
-0.214255 , 2.02278 , 0
-0.239657 , 2.04225 , 0
-0.265026 , 2.06145 , 0
-0.290361 , 2.08038 , 0
-0.315658 , 2.09904 , 0
-0.340917 , 2.11745 , 0
-0.366135 , 2.1356 , 0
-0.39131 , 2.1535 , 0
-0.416442 , 2.17116 , 0
-0.441528 , 2.18859 , 0
-0.466567 , 2.20578 , 0
-0.491559 , 2.22275 , 0
-0.516501 , 2.23949 , 0
-0.541393 , 2.25602 , 0
-0.566234 , 2.27233 , 0
-0.591023 , 2.28844 , 0
-0.615759 , 2.30434 , 0
-0.640442 , 2.32004 , 0
-0.665071 , 2.33554 , 0
-0.689644 , 2.35085 , 0
-0.714163 , 2.36598 , 0
-0.738626 , 2.38092 , 0
-0.763032 , 2.39567 , 0
-0.787382 , 2.41025 , 0
-0.811675 , 2.42466 , 0
-0.835911 , 2.43889 , 0
-0.860089 , 2.45296 , 0
-0.88421 , 2.46686 , 0
-0.908273 , 2.4806 , 0
-0.932277 , 2.49419 , 0
-0.956223 , 2.50761 , 0
-0.980111 , 2.52088 , 0
-1.00394 , 2.53401 , 0
-1.02771 , 2.54698 , 0
-1.05142 , 2.55981 , 0
-1.07508 , 2.5725 , 0
-1.09867 , 2.58505 , 0
-1.12221 , 2.59746 , 0
-1.14569 , 2.60974 , 0
-1.16911 , 2.62188 , 0
-1.19247 , 2.63389 , 0
-1.21578 , 2.64578 , 0
-1.23902 , 2.65753 , 0
-1.26221 , 2.66917 , 0
-1.28534 , 2.68068 , 0
-1.30842 , 2.69207 , 0
-1.33143 , 2.70334 , 0
-1.35439 , 2.7145 , 0
-1.37729 , 2.72554 , 0
-1.40013 , 2.73646 , 0
-1.42292 , 2.74728 , 0
-1.44565 , 2.75799 , 0
-1.46832 , 2.76859 , 0
-1.49094 , 2.77908 , 0
-1.5135 , 2.78947 , 0
-1.53601 , 2.79976 , 0
-1.55846 , 2.80995 , 0
-1.58085 , 2.82003 , 0
-1.60319 , 2.83002 , 0
-1.62548 , 2.83991 , 0
-1.64771 , 2.8497 , 0
-1.66988 , 2.8594 , 0
-1.692 , 2.86901 , 0
-1.71407 , 2.87853 , 0
-1.73608 , 2.88795 , 0
-1.75804 , 2.89729 , 0
-1.77995 , 2.90654 , 0
-1.8018 , 2.9157 , 0
-1.8236 , 2.92478 , 0
-1.84535 , 2.93377 , 0
-1.86705 , 2.94268 , 0
-1.88869 , 2.95151 , 0
-1.91029 , 2.96026 , 0
-1.93183 , 2.96893 , 0
-1.95332 , 2.97751 , 0
-1.97475 , 2.98602 , 0
-1.99614 , 2.99446 , 0
-2.01748 , 3.00282 , 0
-2.03877 , 3.0111 , 0
-2.06 , 3.01931 , 0
-2.08119 , 3.02745 , 0
