x , y , z
0 , 0 , 0
3.53654e-009 , 0 , 0
1.06061e-008 , 1.66991e-010 , 0
2.119e-008 , 6.66782e-010 , 0
3.52545e-008 , 1.66226e-009 , 0
5.27516e-008 , 3.31172e-009 , 0
7.36197e-008 , 5.76735e-009 , 0
9.77846e-008 , 9.17385e-009 , 0
1.25161e-007 , 1.36673e-008 , 0
1.55654e-007 , 1.93741e-008 , 0
1.89159e-007 , 2.64104e-008 , 0
2.25566e-007 , 3.48816e-008 , 0
2.64759e-007 , 4.48817e-008 , 0
3.06616e-007 , 5.6494e-008 , 0
3.51015e-007 , 6.97904e-008 , 0
3.97831e-007 , 8.48321e-008 , 0
4.46938e-007 , 1.0167e-007 , 0
4.98213e-007 , 1.20345e-007 , 0
5.51531e-007 , 1.4089e-007 , 0
6.06774e-007 , 1.63326e-007 , 0
6.63823e-007 , 1.8767e-007 , 0
7.22563e-007 , 2.1393e-007 , 0
7.82886e-007 , 2.42107e-007 , 0
8.44684e-007 , 2.72196e-007 , 0
9.07856e-007 , 3.0419e-007 , 0
9.72306e-007 , 3.38072e-007 , 0
1.03794e-006 , 3.73827e-007 , 0
1.10467e-006 , 4.11431e-007 , 0
1.17242e-006 , 4.50862e-007 , 0
1.2411e-006 , 4.92092e-007 , 0
1.31064e-006 , 5.35093e-007 , 0
1.38098e-006 , 5.79834e-007 , 0
1.45204e-006 , 6.26285e-007 , 0
1.52377e-006 , 6.74411e-007 , 0
1.5961e-006 , 7.24181e-007 , 0
1.66898e-006 , 7.7556e-007 , 0
1.74237e-006 , 8.28513e-007 , 0
1.81621e-006 , 8.83008e-007 , 0
1.89046e-006 , 9.39009e-007 , 0
1.96507e-006 , 9.96483e-007 , 0
2.04002e-006 , 1.0554e-006 , 0
2.11526e-006 , 1.11571e-006 , 0
2.19075e-006 , 1.1774e-006 , 0
2.26648e-006 , 1.24043e-006 , 0
2.3424e-006 , 1.30477e-006 , 0
2.41849e-006 , 1.37039e-006 , 0
2.49473e-006 , 1.43725e-006 , 0
2.57109e-006 , 1.50533e-006 , 0
2.64755e-006 , 1.5746e-006 , 0
2.72408e-006 , 1.64502e-006 , 0
2.80067e-006 , 1.71657e-006 , 0
2.87731e-006 , 1.78923e-006 , 0
2.95397e-006 , 1.86297e-006 , 0
3.03064e-006 , 1.93775e-006 , 0
3.1073e-006 , 2.01357e-006 , 0
3.18394e-006 , 2.09038e-006 , 0
3.26056e-006 , 2.16818e-006 , 0
3.33713e-006 , 2.24693e-006 , 0
3.41364e-006 , 2.32661e-006 , 0
3.49009e-006 , 2.4072e-006 , 0
3.56647e-006 , 2.48869e-006 , 0
3.64276e-006 , 2.57104e-006 , 0
3.71897e-006 , 2.65424e-006 , 0
3.79508e-006 , 2.73828e-006 , 0
3.87108e-006 , 2.82313e-006 , 0
3.94697e-006 , 2.90877e-006 , 0
4.02275e-006 , 2.99518e-006 , 0
4.0984e-006 , 3.08236e-006 , 0
4.17393e-006 , 3.17028e-006 , 0
4.24933e-006 , 3.25892e-006 , 0
4.32458e-006 , 3.34827e-006 , 0
4.3997e-006 , 3.43833e-006 , 0
4.47468e-006 , 3.52906e-006 , 0
4.5495e-006 , 3.62045e-006 , 0
4.62418e-006 , 3.7125e-006 , 0
4.6987e-006 , 3.80519e-006 , 0
4.77307e-006 , 3.89851e-006 , 0
4.84728e-006 , 3.99243e-006 , 0
4.92133e-006 , 4.08696e-006 , 0
4.99521e-006 , 4.18208e-006 , 0
5.06893e-006 , 4.27777e-006 , 0
5.14249e-006 , 4.37403e-006 , 0
5.21588e-006 , 4.47084e-006 , 0
5.2891e-006 , 4.5682e-006 , 0
5.36215e-006 , 4.66609e-006 , 0
5.43503e-006 , 4.7645e-006 , 0
5.50773e-006 , 4.86343e-006 , 0
5.58027e-006 , 4.96286e-006 , 0
5.65263e-006 , 5.06278e-006 , 0
5.72482e-006 , 5.16319e-006 , 0
5.79683e-006 , 5.26407e-006 , 0
5.86867e-006 , 5.36542e-006 , 0
5.94033e-006 , 5.46723e-006 , 0
6.01182e-006 , 5.56949e-006 , 0
6.08314e-006 , 5.67219e-006 , 0
6.15427e-006 , 5.77533e-006 , 0
6.22524e-006 , 5.87889e-006 , 0
6.29602e-006 , 5.98288e-006 , 0
6.36664e-006 , 6.08728e-006 , 0
6.43707e-006 , 6.19208e-006 , 0
6.50733e-006 , 6.29728e-006 , 0
6.57742e-006 , 6.40287e-006 , 0
6.64733e-006 , 6.50885e-006 , 0
6.71707e-006 , 6.61521e-006 , 0
6.78664e-006 , 6.72194e-006 , 0
6.85603e-006 , 6.82903e-006 , 0
6.92525e-006 , 6.93649e-006 , 0
6.99429e-006 , 7.0443e-006 , 0
7.06316e-006 , 7.15247e-006 , 0
7.13187e-006 , 7.26097e-006 , 0
7.2004e-006 , 7.36982e-006 , 0
7.26876e-006 , 7.47899e-006 , 0
7.33695e-006 , 7.5885e-006 , 0
7.40497e-006 , 7.69833e-006 , 0
7.47282e-006 , 7.80848e-006 , 0
7.54051e-006 , 7.91894e-006 , 0
7.60802e-006 , 8.0297e-006 , 0
7.67537e-006 , 8.14078e-006 , 0
7.74256e-006 , 8.25215e-006 , 0
7.80957e-006 , 8.36382e-006 , 0
7.87643e-006 , 8.47578e-006 , 0
7.94312e-006 , 8.58802e-006 , 0
8.00964e-006 , 8.70055e-006 , 0
8.07601e-006 , 8.81335e-006 , 0
8.14221e-006 , 8.92643e-006 , 0
8.20825e-006 , 9.03979e-006 , 0
8.27413e-006 , 9.1534e-006 , 0
8.33985e-006 , 9.26729e-006 , 0
8.40541e-006 , 9.38143e-006 , 0
8.47081e-006 , 9.49582e-006 , 0
8.53606e-006 , 9.61047e-006 , 0
8.60115e-006 , 9.72537e-006 , 0
8.66608e-006 , 9.84052e-006 , 0
8.73086e-006 , 9.95591e-006 , 0
8.79548e-006 , 1.00715e-005 , 0
8.85995e-006 , 1.01874e-005 , 0
8.92426e-006 , 1.03035e-005 , 0
8.98843e-006 , 1.04198e-005 , 0
9.05244e-006 , 1.05364e-005 , 0
9.1163e-006 , 1.06532e-005 , 0
9.18001e-006 , 1.07702e-005 , 0
9.24358e-006 , 1.08874e-005 , 0
9.30699e-006 , 1.10048e-005 , 0
9.37026e-006 , 1.11225e-005 , 0
9.43338e-006 , 1.12403e-005 , 0
9.49635e-006 , 1.13584e-005 , 0
9.55918e-006 , 1.14766e-005 , 0
9.62186e-006 , 1.15951e-005 , 0
9.6844e-006 , 1.17138e-005 , 0
9.7468e-006 , 1.18327e-005 , 0
9.80905e-006 , 1.19517e-005 , 0
9.87116e-006 , 1.2071e-005 , 0
9.93313e-006 , 1.21905e-005 , 0
9.99496e-006 , 1.23101e-005 , 0
1.00567e-005 , 1.24299e-005 , 0
1.01182e-005 , 1.25499e-005 , 0
1.01796e-005 , 1.26701e-005 , 0
1.02409e-005 , 1.27905e-005 , 0
1.0302e-005 , 1.29111e-005 , 0
1.0363e-005 , 1.30318e-005 , 0
1.04239e-005 , 1.31527e-005 , 0
1.04846e-005 , 1.32738e-005 , 0
1.05452e-005 , 1.3395e-005 , 0
1.06057e-005 , 1.35165e-005 , 0
1.0666e-005 , 1.3638e-005 , 0
1.07262e-005 , 1.37598e-005 , 0
1.07863e-005 , 1.38817e-005 , 0
1.08463e-005 , 1.40038e-005 , 0
1.09061e-005 , 1.4126e-005 , 0
1.09658e-005 , 1.42484e-005 , 0
1.10253e-005 , 1.43709e-005 , 0
1.10847e-005 , 1.44936e-005 , 0
1.1144e-005 , 1.46165e-005 , 0
1.12032e-005 , 1.47395e-005 , 0
1.12622e-005 , 1.48627e-005 , 0
1.13212e-005 , 1.4986e-005 , 0
1.138e-005 , 1.51094e-005 , 0
1.14386e-005 , 1.5233e-005 , 0
1.14972e-005 , 1.53568e-005 , 0
1.15556e-005 , 1.54806e-005 , 0
1.16139e-005 , 1.56047e-005 , 0
1.16721e-005 , 1.57288e-005 , 0
1.17301e-005 , 1.58531e-005 , 0
1.17881e-005 , 1.59776e-005 , 0
1.18459e-005 , 1.61021e-005 , 0
1.19036e-005 , 1.62268e-005 , 0
1.19612e-005 , 1.63517e-005 , 0
1.20187e-005 , 1.64767e-005 , 0
1.2076e-005 , 1.66018e-005 , 0
1.21332e-005 , 1.6727e-005 , 0
1.21903e-005 , 1.68524e-005 , 0
1.22473e-005 , 1.69778e-005 , 0
1.23042e-005 , 1.71035e-005 , 0
1.2361e-005 , 1.72292e-005 , 0
1.24177e-005 , 1.7355e-005 , 0
1.24742e-005 , 1.7481e-005 , 0
1.25306e-005 , 1.76071e-005 , 0
1.25869e-005 , 1.77334e-005 , 0
1.26431e-005 , 1.78597e-005 , 0
1.26992e-005 , 1.79861e-005 , 0
1.27552e-005 , 1.81127e-005 , 0
1.28111e-005 , 1.82394e-005 , 0
1.28669e-005 , 1.83662e-005 , 0
