x , y , z
1 , 0 , 0
0.999705 , 0.00858359 , 0
0.999116 , 0.0171646 , 0
0.998231 , 0.0257406 , 0
0.997051 , 0.034309 , 0
0.995575 , 0.0428672 , 0
0.993802 , 0.0514126 , 0
0.991733 , 0.0599426 , 0
0.989365 , 0.0684547 , 0
0.986698 , 0.076946 , 0
0.983731 , 0.085414 , 0
0.980463 , 0.0938558 , 0
0.976893 , 0.102269 , 0
0.973019 , 0.11065 , 0
0.96884 , 0.118996 , 0
0.964353 , 0.127305 , 0
0.959558 , 0.135572 , 0
0.954452 , 0.143796 , 0
0.949034 , 0.151973 , 0
0.9433 , 0.1601 , 0
0.937249 , 0.168172 , 0
0.930878 , 0.176187 , 0
0.924184 , 0.184141 , 0
0.917165 , 0.192031 , 0
0.909817 , 0.199851 , 0
0.902138 , 0.207599 , 0
0.894123 , 0.215269 , 0
0.88577 , 0.222858 , 0
0.877074 , 0.23036 , 0
0.868032 , 0.237772 , 0
0.858638 , 0.245088 , 0
0.848889 , 0.252302 , 0
0.83878 , 0.259409 , 0
0.828306 , 0.266403 , 0
0.817461 , 0.273278 , 0
0.80624 , 0.280027 , 0
0.794637 , 0.286643 , 0
0.782645 , 0.293119 , 0
0.770258 , 0.299447 , 0
0.757469 , 0.305619 , 0
0.74427 , 0.311626 , 0
0.730654 , 0.317457 , 0
0.716611 , 0.323104 , 0
0.702134 , 0.328555 , 0
0.687213 , 0.333798 , 0
0.671838 , 0.33882 , 0
0.655998 , 0.343608 , 0
0.639681 , 0.348146 , 0
0.622877 , 0.352419 , 0
0.605572 , 0.356408 , 0
0.587752 , 0.360095 , 0
0.569404 , 0.363458 , 0
0.550511 , 0.366473 , 0
0.531057 , 0.369114 , 0
0.511025 , 0.371354 , 0
0.490395 , 0.37316 , 0
0.469148 , 0.374495 , 0
0.447261 , 0.37532 , 0
0.424713 , 0.37559 , 0
0.401477 , 0.375252 , 0
0.377528 , 0.374248 , 0
0.352839 , 0.372509 , 0
0.32738 , 0.369958 , 0
0.301121 , 0.366503 , 0
