x , y , z
0 , 0 , 0
8.84135e-010 , 0 , 0
2.65283e-009 , 7.59493e-012 , 0
5.30683e-009 , 3.03993e-011 , 0
8.84723e-009 , 7.60603e-011 , 0
1.32754e-008 , 1.52271e-010 , 0
1.85931e-008 , 2.66783e-010 , 0
2.48025e-008 , 4.27421e-010 , 0
3.19059e-008 , 6.42096e-010 , 0
3.9906e-008 , 9.18822e-010 , 0
4.88061e-008 , 1.26573e-009 , 0
5.86096e-008 , 1.69107e-009 , 0
6.93203e-008 , 2.20325e-009 , 0
8.09424e-008 , 2.81086e-009 , 0
9.34806e-008 , 3.52263e-009 , 0
1.0694e-007 , 4.34752e-009 , 0
1.21325e-007 , 5.2947e-009 , 0
1.36643e-007 , 6.37359e-009 , 0
1.52899e-007 , 7.59385e-009 , 0
1.701e-007 , 8.96546e-009 , 0
1.88254e-007 , 1.04987e-008 , 0
2.07367e-007 , 1.22041e-008 , 0
2.27448e-007 , 1.40927e-008 , 0
2.48505e-007 , 1.61759e-008 , 0
2.70548e-007 , 1.84654e-008 , 0
2.93586e-007 , 2.09735e-008 , 0
3.1763e-007 , 2.3713e-008 , 0
3.4269e-007 , 2.66971e-008 , 0
3.68777e-007 , 2.99399e-008 , 0
3.95905e-007 , 3.34557e-008 , 0
4.24085e-007 , 3.726e-008 , 0
4.53332e-007 , 4.13686e-008 , 0
4.83659e-007 , 4.57983e-008 , 0
5.15082e-007 , 5.0567e-008 , 0
5.47617e-007 , 5.56932e-008 , 0
5.8128e-007 , 6.11968e-008 , 0
6.1609e-007 , 6.70985e-008 , 0
6.52065e-007 , 7.34207e-008 , 0
6.89226e-007 , 8.01869e-008 , 0
7.27594e-007 , 8.74221e-008 , 0
7.6719e-007 , 9.51532e-008 , 0
8.08039e-007 , 1.03409e-007 , 0
8.50166e-007 , 1.12219e-007 , 0
8.93597e-007 , 1.21618e-007 , 0
9.38361e-007 , 1.31641e-007 , 0
9.84487e-007 , 1.42325e-007 , 0
1.03201e-006 , 1.53712e-007 , 0
