x , y , z
1 , 0 , 0
0.999705 , 0.021459 , 0
0.999116 , 0.0429116 , 0
0.998232 , 0.0643516 , 0
0.997054 , 0.0857727 , 0
0.995583 , 0.107168 , 0
0.99382 , 0.128533 , 0
0.991766 , 0.14986 , 0
0.989422 , 0.171143 , 0
0.98679 , 0.192376 , 0
0.983872 , 0.213553 , 0
0.98067 , 0.234669 , 0
0.977186 , 0.255717 , 0
0.973422 , 0.276692 , 0
0.969382 , 0.297588 , 0
0.965068 , 0.318401 , 0
0.960482 , 0.339124 , 0
0.955629 , 0.359752 , 0
0.950511 , 0.380281 , 0
0.945132 , 0.400705 , 0
0.939496 , 0.42102 , 0
0.933606 , 0.441221 , 0
0.927466 , 0.461305 , 0
0.92108 , 0.481266 , 0
0.914453 , 0.5011 , 0
0.907587 , 0.520805 , 0
0.900489 , 0.540375 , 0
0.893161 , 0.559808 , 0
0.885608 , 0.5791 , 0
0.877835 , 0.598248 , 0
0.869846 , 0.617249 , 0
0.861646 , 0.6361 , 0
0.853239 , 0.654799 , 0
0.84463 , 0.673342 , 0
0.835824 , 0.691728 , 0
0.826825 , 0.709954 , 0
0.817637 , 0.728018 , 0
0.808266 , 0.74592 , 0
0.798716 , 0.763655 , 0
0.788991 , 0.781224 , 0
0.779096 , 0.798625 , 0
0.769037 , 0.815857 , 0
0.758816 , 0.832917 , 0
0.748439 , 0.849807 , 0
0.73791 , 0.866523 , 0
0.727234 , 0.883067 , 0
0.716414 , 0.899436 , 0
0.705456 , 0.915632 , 0
0.694362 , 0.931652 , 0
0.683139 , 0.947498 , 0
0.671789 , 0.963168 , 0
0.660317 , 0.978663 , 0
0.648727 , 0.993983 , 0
0.637022 , 1.00913 , 0
0.625207 , 1.0241 , 0
0.613285 , 1.03889 , 0
0.60126 , 1.05351 , 0
0.589136 , 1.06796 , 0
0.576916 , 1.08223 , 0
0.564604 , 1.09633 , 0
0.552204 , 1.11026 , 0
0.539718 , 1.12402 , 0
0.52715 , 1.1376 , 0
0.514503 , 1.15102 , 0
0.50178 , 1.16426 , 0
0.488985 , 1.17734 , 0
0.476121 , 1.19025 , 0
0.463189 , 1.20299 , 0
0.450194 , 1.21557 , 0
0.437138 , 1.22799 , 0
0.424024 , 1.24024 , 0
0.410855 , 1.25232 , 0
0.397632 , 1.26425 , 0
0.38436 , 1.27602 , 0
0.371039 , 1.28763 , 0
0.357673 , 1.29908 , 0
0.344264 , 1.31037 , 0
0.330814 , 1.32151 , 0
0.317325 , 1.33249 , 0
0.3038 , 1.34332 , 0
0.290241 , 1.354 , 0
0.276649 , 1.36453 , 0
0.263028 , 1.37491 , 0
0.249378 , 1.38515 , 0
0.235702 , 1.39523 , 0
0.222001 , 1.40517 , 0
0.208277 , 1.41497 , 0
0.194533 , 1.42463 , 0
0.180769 , 1.43414 , 0
0.166988 , 1.44351 , 0
0.15319 , 1.45275 , 0
0.139378 , 1.46185 , 0
0.125553 , 1.47081 , 0
0.111717 , 1.47964 , 0
0.0978705 , 1.48833 , 0
0.0840153 , 1.49689 , 0
0.0701528 , 1.50532 , 0
0.0562842 , 1.51362 , 0
0.0424109 , 1.52179 , 0
0.028534 , 1.52984 , 0
0.0146547 , 1.53776 , 0
0.00077433 , 1.54555 , 0
-0.0131061 , 1.55322 , 0
-0.0269856 , 1.56077 , 0
-0.0408629 , 1.5682 , 0
-0.0547372 , 1.57551 , 0
-0.0686073 , 1.5827 , 0
-0.0824723 , 1.58977 , 0
-0.0963313 , 1.59673 , 0
-0.110183 , 1.60357 , 0
-0.124028 , 1.6103 , 0
-0.137863 , 1.61691 , 0
-0.151689 , 1.62342 , 0
-0.165505 , 1.62981 , 0
-0.17931 , 1.6361 , 0
-0.193103 , 1.64227 , 0
-0.206883 , 1.64834 , 0
-0.22065 , 1.6543 , 0
-0.234403 , 1.66016 , 0
-0.248141 , 1.66592 , 0
-0.261864 , 1.67157 , 0
-0.275571 , 1.67712 , 0
-0.289261 , 1.68257 , 0
-0.302935 , 1.68792 , 0
-0.31659 , 1.69317 , 0
-0.330228 , 1.69832 , 0
-0.343846 , 1.70338 , 0
-0.357446 , 1.70834 , 0
-0.371025 , 1.7132 , 0
-0.384584 , 1.71798 , 0
-0.398123 , 1.72266 , 0
-0.41164 , 1.72724 , 0
-0.425135 , 1.73174 , 0
-0.438609 , 1.73615 , 0
-0.45206 , 1.74047 , 0
-0.465488 , 1.74469 , 0
-0.478892 , 1.74884 , 0
-0.492273 , 1.75289 , 0
-0.50563 , 1.75686 , 0
-0.518963 , 1.76075 , 0
-0.532271 , 1.76455 , 0
-0.545554 , 1.76827 , 0
-0.558811 , 1.7719 , 0
-0.572043 , 1.77546 , 0
-0.585249 , 1.77893 , 0
-0.598428 , 1.78233 , 0
-0.611581 , 1.78564 , 0
-0.624707 , 1.78888 , 0
-0.637806 , 1.79204 , 0
-0.650878 , 1.79512 , 0
-0.663922 , 1.79813 , 0
-0.676939 , 1.80106 , 0
-0.689927 , 1.80392 , 0
-0.702888 , 1.8067 , 0
-0.715819 , 1.80941 , 0
-0.728722 , 1.81205 , 0
-0.741597 , 1.81462 , 0
-0.754442 , 1.81711 , 0
-0.767258 , 1.81954 , 0
-0.780045 , 1.82189 , 0
-0.792802 , 1.82418 , 0
-0.80553 , 1.8264 , 0
-0.818227 , 1.82855 , 0
-0.830895 , 1.83063 , 0
-0.843533 , 1.83265 , 0
-0.85614 , 1.8346 , 0
-0.868717 , 1.83648 , 0
-0.881263 , 1.8383 , 0
-0.893779 , 1.84006 , 0
-0.906264 , 1.84175 , 0
-0.918718 , 1.84339 , 0
-0.931141 , 1.84496 , 0
-0.943533 , 1.84646 , 0
-0.955894 , 1.84791 , 0
-0.968223 , 1.8493 , 0
-0.980521 , 1.85062 , 0
