x , y , z
0 , 0 , 0
8.84135e-010 , 0 , 0
2.65219e-009 , 2.08709e-011 , 0
5.30299e-009 , 8.34466e-011 , 0
8.8344e-009 , 2.08469e-010 , 0
1.32434e-008 , 4.16533e-010 , 0
1.85259e-008 , 7.28033e-010 , 0
2.46771e-008 , 1.16311e-009 , 0
3.16911e-008 , 1.74161e-009 , 0
3.95613e-008 , 2.48302e-009 , 0
4.82803e-008 , 3.40642e-009 , 0
5.78397e-008 , 4.53049e-009 , 0
6.82304e-008 , 5.87338e-009 , 0
7.94427e-008 , 7.45276e-009 , 0
9.14661e-008 , 9.28573e-009 , 0
1.04289e-007 , 1.13888e-008 , 0
1.17901e-007 , 1.3778e-008 , 0
1.32289e-007 , 1.64685e-008 , 0
1.47439e-007 , 1.94749e-008 , 0
1.6334e-007 , 2.28114e-008 , 0
1.79977e-007 , 2.64911e-008 , 0
1.97336e-007 , 3.05266e-008 , 0
2.15402e-007 , 3.493e-008 , 0
2.34162e-007 , 3.97125e-008 , 0
2.536e-007 , 4.48845e-008 , 0
2.737e-007 , 5.0456e-008 , 0
2.94449e-007 , 5.6436e-008 , 0
3.1583e-007 , 6.28332e-008 , 0
3.37827e-007 , 6.96552e-008 , 0
3.60426e-007 , 7.69093e-008 , 0
3.8361e-007 , 8.4602e-008 , 0
4.07365e-007 , 9.27393e-008 , 0
4.31674e-007 , 1.01326e-007 , 0
4.56522e-007 , 1.10368e-007 , 0
4.81895e-007 , 1.19868e-007 , 0
5.07776e-007 , 1.29831e-007 , 0
5.34151e-007 , 1.40259e-007 , 0
5.61005e-007 , 1.51154e-007 , 0
5.88324e-007 , 1.6252e-007 , 0
6.16092e-007 , 1.74358e-007 , 0
6.44296e-007 , 1.86668e-007 , 0
6.72921e-007 , 1.99452e-007 , 0
7.01954e-007 , 2.12709e-007 , 0
7.31382e-007 , 2.26441e-007 , 0
7.6119e-007 , 2.40646e-007 , 0
7.91367e-007 , 2.55324e-007 , 0
8.21899e-007 , 2.70473e-007 , 0
