x , y , z
-0.170144 , 0.97656 , -1.82257e-005
-0.18733 , 0.973433 , -1.75649e-005
-0.20446 , 0.970011 , -1.68987e-005
-0.221527 , 0.966295 , -1.62274e-005
-0.238528 , 0.962286 , -1.55512e-005
-0.255456 , 0.957987 , -1.48704e-005
-0.272307 , 0.953397 , -1.4185e-005
-0.289075 , 0.948519 , -1.34954e-005
-0.305756 , 0.943354 , -1.28017e-005
-0.322345 , 0.937904 , -1.21041e-005
-0.338836 , 0.932171 , -1.14029e-005
-0.355225 , 0.926155 , -1.06982e-005
-0.371506 , 0.91986 , -9.99031e-006
-0.387675 , 0.913287 , -9.27942e-006
-0.403728 , 0.906438 , -8.56574e-006
-0.419658 , 0.899315 , -7.84948e-006
-0.435462 , 0.891922 , -7.13086e-006
-0.451134 , 0.884259 , -6.41011e-006
-0.46667 , 0.876329 , -5.68743e-006
-0.482066 , 0.868136 , -4.96305e-006
-0.497316 , 0.859681 , -4.23718e-006
-0.512417 , 0.850967 , -3.51005e-006
-0.527364 , 0.841997 , -2.78187e-006
-0.542152 , 0.832774 , -2.05286e-006
-0.556777 , 0.823301 , -1.32325e-006
-0.571235 , 0.81358 , -5.9325e-007
-0.585521 , 0.803615 , 1.36919e-007
-0.599632 , 0.793409 , 8.67039e-007
-0.613563 , 0.782966 , 1.59689e-006
-0.62731 , 0.772287 , 2.32626e-006
-0.640869 , 0.761377 , 3.05492e-006
-0.654236 , 0.75024 , 3.78265e-006
-0.667408 , 0.738878 , 4.50925e-006
-0.680381 , 0.727296 , 5.2345e-006
-0.69315 , 0.715496 , 5.95818e-006
-0.705713 , 0.703483 , 6.68007e-006
-0.718065 , 0.69126 , 7.39997e-006
-0.730203 , 0.678831 , 8.11766e-006
-0.742124 , 0.666201 , 8.83293e-006
-0.753825 , 0.653372 , 9.54557e-006
-0.765301 , 0.640349 , 1.02554e-005
-0.776551 , 0.627136 , 1.09621e-005
-0.78757 , 0.613737 , 1.16656e-005
-0.798356 , 0.600156 , 1.23657e-005
-0.808905 , 0.586398 , 1.30621e-005
-0.819215 , 0.572466 , 1.37546e-005
-0.829283 , 0.558365 , 1.44431e-005
-0.839107 , 0.5441 , 1.51273e-005
-0.848683 , 0.529673 , 1.58071e-005
-0.858009 , 0.515091 , 1.64822e-005
-0.867083 , 0.500358 , 1.71525e-005
-0.875901 , 0.485477 , 1.78177e-005
-0.884463 , 0.470453 , 1.84777e-005
-0.892765 , 0.455292 , 1.91324e-005
-0.900806 , 0.439997 , 1.97814e-005
-0.908582 , 0.424574 , 2.04246e-005
-0.916094 , 0.409026 , 2.10619e-005
-0.923337 , 0.393359 , 2.16931e-005
-0.930312 , 0.377577 , 2.2318e-005
-0.937015 , 0.361685 , 2.29363e-005
-0.943445 , 0.345688 , 2.35481e-005
-0.949602 , 0.32959 , 2.4153e-005
-0.955482 , 0.313397 , 2.47509e-005
-0.961086 , 0.297113 , 2.53416e-005
-0.966411 , 0.280742 , 2.5925e-005
-0.971456 , 0.264291 , 2.6501e-005
-0.97622 , 0.247763 , 2.70693e-005
-0.980703 , 0.231163 , 2.76299e-005
-0.984903 , 0.214497 , 2.81825e-005
-0.98882 , 0.197769 , 2.8727e-005
-0.992452 , 0.180984 , 2.92633e-005
-0.995799 , 0.164147 , 2.97912e-005
-0.99886 , 0.147263 , 3.03106e-005
-1.00164 , 0.130337 , 3.08214e-005
-1.00412 , 0.113374 , 3.13234e-005
-1.00633 , 0.0963781 , 3.18165e-005
-1.00824 , 0.0793548 , 3.23005e-005
-1.00987 , 0.0623088 , 3.27754e-005
-1.01121 , 0.0452452 , 3.3241e-005
-1.01226 , 0.0281686 , 3.36972e-005
-1.01302 , 0.011084 , 3.41439e-005
-1.0135 , -0.00600369 , 3.4581e-005
-1.01369 , -0.0230897 , 3.50083e-005
-1.01359 , -0.0401692 , 3.54258e-005
-1.01321 , -0.0572373 , 3.58333e-005
-1.01254 , -0.0742893 , 3.62308e-005
-1.01158 , -0.0913204 , 3.66182e-005
-1.01034 , -0.108326 , 3.69953e-005
-1.00882 , -0.125301 , 3.73622e-005
-1.00701 , -0.14224 , 3.77186e-005
-1.00493 , -0.15914 , 3.80645e-005
-1.00256 , -0.175996 , 3.83999e-005
-0.999905 , -0.192802 , 3.87246e-005
-0.996976 , -0.209554 , 3.90387e-005
-0.993768 , -0.226248 , 3.93419e-005
-0.990283 , -0.242879 , 3.96343e-005
-0.986523 , -0.259442 , 3.99158e-005
-0.982489 , -0.275933 , 4.01864e-005
-0.978182 , -0.292348 , 4.04459e-005
-0.973604 , -0.308681 , 4.06943e-005
-0.968756 , -0.324929 , 4.09316e-005
-0.963641 , -0.341088 , 4.11578e-005
-0.95826 , -0.357152 , 4.13727e-005
-0.952614 , -0.373118 , 4.15764e-005
-0.946706 , -0.38898 , 4.17688e-005
-0.940538 , -0.404736 , 4.19499e-005
-0.934111 , -0.420381 , 4.21197e-005
-0.927428 , -0.435911 , 4.22781e-005
-0.920491 , -0.451321 , 4.24251e-005
-0.913302 , -0.466607 , 4.25607e-005
-0.905863 , -0.481766 , 4.26849e-005
-0.898177 , -0.496793 , 4.27977e-005
-0.890246 , -0.511685 , 4.2899e-005
-0.882073 , -0.526438 , 4.29889e-005
-0.873659 , -0.541047 , 4.30673e-005
-0.865008 , -0.555509 , 4.31343e-005
-0.856122 , -0.56982 , 4.31898e-005
-0.847004 , -0.583977 , 4.32339e-005
-0.837657 , -0.597976 , 4.32666e-005
-0.828083 , -0.611813 , 4.32879e-005
-0.818285 , -0.625485 , 4.32978e-005
-0.808267 , -0.638988 , 4.32964e-005
-0.79803 , -0.652318 , 4.32835e-005
-0.787579 , -0.665473 , 4.32594e-005
-0.776916 , -0.678449 , 4.3224e-005
-0.766044 , -0.691243 , 4.31773e-005
-0.754966 , -0.703851 , 4.31193e-005
-0.743686 , -0.71627 , 4.30502e-005
-0.732206 , -0.728497 , 4.29699e-005
-0.720531 , -0.74053 , 4.28785e-005
-0.708663 , -0.752364 , 4.2776e-005
-0.696606 , -0.763998 , 4.26625e-005
-0.684362 , -0.775427 , 4.2538e-005
-0.671937 , -0.78665 , 4.24025e-005
-0.659332 , -0.797664 , 4.22561e-005
-0.646552 , -0.808465 , 4.20988e-005
-0.6336 , -0.819051 , 4.19308e-005
-0.62048 , -0.82942 , 4.1752e-005
-0.607195 , -0.839568 , 4.15624e-005
-0.593749 , -0.849494 , 4.13622e-005
