x , y , z
0.522349 , -5.19358 , 0.00985376
0.529748 , -5.19246 , 0.00968357
0.537146 , -5.19134 , 0.00951337
0.544544 , -5.1902 , 0.00934314
0.55194 , -5.18905 , 0.0091729
0.559335 , -5.18789 , 0.00900264
0.566728 , -5.18671 , 0.00883236
0.574121 , -5.18553 , 0.00866206
0.581512 , -5.18434 , 0.00849174
0.588903 , -5.18313 , 0.00832141
0.596292 , -5.18192 , 0.00815105
0.603679 , -5.18069 , 0.00798068
0.611066 , -5.17946 , 0.0078103
0.618451 , -5.17821 , 0.0076399
0.625835 , -5.17695 , 0.00746948
0.633218 , -5.17568 , 0.00729904
0.640599 , -5.1744 , 0.0071286
0.647979 , -5.17311 , 0.00695813
0.655358 , -5.17181 , 0.00678765
0.662735 , -5.1705 , 0.00661716
0.670111 , -5.16918 , 0.00644666
0.677485 , -5.16785 , 0.00627614
0.684858 , -5.1665 , 0.00610561
0.69223 , -5.16515 , 0.00593506
0.6996 , -5.16378 , 0.0057645
0.706969 , -5.16241 , 0.00559393
0.714336 , -5.16102 , 0.00542335
0.721702 , -5.15962 , 0.00525276
0.729067 , -5.15821 , 0.00508216
0.736429 , -5.15679 , 0.00491154
0.743791 , -5.15536 , 0.00474092
0.75115 , -5.15392 , 0.00457029
0.758509 , -5.15247 , 0.00439964
0.765865 , -5.15101 , 0.00422899
0.77322 , -5.14954 , 0.00405833
0.780573 , -5.14805 , 0.00388766
0.787925 , -5.14656 , 0.00371698
0.795275 , -5.14505 , 0.00354629
0.802624 , -5.14354 , 0.0033756
0.80997 , -5.14201 , 0.0032049
0.817316 , -5.14047 , 0.00303419
0.824659 , -5.13892 , 0.00286348
0.832001 , -5.13737 , 0.00269276
0.83934 , -5.1358 , 0.00252203
0.846679 , -5.13422 , 0.0023513
0.854015 , -5.13262 , 0.00218057
0.861349 , -5.13102 , 0.00200983
0.868682 , -5.12941 , 0.00183909
0.876013 , -5.12779 , 0.00166834
0.883342 , -5.12615 , 0.00149759
0.89067 , -5.12451 , 0.00132683
0.897995 , -5.12285 , 0.00115607
0.905319 , -5.12119 , 0.000985314
0.91264 , -5.11951 , 0.000814553
0.91996 , -5.11782 , 0.000643789
0.927278 , -5.11612 , 0.000473024
0.934594 , -5.11441 , 0.000302258
0.941907 , -5.11269 , 0.000131492
0.949219 , -5.11096 , -3.92747e-005
0.956529 , -5.10922 , -0.000210041
0.963837 , -5.10747 , -0.000380808
0.971143 , -5.10571 , -0.000551573
0.978447 , -5.10393 , -0.000722337
0.985749 , -5.10215 , -0.0008931
0.993049 , -5.10035 , -0.00106386
1.00035 , -5.09855 , -0.00123462
1.00764 , -5.09673 , -0.00140538
1.01494 , -5.0949 , -0.00157613
1.02223 , -5.09307 , -0.00174688
1.02952 , -5.09122 , -0.00191762
1.0368 , -5.08936 , -0.00208837
1.04409 , -5.08749 , -0.0022591
1.05137 , -5.08561 , -0.00242984
1.05865 , -5.08372 , -0.00260056
1.06593 , -5.08181 , -0.00277129
1.0732 , -5.0799 , -0.002942
1.08048 , -5.07798 , -0.00311271
1.08775 , -5.07604 , -0.00328342
1.09502 , -5.0741 , -0.00345411
1.10229 , -5.07214 , -0.0036248
1.10955 , -5.07018 , -0.00379549
1.11681 , -5.0682 , -0.00396616
1.12407 , -5.06621 , -0.00413683
1.13133 , -5.06421 , -0.00430748
1.13858 , -5.06221 , -0.00447813
1.14584 , -5.06019 , -0.00464877
1.15309 , -5.05816 , -0.0048194
1.16033 , -5.05611 , -0.00499002
1.16758 , -5.05406 , -0.00516062
1.17482 , -5.052 , -0.00533122
1.18206 , -5.04993 , -0.00550181
1.1893 , -5.04784 , -0.00567238
1.19654 , -5.04575 , -0.00584294
1.20377 , -5.04364 , -0.00601349
1.211 , -5.04153 , -0.00618403
1.21823 , -5.0394 , -0.00635455
1.22545 , -5.03727 , -0.00652506
1.23268 , -5.03512 , -0.00669556
1.2399 , -5.03296 , -0.00686604
1.24711 , -5.03079 , -0.00703651
