x , y , z
-1.32391 , -0.878318 , 0.0138521
-1.31556 , -0.888688 , 0.0134301
-1.30712 , -0.898993 , 0.0130072
-1.29858 , -0.909232 , 0.0125833
-1.28995 , -0.919404 , 0.0121584
-1.28122 , -0.929507 , 0.0117327
-1.2724 , -0.939541 , 0.0113061
-1.26348 , -0.949506 , 0.0108786
-1.25447 , -0.959399 , 0.0104503
-1.24536 , -0.96922 , 0.0100213
-1.23616 , -0.978969 , 0.00959145
-1.22686 , -0.988644 , 0.00916092
-1.21748 , -0.998245 , 0.0087297
-1.208 , -1.00777 , 0.00829782
-1.19843 , -1.01722 , 0.00786531
-1.18877 , -1.02659 , 0.0074322
-1.17902 , -1.03588 , 0.00699853
-1.16918 , -1.0451 , 0.00656432
-1.15924 , -1.05423 , 0.00612961
-1.14923 , -1.06329 , 0.00569444
-1.13912 , -1.07226 , 0.00525882
-1.12892 , -1.08115 , 0.0048228
-1.11864 , -1.08995 , 0.00438641
-1.10827 , -1.09868 , 0.00394967
-1.09781 , -1.10731 , 0.00351263
-1.08727 , -1.11586 , 0.00307532
-1.07665 , -1.12433 , 0.00263777
-1.06594 , -1.1327 , 0.00220001
-1.05515 , -1.14099 , 0.00176208
-1.04427 , -1.14919 , 0.00132401
-1.03331 , -1.15729 , 0.000885835
-1.02227 , -1.16531 , 0.000447591
-1.01115 , -1.17323 , 9.31194e-006
-0.999949 , -1.18106 , -0.000428968
-0.988668 , -1.1888 , -0.000867214
-0.977308 , -1.19644 , -0.00130539
-0.965871 , -1.20398 , -0.00174346
-0.954355 , -1.21143 , -0.0021814
-0.942763 , -1.21878 , -0.00261915
-0.931095 , -1.22603 , -0.0030567
-0.919352 , -1.23319 , -0.003494
-0.907534 , -1.24024 , -0.00393101
-0.895643 , -1.2472 , -0.00436771
-0.883678 , -1.25405 , -0.00480405
-0.871642 , -1.2608 , -0.00524
-0.859533 , -1.26744 , -0.00567552
-0.847355 , -1.27398 , -0.00611057
-0.835106 , -1.28042 , -0.00654512
-0.822789 , -1.28675 , -0.00697913
-0.810404 , -1.29298 , -0.00741256
-0.797951 , -1.2991 , -0.00784538
-0.785432 , -1.30511 , -0.00827754
-0.772847 , -1.31101 , -0.00870901
-0.760198 , -1.3168 , -0.00913976
-0.747485 , -1.32248 , -0.00956973
-0.734709 , -1.32805 , -0.00999891
-0.721871 , -1.3335 , -0.0104272
-0.708972 , -1.33885 , -0.0108547
-0.696013 , -1.34408 , -0.0112812
-0.682994 , -1.3492 , -0.0117068
-0.669918 , -1.3542 , -0.0121313
-0.656784 , -1.35908 , -0.0125549
-0.643594 , -1.36385 , -0.0129773
-0.630348 , -1.3685 , -0.0133987
-0.617048 , -1.37304 , -0.0138189
-0.603695 , -1.37745 , -0.0142378
-0.59029 , -1.38175 , -0.0146556
-0.576833 , -1.38593 , -0.0150721
-0.563326 , -1.38998 , -0.0154873
-0.549769 , -1.39391 , -0.0159011
-0.536165 , -1.39773 , -0.0163135
-0.522513 , -1.40141 , -0.0167245
-0.508815 , -1.40498 , -0.017134
-0.495073 , -1.40842 , -0.017542
-0.481286 , -1.41174 , -0.0179484
-0.467457 , -1.41493 , -0.0183533
-0.453586 , -1.41799 , -0.0187565
-0.439674 , -1.42093 , -0.019158
-0.425723 , -1.42374 , -0.0195579
-0.411734 , -1.42642 , -0.0199559
-0.397708 , -1.42898 , -0.0203522
-0.383646 , -1.4314 , -0.0207466
-0.369549 , -1.4337 , -0.0211392
-0.355418 , -1.43586 , -0.0215298
-0.341255 , -1.4379 , -0.0219185
-0.327061 , -1.4398 , -0.0223051
-0.312837 , -1.44157 , -0.0226897
-0.298584 , -1.44321 , -0.0230723
-0.284304 , -1.44472 , -0.0234527
-0.269998 , -1.44609 , -0.0238309
-0.255666 , -1.44733 , -0.024207
-0.241311 , -1.44843 , -0.0245808
-0.226933 , -1.4494 , -0.0249523
-0.212534 , -1.45024 , -0.0253214
-0.198115 , -1.45094 , -0.0256882
-0.183678 , -1.4515 , -0.0260526
-0.169223 , -1.45192 , -0.0264146
-0.154752 , -1.45221 , -0.026774
-0.140267 , -1.45236 , -0.0271309
-0.125768 , -1.45238 , -0.0274853
-0.111258 , -1.45225 , -0.027837
-0.0967364 , -1.45199 , -0.0281861
-0.0822059 , -1.45159 , -0.0285324
-0.0676675 , -1.45105 , -0.0288761
-0.0531226 , -1.45036 , -0.0292169
-0.0385725 , -1.44954 , -0.029555
-0.0240188 , -1.44858 , -0.0298902
-0.00946266 , -1.44748 , -0.0302225
0.00509435 , -1.44624 , -0.0305518
0.0196509 , -1.44486 , -0.0308782
0.0342055 , -1.44333 , -0.0312016
0.0487568 , -1.44167 , -0.0315219
0.0633032 , -1.43986 , -0.0318391
0.0778435 , -1.43791 , -0.0321531
0.0923761 , -1.43582 , -0.032464
0.106899 , -1.43359 , -0.0327717
0.121412 , -1.43122 , -0.0330762
0.135913 , -1.4287 , -0.0333773
0.1504 , -1.42604 , -0.0336751
0.164873 , -1.42324 , -0.0339696
0.179328 , -1.42029 , -0.0342607
0.193766 , -1.41721 , -0.0345483
0.208184 , -1.41398 , -0.0348324
0.222581 , -1.41061 , -0.035113
0.236956 , -1.40709 , -0.0353901
0.251306 , -1.40343 , -0.0356636
0.265631 , -1.39963 , -0.0359334
0.27993 , -1.39569 , -0.0361996
0.294199 , -1.3916 , -0.0364621
0.308438 , -1.38738 , -0.0367209
0.322646 , -1.38301 , -0.0369759
0.33682 , -1.37849 , -0.037227
0.35096 , -1.37384 , -0.0374744
0.365064 , -1.36904 , -0.0377179
0.379129 , -1.3641 , -0.0379574
0.393156 , -1.35902 , -0.0381931
0.407141 , -1.3538 , -0.0384247
0.421084 , -1.34844 , -0.0386524
0.434983 , -1.34294 , -0.038876
0.448836 , -1.33729 , -0.0390955
0.462643 , -1.33151 , -0.039311
0.4764 , -1.32558 , -0.0395223
0.490108 , -1.31952 , -0.0397294
0.503763 , -1.31331 , -0.0399323
0.517366 , -1.30697 , -0.0401311
0.530913 , -1.30049 , -0.0403255
0.544404 , -1.29387 , -0.0405157
0.557838 , -1.28711 , -0.0407016
0.571211 , -1.28022 , -0.0408831
0.584524 , -1.27319 , -0.0410602
0.597774 , -1.26602 , -0.041233
0.610959 , -1.25872 , -0.0414013
0.62408 , -1.25128 , -0.0415651
0.637132 , -1.24371 , -0.0417245
0.650116 , -1.236 , -0.0418794
0.66303 , -1.22816 , -0.0420298
0.675872 , -1.22018 , -0.0421756
0.688641 , -1.21208 , -0.0423168
0.701335 , -1.20384 , -0.0424535
0.713952 , -1.19547 , -0.0425855
0.726492 , -1.18697 , -0.0427128
0.738952 , -1.17834 , -0.0428355
0.751331 , -1.16958 , -0.0429535
0.763628 , -1.16069 , -0.0430668
0.775841 , -1.15168 , -0.0431754
0.787969 , -1.14254 , -0.0432792
0.80001 , -1.13327 , -0.0433783
0.811962 , -1.12388 , -0.0434725
0.823825 , -1.11436 , -0.043562
0.835597 , -1.10472 , -0.0436466
0.847277 , -1.09496 , -0.0437264
0.858862 , -1.08508 , -0.0438014
0.870352 , -1.07507 , -0.0438715
0.881745 , -1.06495 , -0.0439367
0.893039 , -1.05471 , -0.043997
0.904235 , -1.04435 , -0.0440524
0.915329 , -1.03387 , -0.0441029
0.92632 , -1.02328 , -0.0441484
0.937208 , -1.01257 , -0.044189
0.947991 , -1.00175 , -0.0442247
0.958668 , -0.990821 , -0.0442554
0.969237 , -0.979777 , -0.0442811
0.979697 , -0.968623 , -0.0443018
0.990046 , -0.95736 , -0.0443176
1.00028 , -0.945989 , -0.0443283
1.01041 , -0.934512 , -0.0443341
1.02042 , -0.922928 , -0.0443348
1.03032 , -0.911241 , -0.0443306
1.04009 , -0.89945 , -0.0443213
1.04976 , -0.887558 , -0.044307
1.0593 , -0.875565 , -0.0442876
1.06872 , -0.863472 , -0.0442633
1.07802 , -0.851282 , -0.0442339
1.0872 , -0.838995 , -0.0441995
1.09625 , -0.826612 , -0.0441601
1.10518 , -0.814136 , -0.0441156
1.11399 , -0.801567 , -0.0440661
1.12266 , -0.788906 , -0.0440116
1.13121 , -0.776156 , -0.0439521
1.13963 , -0.763317 , -0.0438876
1.14792 , -0.750391 , -0.0438181
1.15608 , -0.737379 , -0.0437435
1.16411 , -0.724284 , -0.043664
1.172 , -0.711105 , -0.0435795
1.17976 , -0.697845 , -0.04349
1.18739 , -0.684505 , -0.0433955
1.19488 , -0.671088 , -0.0432961
1.20223 , -0.657593 , -0.0431917
1.20945 , -0.644023 , -0.0430824
1.21652 , -0.630379 , -0.0429681
1.22346 , -0.616663 , -0.0428489
1.23026 , -0.602877 , -0.0427248
1.23692 , -0.589022 , -0.0425959
1.24343 , -0.575099 , -0.042462
1.2498 , -0.56111 , -0.0423233
1.25603 , -0.547057 , -0.0421797
1.26212 , -0.532941 , -0.0420313
1.26806 , -0.518765 , -0.0418781
1.27385 , -0.504529 , -0.0417201
1.2795 , -0.490235 , -0.0415573
1.28501 , -0.475885 , -0.0413897
1.29036 , -0.46148 , -0.0412174
1.29557 , -0.447023 , -0.0410404
1.30063 , -0.432515 , -0.0408588
1.30554 , -0.417957 , -0.0406724
1.31031 , -0.403352 , -0.0404814
