x , y , z
3.79345 , -9.28066 , 0.0103562
3.79829 , -9.27856 , 0.0101266
3.80313 , -9.27647 , 0.009897
3.80798 , -9.27437 , 0.00966739
3.81282 , -9.27227 , 0.00943778
3.81766 , -9.27017 , 0.00920817
3.8225 , -9.26806 , 0.00897856
3.82733 , -9.26595 , 0.00874894
3.83217 , -9.26384 , 0.00851932
3.83701 , -9.26173 , 0.0082897
3.84184 , -9.25961 , 0.00806007
3.84667 , -9.25749 , 0.00783045
3.85151 , -9.25537 , 0.00760082
3.85634 , -9.25325 , 0.00737119
3.86117 , -9.25112 , 0.00714155
3.866 , -9.24899 , 0.00691192
3.87082 , -9.24685 , 0.00668228
3.87565 , -9.24472 , 0.00645264
3.88048 , -9.24258 , 0.006223
3.8853 , -9.24044 , 0.00599336
3.89012 , -9.2383 , 0.00576371
3.89495 , -9.23615 , 0.00553406
3.89977 , -9.234 , 0.00530442
3.90459 , -9.23185 , 0.00507477
3.9094 , -9.22969 , 0.00484511
3.91422 , -9.22754 , 0.00461546
3.91904 , -9.22538 , 0.00438581
3.92385 , -9.22321 , 0.00415615
3.92867 , -9.22105 , 0.0039265
3.93348 , -9.21888 , 0.00369684
3.93829 , -9.21671 , 0.00346718
3.9431 , -9.21453 , 0.00323752
3.94791 , -9.21236 , 0.00300786
3.95272 , -9.21018 , 0.0027782
3.95753 , -9.208 , 0.00254853
3.96233 , -9.20581 , 0.00231887
3.96714 , -9.20363 , 0.00208921
3.97194 , -9.20144 , 0.00185954
3.97674 , -9.19924 , 0.00162988
3.98154 , -9.19705 , 0.00140021
3.98634 , -9.19485 , 0.00117055
3.99114 , -9.19265 , 0.000940879
3.99594 , -9.19045 , 0.000711212
4.00074 , -9.18824 , 0.000481545
4.00553 , -9.18603 , 0.000251878
4.01032 , -9.18382 , 2.22114e-005
4.01512 , -9.1816 , -0.000207456
4.01991 , -9.17939 , -0.000437123
4.0247 , -9.17717 , -0.000666789
4.02949 , -9.17495 , -0.000896456
4.03428 , -9.17272 , -0.00112612
4.03906 , -9.17049 , -0.00135579
4.04385 , -9.16826 , -0.00158545
4.04863 , -9.16603 , -0.00181512
4.05342 , -9.16379 , -0.00204478
4.0582 , -9.16156 , -0.00227445
4.06298 , -9.15931 , -0.00250411
4.06776 , -9.15707 , -0.00273377
4.07254 , -9.15482 , -0.00296344
4.07732 , -9.15258 , -0.0031931
4.08209 , -9.15032 , -0.00342276
4.08687 , -9.14807 , -0.00365242
4.09164 , -9.14581 , -0.00388207
4.09641 , -9.14355 , -0.00411173
4.10118 , -9.14129 , -0.00434139
4.10595 , -9.13902 , -0.00457104
4.11072 , -9.13676 , -0.00480069
4.11549 , -9.13449 , -0.00503034
4.12026 , -9.13221 , -0.00525999
4.12502 , -9.12994 , -0.00548964
4.12979 , -9.12766 , -0.00571929
4.13455 , -9.12538 , -0.00594893
4.13931 , -9.12309 , -0.00617858
4.14407 , -9.1208 , -0.00640822
4.14883 , -9.11851 , -0.00663786
4.15359 , -9.11622 , -0.0068675
4.15835 , -9.11393 , -0.00709713
4.1631 , -9.11163 , -0.00732677
4.16786 , -9.10933 , -0.0075564
4.17261 , -9.10703 , -0.00778603
4.17736 , -9.10472 , -0.00801565
4.18211 , -9.10241 , -0.00824528
4.18686 , -9.1001 , -0.0084749
4.19161 , -9.09779 , -0.00870452
4.19636 , -9.09547 , -0.00893414
4.2011 , -9.09315 , -0.00916375
4.20585 , -9.09083 , -0.00939336
4.21059 , -9.08851 , -0.00962297
4.21533 , -9.08618 , -0.00985258
4.22007 , -9.08385 , -0.0100822
4.22481 , -9.08152 , -0.0103118
4.22955 , -9.07918 , -0.0105414
4.23429 , -9.07685 , -0.010771
4.23902 , -9.07451 , -0.0110006
4.24376 , -9.07216 , -0.0112302
4.24849 , -9.06982 , -0.0114597
4.25322 , -9.06747 , -0.0116893
4.25795 , -9.06512 , -0.0119189
4.26268 , -9.06276 , -0.0121485
4.26741 , -9.06041 , -0.012378
4.27214 , -9.05805 , -0.0126076
4.27686 , -9.05569 , -0.0128372
4.28159 , -9.05332 , -0.0130667
4.28631 , -9.05096 , -0.0132963
4.29103 , -9.04859 , -0.0135258
4.29575 , -9.04621 , -0.0137554
4.30047 , -9.04384 , -0.0139849
4.30519 , -9.04146 , -0.0142145
4.30991 , -9.03908 , -0.014444
4.31462 , -9.0367 , -0.0146735
4.31934 , -9.03431 , -0.0149031
4.32405 , -9.03192 , -0.0151326
4.32876 , -9.02953 , -0.0153621
4.33347 , -9.02714 , -0.0155916
4.33818 , -9.02474 , -0.0158211
4.34289 , -9.02234 , -0.0160506
4.3476 , -9.01994 , -0.0162801
4.3523 , -9.01754 , -0.0165096
4.357 , -9.01513 , -0.0167391
4.36171 , -9.01272 , -0.0169686
4.36641 , -9.01031 , -0.0171981
4.37111 , -9.00789 , -0.0174276
4.37581 , -9.00548 , -0.017657
4.38051 , -9.00306 , -0.0178865
4.3852 , -9.00063 , -0.0181159
4.3899 , -8.99821 , -0.0183454
4.39459 , -8.99578 , -0.0185748
4.39928 , -8.99335 , -0.0188043
4.40397 , -8.99092 , -0.0190337
4.40866 , -8.98848 , -0.0192632
4.41335 , -8.98604 , -0.0194926
4.41804 , -8.9836 , -0.019722
4.42273 , -8.98115 , -0.0199514
4.42741 , -8.97871 , -0.0201808
4.43209 , -8.97626 , -0.0204102
4.43677 , -8.97381 , -0.0206396
4.44146 , -8.97135 , -0.020869
4.44613 , -8.96889 , -0.0210984
4.45081 , -8.96643 , -0.0213278
4.45549 , -8.96397 , -0.0215572
4.46017 , -8.96151 , -0.0217865
4.46484 , -8.95904 , -0.0220159
4.46951 , -8.95657 , -0.0222452
4.47418 , -8.9541 , -0.0224746
4.47885 , -8.95162 , -0.0227039
4.48352 , -8.94914 , -0.0229333
4.48819 , -8.94666 , -0.0231626
4.49286 , -8.94418 , -0.0233919
4.49752 , -8.94169 , -0.0236212
4.50218 , -8.9392 , -0.0238505
4.50685 , -8.93671 , -0.0240798
4.51151 , -8.93422 , -0.0243091
4.51617 , -8.93172 , -0.0245384
4.52083 , -8.92922 , -0.0247677
4.52548 , -8.92672 , -0.0249969
4.53014 , -8.92421 , -0.0252262
4.53479 , -8.9217 , -0.0254555
4.53944 , -8.91919 , -0.0256847
4.5441 , -8.91668 , -0.0259139
4.54875 , -8.91417 , -0.0261432
4.55339 , -8.91165 , -0.0263724
4.55804 , -8.90913 , -0.0266016
4.56269 , -8.9066 , -0.0268308
4.56733 , -8.90408 , -0.02706
4.57198 , -8.90155 , -0.0272892
4.57662 , -8.89902 , -0.0275184
4.58126 , -8.89649 , -0.0277476
4.5859 , -8.89395 , -0.0279767
4.59054 , -8.89141 , -0.0282059
4.59517 , -8.88887 , -0.0284351
4.59981 , -8.88632 , -0.0286642
4.60444 , -8.88378 , -0.0288933
4.60907 , -8.88123 , -0.0291225
4.61371 , -8.87868 , -0.0293516
4.61834 , -8.87612 , -0.0295807
4.62296 , -8.87356 , -0.0298098
4.62759 , -8.871 , -0.0300389
4.63222 , -8.86844 , -0.030268
4.63684 , -8.86588 , -0.030497
4.64146 , -8.86331 , -0.0307261
4.64609 , -8.86074 , -0.0309552
4.65071 , -8.85817 , -0.0311842
4.65533 , -8.85559 , -0.0314132
4.65994 , -8.85301 , -0.0316423
4.66456 , -8.85043 , -0.0318713
4.66917 , -8.84785 , -0.0321003
4.67379 , -8.84526 , -0.0323293
4.6784 , -8.84267 , -0.0325583
4.68301 , -8.84008 , -0.0327873
4.68762 , -8.83749 , -0.0330162
4.69223 , -8.83489 , -0.0332452
4.69683 , -8.83229 , -0.0334742
4.70144 , -8.82969 , -0.0337031
4.70604 , -8.82708 , -0.033932
4.71064 , -8.82448 , -0.034161
4.71524 , -8.82187 , -0.0343899
4.71984 , -8.81926 , -0.0346188
4.72444 , -8.81664 , -0.0348477
4.72904 , -8.81402 , -0.0350765
4.73363 , -8.8114 , -0.0353054
4.73823 , -8.80878 , -0.0355343
4.74282 , -8.80616 , -0.0357631
4.74741 , -8.80353 , -0.035992
4.752 , -8.8009 , -0.0362208
4.75659 , -8.79826 , -0.0364496
4.76118 , -8.79563 , -0.0366784
4.76576 , -8.79299 , -0.0369072
4.77035 , -8.79035 , -0.037136
4.77493 , -8.78771 , -0.0373648
4.77951 , -8.78506 , -0.0375935
4.78409 , -8.78241 , -0.0378223
4.78867 , -8.77976 , -0.038051
4.79324 , -8.77711 , -0.0382798
4.79782 , -8.77445 , -0.0385085
4.80239 , -8.77179 , -0.0387372
4.80697 , -8.76913 , -0.0389659
4.81154 , -8.76646 , -0.0391946
4.81611 , -8.7638 , -0.0394232
4.82068 , -8.76113 , -0.0396519
4.82524 , -8.75846 , -0.0398806
4.82981 , -8.75578 , -0.0401092
4.83437 , -8.7531 , -0.0403378
4.83894 , -8.75042 , -0.0405664
4.8435 , -8.74774 , -0.040795
4.84806 , -8.74506 , -0.0410236
4.85262 , -8.74237 , -0.0412522
4.85717 , -8.73968 , -0.0414808
