x , y , z
-0.0671335 , -0.453405 , -0.0318246
-0.0448676 , -0.455132 , -0.0340086
-0.0224645 , -0.455468 , -0.0360887
7.72764e-006 , -0.4544 , -0.0380576
0.02248 , -0.451919 , -0.0399081
0.0448815 , -0.448015 , -0.041633
0.0671399 , -0.442683 , -0.0432252
0.0891807 , -0.435917 , -0.0446773
0.110927 , -0.427712 , -0.045982
0.132301 , -0.41807 , -0.0471321
0.15322 , -0.40699 , -0.0481201
0.173599 , -0.394477 , -0.0489387
0.193351 , -0.380538 , -0.0495805
0.212384 , -0.365185 , -0.050038
0.230604 , -0.348433 , -0.0503038
0.247912 , -0.330303 , -0.0503706
0.264204 , -0.31082 , -0.0502312
0.279374 , -0.290017 , -0.0498783
0.293311 , -0.267934 , -0.0493054
0.305899 , -0.244619 , -0.0485057
0.31702 , -0.220131 , -0.0474734
0.326552 , -0.194539 , -0.0462029
0.334367 , -0.167924 , -0.0446898
0.34034 , -0.140384 , -0.0429304
0.344342 , -0.112032 , -0.0409223
0.346245 , -0.0829961 , -0.0386648
0.345926 , -0.0534277 , -0.0361592
0.343265 , -0.0234978 , -0.0334088
0.338154 , 0.00659985 , -0.0304199
0.330496 , 0.0366478 , -0.0272019
0.320214 , 0.0664048 , -0.0237679
0.307253 , 0.0956062 , -0.0201351
0.291588 , 0.123966 , -0.0163251
0.273231 , 0.151182 , -0.0123643
0.252234 , 0.176936 , -0.00828408
0.228696 , 0.200909 , -0.00412041
0.202768 , 0.222781 , 8.63208e-005
0.174652 , 0.242251 , 0.00429212
0.144603 , 0.259039 , 0.00845041
0.112923 , 0.272904 , 0.0125134
0.079954 , 0.283654 , 0.0164335
0.0460678 , 0.291151 , 0.0201651
0.011655 , 0.29532 , 0.0236662
-0.0228897 , 0.296147 , 0.0268995
-0.05718 , 0.293681 , 0.0298338
-0.0908499 , 0.28803 , 0.0324445
-0.123564 , 0.279348 , 0.0347137
-0.155024 , 0.267831 , 0.0366306
-0.184973 , 0.253703 , 0.0381905
-0.213198 , 0.237211 , 0.0393945
-0.239528 , 0.218611 , 0.0402484
-0.263834 , 0.198163 , 0.0407621
-0.286023 , 0.176125 , 0.0409488
-0.306036 , 0.152747 , 0.0408238
-0.32384 , 0.128267 , 0.0404042
-0.339429 , 0.102909 , 0.0397083
-0.352816 , 0.0768838 , 0.0387548
-0.364031 , 0.0503852 , 0.0375627
-0.373116 , 0.0235918 , 0.0361508
-0.380125 , -0.00333288 , 0.0345378
-0.385118 , -0.0302399 , 0.0327416
-0.388162 , -0.0569939 , 0.0307797
-0.389328 , -0.0834721 , 0.0286689
-0.388689 , -0.109563 , 0.0264252
-0.386321 , -0.135167 , 0.0240639
-0.382299 , -0.160193 , 0.0215996
-0.376701 , -0.184557 , 0.0190462
-0.369603 , -0.208187 , 0.016417
-0.361079 , -0.231014 , 0.0137245
-0.351206 , -0.252978 , 0.0109807
-0.340057 , -0.274022 , 0.00819704
-0.327705 , -0.294097 , 0.00538433
-0.31422 , -0.313156 , 0.00255303
-0.299675 , -0.331157 , -0.000286894
-0.284137 , -0.348062 , -0.00312587
-0.267676 , -0.363836 , -0.00595468
-0.250358 , -0.378445 , -0.00876444
-0.232251 , -0.391861 , -0.0115466
-0.213419 , -0.404055 , -0.0142927
-0.193929 , -0.415002 , -0.0169947
-0.173845 , -0.424679 , -0.0196447
-0.153232 , -0.433063 , -0.0222349
-0.132155 , -0.440134 , -0.0247576
-0.110677 , -0.445873 , -0.0272055
-0.0888651 , -0.450264 , -0.0295711
-0.0667834 , -0.453289 , -0.031847
-0.0444985 , -0.454935 , -0.0340259
-0.0220773 , -0.455188 , -0.0361007
0.000412104 , -0.454035 , -0.0380641
0.0229002 , -0.451467 , -0.0399087
0.045316 , -0.447474 , -0.0416274
0.0675868 , -0.442049 , -0.0432129
0.0896378 , -0.435187 , -0.0446579
0.111392 , -0.426883 , -0.045955
0.13277 , -0.417137 , -0.0470968
0.153689 , -0.40595 , -0.0480759
0.174063 , -0.393325 , -0.0488847
0.193806 , -0.379271 , -0.0495158
0.212823 , -0.363797 , -0.0499617
0.231019 , -0.346921 , -0.0502149
0.248294 , -0.328662 , -0.050268
0.264545 , -0.309046 , -0.0501135
0.279662 , -0.288107 , -0.0497445
0.293535 , -0.265884 , -0.049154
0.306045 , -0.242429 , -0.0483354
0.317074 , -0.217799 , -0.0472827
0.326496 , -0.192066 , -0.0459904
0.334185 , -0.165313 , -0.0444541
0.340012 , -0.137639 , -0.0426701
0.343848 , -0.10916 , -0.0406362
0.345565 , -0.0800073 , -0.0383519
0.345038 , -0.0503354 , -0.0358185
0.342148 , -0.0203188 , -0.0330399
0.336787 , 0.00984463 , -0.0300226
0.328859 , 0.039933 , -0.0267765
0.31829 , 0.0697006 , -0.0233154
0.305029 , 0.0988785 , -0.019657
0.289054 , 0.127177 , -0.0158238
0.270382 , 0.154289 , -0.0118429
0.249074 , 0.179896 , -0.00774655
0.225235 , 0.203676 , -0.00357149
0.199025 , 0.225311 , 0.00064117
0.170654 , 0.2445 , 0.00484687
0.140385 , 0.26097 , 0.00899868
0.108528 , 0.274487 , 0.0130486
0.0754298 , 0.284866 , 0.0169494
0.0414665 , 0.291977 , 0.0206558
0.00702996 , 0.295756 , 0.0241264
-0.0274859 , 0.2962 , 0.027325
-0.0616976 , 0.293366 , 0.0302212
-0.0952442 , 0.28737 , 0.0327916
-0.127796 , 0.278373 , 0.0350196
-0.159062 , 0.266574 , 0.0368951
-0.188792 , 0.252202 , 0.0384144
-0.216781 , 0.235502 , 0.0395794
-0.242863 , 0.216733 , 0.0403964
-0.266917 , 0.196153 , 0.0408759
-0.288853 , 0.174017 , 0.0410311
-0.308616 , 0.150571 , 0.0408777
-0.326179 , 0.126052 , 0.0404327
-0.341536 , 0.100681 , 0.0397144
-0.354703 , 0.0746639 , 0.0387414
-0.36571 , 0.0481923 , 0.0375326
-0.374602 , 0.021442 , 0.0361067
-0.381432 , -0.00542641 , 0.0344819
-0.386259 , -0.0322663 , 0.0326761
-0.389151 , -0.0589446 , 0.0307067
-0.390178 , -0.0853404 , 0.02859
-0.389413 , -0.111344 , 0.026342
-0.38693 , -0.136857 , 0.0239779
-0.382805 , -0.161789 , 0.021512
-0.377113 , -0.186058 , 0.018958
-0.36993 , -0.209593 , 0.0163291
-0.361332 , -0.232324 , 0.0136377
-0.35139 , -0.254193 , 0.0108956
-0.34018 , -0.275144 , 0.00811415
-0.327773 , -0.295126 , 0.00530415
-0.314239 , -0.314094 , 0.00247594
-0.299649 , -0.332007 , -0.000360608
-0.28407 , -0.348824 , -0.00319596
-0.267572 , -0.364512 , -0.00602097
-0.250221 , -0.379037 , -0.00882677
-0.232082 , -0.39237 , -0.0116048
-0.213221 , -0.404483 , -0.0143467
-0.193704 , -0.41535 , -0.0170445
-0.173594 , -0.424947 , -0.0196901
-0.152957 , -0.433252 , -0.0222759
-0.131856 , -0.440244 , -0.0247942
-0.110356 , -0.445904 , -0.0272375
-0.0885225 , -0.450215 , -0.0295983
-0.0664202 , -0.45316 , -0.0318693
-0.0441155 , -0.454724 , -0.0340433
-0.0216755 , -0.454893 , -0.0361128
0.000831603 , -0.453656 , -0.0380706
