x , y , z
0.719402 , 0.0599883 , -0.0409897
0.717571 , 0.0800058 , -0.0406096
0.715181 , 0.099961 , -0.0401979
0.712233 , 0.119838 , -0.0397548
0.708731 , 0.139622 , -0.0392807
0.704676 , 0.159297 , -0.0387761
0.700073 , 0.178848 , -0.0382412
0.694924 , 0.19826 , -0.0376766
0.689235 , 0.217517 , -0.0370827
0.683009 , 0.236606 , -0.0364599
0.676252 , 0.25551 , -0.0358087
0.66897 , 0.274215 , -0.0351297
0.661167 , 0.292708 , -0.0344233
0.65285 , 0.310972 , -0.0336902
0.644025 , 0.328995 , -0.032931
0.6347 , 0.346762 , -0.0321461
0.624882 , 0.36426 , -0.0313362
0.614578 , 0.381474 , -0.030502
0.603796 , 0.398393 , -0.0296441
0.592545 , 0.415001 , -0.0287631
0.580834 , 0.431287 , -0.0278598
0.568671 , 0.447238 , -0.0269349
0.556067 , 0.462841 , -0.025989
0.54303 , 0.478085 , -0.0250229
0.529571 , 0.492957 , -0.0240373
0.5157 , 0.507445 , -0.0230331
0.501428 , 0.521539 , -0.022011
0.486767 , 0.535228 , -0.0209717
0.471727 , 0.5485 , -0.0199161
0.456319 , 0.561345 , -0.0188451
0.440557 , 0.573754 , -0.0177593
0.424452 , 0.585716 , -0.0166598
0.408016 , 0.597222 , -0.0155473
0.391263 , 0.608263 , -0.0144226
0.374205 , 0.61883 , -0.0132868
0.356855 , 0.628915 , -0.0121405
0.339227 , 0.638509 , -0.0109848
0.321334 , 0.647605 , -0.00982059
0.30319 , 0.656196 , -0.00864867
0.28481 , 0.664275 , -0.00747
0.266208 , 0.671835 , -0.00628549
0.247397 , 0.67887 , -0.00509608
0.228393 , 0.685374 , -0.00390268
0.209211 , 0.691343 , -0.00270622
0.189864 , 0.69677 , -0.00150765
0.170369 , 0.701651 , -0.000307904
0.150741 , 0.705983 , 0.000892087
0.130994 , 0.709762 , 0.00209138
0.111145 , 0.712984 , 0.00328903
0.0912084 , 0.715646 , 0.0044841
0.0712002 , 0.717746 , 0.00567565
0.0511361 , 0.719282 , 0.00686274
0.0310317 , 0.720253 , 0.00804443
0.0109029 , 0.720657 , 0.00921979
-0.00923451 , 0.720493 , 0.0103879
-0.0293646 , 0.719761 , 0.0115478
-0.0494716 , 0.718462 , 0.0126986
-0.0695395 , 0.716596 , 0.0138394
-0.0895525 , 0.714163 , 0.0149693
-0.109495 , 0.711167 , 0.0160873
-0.12935 , 0.707607 , 0.0171926
-0.149103 , 0.703488 , 0.0182843
-0.168739 , 0.698811 , 0.0193615
-0.18824 , 0.69358 , 0.0204233
-0.207592 , 0.687799 , 0.021469
-0.226779 , 0.681472 , 0.0224976
-0.245785 , 0.674602 , 0.0235083
-0.264597 , 0.667197 , 0.0245003
-0.283197 , 0.65926 , 0.0254728
-0.301572 , 0.650797 , 0.026425
-0.319707 , 0.641816 , 0.0273561
-0.337586 , 0.632322 , 0.0282654
-0.355195 , 0.622323 , 0.0291521
-0.372521 , 0.611827 , 0.0300155
-0.389548 , 0.600841 , 0.0308549
-0.406264 , 0.589373 , 0.0316696
-0.422653 , 0.577433 , 0.0324589
-0.438704 , 0.56503 , 0.0332221
-0.454402 , 0.552173 , 0.0339587
-0.469735 , 0.538873 , 0.0346679
-0.484691 , 0.525139 , 0.0353493
-0.499256 , 0.510982 , 0.0360022
-0.513418 , 0.496413 , 0.0366262
-0.527167 , 0.481444 , 0.0372205
-0.54049 , 0.466086 , 0.0377849
-0.553377 , 0.450352 , 0.0383187
-0.565816 , 0.434254 , 0.0388215
-0.577797 , 0.417804 , 0.0392929
-0.58931 , 0.401016 , 0.0397325
-0.600346 , 0.383903 , 0.0401399
-0.610895 , 0.366479 , 0.0405147
-0.620948 , 0.348757 , 0.0408567
-0.630496 , 0.330751 , 0.0411654
-0.639532 , 0.312477 , 0.0414407
-0.648047 , 0.293949 , 0.0416823
-0.656035 , 0.275181 , 0.0418899
-0.663489 , 0.256189 , 0.0420634
-0.670401 , 0.236988 , 0.0422026
-0.676766 , 0.217594 , 0.0423073
-0.682579 , 0.198022 , 0.0423775
-0.687833 , 0.178288 , 0.0424131
-0.692526 , 0.158408 , 0.042414
-0.696652 , 0.138399 , 0.0423802
-0.700207 , 0.118277 , 0.0423117
-0.703189 , 0.0980575 , 0.0422086
-0.705595 , 0.0777577 , 0.0420708
-0.707422 , 0.0573942 , 0.0418986
-0.708668 , 0.0369836 , 0.041692
-0.709333 , 0.0165426 , 0.0414511
-0.709415 , -0.00391204 , 0.0411762
-0.708914 , -0.0243634 , 0.0408674
-0.70783 , -0.0447948 , 0.0405251
-0.706164 , -0.0651893 , 0.0401494
-0.703916 , -0.0855302 , 0.0397407
-0.70109 , -0.105801 , 0.0392993
-0.697686 , -0.125984 , 0.0388254
-0.693707 , -0.146064 , 0.0383197
-0.689156 , -0.166023 , 0.0377823
-0.684037 , -0.185845 , 0.0372138
-0.678354 , -0.205514 , 0.0366145
-0.672112 , -0.225014 , 0.0359851
-0.665315 , -0.244328 , 0.035326
-0.657969 , -0.26344 , 0.0346378
-0.65008 , -0.282335 , 0.0339209
-0.641654 , -0.300997 , 0.0331761
-0.632699 , -0.31941 , 0.0324039
-0.623221 , -0.33756 , 0.0316049
-0.613228 , -0.35543 , 0.0307798
-0.602729 , -0.373008 , 0.0299293
-0.591732 , -0.390277 , 0.029054
-0.580247 , -0.407224 , 0.0281548
-0.568282 , -0.423834 , 0.0272323
-0.555848 , -0.440095 , 0.0262873
-0.542955 , -0.455992 , 0.0253207
-0.529613 , -0.471513 , 0.0243331
-0.515834 , -0.486644 , 0.0233254
-0.50163 , -0.501374 , 0.0222984
-0.487011 , -0.515689 , 0.0212531
-0.47199 , -0.529579 , 0.0201902
-0.45658 , -0.543033 , 0.0191107
-0.440794 , -0.556038 , 0.0180154
-0.424643 , -0.568584 , 0.0169052
-0.408143 , -0.580662 , 0.0157811
-0.391306 , -0.592262 , 0.014644
-0.374147 , -0.603373 , 0.0134948
-0.35668 , -0.613987 , 0.0123345
-0.338919 , -0.624096 , 0.011164
-0.320879 , -0.633692 , 0.00998441
-0.302575 , -0.642765 , 0.00879656
-0.284022 , -0.651311 , 0.00760147
-0.265236 , -0.659321 , 0.00640014
-0.246232 , -0.666789 , 0.00519354
-0.227026 , -0.67371 , 0.00398269
-0.207633 , -0.680078 , 0.00276856
-0.18807 , -0.685888 , 0.00155216
-0.168353 , -0.691136 , 0.000334495
-0.148498 , -0.695818 , -0.000883448
-0.128522 , -0.69993 , -0.00210067
-0.10844 , -0.703469 , -0.00331617
-0.0882696 , -0.706433 , -0.00452896
-0.068027 , -0.70882 , -0.00573804
-0.0477289 , -0.710628 , -0.00694244
-0.0273918 , -0.711855 , -0.00814118
-0.00703237 , -0.712503 , -0.00933328
0.0133328 , -0.712569 , -0.0105178
0.0336871 , -0.712055 , -0.0116937
0.054014 , -0.710962 , -0.0128601
0.074297 , -0.709291 , -0.014016
0.0945196 , -0.707043 , -0.0151606
0.114665 , -0.704221 , -0.0162929
0.134718 , -0.700828 , -0.0174119
0.154662 , -0.696867 , -0.0185168
0.17448 , -0.692342 , -0.0196067
0.194157 , -0.687256 , -0.0206808
0.213678 , -0.681614 , -0.0217381
0.233025 , -0.675422 , -0.0227779
0.252184 , -0.668684 , -0.0237992
0.27114 , -0.661407 , -0.0248014
0.289878 , -0.653597 , -0.0257836
0.308382 , -0.645261 , -0.026745
0.326638 , -0.636405 , -0.027685
0.344631 , -0.627038 , -0.0286026
0.362348 , -0.617168 , -0.0294973
0.379773 , -0.606802 , -0.0303683
0.396895 , -0.595949 , -0.031215
0.413698 , -0.584619 , -0.0320366
0.43017 , -0.572822 , -0.0328326
0.446298 , -0.560566 , -0.0336024
0.46207 , -0.547862 , -0.0343453
0.477473 , -0.534721 , -0.0350608
0.492495 , -0.521154 , -0.0357483
0.507124 , -0.507171 , -0.0364074
0.52135 , -0.492784 , -0.0370374
0.535161 , -0.478005 , -0.037638
0.548546 , -0.462847 , -0.0382086
0.561496 , -0.44732 , -0.038749
0.574 , -0.431439 , -0.0392585
0.586049 , -0.415215 , -0.0397369
0.597633 , -0.398663 , -0.0401839
0.608745 , -0.381795 , -0.040599
0.619375 , -0.364625 , -0.040982
0.629515 , -0.347167 , -0.0413327
0.639158 , -0.329434 , -0.0416506
0.648297 , -0.311442 , -0.0419357
0.656924 , -0.293204 , -0.0421878
0.665034 , -0.274735 , -0.0424066
0.67262 , -0.256049 , -0.0425919
0.679677 , -0.237162 , -0.0427438
0.686199 , -0.218089 , -0.0428621
0.692182 , -0.198844 , -0.0429467
0.697621 , -0.179443 , -0.0429975
0.702513 , -0.159901 , -0.0430146
0.706854 , -0.140234 , -0.042998
0.710641 , -0.120457 , -0.0429476
0.713871 , -0.100585 , -0.0428636
0.716542 , -0.0806353 , -0.0427461
0.718653 , -0.060622 , -0.0425951
0.720201 , -0.0405613 , -0.0424108
0.721187 , -0.0204689 , -0.0421934
0.721609 , -0.000360505 , -0.0419429
