x , y , z
-0.170144 , 0.97656 , -1.82257e-005
-0.18733 , 0.973433 , -1.75649e-005
-0.20446 , 0.970006 , -1.68913e-005
-0.221527 , 0.966281 , -1.62078e-005
-0.238527 , 0.962267 , -1.55224e-005
-0.255454 , 0.957959 , -1.48301e-005
-0.272307 , 0.953373 , -1.41469e-005
-0.289081 , 0.948519 , -1.34862e-005
-0.305774 , 0.943411 , -1.28599e-005
-0.322386 , 0.938059 , -1.22785e-005
-0.338914 , 0.932473 , -1.17512e-005
-0.355358 , 0.926665 , -1.1286e-005
-0.371718 , 0.920643 , -1.089e-005
-0.387992 , 0.914417 , -1.05693e-005
-0.404181 , 0.907994 , -1.03293e-005
-0.420284 , 0.901384 , -1.01747e-005
-0.436302 , 0.894594 , -1.01092e-005
-0.452236 , 0.887631 , -1.01365e-005
-0.468086 , 0.880502 , -1.02593e-005
-0.483852 , 0.873213 , -1.04801e-005
-0.499535 , 0.865772 , -1.0801e-005
-0.515137 , 0.858183 , -1.12235e-005
-0.530657 , 0.850452 , -1.17491e-005
-0.546096 , 0.842586 , -1.23787e-005
-0.561457 , 0.834588 , -1.31132e-005
-0.576739 , 0.826464 , -1.39531e-005
-0.591944 , 0.818218 , -1.48988e-005
-0.607072 , 0.809854 , -1.59504e-005
-0.622125 , 0.801378 , -1.7108e-005
-0.637104 , 0.792792 , -1.83714e-005
-0.65201 , 0.7841 , -1.97404e-005
-0.666844 , 0.775307 , -2.12147e-005
-0.681607 , 0.766415 , -2.27936e-005
-0.6963 , 0.757428 , -2.44768e-005
-0.710924 , 0.748348 , -2.62636e-005
-0.72548 , 0.73918 , -2.81533e-005
-0.73997 , 0.729925 , -3.01451e-005
-0.754394 , 0.720587 , -3.22382e-005
-0.768753 , 0.711167 , -3.44319e-005
-0.783049 , 0.70167 , -3.67251e-005
-0.797282 , 0.692096 , -3.91171e-005
-0.811454 , 0.682448 , -4.16068e-005
-0.825565 , 0.672729 , -4.41933e-005
-0.839616 , 0.66294 , -4.68757e-005
-0.853609 , 0.653084 , -4.96529e-005
-0.867543 , 0.643163 , -5.25239e-005
-0.881421 , 0.633177 , -5.54877e-005
-0.895243 , 0.62313 , -5.85434e-005
-0.90901 , 0.613023 , -6.16898e-005
-0.922723 , 0.602857 , -6.49259e-005
-0.936382 , 0.592634 , -6.82508e-005
-0.949988 , 0.582356 , -7.16634e-005
-0.963543 , 0.572024 , -7.51626e-005
-0.977047 , 0.561639 , -7.87476e-005
-0.990501 , 0.551204 , -8.24171e-005
-1.00391 , 0.540718 , -8.61703e-005
-1.01726 , 0.530184 , -9.00062e-005
-1.03057 , 0.519603 , -9.39237e-005
-1.04383 , 0.508975 , -9.7922e-005
-1.05705 , 0.498302 , -0.000102
-1.07021 , 0.487586 , -0.000106157
-1.08334 , 0.476826 , -0.000110391
-1.09642 , 0.466025 , -0.000114702
-1.10945 , 0.455183 , -0.00011909
-1.12245 , 0.444301 , -0.000123552
-1.1354 , 0.433379 , -0.000128088
-1.14831 , 0.42242 , -0.000132698
-1.16117 , 0.411424 , -0.00013738
-1.174 , 0.400391 , -0.000142133
-1.18679 , 0.389322 , -0.000146957
-1.19953 , 0.378219 , -0.000151851
-1.21224 , 0.367082 , -0.000156814
-1.22491 , 0.355911 , -0.000161844
-1.23754 , 0.344708 , -0.000166942
-1.25014 , 0.333473 , -0.000172107
-1.2627 , 0.322206 , -0.000177337
-1.27522 , 0.310909 , -0.000182632
-1.28771 , 0.299582 , -0.000187991
-1.30016 , 0.288226 , -0.000193414
-1.31257 , 0.276841 , -0.000198899
-1.32496 , 0.265428 , -0.000204446
-1.3373 , 0.253987 , -0.000210055
-1.34962 , 0.242519 , -0.000215724
-1.3619 , 0.231024 , -0.000221452
-1.37415 , 0.219504 , -0.00022724
-1.38637 , 0.207958 , -0.000233086
-1.39855 , 0.196387 , -0.00023899
-1.4107 , 0.184791 , -0.000244951
-1.42283 , 0.173171 , -0.000250968
-1.43492 , 0.161528 , -0.000257042
-1.44698 , 0.149861 , -0.00026317
-1.45902 , 0.138172 , -0.000269353
-1.47102 , 0.12646 , -0.00027559
-1.48299 , 0.114726 , -0.00028188
-1.49494 , 0.102971 , -0.000288223
-1.50686 , 0.0911939 , -0.000294619
-1.51875 , 0.0793964 , -0.000301066
-1.53061 , 0.0675784 , -0.000307563
-1.54244 , 0.0557403 , -0.000314112
-1.55425 , 0.0438823 , -0.00032071
-1.56603 , 0.032005 , -0.000327358
-1.57779 , 0.0201085 , -0.000334055
-1.58951 , 0.00819315 , -0.0003408
-1.60122 , -0.00374064 , -0.000347593
-1.6129 , -0.0156926 , -0.000354433
-1.62455 , -0.0276625 , -0.00036132
-1.63618 , -0.03965 , -0.000368254
-1.64778 , -0.0516547 , -0.000375233
-1.65936 , -0.0636766 , -0.000382258
-1.67091 , -0.0757152 , -0.000389328
-1.68244 , -0.0877703 , -0.000396442
-1.69395 , -0.0998416 , -0.0004036
-1.70544 , -0.111929 , -0.000410802
-1.7169 , -0.124032 , -0.000418047
-1.72834 , -0.136151 , -0.000425335
-1.73975 , -0.148285 , -0.000432665
-1.75115 , -0.160433 , -0.000440037
-1.76252 , -0.172597 , -0.00044745
-1.77387 , -0.184775 , -0.000454904
-1.7852 , -0.196968 , -0.000462399
-1.79651 , -0.209175 , -0.000469934
-1.8078 , -0.221396 , -0.000477509
-1.81906 , -0.23363 , -0.000485124
-1.83031 , -0.245879 , -0.000492777
-1.84153 , -0.25814 , -0.000500469
-1.85274 , -0.270415 , -0.0005082
-1.86392 , -0.282703 , -0.000515968
-1.87509 , -0.295003 , -0.000523774
-1.88624 , -0.307316 , -0.000531618
-1.89736 , -0.319642 , -0.000539498
-1.90847 , -0.33198 , -0.000547415
-1.91956 , -0.34433 , -0.000555368
-1.93063 , -0.356692 , -0.000563356
-1.94168 , -0.369065 , -0.000571381
-1.95271 , -0.381451 , -0.000579441
-1.96373 , -0.393848 , -0.000587535
-1.97472 , -0.406256 , -0.000595664
-1.9857 , -0.418675 , -0.000603828
-1.99666 , -0.431106 , -0.000612025
-2.00761 , -0.443547 , -0.000620256
-2.01853 , -0.455999 , -0.00062852
-2.02944 , -0.468462 , -0.000636818
-2.04033 , -0.480935 , -0.000645148
-2.05121 , -0.493419 , -0.00065351
-2.06207 , -0.505912 , -0.000661905
-2.07291 , -0.518416 , -0.000670332
-2.08373 , -0.53093 , -0.00067879
