x , y , z
0.522349 , -5.19358 , 0.00985376
0.529748 , -5.19246 , 0.00968357
0.537146 , -5.19134 , 0.00951337
0.544544 , -5.1902 , 0.00934314
0.55194 , -5.18905 , 0.0091729
0.559335 , -5.18789 , 0.00900264
0.566728 , -5.18671 , 0.00883236
0.574121 , -5.18553 , 0.00866206
0.581512 , -5.18434 , 0.00849174
0.588903 , -5.18313 , 0.0083214
0.596292 , -5.18192 , 0.00815104
0.60368 , -5.18069 , 0.00798067
0.611066 , -5.17945 , 0.00781028
0.618452 , -5.1782 , 0.00763986
0.625836 , -5.17694 , 0.00746943
0.633219 , -5.17567 , 0.00729898
0.640601 , -5.17438 , 0.00712851
0.647981 , -5.17308 , 0.00695803
0.65536 , -5.17178 , 0.00678752
0.662738 , -5.17046 , 0.006617
0.670115 , -5.16912 , 0.00644646
0.67749 , -5.16778 , 0.0062759
0.684864 , -5.16642 , 0.00610532
0.692236 , -5.16505 , 0.00593472
0.699608 , -5.16367 , 0.00576411
0.706978 , -5.16228 , 0.00559348
0.714346 , -5.16087 , 0.00542283
0.721713 , -5.15945 , 0.00525216
0.729079 , -5.15802 , 0.00508148
0.736443 , -5.15657 , 0.00491078
0.743806 , -5.15511 , 0.00474006
0.751168 , -5.15364 , 0.00456933
0.758528 , -5.15216 , 0.00439857
0.765887 , -5.15066 , 0.0042278
0.773244 , -5.14914 , 0.00405702
0.780599 , -5.14762 , 0.00388622
0.787954 , -5.14608 , 0.0037154
0.795306 , -5.14453 , 0.00354456
0.802657 , -5.14296 , 0.00337371
0.810007 , -5.14138 , 0.00320285
0.817355 , -5.13978 , 0.00303196
0.824701 , -5.13817 , 0.00286106
0.832046 , -5.13654 , 0.00269015
0.839389 , -5.13491 , 0.00251922
0.846731 , -5.13325 , 0.00234828
0.854071 , -5.13158 , 0.00217732
0.861409 , -5.1299 , 0.00200635
0.868746 , -5.1282 , 0.00183536
0.876081 , -5.12648 , 0.00166436
0.883414 , -5.12475 , 0.00149334
0.890745 , -5.12301 , 0.00132231
0.898075 , -5.12125 , 0.00115127
0.905403 , -5.11947 , 0.000980213
0.912729 , -5.11768 , 0.000809144
0.920054 , -5.11587 , 0.000638063
0.927376 , -5.11404 , 0.000466969
0.934697 , -5.1122 , 0.000295863
0.942016 , -5.11034 , 0.000124746
0.949333 , -5.10846 , -4.63834e-005
0.956648 , -5.10657 , -0.000217523
0.963962 , -5.10466 , -0.000388674
0.971273 , -5.10273 , -0.000559835
0.978582 , -5.10079 , -0.000731006
0.98589 , -5.09883 , -0.000902187
0.993195 , -5.09685 , -0.00107338
1.0005 , -5.09485 , -0.00124458
1.0078 , -5.09283 , -0.00141578
1.0151 , -5.0908 , -0.001587
1.0224 , -5.08874 , -0.00175822
1.02969 , -5.08667 , -0.00192945
1.03698 , -5.08458 , -0.00210069
1.04427 , -5.08247 , -0.00227193
1.05156 , -5.08034 , -0.00244318
1.05885 , -5.07819 , -0.00261443
1.06613 , -5.07602 , -0.00278569
1.07342 , -5.07383 , -0.00295695
1.0807 , -5.07162 , -0.00312822
1.08797 , -5.06939 , -0.00329949
1.09525 , -5.06714 , -0.00347076
1.10252 , -5.06487 , -0.00364203
1.10979 , -5.06258 , -0.0038133
1.11706 , -5.06027 , -0.00398458
1.12432 , -5.05793 , -0.00415585
1.13159 , -5.05558 , -0.00432712
1.13885 , -5.0532 , -0.00449839
1.1461 , -5.0508 , -0.00466966
1.15336 , -5.04837 , -0.00484092
1.16061 , -5.04593 , -0.00501218
1.16786 , -5.04346 , -0.00518343
1.17511 , -5.04096 , -0.00535468
1.18235 , -5.03845 , -0.00552592
1.18959 , -5.03591 , -0.00569715
1.19683 , -5.03334 , -0.00586838
1.20407 , -5.03075 , -0.00603959
1.2113 , -5.02814 , -0.00621079
1.21853 , -5.0255 , -0.00638198
1.22576 , -5.02284 , -0.00655316
1.23298 , -5.02015 , -0.00672432
1.2402 , -5.01743 , -0.00689547
1.24742 , -5.01469 , -0.0070666
