x , y , z
-1.32391 , -0.878318 , 0.0138521
-1.31556 , -0.888688 , 0.0134301
-1.30712 , -0.898993 , 0.0130072
-1.29859 , -0.909231 , 0.0125833
-1.28995 , -0.919402 , 0.0121584
-1.28122 , -0.929505 , 0.0117327
-1.2724 , -0.939539 , 0.0113061
-1.26348 , -0.949506 , 0.0108786
-1.25446 , -0.959404 , 0.0104503
-1.24534 , -0.969234 , 0.0100211
-1.23612 , -0.978995 , 0.0095912
-1.2268 , -0.988689 , 0.00916049
-1.21738 , -0.998315 , 0.00872903
-1.20785 , -1.00787 , 0.00829684
-1.19822 , -1.01736 , 0.00786395
-1.18849 , -1.02678 , 0.00743037
-1.17865 , -1.03614 , 0.00699614
-1.16871 , -1.04542 , 0.00656128
-1.15865 , -1.05464 , 0.00612581
-1.14849 , -1.06379 , 0.00568976
-1.13822 , -1.07287 , 0.00525316
-1.12783 , -1.08188 , 0.00481603
-1.11733 , -1.09083 , 0.00437841
-1.10672 , -1.0997 , 0.00394031
-1.096 , -1.10851 , 0.00350177
-1.08515 , -1.11726 , 0.00306281
-1.07419 , -1.12593 , 0.00262348
-1.06311 , -1.13453 , 0.0021838
-1.05191 , -1.14307 , 0.0017438
-1.04059 , -1.15154 , 0.00130351
-1.02914 , -1.15994 , 0.000862979
-1.01757 , -1.16827 , 0.000422228
-1.00587 , -1.17654 , -1.87024e-005
-0.994049 , -1.18473 , -0.000459775
-0.982094 , -1.19286 , -0.000900952
-0.970007 , -1.20092 , -0.00134219
-0.957787 , -1.20892 , -0.00178346
-0.945432 , -1.21684 , -0.00222471
-0.93294 , -1.2247 , -0.0026659
-0.920309 , -1.23249 , -0.00310698
-0.907538 , -1.24021 , -0.00354791
-0.894624 , -1.24786 , -0.00398864
-0.881565 , -1.25545 , -0.00442912
-0.868359 , -1.26296 , -0.00486931
-0.855004 , -1.27041 , -0.00530913
-0.841498 , -1.27779 , -0.00574855
-0.827838 , -1.28511 , -0.00618751
-0.814021 , -1.29235 , -0.00662594
-0.800046 , -1.29953 , -0.00706378
-0.78591 , -1.30664 , -0.00750098
-0.77161 , -1.31369 , -0.00793745
-0.757143 , -1.32066 , -0.00837314
-0.742507 , -1.32757 , -0.00880797
-0.727698 , -1.33442 , -0.00924187
-0.712714 , -1.34119 , -0.00967475
-0.69755 , -1.3479 , -0.0101065
-0.682205 , -1.35455 , -0.0105371
-0.666675 , -1.36112 , -0.0109665
-0.650955 , -1.36763 , -0.0113944
-0.635043 , -1.37408 , -0.011821
-0.618935 , -1.38046 , -0.0122459
-0.602626 , -1.38678 , -0.0126692
-0.586112 , -1.39303 , -0.0130906
-0.56939 , -1.39922 , -0.0135102
-0.552455 , -1.40534 , -0.0139278
-0.535302 , -1.4114 , -0.0143431
-0.517927 , -1.4174 , -0.0147562
-0.500323 , -1.42334 , -0.0151668
-0.482487 , -1.42921 , -0.0155748
-0.464413 , -1.43503 , -0.0159801
-0.446094 , -1.44079 , -0.0163824
-0.427525 , -1.44649 , -0.0167816
-0.4087 , -1.45213 , -0.0171775
-0.389612 , -1.45772 , -0.0175698
-0.370255 , -1.46325 , -0.0179584
-0.35062 , -1.46873 , -0.018343
-0.330701 , -1.47415 , -0.0187234
-0.310489 , -1.47953 , -0.0190993
-0.289977 , -1.48486 , -0.0194705
-0.269155 , -1.49014 , -0.0198365
-0.248014 , -1.49538 , -0.0201972
-0.226544 , -1.50058 , -0.0205522
-0.204735 , -1.50575 , -0.020901
-0.182577 , -1.51087 , -0.0212433
-0.160056 , -1.51597 , -0.0215787
-0.137162 , -1.52104 , -0.0219066
-0.113881 , -1.52609 , -0.0222267
-0.0901999 , -1.53112 , -0.0225383
-0.0661032 , -1.53614 , -0.0228409
-0.0415755 , -1.54115 , -0.0231337
-0.0166002 , -1.54616 , -0.0234162
0.00884061 , -1.55119 , -0.0236875
0.0347659 , -1.55623 , -0.0239468
0.0611961 , -1.56129 , -0.0241933
0.0881532 , -1.5664 , -0.0244258
0.115661 , -1.57156 , -0.0246432
0.143744 , -1.57678 , -0.0248444
0.17243 , -1.58209 , -0.0250279
0.201748 , -1.58749 , -0.0251922
0.231731 , -1.59302 , -0.0253356
0.262413 , -1.59869 , -0.0254562
0.29383 , -1.60454 , -0.0255518
0.326024 , -1.6106 , -0.02562
0.359038 , -1.61691 , -0.0256581
0.39292 , -1.6235 , -0.0256628
0.427721 , -1.63044 , -0.0256305
0.463497 , -1.63779 , -0.0255572
0.500308 , -1.64562 , -0.0254379
0.538219 , -1.65402 , -0.0252673
0.577298 , -1.66311 , -0.0250387
0.617616 , -1.673 , -0.0247447
0.659246 , -1.68385 , -0.0243764
0.70226 , -1.69586 , -0.0239234
0.746721 , -1.70927 , -0.0233734
0.792677 , -1.72436 , -0.0227123
0.840147 , -1.74148 , -0.0219235
0.889097 , -1.76106 , -0.0209884
0.939407 , -1.78361 , -0.0198866
0.990823 , -1.80971 , -0.0185973
1.0429 , -1.83999 , -0.0171023
1.09495 , -1.87504 , -0.0153906
1.14598 , -1.9153 , -0.013465
1.19482 , -1.96085 , -0.0113485
1.24023 , -2.01133 , -0.00908665
1.28119 , -2.06589 , -0.00674157
1.31713 , -2.12336 , -0.00437958
1.34795 , -2.18254 , -0.0020582
1.37392 , -2.24236 , 0.000181114
1.39557 , -2.30204 , 0.00231355
1.41345 , -2.36102 , 0.00432765
1.42815 , -2.41897 , 0.00622104
1.44017 , -2.4757 , 0.00799686
1.44995 , -2.53111 , 0.00966117
1.45784 , -2.58519 , 0.0112213
1.46417 , -2.63796 , 0.0126851
1.46917 , -2.68944 , 0.0140599
1.47305 , -2.7397 , 0.015353
1.47598 , -2.78878 , 0.0165708
1.47811 , -2.83676 , 0.0177193
1.47954 , -2.88368 , 0.0188039
1.48038 , -2.92961 , 0.0198293
1.48071 , -2.97459 , 0.0208
1.4806 , -3.01868 , 0.0217199
1.4801 , -3.06193 , 0.0225924
1.47928 , -3.10437 , 0.0234207
1.47817 , -3.14606 , 0.0242078
1.47681 , -3.18702 , 0.0249561
1.47524 , -3.22729 , 0.0256681
1.47348 , -3.2669 , 0.0263458
1.47155 , -3.3059 , 0.0269913
1.46949 , -3.34429 , 0.0276062
1.4673 , -3.38211 , 0.0281923
1.465 , -3.41938 , 0.0287511
1.46262 , -3.45613 , 0.0292838
1.46016 , -3.49238 , 0.0297918
1.45764 , -3.52814 , 0.0302762
1.45506 , -3.56344 , 0.0307382
1.45244 , -3.59829 , 0.0311787
1.44979 , -3.6327 , 0.0315987
1.4471 , -3.6667 , 0.031999
1.4444 , -3.7003 , 0.0323805
1.44168 , -3.7335 , 0.0327439
1.43895 , -3.76633 , 0.0330899
1.43622 , -3.7988 , 0.0334192
1.43349 , -3.83091 , 0.0337324
1.43076 , -3.86268 , 0.0340301
1.42805 , -3.89412 , 0.0343128
1.42535 , -3.92523 , 0.0345812
1.42266 , -3.95603 , 0.0348355
1.41999 , -3.98652 , 0.0350764
1.41735 , -4.01672 , 0.0353043
1.41473 , -4.04663 , 0.0355195
1.41214 , -4.07626 , 0.0357225
1.40958 , -4.10561 , 0.0359136
1.40704 , -4.1347 , 0.0360932
1.40455 , -4.16352 , 0.0362616
1.40208 , -4.19209 , 0.0364191
1.39966 , -4.22041 , 0.0365661
1.39727 , -4.24849 , 0.0367028
1.39492 , -4.27633 , 0.0368295
1.39261 , -4.30393 , 0.0369465
1.39034 , -4.33131 , 0.037054
1.38811 , -4.35847 , 0.0371522
1.38593 , -4.3854 , 0.0372414
1.3838 , -4.41213 , 0.0373218
1.3817 , -4.43864 , 0.0373936
1.37966 , -4.46495 , 0.037457
1.37766 , -4.49105 , 0.0375122
1.37571 , -4.51696 , 0.0375594
1.37381 , -4.54267 , 0.0375988
1.37196 , -4.56819 , 0.0376305
1.37016 , -4.59353 , 0.0376547
1.36841 , -4.61867 , 0.0376716
1.36671 , -4.64364 , 0.0376814
1.36506 , -4.66843 , 0.0376841
1.36346 , -4.69305 , 0.03768
1.36191 , -4.71749 , 0.0376692
1.36042 , -4.74176 , 0.0376518
1.35897 , -4.76586 , 0.037628
1.35759 , -4.7898 , 0.0375978
1.35625 , -4.81358 , 0.0375615
1.35497 , -4.8372 , 0.0375191
1.35374 , -4.86066 , 0.0374707
1.35256 , -4.88396 , 0.0374165
1.35144 , -4.90712 , 0.0373566
1.35038 , -4.93012 , 0.037291
1.34937 , -4.95297 , 0.03722
1.34841 , -4.97568 , 0.0371434
1.34751 , -4.99824 , 0.0370616
1.34666 , -5.02066 , 0.0369745
1.34587 , -5.04294 , 0.0368823
1.34513 , -5.06507 , 0.036785
1.34445 , -5.08708 , 0.0366827
1.34383 , -5.10894 , 0.0365756
1.34326 , -5.13067 , 0.0364636
1.34275 , -5.15227 , 0.0363469
1.34229 , -5.17374 , 0.0362255
1.34189 , -5.19508 , 0.0360995
1.34155 , -5.21629 , 0.035969
1.34127 , -5.23737 , 0.035834
1.34104 , -5.25833 , 0.0356947
1.34086 , -5.27917 , 0.035551
1.34075 , -5.29988 , 0.0354031
1.34069 , -5.32047 , 0.035251
1.34069 , -5.34095 , 0.0350947
1.34074 , -5.3613 , 0.0349344
1.34086 , -5.38154 , 0.0347701
