x , y , z
-0.00379862 , 0.00743993 , 2.30301e-005
-0.00380695 , 0.00743793 , 2.326e-005
-0.00253972 , 0.00494377 , 1.56963e-005
0.00161879 , -0.00317851 , -9.7365e-006
-0.00119442 , 0.00238824 , 6.76334e-006
0.00825403 , -0.0165621 , -4.61677e-005
0.0174479 , -0.0350016 , -9.76748e-005
0.0265847 , -0.0533267 , -0.000148863
0.035697 , -0.0716026 , -0.000199913
0.0447957 , -0.0898512 , -0.000250887
0.0538857 , -0.108082 , -0.000301813
0.0629697 , -0.126302 , -0.000352706
0.0720493 , -0.144512 , -0.000403573
0.0811257 , -0.162716 , -0.000454423
0.0901993 , -0.180914 , -0.000505257
0.0992709 , -0.199108 , -0.00055608
0.108341 , -0.217299 , -0.000606893
0.117409 , -0.235487 , -0.000657699
0.126476 , -0.253672 , -0.000708498
0.135542 , -0.271855 , -0.00075929
0.144607 , -0.290036 , -0.000810077
0.153671 , -0.308215 , -0.00086086
0.162735 , -0.326393 , -0.000911638
0.171797 , -0.34457 , -0.000962412
0.18086 , -0.362745 , -0.00101318
0.189921 , -0.38092 , -0.00106395
0.198983 , -0.399093 , -0.00111472
0.208043 , -0.417266 , -0.00116548
0.217104 , -0.435438 , -0.00121624
0.226164 , -0.453609 , -0.001267
0.235223 , -0.471779 , -0.00131775
0.244283 , -0.489949 , -0.00136851
0.253342 , -0.508118 , -0.00141926
0.2624 , -0.526287 , -0.00147001
0.271459 , -0.544455 , -0.00152076
0.280517 , -0.562623 , -0.00157151
0.289575 , -0.58079 , -0.00162226
0.298633 , -0.598957 , -0.001673
0.307691 , -0.617123 , -0.00172375
0.316748 , -0.635289 , -0.00177449
0.325806 , -0.653455 , -0.00182523
0.334863 , -0.67162 , -0.00187597
0.34392 , -0.689785 , -0.00192672
0.352977 , -0.70795 , -0.00197746
0.362033 , -0.726115 , -0.00202819
0.37109 , -0.744279 , -0.00207893
0.380146 , -0.762443 , -0.00212967
0.389203 , -0.780607 , -0.00218041
0.398259 , -0.798771 , -0.00223114
0.407315 , -0.816934 , -0.00228188
0.416371 , -0.835097 , -0.00233262
0.425427 , -0.85326 , -0.00238335
0.434483 , -0.871423 , -0.00243408
0.443539 , -0.889586 , -0.00248482
0.452594 , -0.907748 , -0.00253555
0.46165 , -0.92591 , -0.00258628
0.470705 , -0.944073 , -0.00263702
0.479761 , -0.962235 , -0.00268775
0.488816 , -0.980396 , -0.00273848
0.497871 , -0.998558 , -0.00278921
0.506926 , -1.01672 , -0.00283994
0.515982 , -1.03488 , -0.00289067
0.525037 , -1.05304 , -0.0029414
0.534092 , -1.0712 , -0.00299213
0.543147 , -1.08936 , -0.00304286
0.552201 , -1.10753 , -0.00309359
0.561256 , -1.12569 , -0.00314432
0.570311 , -1.14385 , -0.00319504
0.579366 , -1.16201 , -0.00324577
0.58842 , -1.18017 , -0.0032965
0.597475 , -1.19833 , -0.00334723
0.60653 , -1.21649 , -0.00339795
0.615584 , -1.23465 , -0.00344868
0.624639 , -1.25281 , -0.00349941
0.633693 , -1.27097 , -0.00355013
0.642747 , -1.28913 , -0.00360086
0.651802 , -1.30729 , -0.00365158
0.660856 , -1.32545 , -0.00370231
0.66991 , -1.34361 , -0.00375303
0.678965 , -1.36177 , -0.00380376
0.688019 , -1.37993 , -0.00385448
0.697073 , -1.39809 , -0.00390521
0.706127 , -1.41625 , -0.00395593
0.715181 , -1.43441 , -0.00400665
0.724235 , -1.45257 , -0.00405738
0.733289 , -1.47073 , -0.0041081
0.742343 , -1.48889 , -0.00415883
0.751397 , -1.50705 , -0.00420955
0.760451 , -1.52521 , -0.00426027
0.769505 , -1.54337 , -0.004311
0.778559 , -1.56152 , -0.00436172
0.787613 , -1.57968 , -0.00441244
0.796667 , -1.59784 , -0.00446316
0.80572 , -1.616 , -0.00451389
0.814774 , -1.63416 , -0.00456461
0.823828 , -1.65232 , -0.00461533
0.832882 , -1.67048 , -0.00466605
0.841935 , -1.68864 , -0.00471677
0.850989 , -1.7068 , -0.0047675
0.860043 , -1.72496 , -0.00481822
0.869096 , -1.74311 , -0.00486894
0.87815 , -1.76127 , -0.00491966
0.887204 , -1.77943 , -0.00497038
0.896257 , -1.79759 , -0.0050211
0.905311 , -1.81575 , -0.00507182
0.914364 , -1.83391 , -0.00512254
0.923418 , -1.85207 , -0.00517326
0.932471 , -1.87022 , -0.00522398
0.941525 , -1.88838 , -0.00527471
0.950578 , -1.90654 , -0.00532543
0.959632 , -1.9247 , -0.00537615
0.968685 , -1.94286 , -0.00542687
0.977738 , -1.96102 , -0.00547759
0.986792 , -1.97918 , -0.00552831
0.995845 , -1.99733 , -0.00557903
1.0049 , -2.01549 , -0.00562975
1.01395 , -2.03365 , -0.00568047
1.02301 , -2.05181 , -0.00573119
1.03206 , -2.06997 , -0.00578191
1.04111 , -2.08813 , -0.00583263
1.05017 , -2.10628 , -0.00588335
1.05922 , -2.12444 , -0.00593407
1.06827 , -2.1426 , -0.00598479
1.07733 , -2.16076 , -0.00603551
1.08638 , -2.17892 , -0.00608623
1.09543 , -2.19708 , -0.00613695
1.10448 , -2.21523 , -0.00618767
1.11354 , -2.23339 , -0.00623839
1.12259 , -2.25155 , -0.00628911
1.13164 , -2.26971 , -0.00633983
1.1407 , -2.28787 , -0.00639055
1.14975 , -2.30603 , -0.00644128
1.1588 , -2.32418 , -0.006492
1.16786 , -2.34234 , -0.00654272
