x , y , z
0.719402 , 0.0599883 , -0.0409897
0.717571 , 0.0800058 , -0.0406096
0.715185 , 0.0999675 , -0.0401983
0.712244 , 0.119856 , -0.0397558
0.708746 , 0.139647 , -0.0392822
0.704697 , 0.159333 , -0.0387781
0.700097 , 0.178879 , -0.0382433
0.694948 , 0.198253 , -0.0376779
0.689261 , 0.217424 , -0.0370823
0.683048 , 0.236363 , -0.0364569
0.676326 , 0.255042 , -0.0358027
0.669115 , 0.273436 , -0.0351206
0.661438 , 0.291523 , -0.0344118
0.653322 , 0.309284 , -0.0336777
0.644793 , 0.326706 , -0.0329196
0.635881 , 0.343776 , -0.0321391
0.626614 , 0.360488 , -0.0313377
0.61702 , 0.376836 , -0.0305169
0.607129 , 0.392818 , -0.0296784
0.596966 , 0.408437 , -0.0288235
0.586559 , 0.423696 , -0.0279537
0.575932 , 0.438599 , -0.0270705
0.565108 , 0.453154 , -0.026175
0.554108 , 0.467369 , -0.0252684
0.542952 , 0.481253 , -0.024352
0.531658 , 0.494815 , -0.0234267
0.520243 , 0.508068 , -0.0224934
0.508721 , 0.52102 , -0.0215531
0.497107 , 0.533683 , -0.0206065
0.485412 , 0.546067 , -0.0196543
0.473647 , 0.558184 , -0.0186971
0.461823 , 0.570044 , -0.0177357
0.449948 , 0.581657 , -0.0167704
0.43803 , 0.593034 , -0.0158018
0.426076 , 0.604183 , -0.0148302
0.414093 , 0.615115 , -0.0138562
0.402085 , 0.625838 , -0.0128799
0.390059 , 0.636361 , -0.0119018
0.378019 , 0.646692 , -0.0109221
0.365969 , 0.656839 , -0.00994109
0.353911 , 0.66681 , -0.00895893
0.34185 , 0.676611 , -0.00797585
0.329787 , 0.68625 , -0.00699204
0.317726 , 0.695733 , -0.00600765
0.305669 , 0.705067 , -0.00502283
0.293617 , 0.714256 , -0.00403771
0.281573 , 0.723308 , -0.0030524
0.269537 , 0.732226 , -0.002067
0.257511 , 0.741016 , -0.00108162
0.245497 , 0.749684 , -9.63226e-005
0.233494 , 0.758233 , 0.000888807
0.221504 , 0.766667 , 0.00187371
0.209528 , 0.774992 , 0.00285832
0.197567 , 0.783211 , 0.00384258
0.18562 , 0.791327 , 0.00482647
0.173689 , 0.799345 , 0.00580992
0.161773 , 0.807267 , 0.00679291
0.149874 , 0.815098 , 0.0077754
0.137991 , 0.822839 , 0.00875737
0.126125 , 0.830495 , 0.00973879
0.114275 , 0.838067 , 0.0107196
0.102443 , 0.845559 , 0.0116999
0.0906274 , 0.852973 , 0.0126795
0.078829 , 0.860311 , 0.0136586
0.0670478 , 0.867576 , 0.014637
0.0552837 , 0.874771 , 0.0156147
0.0435368 , 0.881897 , 0.0165918
0.031807 , 0.888956 , 0.0175683
0.0200942 , 0.89595 , 0.0185441
0.00839838 , 0.902882 , 0.0195192
-0.0032805 , 0.909753 , 0.0204936
-0.0149426 , 0.916564 , 0.0214674
-0.026588 , 0.923318 , 0.0224405
-0.0382168 , 0.930016 , 0.023413
-0.0498291 , 0.93666 , 0.0243847
-0.0614251 , 0.94325 , 0.0253558
-0.0730049 , 0.94979 , 0.0263262
-0.0845687 , 0.956279 , 0.027296
-0.0961165 , 0.962719 , 0.028265
-0.107649 , 0.969112 , 0.0292334
-0.119165 , 0.975458 , 0.0302012
-0.130666 , 0.981759 , 0.0311683
-0.142152 , 0.988016 , 0.0321347
-0.153623 , 0.994231 , 0.0331005
-0.165079 , 1.0004 , 0.0340657
-0.17652 , 1.00653 , 0.0350302
-0.187946 , 1.01263 , 0.0359941
-0.199358 , 1.01868 , 0.0369573
-0.210755 , 1.02469 , 0.03792
-0.222139 , 1.03067 , 0.038882
-0.233509 , 1.03661 , 0.0398434
-0.244864 , 1.04252 , 0.0408042
-0.256206 , 1.04839 , 0.0417644
-0.267535 , 1.05423 , 0.0427239
-0.27885 , 1.06003 , 0.043683
-0.290153 , 1.0658 , 0.0446414
-0.301442 , 1.07154 , 0.0455992
-0.312718 , 1.07725 , 0.0465565
-0.323982 , 1.08293 , 0.0475132
-0.335233 , 1.08858 , 0.0484693
-0.346472 , 1.09419 , 0.0494249
-0.357699 , 1.09979 , 0.0503799
-0.368913 , 1.10535 , 0.0513344
-0.380116 , 1.11088 , 0.0522884
-0.391307 , 1.11639 , 0.0532418
-0.402486 , 1.12187 , 0.0541947
-0.413653 , 1.12733 , 0.055147
-0.42481 , 1.13276 , 0.0560989
-0.435955 , 1.13817 , 0.0570502
-0.447089 , 1.14355 , 0.058001
-0.458212 , 1.14891 , 0.0589514
-0.469324 , 1.15424 , 0.0599012
-0.480426 , 1.15955 , 0.0608506
-0.491517 , 1.16484 , 0.0617994
-0.502597 , 1.17011 , 0.0627478
-0.513668 , 1.17535 , 0.0636957
-0.524728 , 1.18057 , 0.0646432
-0.535778 , 1.18578 , 0.0655901
-0.546818 , 1.19096 , 0.0665367
-0.557848 , 1.19612 , 0.0674827
-0.568869 , 1.20126 , 0.0684283
-0.57988 , 1.20638 , 0.0693735
-0.590881 , 1.21149 , 0.0703183
-0.601873 , 1.21657 , 0.0712626
-0.612856 , 1.22163 , 0.0722064
-0.62383 , 1.22668 , 0.0731499
-0.634794 , 1.23171 , 0.0740929
-0.64575 , 1.23672 , 0.0750355
-0.656697 , 1.24171 , 0.0759777
-0.667635 , 1.24669 , 0.0769195
-0.678564 , 1.25165 , 0.0778609
-0.689485 , 1.25659 , 0.0788019
-0.700398 , 1.26152 , 0.0797425
-0.711302 , 1.26643 , 0.0806827
-0.722198 , 1.27132 , 0.0816225
-0.733085 , 1.2762 , 0.0825619
-0.743965 , 1.28106 , 0.083501
-0.754836 , 1.28591 , 0.0844396
-0.7657 , 1.29074 , 0.0853779
-0.776556 , 1.29556 , 0.0863159
-0.787404 , 1.30037 , 0.0872535
-0.798244 , 1.30516 , 0.0881907
-0.809077 , 1.30993 , 0.0891275
-0.819903 , 1.31469 , 0.0900641
-0.830721 , 1.31944 , 0.0910002
-0.841532 , 1.32418 , 0.091936
-0.852335 , 1.3289 , 0.0928715
-0.863131 , 1.33361 , 0.0938066
-0.873921 , 1.3383 , 0.0947414
-0.884703 , 1.34298 , 0.0956759
-0.895478 , 1.34765 , 0.0966101
-0.906246 , 1.35231 , 0.0975439
-0.917008 , 1.35696 , 0.0984774
-0.927763 , 1.36159 , 0.0994105
-0.938511 , 1.36621 , 0.100343
-0.949252 , 1.37082 , 0.101276
-0.959987 , 1.37542 , 0.102208
-0.970716 , 1.38001 , 0.10314
-0.981438 , 1.38458 , 0.104072
-0.992154 , 1.38915 , 0.105003
-1.00286 , 1.3937 , 0.105934
-1.01357 , 1.39824 , 0.106865
-1.02426 , 1.40278 , 0.107795
-1.03496 , 1.4073 , 0.108725
-1.04564 , 1.41181 , 0.109655
-1.05632 , 1.41631 , 0.110585
-1.06699 , 1.4208 , 0.111514
-1.07766 , 1.42528 , 0.112443
-1.08832 , 1.42975 , 0.113372
-1.09898 , 1.43421 , 0.1143
-1.10963 , 1.43866 , 0.115229
-1.12027 , 1.4431 , 0.116157
-1.13091 , 1.44753 , 0.117084
-1.14155 , 1.45196 , 0.118012
-1.15217 , 1.45637 , 0.118939
-1.1628 , 1.46077 , 0.119866
-1.17341 , 1.46517 , 0.120792
-1.18402 , 1.46956 , 0.121719
-1.19463 , 1.47393 , 0.122645
-1.20523 , 1.4783 , 0.123571
-1.21583 , 1.48266 , 0.124496
-1.22642 , 1.48701 , 0.125422
-1.23701 , 1.49136 , 0.126347
-1.24759 , 1.49569 , 0.127272
-1.25816 , 1.50002 , 0.128196
-1.26873 , 1.50434 , 0.129121
-1.2793 , 1.50865 , 0.130045
-1.28986 , 1.51295 , 0.130969
-1.30042 , 1.51724 , 0.131893
-1.31097 , 1.52153 , 0.132816
-1.32152 , 1.52581 , 0.13374
-1.33206 , 1.53008 , 0.134663
-1.3426 , 1.53434 , 0.135585
-1.35313 , 1.5386 , 0.136508
-1.36366 , 1.54285 , 0.13743
-1.37418 , 1.54709 , 0.138353
-1.3847 , 1.55132 , 0.139274
-1.39522 , 1.55555 , 0.140196
-1.40573 , 1.55977 , 0.141118
-1.41623 , 1.56398 , 0.142039
-1.42674 , 1.56819 , 0.14296
-1.43723 , 1.57239 , 0.143881
-1.44773 , 1.57658 , 0.144802
-1.45822 , 1.58077 , 0.145722
-1.4687 , 1.58495 , 0.146643
-1.47918 , 1.58912 , 0.147563
-1.48966 , 1.59329 , 0.148483
-1.50013 , 1.59745 , 0.149402
-1.5106 , 1.6016 , 0.150322
-1.52106 , 1.60575 , 0.151241
-1.53152 , 1.60989 , 0.15216
-1.54198 , 1.61402 , 0.153079
-1.55243 , 1.61815 , 0.153998
-1.56288 , 1.62227 , 0.154916
-1.57333 , 1.62639 , 0.155835
-1.58377 , 1.6305 , 0.156753
-1.59421 , 1.6346 , 0.157671
-1.60464 , 1.6387 , 0.158589
-1.61507 , 1.64279 , 0.159506
-1.6255 , 1.64688 , 0.160424
-1.63592 , 1.65096 , 0.161341
-1.64634 , 1.65503 , 0.162258
