x , y , z
-0.170144 , 0.97656 , -1.82257e-005
-0.18733 , 0.973433 , -1.75648e-005
-0.20446 , 0.970006 , -1.68913e-005
-0.221527 , 0.966281 , -1.62071e-005
-0.238526 , 0.962264 , -1.55171e-005
-0.255468 , 0.958045 , -1.49354e-005
-0.27236 , 0.95368 , -1.44922e-005
-0.28921 , 0.949204 , -1.41885e-005
-0.306027 , 0.944642 , -1.4015e-005
-0.322814 , 0.940012 , -1.39599e-005
-0.339576 , 0.935324 , -1.40112e-005
-0.356316 , 0.93059 , -1.41577e-005
-0.373038 , 0.925815 , -1.43894e-005
-0.389743 , 0.921007 , -1.46978e-005
-0.406434 , 0.916168 , -1.50751e-005
-0.423111 , 0.911304 , -1.55147e-005
-0.439777 , 0.906417 , -1.60109e-005
-0.456433 , 0.90151 , -1.65586e-005
-0.473079 , 0.896585 , -1.71533e-005
-0.489716 , 0.891643 , -1.77911e-005
-0.506346 , 0.886687 , -1.84686e-005
-0.522968 , 0.881717 , -1.91826e-005
-0.539584 , 0.876735 , -1.99305e-005
-0.556193 , 0.871741 , -2.07098e-005
-0.572797 , 0.866738 , -2.15182e-005
-0.589395 , 0.861725 , -2.23539e-005
-0.605989 , 0.856703 , -2.3215e-005
-0.622578 , 0.851672 , -2.40999e-005
-0.639163 , 0.846635 , -2.50072e-005
-0.655743 , 0.84159 , -2.59354e-005
-0.67232 , 0.836538 , -2.68834e-005
-0.688893 , 0.83148 , -2.785e-005
-0.705463 , 0.826416 , -2.88343e-005
-0.72203 , 0.821347 , -2.98352e-005
-0.738593 , 0.816273 , -3.08519e-005
-0.755154 , 0.811193 , -3.18836e-005
-0.771712 , 0.806109 , -3.29295e-005
-0.788267 , 0.801021 , -3.3989e-005
-0.80482 , 0.795928 , -3.50614e-005
-0.821371 , 0.790831 , -3.61461e-005
-0.837919 , 0.785731 , -3.72425e-005
-0.854465 , 0.780627 , -3.83501e-005
-0.871009 , 0.775519 , -3.94685e-005
-0.887552 , 0.770409 , -4.05971e-005
-0.904092 , 0.765295 , -4.17356e-005
-0.92063 , 0.760178 , -4.28836e-005
-0.937167 , 0.755058 , -4.40406e-005
-0.953702 , 0.749936 , -4.52063e-005
-0.970235 , 0.74481 , -4.63804e-005
-0.986767 , 0.739683 , -4.75625e-005
-1.0033 , 0.734553 , -4.87524e-005
-1.01983 , 0.72942 , -4.99498e-005
-1.03635 , 0.724285 , -5.11544e-005
-1.05288 , 0.719149 , -5.23659e-005
-1.06941 , 0.71401 , -5.35842e-005
-1.08593 , 0.708869 , -5.48089e-005
-1.10245 , 0.703726 , -5.60399e-005
-1.11897 , 0.698581 , -5.7277e-005
-1.13549 , 0.693434 , -5.85199e-005
-1.15201 , 0.688286 , -5.97686e-005
-1.16853 , 0.683136 , -6.10227e-005
-1.18505 , 0.677984 , -6.22821e-005
-1.20156 , 0.672831 , -6.35468e-005
-1.21808 , 0.667676 , -6.48164e-005
-1.23459 , 0.66252 , -6.60909e-005
-1.2511 , 0.657362 , -6.73702e-005
-1.26762 , 0.652203 , -6.8654e-005
-1.28413 , 0.647042 , -6.99423e-005
-1.30064 , 0.64188 , -7.12349e-005
-1.31715 , 0.636717 , -7.25318e-005
-1.33366 , 0.631553 , -7.38327e-005
-1.35017 , 0.626387 , -7.51377e-005
-1.36667 , 0.62122 , -7.64465e-005
-1.38318 , 0.616052 , -7.77591e-005
-1.39969 , 0.610883 , -7.90754e-005
-1.41619 , 0.605713 , -8.03953e-005
-1.4327 , 0.600542 , -8.17187e-005
-1.4492 , 0.59537 , -8.30456e-005
-1.4657 , 0.590197 , -8.43757e-005
-1.4822 , 0.585022 , -8.57092e-005
-1.49871 , 0.579847 , -8.70458e-005
-1.51521 , 0.574671 , -8.83855e-005
-1.53171 , 0.569494 , -8.97282e-005
-1.54821 , 0.564316 , -9.10739e-005
-1.56471 , 0.559138 , -9.24225e-005
-1.58121 , 0.553958 , -9.37739e-005
-1.59771 , 0.548778 , -9.51281e-005
-1.6142 , 0.543596 , -9.6485e-005
-1.6307 , 0.538414 , -9.78445e-005
-1.6472 , 0.533232 , -9.92067e-005
-1.66369 , 0.528048 , -0.000100571
-1.68019 , 0.522864 , -0.000101938
-1.69669 , 0.517679 , -0.000103308
-1.71318 , 0.512493 , -0.00010468
-1.72968 , 0.507307 , -0.000106054
-1.74617 , 0.50212 , -0.000107431
-1.76266 , 0.496932 , -0.00010881
-1.77916 , 0.491744 , -0.000110191
-1.79565 , 0.486555 , -0.000111574
-1.81214 , 0.481365 , -0.000112959
-1.82863 , 0.476175 , -0.000114346
-1.84512 , 0.470984 , -0.000115736
-1.86162 , 0.465792 , -0.000117127
-1.87811 , 0.4606 , -0.00011852
-1.8946 , 0.455408 , -0.000119916
-1.91109 , 0.450215 , -0.000121313
-1.92758 , 0.445021 , -0.000122712
-1.94407 , 0.439827 , -0.000124112
-1.96055 , 0.434632 , -0.000125515
-1.97704 , 0.429437 , -0.000126919
-1.99353 , 0.424241 , -0.000128325
-2.01002 , 0.419045 , -0.000129733
-2.02651 , 0.413848 , -0.000131142
-2.04299 , 0.408651 , -0.000132553
-2.05948 , 0.403454 , -0.000133966
-2.07597 , 0.398256 , -0.00013538
-2.09245 , 0.393057 , -0.000136796
-2.10894 , 0.387858 , -0.000138213
-2.12543 , 0.382659 , -0.000139632
-2.14191 , 0.377459 , -0.000141052
-2.1584 , 0.372258 , -0.000142474
-2.17488 , 0.367058 , -0.000143897
-2.19137 , 0.361857 , -0.000145321
-2.20785 , 0.356655 , -0.000146747
-2.22433 , 0.351453 , -0.000148174
-2.24082 , 0.346251 , -0.000149603
-2.2573 , 0.341048 , -0.000151033
-2.27378 , 0.335845 , -0.000152464
