x , y , z
0.522349 , -5.19358 , 0.00985376
0.529748 , -5.19246 , 0.00968357
0.537146 , -5.19134 , 0.00951337
0.544544 , -5.1902 , 0.00934314
0.55194 , -5.18905 , 0.0091729
0.559335 , -5.18788 , 0.00900264
0.566729 , -5.18671 , 0.00883234
0.574122 , -5.18552 , 0.00866202
0.581514 , -5.18432 , 0.00849166
0.588907 , -5.1831 , 0.00832126
0.596299 , -5.18187 , 0.0081508
0.603691 , -5.18061 , 0.00798029
0.611084 , -5.17934 , 0.0078097
0.618479 , -5.17804 , 0.00763903
0.625875 , -5.17672 , 0.00746826
0.633276 , -5.17537 , 0.00729736
0.640681 , -5.17398 , 0.00712632
0.648093 , -5.17257 , 0.0069551
0.655514 , -5.17112 , 0.00678366
0.662947 , -5.16963 , 0.00661196
0.670395 , -5.16809 , 0.00643994
0.677865 , -5.1665 , 0.00626753
0.685362 , -5.16486 , 0.00609466
0.692892 , -5.16317 , 0.00592121
0.700465 , -5.16141 , 0.0057471
0.70809 , -5.1596 , 0.0055722
0.715778 , -5.15773 , 0.00539641
0.723537 , -5.1558 , 0.00521962
0.731376 , -5.15382 , 0.00504176
0.739301 , -5.1518 , 0.00486279
0.747314 , -5.14976 , 0.00468271
0.755415 , -5.14769 , 0.00450157
0.763598 , -5.14562 , 0.00431943
0.77186 , -5.14355 , 0.00413639
0.780192 , -5.14148 , 0.00395255
0.788587 , -5.13942 , 0.00376801
0.797039 , -5.13737 , 0.00358285
0.80554 , -5.13534 , 0.00339717
0.814084 , -5.13333 , 0.00321104
0.822667 , -5.13133 , 0.00302451
0.831282 , -5.12935 , 0.00283765
0.839927 , -5.12738 , 0.0026505
0.848598 , -5.12543 , 0.00246309
0.857292 , -5.12349 , 0.00227547
0.866005 , -5.12156 , 0.00208765
0.874737 , -5.11965 , 0.00189966
0.883485 , -5.11775 , 0.00171152
0.892248 , -5.11587 , 0.00152325
0.901023 , -5.11399 , 0.00133486
0.90981 , -5.11212 , 0.00114636
0.918608 , -5.11027 , 0.000957767
0.927416 , -5.10842 , 0.000769088
0.936233 , -5.10658 , 0.000580332
0.945058 , -5.10475 , 0.000391505
0.95389 , -5.10292 , 0.000202615
0.962729 , -5.1011 , 1.3665e-005
0.971575 , -5.09929 , -0.000175338
0.980427 , -5.09749 , -0.000364391
0.989284 , -5.09569 , -0.000553489
0.998146 , -5.0939 , -0.000742629
1.00701 , -5.09211 , -0.000931808
1.01588 , -5.09033 , -0.00112102
1.02476 , -5.08855 , -0.00131027
1.03364 , -5.08678 , -0.00149955
1.04252 , -5.08501 , -0.00168886
1.05141 , -5.08325 , -0.0018782
1.0603 , -5.08149 , -0.00206756
1.06919 , -5.07973 , -0.00225694
1.07809 , -5.07798 , -0.00244635
1.08699 , -5.07623 , -0.00263578
1.09589 , -5.07448 , -0.00282523
1.10479 , -5.07274 , -0.0030147
1.1137 , -5.071 , -0.00320419
1.12261 , -5.06926 , -0.00339369
1.13152 , -5.06753 , -0.00358321
1.14043 , -5.0658 , -0.00377274
1.14934 , -5.06407 , -0.00396229
1.15826 , -5.06235 , -0.00415185
1.16718 , -5.06062 , -0.00434143
1.1761 , -5.0589 , -0.00453102
1.18502 , -5.05719 , -0.00472061
1.19394 , -5.05547 , -0.00491023
1.20287 , -5.05376 , -0.00509985
1.21179 , -5.05204 , -0.00528948
1.22072 , -5.05033 , -0.00547912
1.22965 , -5.04863 , -0.00566877
1.23858 , -5.04692 , -0.00585843
1.24751 , -5.04521 , -0.0060481
1.25644 , -5.04351 , -0.00623778
1.26537 , -5.04181 , -0.00642747
1.27431 , -5.04011 , -0.00661716
1.28324 , -5.03841 , -0.00680686
1.29218 , -5.03672 , -0.00699657
1.30112 , -5.03502 , -0.00718629
1.31005 , -5.03333 , -0.00737601
1.31899 , -5.03164 , -0.00756574
1.32793 , -5.02995 , -0.00775547
1.33688 , -5.02826 , -0.00794521
1.34582 , -5.02657 , -0.00813496
1.35476 , -5.02489 , -0.00832471
